stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916
region_area	region_2	2	19521	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679
region_area	region_3	3	17487	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927
region_sum	region_1	1	29332	315.479248	606.250671	715.212280	724.704651	721.832825	720.431702	721.072876	722.030701	721.928162	721.818054	721.104248	720.533508	720.367310	719.989685	719.536133	718.778687	718.679321	718.865234	718.118652	717.385864	717.310242	717.472229	717.276123	717.220825	716.984497	716.939941	716.369690	715.745789	715.961731	715.959290	716.022766	716.344116	716.768433	716.782166	716.694702	716.814087	716.419556	716.061401	716.195190	716.444031	716.911133	716.342834	715.848633	716.154724	716.109680	716.433472	716.562805	716.405823	716.688782	716.834473	716.271179	715.815735	716.175720	716.484924	715.975220	716.171631	715.875183	715.577698	716.093445	716.118408	715.971802	716.301575	716.077087	716.111938	716.219666	716.390259	716.693604	716.569275	716.176331	715.944397	715.845459	716.259216	716.958435	716.845520	716.459473	716.583557	716.429749	716.676941	716.498840	716.285278	716.135071	716.261108	716.697632	716.373962	716.145203	716.176392	716.277100	716.316162	716.085815	716.054016	715.762573	715.982727	716.322510	716.427002	716.268188	716.108215	716.111206	716.431946	716.273926	716.244568	716.346497	716.785522	716.346802	716.161194	716.366211	716.407166	716.559204	716.298828	716.090393	715.891907
region_sum	region_2	2	19521	928.264587	2184.420166	3200.406738	3687.874756	3830.602783	3860.267578	3867.747314	3875.762451	3883.450684	3891.552734	3901.381592	3912.362793	3923.687744	3935.791260	3948.617920	3960.821533	3971.154785	3980.805664	3991.231689	4001.939209	4011.923340	4020.379639	4027.773438	4035.700684	4042.505127	4048.523438	4055.152100	4060.218994	4064.803711	4068.632568	4072.894043	4077.274902	4080.577148	4084.637695	4088.753418	4092.427979	4095.603760	4096.981445	4098.918945	4102.603516	4105.956543	4107.708008	4109.430664	4112.151367	4114.752930	4116.943359	4119.361328	4121.738770	4124.148438	4125.969238	4128.492188	4130.100098	4131.844238	4134.243164	4136.343262	4138.351074	4140.309082	4141.582520	4142.701172	4144.874023	4147.658203	4149.291992	4150.627930	4150.693848	4151.470703	4153.784668	4155.188965	4155.964355	4157.660645	4158.387207	4158.963867	4160.749023	4162.192383	4163.295410	4164.560059	4165.236328	4166.088379	4166.787109	4167.678711	4167.976562	4168.215820	4168.493164	4167.923340	4168.901367	4170.632324	4171.592773	4172.486816	4173.255371	4173.224121	4174.231934	4175.555664	4175.903809	4176.040039	4176.139160	4177.459961	4178.529297	4178.940430	4178.884277	4178.263184	4178.710449	4178.916504	4178.419922	4179.585449	4180.861816	4181.808594	4182.876465	4183.061523	4182.774414	4182.994141	4183.987793
region_sum	region_3	3	17487	1652.653076	4150.290527	6457.780273	7722.674316	8163.367676	8272.604492	8301.801758	8333.278320	8373.327148	8420.097656	8466.968750	8509.747070	8546.853516	8577.554688	8601.459961	8619.040039	8629.545898	8634.264648	8634.624023	8631.679688	8627.680664	8622.813477	8616.958008	8610.791992	8605.421875	8600.907227	8596.124023	8592.490234	8589.697266	8586.459961	8583.757812	8581.503906	8578.959961	8576.471680	8574.540039	8573.093750	8571.505859	8570.048828	8568.501953	8566.666016	8565.820312	8564.970703	8563.438477	8563.305664	8563.902344	8563.197266	8562.986328	8563.582031	8563.471680	8563.900391	8565.001953	8565.434570	8565.355469	8564.946289	8565.041016	8565.749023	8565.875977	8565.329102	8565.326172	8565.758789	8566.103516	8566.348633	8566.286133	8566.428711	8566.603516	8567.669922	8567.842773	8567.319336	8566.951172	8566.830078	8567.064453	8566.031250	8564.944336	8564.708008	8565.152344	8565.604492	8565.302734	8565.829102	8566.105469	8565.638672	8565.367188	8564.826172	8564.603516	8564.556641	8564.246094	8564.370117	8564.095703	8563.124023	8562.644531	8562.536133	8562.645508	8563.076172	8563.002930	8561.531250	8560.936523	8561.531250	8561.653320	8561.591797	8561.571289	8561.465820	8561.152344	8560.681641	8560.557617	8560.489258	8560.048828	8560.261719	8559.744141	8559.543945	8559.363281	8559.246094
region_avg	region_1	1	29332	0.064174	0.123322	0.145487	0.147418	0.146833	0.146548	0.146679	0.146874	0.146853	0.146830	0.146685	0.146569	0.146535	0.146458	0.146366	0.146212	0.146192	0.146230	0.146078	0.145929	0.145913	0.145946	0.145906	0.145895	0.145847	0.145838	0.145722	0.145595	0.145639	0.145639	0.145652	0.145717	0.145803	0.145806	0.145788	0.145812	0.145732	0.145659	0.145687	0.145737	0.145832	0.145717	0.145616	0.145678	0.145669	0.145735	0.145761	0.145729	0.145787	0.145817	0.145702	0.145609	0.145683	0.145746	0.145642	0.145682	0.145621	0.145561	0.145666	0.145671	0.145641	0.145708	0.145663	0.145670	0.145692	0.145726	0.145788	0.145763	0.145683	0.145636	0.145615	0.145700	0.145842	0.145819	0.145740	0.145766	0.145734	0.145785	0.145748	0.145705	0.145674	0.145700	0.145789	0.145723	0.145676	0.145683	0.145703	0.145711	0.145664	0.145658	0.145599	0.145643	0.145712	0.145734	0.145701	0.145669	0.145669	0.145735	0.145703	0.145697	0.145717	0.145807	0.145717	0.145680	0.145721	0.145730	0.145761	0.145708	0.145665	0.145625
region_avg	region_2	2	19521	0.095905	0.225687	0.330655	0.381018	0.395764	0.398829	0.399602	0.400430	0.401224	0.402061	0.403077	0.404211	0.405382	0.406632	0.407957	0.409218	0.410286	0.411283	0.412360	0.413466	0.414498	0.415371	0.416135	0.416954	0.417657	0.418279	0.418964	0.419487	0.419961	0.420357	0.420797	0.421250	0.421591	0.422010	0.422436	0.422815	0.423143	0.423286	0.423486	0.423866	0.424213	0.424394	0.424572	0.424853	0.425122	0.425348	0.425598	0.425843	0.426092	0.426281	0.426541	0.426707	0.426888	0.427135	0.427352	0.427560	0.427762	0.427894	0.428009	0.428234	0.428521	0.428690	0.428828	0.428835	0.428915	0.429154	0.429299	0.429380	0.429555	0.429630	0.429689	0.429874	0.430023	0.430137	0.430268	0.430337	0.430425	0.430498	0.430590	0.430621	0.430645	0.430674	0.430615	0.430716	0.430895	0.430994	0.431087	0.431166	0.431163	0.431267	0.431404	0.431440	0.431454	0.431464	0.431600	0.431711	0.431753	0.431748	0.431683	0.431730	0.431751	0.431700	0.431820	0.431952	0.432050	0.432160	0.432179	0.432149	0.432172	0.432275
region_avg	region_3	3	17487	0.110716	0.278039	0.432624	0.517363	0.546886	0.554204	0.556160	0.558269	0.560952	0.564085	0.567225	0.570091	0.572577	0.574634	0.576235	0.577413	0.578117	0.578433	0.578457	0.578260	0.577992	0.577666	0.577273	0.576860	0.576500	0.576198	0.575878	0.575634	0.575447	0.575230	0.575049	0.574898	0.574728	0.574561	0.574432	0.574335	0.574228	0.574131	0.574027	0.573904	0.573847	0.573790	0.573688	0.573679	0.573719	0.573672	0.573658	0.573697	0.573690	0.573719	0.573793	0.573822	0.573816	0.573789	0.573795	0.573843	0.573851	0.573815	0.573814	0.573843	0.573866	0.573883	0.573879	0.573888	0.573900	0.573971	0.573983	0.573948	0.573923	0.573915	0.573931	0.573862	0.573789	0.573773	0.573803	0.573833	0.573813	0.573848	0.573866	0.573835	0.573817	0.573781	0.573766	0.573763	0.573742	0.573750	0.573732	0.573667	0.573635	0.573627	0.573635	0.573664	0.573659	0.573560	0.573520	0.573560	0.573568	0.573564	0.573563	0.573556	0.573535	0.573503	0.573495	0.573490	0.573461	0.573475	0.573440	0.573427	0.573415	0.573407
region_std	region_1	1	29332	0.031118	0.069208	0.091792	0.098041	0.099367	0.099949	0.100568	0.101114	0.101204	0.101167	0.101053	0.100866	0.100826	0.100843	0.100662	0.100529	0.100575	0.100766	0.100580	0.100292	0.100300	0.100311	0.100339	0.100295	0.100158	0.100149	0.100138	0.100141	0.100045	0.099964	0.100045	0.100209	0.100249	0.100210	0.100238	0.100161	0.100032	0.100102	0.100201	0.100225	0.100391	0.100276	0.100096	0.100207	0.100186	0.100246	0.100227	0.100049	0.100135	0.100010	0.099910	0.099943	0.100069	0.100111	0.099972	0.100051	0.099936	0.099790	0.100014	0.100048	0.099960	0.100012	0.099944	0.100010	0.100133	0.100268	0.100345	0.100144	0.100045	0.100036	0.099945	0.100092	0.100262	0.100186	0.100166	0.100236	0.100107	0.100151	0.100148	0.100166	0.100159	0.100112	0.100095	0.099938	0.099896	0.099954	0.100141	0.100219	0.099982	0.099942	0.099801	0.099890	0.100116	0.100227	0.100104	0.099976	0.099987	0.099956	0.099900	0.100012	0.100101	0.100238	0.100165	0.100161	0.100205	0.100196	0.100258	0.100193	0.100038	0.099806
