stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916
region_area	region_2	2	19521	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679
region_area	region_3	3	17487	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927
region_sum	region_1	1	29332	1061.186157	901.914368	763.083313	673.731873	609.160950	555.209900	509.430695	473.271698	444.397003	422.793640	406.143097	410.113861	410.219635	411.216278	412.314758	413.399567	415.701019	418.106384	421.680084	425.881439	430.349457	435.616699	441.879150	448.781769	456.077606	464.029968	473.157745	482.237152	492.365906	503.089752	513.297729	524.580566	535.858765	547.904968	560.001770	571.129150	583.451355	595.923950	607.740173	619.833008	631.483276	642.902039	653.616516	663.891479	673.287354	683.007141	691.830261	700.032043	708.036560	716.396057	723.965393	730.758789	737.330566	744.145630	750.092590	754.534546	760.166260	765.719971	769.518982	774.208496	776.256287	779.205566	781.254883	783.546753	785.513977	788.136230	790.163574	791.721497	793.410522	794.689453	795.716980	796.649719	798.053528	798.500183	799.706055	800.747803	801.458313	802.641052	802.927795	803.151550	802.821167	802.466370	801.885193	801.852478	801.217529	800.747742	800.458679	799.854431	799.337952	799.315125	797.876831	797.971497	797.883667	797.553284	796.329224	795.708191	795.019897	794.186829	794.525391	794.070984	794.454346	794.499268	795.580750	795.699951	796.361938	796.294495	796.446411	796.543762	795.579285	795.010925
region_sum	region_2	2	19521	2833.901611	2304.139648	1876.984497	1739.386475	1734.328979	1753.587158	1773.131470	1785.576782	1794.964844	1803.557739	1811.730957	1851.380005	1876.504272	1908.014771	1926.883057	1946.684937	1966.568604	1986.888184	2007.764160	2032.627686	2058.555176	2089.333496	2122.703369	2158.114258	2196.850342	2237.748047	2280.990723	2326.375977	2374.085449	2423.233643	2477.490967	2532.764160	2588.550049	2645.279541	2704.716553	2766.375244	2827.704102	2890.379639	2952.122803	3017.789795	3081.647461	3147.916016	3209.614258	3274.378418	3339.916992	3401.651611	3460.880859	3520.547119	3577.036377	3632.778564	3687.710449	3741.583984	3786.219238	3832.175781	3874.634277	3916.876465	3954.765137	3989.840332	4020.814941	4051.564209	4078.963135	4103.890625	4129.079590	4155.662109	4171.379883	4192.344727	4209.881836	4227.788086	4242.664062	4258.660156	4270.017090	4283.279297	4296.097656	4304.391113	4317.405762	4327.426270	4336.191406	4341.344727	4350.968262	4352.935547	4356.611816	4358.145020	4359.138184	4360.730469	4360.702637	4362.786621	4363.639160	4364.950195	4367.210449	4369.120605	4369.578125	4369.708496	4373.309082	4373.518555	4373.876465	4377.679688	4379.519043	4379.880371	4380.567383	4384.098633	4385.904785	4384.343750	4388.452148	4392.800293	4391.791504	4396.487793	4398.046875	4399.483887	4402.779785	4402.588867
region_sum	region_3	3	17487	3992.643799	3268.962402	2826.613037	2796.075684	2921.823730	3058.958740	3193.625977	3310.558838	3402.469238	3477.366943	3542.110596	3634.516602	3703.165527	3764.573730	3821.267578	3875.347900	3930.935059	3987.740479	4042.208008	4100.304199	4163.712891	4231.779785	4307.342773	4385.971680	4471.373047	4560.695312	4656.216797	4749.790527	4852.948730	4961.844238	5074.665527	5202.849609	5327.573242	5464.126953	5610.758301	5761.924805	5909.462402	6057.211426	6196.304199	6348.800781	6528.007812	6715.023438	6878.232910	7024.451172	7182.002441	7333.970703	7482.785645	7614.748535	7748.986328	7880.801270	7987.255371	8098.079590	8205.461914	8290.677734	8373.070312	8460.437500	8525.767578	8594.525391	8653.622070	8712.675781	8757.715820	8804.438477	8846.915039	8887.148438	8941.058594	8968.145508	9006.564453	9031.301758	9058.560547	9088.065430	9108.961914	9126.234375	9146.452148	9158.590820	9181.588867	9191.903320	9206.505859	9208.236328	9215.227539	9219.267578	9216.348633	9212.984375	9211.628906	9212.519531	9199.753906	9202.151367	9199.706055	9195.018555	9191.682617	9187.450195	9188.279297	9178.894531	9181.031250	9178.440430	9175.640625	9175.875977	9176.392578	9174.533203	9173.904297	9171.552734	9171.754883	9172.438477	9172.337891	9175.629883	9171.632812	9177.744141	9176.756836	9180.023438	9178.313477	9182.255859
region_avg	region_1	1	29332	0.215864	0.183465	0.155224	0.137049	0.123914	0.112939	0.103627	0.096272	0.090398	0.086004	0.082617	0.083424	0.083446	0.083649	0.083872	0.084093	0.084561	0.085050	0.085777	0.086632	0.087541	0.088612	0.089886	0.091290	0.092774	0.094392	0.096249	0.098095	0.100156	0.102337	0.104414	0.106709	0.109003	0.111453	0.113914	0.116178	0.118684	0.121221	0.123625	0.126085	0.128455	0.130777	0.132957	0.135047	0.136958	0.138936	0.140730	0.142399	0.144027	0.145727	0.147267	0.148649	0.149986	0.151372	0.152582	0.153485	0.154631	0.155761	0.156534	0.157487	0.157904	0.158504	0.158921	0.159387	0.159787	0.160321	0.160733	0.161050	0.161394	0.161654	0.161863	0.162052	0.162338	0.162429	0.162674	0.162886	0.163031	0.163271	0.163329	0.163375	0.163308	0.163236	0.163117	0.163111	0.162982	0.162886	0.162827	0.162704	0.162599	0.162595	0.162302	0.162321	0.162303	0.162236	0.161987	0.161861	0.161721	0.161551	0.161620	0.161528	0.161606	0.161615	0.161835	0.161859	0.161994	0.161980	0.162011	0.162031	0.161835	0.161719
region_avg	region_2	2	19521	0.292789	0.238056	0.193923	0.179707	0.179185	0.181174	0.183194	0.184479	0.185449	0.186337	0.187182	0.191278	0.193874	0.197129	0.199079	0.201125	0.203179	0.205278	0.207435	0.210004	0.212683	0.215863	0.219310	0.222969	0.226971	0.231196	0.235664	0.240353	0.245282	0.250360	0.255966	0.261676	0.267440	0.273301	0.279442	0.285812	0.292148	0.298624	0.305003	0.311787	0.318385	0.325232	0.331606	0.338297	0.345068	0.351447	0.357566	0.363730	0.369567	0.375326	0.381001	0.386567	0.391179	0.395927	0.400313	0.404678	0.408592	0.412216	0.415416	0.418593	0.421424	0.423999	0.426602	0.429348	0.430972	0.433138	0.434950	0.436800	0.438337	0.439990	0.441163	0.442533	0.443858	0.444714	0.446059	0.447094	0.448000	0.448532	0.449527	0.449730	0.450110	0.450268	0.450371	0.450535	0.450532	0.450748	0.450836	0.450971	0.451205	0.451402	0.451449	0.451463	0.451835	0.451856	0.451893	0.452286	0.452476	0.452514	0.452585	0.452950	0.453136	0.452975	0.453399	0.453849	0.453744	0.454230	0.454391	0.454539	0.454880	0.454860
region_avg	region_3	3	17487	0.267478	0.218997	0.189362	0.187317	0.195741	0.204928	0.213950	0.221783	0.227941	0.232958	0.237296	0.243486	0.248085	0.252199	0.255997	0.259620	0.263344	0.267149	0.270798	0.274690	0.278938	0.283498	0.288561	0.293828	0.299549	0.305533	0.311933	0.318201	0.325112	0.332407	0.339966	0.348553	0.356909	0.366057	0.375880	0.386007	0.395891	0.405789	0.415107	0.425323	0.437329	0.449858	0.460791	0.470587	0.481142	0.491322	0.501292	0.510133	0.519126	0.527956	0.535088	0.542512	0.549706	0.555415	0.560935	0.566788	0.571164	0.575770	0.579729	0.583686	0.586703	0.589833	0.592679	0.595374	0.598986	0.600800	0.603374	0.605031	0.606857	0.608834	0.610234	0.611391	0.612746	0.613559	0.615099	0.615790	0.616769	0.616885	0.617353	0.617624	0.617428	0.617203	0.617112	0.617172	0.616316	0.616477	0.616313	0.615999	0.615776	0.615492	0.615548	0.614919	0.615062	0.614888	0.614701	0.614717	0.614751	0.614627	0.614585	0.614427	0.614441	0.614486	0.614480	0.614700	0.614432	0.614842	0.614776	0.614995	0.614880	0.615144
region_std	region_1	1	29332	0.181207	0.143612	0.118564	0.097219	0.082000	0.070924	0.062800	0.057237	0.053576	0.051460	0.050050	0.049464	0.049507	0.049865	0.050365	0.050501	0.051271	0.051713	0.052572	0.053403	0.054203	0.055131	0.056191	0.057452	0.058611	0.059810	0.061321	0.062715	0.064473	0.066491	0.067842	0.069563	0.071354	0.073213	0.075202	0.076884	0.078673	0.080470	0.082055	0.084039	0.085744	0.087393	0.089007	0.090212	0.091656	0.093257	0.094486	0.095772	0.096819	0.098166	0.099145	0.100223	0.101281	0.102820	0.104087	0.104285	0.105455	0.106561	0.107345	0.108772	0.108254	0.108338	0.108273	0.108916	0.109252	0.110096	0.110599	0.110619	0.110426	0.110436	0.110500	0.110684	0.110904	0.110880	0.111055	0.111056	0.111341	0.111773	0.112051	0.112519	0.112571	0.112178	0.111645	0.111244	0.111312	0.111639	0.111905	0.111876	0.111430	0.111274	0.110833	0.111448	0.111965	0.111901	0.110900	0.110474	0.110222	0.109614	0.109980	0.109793	0.110091	0.110508	0.111058	0.111546	0.112002	0.112196	0.112419	0.112684	0.111785	0.111258
