stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916
region_area	region_2	2	19521	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679
region_area	region_3	3	17487	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927
region_sum	region_1	1	29332	0.147170	0.254753	0.177947	0.162761	0.175778	0.168424	0.170194	0.169172	0.177092	0.155229	0.157624	0.162430	0.164590	0.157501	0.168030	0.158335	0.174134	0.164251	0.154367	0.175235	0.171136	0.175628	0.170328	0.173526	0.167870	0.180261	0.170640	0.186862	0.183445	0.181703	0.188124	0.208131	0.192587	0.202390	0.199716	0.203432	0.213033	0.210126	0.207553	0.226153	0.218008	0.214826	0.230657	0.225546	0.216261	0.220229	0.218175	0.223098	0.219115	0.237555	0.229747	0.231222	0.237941	0.233920	0.228375	0.238127	0.234523	0.244788	0.245734	0.251478	0.243577	0.244789	0.250239	0.244231	0.236824	0.245167	0.234922	0.239874	0.248516	0.246729	0.253342	0.252264	0.235329	0.243109	0.252204	0.235146	0.250831	0.235564	0.236227	0.249525	0.243717	0.239183	0.252527	0.243771	0.260905	0.248008	0.250306	0.265177	0.245281	0.244180	0.243290	0.238475	0.245695	0.247858	0.246312	0.237630	0.250279	0.257149	0.252064	0.249538	0.239045	0.252555	0.245307	0.251099	0.237852	0.246775	0.256530	0.233404	0.246488	0.243187
region_sum	region_2	2	19521	24.510475	35.971180	34.112846	39.328030	46.812969	51.640247	54.109230	55.011467	55.760231	56.222588	56.537846	57.042801	57.675697	58.142307	58.852772	59.235081	59.827862	60.487083	61.114010	61.797462	62.576164	63.279110	64.159691	64.984039	65.909164	67.074219	68.240273	69.191254	70.230309	71.543747	72.642509	73.918694	75.485863	76.359253	78.005913	79.396553	80.681839	81.767120	83.197441	84.469429	85.721123	86.804977	88.019966	89.270256	90.172752	91.115692	92.268227	93.189743	93.852341	95.131897	95.854858	96.419830	97.173630	97.794327	98.405388	98.982735	99.471947	99.682526	100.136589	100.647362	101.151436	101.553871	101.680870	101.676300	102.522392	102.572929	102.516098	102.982376	103.274673	103.271408	103.534378	103.662338	103.648232	104.247139	104.204849	104.339096	104.503677	104.682442	104.748543	104.767487	104.765953	104.573166	104.598763	104.969513	105.090988	105.073631	105.089729	104.941490	105.065727	105.350739	105.470795	105.570030	105.266792	105.845505	105.778221	105.816299	105.577881	105.790527	105.732399	105.913406	105.504990	106.097237	106.453468	106.350044	106.442627	106.357841	106.249260	106.885254	106.945518	107.002434
region_sum	region_3	3	17487	206.644089	242.181595	257.302429	316.811859	386.965424	437.500183	468.710175	487.308228	500.087433	508.591736	515.690002	523.273071	528.740540	534.826660	539.600525	545.207703	550.574768	555.181702	560.556763	565.989197	572.645691	579.246643	586.084656	593.453857	601.937256	610.813904	619.670715	630.490295	640.641418	651.216980	662.935974	674.063904	686.090027	698.164429	710.860718	722.931152	735.791382	748.048523	759.026672	770.861450	782.853027	794.658569	804.867798	815.149780	825.092041	834.454346	843.793579	853.188904	859.724731	867.849731	874.307251	881.241516	887.237061	892.695374	897.858765	901.781128	906.697266	911.367859	914.141846	917.864929	921.181213	923.960205	926.620300	929.446045	931.543823	934.024292	936.607605	939.613525	941.269836	942.107117	943.331482	945.980469	947.537170	948.202271	949.316284	950.039734	950.508789	951.583435	952.476929	952.254639	952.779358	953.128113	953.169617	952.583191	954.104980	953.090942	953.162720	953.195557	952.160156	952.478638	951.686523	952.437500	951.888672	952.083008	952.077393	951.549744	951.766907	952.419556	951.951660	952.369568	952.941223	953.362549	953.653259	953.420959	953.771912	954.059875	953.874451	954.311951	955.408325	955.211548
region_avg	region_1	1	29332	0.000030	0.000052	0.000036	0.000033	0.000036	0.000034	0.000035	0.000034	0.000036	0.000032	0.000032	0.000033	0.000033	0.000032	0.000034	0.000032	0.000035	0.000033	0.000031	0.000036	0.000035	0.000036	0.000035	0.000035	0.000034	0.000037	0.000035	0.000038	0.000037	0.000037	0.000038	0.000042	0.000039	0.000041	0.000041	0.000041	0.000043	0.000043	0.000042	0.000046	0.000044	0.000044	0.000047	0.000046	0.000044	0.000045	0.000044	0.000045	0.000045	0.000048	0.000047	0.000047	0.000048	0.000048	0.000046	0.000048	0.000048	0.000050	0.000050	0.000051	0.000050	0.000050	0.000051	0.000050	0.000048	0.000050	0.000048	0.000049	0.000051	0.000050	0.000052	0.000051	0.000048	0.000049	0.000051	0.000048	0.000051	0.000048	0.000048	0.000051	0.000050	0.000049	0.000051	0.000050	0.000053	0.000050	0.000051	0.000054	0.000050	0.000050	0.000049	0.000049	0.000050	0.000050	0.000050	0.000048	0.000051	0.000052	0.000051	0.000051	0.000049	0.000051	0.000050	0.000051	0.000048	0.000050	0.000052	0.000047	0.000050	0.000049
region_avg	region_2	2	19521	0.002532	0.003716	0.003524	0.004063	0.004837	0.005335	0.005590	0.005684	0.005761	0.005809	0.005841	0.005893	0.005959	0.006007	0.006080	0.006120	0.006181	0.006249	0.006314	0.006385	0.006465	0.006538	0.006629	0.006714	0.006810	0.006930	0.007050	0.007149	0.007256	0.007392	0.007505	0.007637	0.007799	0.007889	0.008059	0.008203	0.008336	0.008448	0.008596	0.008727	0.008856	0.008968	0.009094	0.009223	0.009316	0.009414	0.009533	0.009628	0.009696	0.009829	0.009903	0.009962	0.010040	0.010104	0.010167	0.010227	0.010277	0.010299	0.010346	0.010399	0.010451	0.010492	0.010505	0.010505	0.010592	0.010597	0.010592	0.010640	0.010670	0.010670	0.010697	0.010710	0.010709	0.010770	0.010766	0.010780	0.010797	0.010815	0.010822	0.010824	0.010824	0.010804	0.010807	0.010845	0.010858	0.010856	0.010857	0.010842	0.010855	0.010884	0.010897	0.010907	0.010876	0.010936	0.010929	0.010933	0.010908	0.010930	0.010924	0.010943	0.010900	0.010962	0.010998	0.010988	0.010997	0.010989	0.010977	0.011043	0.011049	0.011055
region_avg	region_3	3	17487	0.013844	0.016224	0.017237	0.021224	0.025924	0.029309	0.031400	0.032646	0.033502	0.034072	0.034547	0.035055	0.035422	0.035829	0.036149	0.036525	0.036884	0.037193	0.037553	0.037917	0.038363	0.038805	0.039263	0.039757	0.040325	0.040920	0.041513	0.042238	0.042918	0.043627	0.044412	0.045157	0.045963	0.046772	0.047622	0.048431	0.049293	0.050114	0.050849	0.051642	0.052445	0.053236	0.053920	0.054609	0.055275	0.055902	0.056528	0.057157	0.057595	0.058140	0.058572	0.059037	0.059438	0.059804	0.060150	0.060413	0.060742	0.061055	0.061241	0.061490	0.061712	0.061899	0.062077	0.062266	0.062407	0.062573	0.062746	0.062947	0.063058	0.063114	0.063196	0.063374	0.063478	0.063523	0.063597	0.063646	0.063677	0.063749	0.063809	0.063794	0.063829	0.063853	0.063855	0.063816	0.063918	0.063850	0.063855	0.063857	0.063788	0.063809	0.063756	0.063806	0.063770	0.063783	0.063782	0.063747	0.063761	0.063805	0.063774	0.063802	0.063840	0.063868	0.063888	0.063872	0.063896	0.063915	0.063903	0.063932	0.064005	0.063992
region_std	region_1	1	29332	0.000471	0.000556	0.000438	0.000372	0.000375	0.000349	0.000347	0.000352	0.000387	0.000331	0.000331	0.000337	0.000342	0.000339	0.000355	0.000326	0.000355	0.000346	0.000328	0.000365	0.000349	0.000363	0.000360	0.000378	0.000355	0.000362	0.000349	0.000404	0.000371	0.000389	0.000396	0.000460	0.000388	0.000428	0.000422	0.000431	0.000447	0.000456	0.000450	0.000469	0.000461	0.000439	0.000494	0.000482	0.000452	0.000450	0.000470	0.000468	0.000463	0.000494	0.000498	0.000515	0.000524	0.000503	0.000485	0.000500	0.000504	0.000549	0.000524	0.000523	0.000547	0.000520	0.000528	0.000530	0.000519	0.000520	0.000504	0.000539	0.000530	0.000535	0.000583	0.000552	0.000520	0.000541	0.000542	0.000508	0.000549	0.000487	0.000482	0.000538	0.000537	0.000529	0.000546	0.000530	0.000576	0.000562	0.000539	0.000595	0.000553	0.000513	0.000521	0.000512	0.000534	0.000519	0.000518	0.000489	0.000580	0.000565	0.000550	0.000579	0.000548	0.000526	0.000516	0.000561	0.000494	0.000537	0.000569	0.000499	0.000522	0.000541
