stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507
region_area	region_2	2	19521	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362
region_area	region_3	3	17487	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192
region_sum	region_1	1	29332	9049.106445	10307.256836	11107.422852	11774.875977	12337.108398	12810.313477	13202.498047	13518.398438	13762.978516	13946.098633	13943.855469	13941.590820	13939.305664	13937.040039	13934.786133	13932.557617	13930.375977	13928.204102	13926.045898	13923.892578	13921.722656	13919.552734	13917.359375	13915.179688	13912.938477	13910.731445	13908.493164	13906.243164	13903.997070	13901.720703	13899.458984	13897.171875	13894.899414	13892.616211	13890.311523	13888.012695	13885.700195	13883.390625	13881.057617	13878.729492	13876.381836	13874.058594	13871.723633	13869.365234	13867.026367	13864.674805	13862.314453	13859.949219	13857.590820	13855.232422	13852.862305	13850.466797	13848.124023	13845.734375	13843.361328	13840.986328	13838.605469	13836.243164	13833.859375	13831.478516	13829.086914	13826.702148	13824.299805	13821.909180	13819.526367	13817.144531	13814.748047	13812.351562	13809.958984	13807.558594	13805.161133	13802.757812	13800.356445	13797.960938	13795.561523	13793.157227	13790.784180	13788.397461	13786.005859	13783.604492	13781.236328	13778.853516	13776.470703	13774.098633	13771.735352	13769.383789	13767.039062	13764.670898	13762.330078	13759.978516	13757.643555	13755.305664	13752.975586	13750.648438	13748.344727	13746.029297	13743.734375	13741.415039	13739.110352	13736.836914	13734.544922	13732.271484	13730.000000	13727.742188	13725.463867	13723.204102	13720.977539	13718.746094	13716.523438	13714.307617
region_sum	region_2	2	19521	4338.905762	4699.058594	4925.295410	5113.561523	5272.947754	5408.427246	5521.786621	5613.587402	5687.094727	5745.575195	5745.059570	5744.547852	5744.032227	5743.507324	5742.981445	5742.453613	5741.926758	5741.397461	5740.865723	5740.339355	5739.814941	5739.290527	5738.784180	5738.277344	5737.770020	5737.259277	5736.750977	5736.233398	5735.718750	5735.197754	5734.671875	5734.151367	5733.626953	5733.097656	5732.571289	5732.041992	5731.506836	5730.969727	5730.431641	5729.895020	5729.356934	5728.816406	5728.278320	5727.733398	5727.190430	5726.647949	5726.102051	5725.557617	5725.011719	5724.465332	5723.916504	5723.367676	5722.824219	5722.280762	5721.742188	5721.193848	5720.648438	5720.096191	5719.541992	5718.987305	5718.431641	5717.878906	5717.323242	5716.767578	5716.211914	5715.653320	5715.094727	5714.538086	5713.985352	5713.423340	5712.867676	5712.311035	5711.753906	5711.191895	5710.634277	5710.076172	5709.520020	5708.972656	5708.423340	5707.882812	5707.338379	5706.797363	5706.248047	5705.702148	5705.155273	5704.603027	5704.051758	5703.497070	5702.944824	5702.394043	5701.844727	5701.291504	5700.743652	5700.197754	5699.644043	5699.101562	5698.554199	5698.008789	5697.465820	5696.923828	5696.386230	5695.843750	5695.304688	5694.767578	5694.228516	5693.694336	5693.159180	5692.625488	5692.090820	5691.560547
region_sum	region_3	3	17487	2326.939697	2483.767578	2593.011963	2684.116943	2760.846436	2826.906738	2883.708740	2932.281006	2972.588623	3004.412842	3004.235352	3004.057617	3003.878174	3003.696777	3003.513916	3003.331299	3003.145752	3002.961670	3002.775391	3002.590088	3002.403564	3002.215332	3002.028320	3001.839355	3001.650391	3001.461182	3001.272217	3001.078857	3000.887939	3000.694824	3000.505615	3000.313232	3000.121094	2999.925537	2999.732910	2999.540527	2999.347168	2999.151611	2998.955078	2998.760742	2998.564697	2998.368408	2998.172119	2997.975098	2997.777588	2997.578857	2997.380859	2997.182617	2996.983643	2996.782959	2996.582520	2996.384033	2996.184082	2995.982178	2995.779297	2995.577881	2995.375244	2995.175781	2994.975098	2994.770996	2994.566406	2994.365723	2994.161621	2993.958496	2993.751953	2993.549072	2993.343262	2993.141357	2992.936035	2992.731201	2992.528320	2992.323242	2992.119629	2991.915771	2991.711182	2991.506592	2991.302979	2991.097900	2990.894287	2990.689209	2990.484619	2990.279297	2990.075439	2989.872070	2989.669189	2989.463867	2989.260498	2989.058105	2988.856201	2988.651123	2988.448486	2988.248535	2988.046875	2987.846191	2987.645264	2987.442139	2987.240967	2987.040283	2986.838623	2986.639404	2986.440430	2986.239746	2986.041992	2985.843506	2985.643311	2985.447021	2985.250732	2985.053467	2984.857422	2984.662109
region_avg	region_1	1	29332	6.004715	6.839586	7.370553	7.813455	8.186535	8.500540	8.760781	8.970404	9.132700	9.254212	9.252725	9.251222	9.249705	9.248201	9.246706	9.245228	9.243780	9.242338	9.240907	9.239477	9.238038	9.236598	9.235143	9.233696	9.232208	9.230744	9.229259	9.227766	9.226275	9.224765	9.223264	9.221746	9.220239	9.218723	9.217195	9.215669	9.214134	9.212602	9.211054	9.209509	9.207951	9.206409	9.204860	9.203295	9.201743	9.200182	9.198616	9.197046	9.195481	9.193916	9.192344	9.190754	9.189199	9.187614	9.186039	9.184464	9.182883	9.181316	9.179734	9.178154	9.176567	9.174985	9.173390	9.171804	9.170223	9.168643	9.167052	9.165462	9.163875	9.162282	9.160691	9.159096	9.157502	9.155913	9.154321	9.152725	9.151151	9.149567	9.147980	9.146386	9.144815	9.143234	9.141653	9.140079	9.138511	9.136950	9.135394	9.133822	9.132270	9.130709	9.129160	9.127608	9.126062	9.124517	9.122990	9.121452	9.119930	9.118391	9.116861	9.115353	9.113832	9.112324	9.110816	9.109318	9.107806	9.106307	9.104829	9.103349	9.101873	9.100403
region_avg	region_2	2	19521	11.985928	12.980824	13.605788	14.125860	14.566154	14.940407	15.253554	15.507148	15.710206	15.871755	15.870330	15.868917	15.867493	15.866042	15.864590	15.863132	15.861676	15.860214	15.858745	15.857291	15.855843	15.854394	15.852995	15.851595	15.850193	15.848783	15.847379	15.845948	15.844527	15.843088	15.841635	15.840198	15.838749	15.837286	15.835833	15.834371	15.832891	15.831409	15.829922	15.828440	15.826953	15.825459	15.823974	15.822468	15.820968	15.819469	15.817962	15.816458	15.814949	15.813440	15.811924	15.810408	15.808907	15.807405	15.805918	15.804403	15.802896	15.801371	15.799840	15.798307	15.796773	15.795245	15.793711	15.792175	15.790641	15.789098	15.787555	15.786016	15.784490	15.782937	15.781403	15.779864	15.778326	15.776773	15.775233	15.773691	15.772155	15.770642	15.769125	15.767632	15.766129	15.764633	15.763116	15.761608	15.760098	15.758572	15.757049	15.755517	15.753991	15.752470	15.750953	15.749424	15.747910	15.746403	15.744873	15.743375	15.741862	15.740355	15.738856	15.737359	15.735873	15.734375	15.732886	15.731402	15.729913	15.728437	15.726959	15.725485	15.724008	15.722543
region_avg	region_3	3	17487	12.119477	12.936290	13.505271	13.979775	14.379409	14.723473	15.019317	15.272297	15.482232	15.647984	15.647059	15.646133	15.645199	15.644254	15.643302	15.642350	15.641384	15.640426	15.639455	15.638490	15.637519	15.636539	15.635564	15.634580	15.633595	15.632610	15.631626	15.630619	15.629624	15.628619	15.627633	15.626632	15.625630	15.624612	15.623609	15.622607	15.621600	15.620582	15.619557	15.618546	15.617524	15.616502	15.615479	15.614453	15.613425	15.612390	15.611359	15.610326	15.609290	15.608245	15.607201	15.606167	15.605125	15.604074	15.603017	15.601968	15.600913	15.599874	15.598828	15.597766	15.596700	15.595654	15.594592	15.593534	15.592458	15.591401	15.590329	15.589278	15.588208	15.587142	15.586085	15.585017	15.583957	15.582894	15.581829	15.580764	15.579703	15.578635	15.577575	15.576507	15.575440	15.574371	15.573310	15.572250	15.571194	15.570125	15.569065	15.568011	15.566959	15.565891	15.564836	15.563794	15.562744	15.561699	15.560653	15.559594	15.558547	15.557502	15.556451	15.555413	15.554378	15.553332	15.552302	15.551269	15.550225	15.549203	15.548181	15.547153	15.546132	15.545115
region_std	region_1	1	29332	6.173520	6.395766	6.513548	6.617394	6.706226	6.781682	6.845562	6.898076	6.939567	6.970489	6.970173	6.969889	6.969604	6.969319	6.969008	6.968749	6.968434	6.968156	6.967871	6.967634	6.967363	6.967088	6.966825	6.966545	6.966300	6.966011	6.965722	6.965462	6.965167	6.964893	6.964619	6.964353	6.964036	6.963761	6.963464	6.963169	6.962876	6.962586	6.962306	6.962004	6.961725	6.961432	6.961122	6.960835	6.960532	6.960228	6.959928	6.959632	6.959326	6.959031	6.958738	6.958435	6.958111	6.957822	6.957528	6.957197	6.956886	6.956585	6.956278	6.955970	6.955672	6.955378	6.955083	6.954752	6.954462	6.954143	6.953840	6.953515	6.953209	6.952898	6.952611	6.952324	6.952008	6.951693	6.951391	6.951097	6.950757	6.950448	6.950122	6.949851	6.949531	6.949241	6.948915	6.948633	6.948307	6.947966	6.947681	6.947375	6.947069	6.946753	6.946445	6.946156	6.945860	6.945561	6.945245	6.944944	6.944629	6.944337	6.944032	6.943719	6.943418	6.943115	6.942815	6.942496	6.942224	6.941922	6.941619	6.941315	6.940984	6.940681
