stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507
region_area	region_2	2	19521	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362
region_area	region_3	3	17487	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192
region_sum	region_1	1	29332	109.385849	33.523609	60.790768	77.976204	83.032791	86.868095	90.687439	93.766045	95.985657	97.566689	98.625801	99.334343	99.955925	100.303604	100.549126	100.774918	100.881554	100.977036	101.018837	101.028381	101.159348	101.195900	101.226601	101.155174	101.214653	101.210312	101.271484	101.250031	101.310043	101.235756	101.224777	101.186874	101.160141	101.142380	101.173264	101.132462	101.213112	101.163864	101.150391	101.166962	101.180786	101.162132	101.202385	101.184364	101.226410	101.205742	101.218224	101.203362	101.199936	101.152473	101.145256	101.192368	101.166519	101.183662	101.191093	101.177330	101.188850	101.178505	101.180771	101.204285	101.206902	101.190208	101.182999	101.211639	101.226501	101.203125	101.186501	101.216629	101.165833	101.228348	101.232933	101.200684	101.558212	102.152542	102.836311	103.541176	104.284218	104.927956	105.715073	106.511162	107.246864	107.992172	108.723541	109.472450	110.080719	110.855019	111.577553	112.332825	113.071075	113.782074	114.441910	115.179047	115.866165	116.610970	117.296608	117.874901	118.528511	119.288033	119.883125	120.594536	121.276466	121.866356	122.554428	123.204689	123.835670	124.495735	125.096268	125.730812	126.326767	126.908981
region_sum	region_2	2	19521	25.736326	7.553644	12.103655	16.639021	18.250437	19.059614	19.656481	20.241919	20.698576	21.065311	21.309319	21.485460	21.622377	21.697968	21.801552	21.804218	21.855175	21.876173	21.865860	21.865007	21.927191	21.921188	21.871433	21.948133	21.917749	21.935059	21.912355	21.916273	21.925093	21.959150	21.940702	21.916206	21.944092	21.918301	21.914129	21.923542	21.955046	21.904041	21.926676	21.902582	21.887272	21.927305	21.926563	21.927858	21.943970	21.929996	21.960167	21.936583	21.948492	21.933641	21.936317	21.951042	21.926142	21.913660	21.943588	21.924370	21.913904	21.937946	21.923296	21.909149	21.918013	21.891268	21.951794	21.898651	21.932981	21.912712	21.924881	21.901878	21.936218	21.944447	21.929781	21.934191	22.006979	22.175156	22.303263	22.478905	22.633083	22.785114	22.917957	23.120493	23.256800	23.457100	23.604410	23.770855	23.980871	24.098108	24.306776	24.428659	24.628473	24.810635	24.951273	25.054890	25.263897	25.443453	25.598965	25.776243	25.891071	26.079294	26.225798	26.346073	26.520945	26.719910	26.870991	26.973734	27.138115	27.274647	27.387188	27.542093	27.626598	27.802584
region_sum	region_3	3	17487	12.329366	4.681833	6.572268	9.051229	9.598921	9.740252	9.736172	9.782700	9.806242	9.908372	9.982531	10.048373	10.094913	10.138120	10.163147	10.194539	10.247409	10.238237	10.263355	10.290793	10.276876	10.308780	10.278569	10.312995	10.318134	10.299659	10.306395	10.347271	10.317910	10.357105	10.354715	10.350897	10.335143	10.321657	10.357164	10.335516	10.305902	10.338277	10.338070	10.286300	10.333071	10.311131	10.323748	10.305861	10.313530	10.313278	10.292728	10.310387	10.310126	10.309872	10.317722	10.324784	10.298510	10.309724	10.332389	10.313764	10.331693	10.341705	10.335527	10.284874	10.311199	10.316955	10.311379	10.321402	10.337514	10.310253	10.337461	10.326320	10.329697	10.297680	10.314741	10.310895	10.360986	10.397305	10.467936	10.546871	10.586242	10.697956	10.756494	10.879373	10.957925	11.034791	11.142591	11.244982	11.358231	11.407352	11.500795	11.594326	11.717472	11.800673	11.865077	11.958240	12.055440	12.139416	12.227604	12.344745	12.404596	12.525474	12.648924	12.692870	12.814663	12.917321	12.993283	13.072744	13.206600	13.236132	13.336398	13.450091	13.507364	13.581368
region_avg	region_1	1	29332	0.072585	0.022245	0.040339	0.051743	0.055098	0.057643	0.060177	0.062220	0.063693	0.064742	0.065445	0.065915	0.066328	0.066558	0.066721	0.066871	0.066942	0.067005	0.067033	0.067039	0.067126	0.067151	0.067171	0.067124	0.067163	0.067160	0.067201	0.067186	0.067226	0.067177	0.067170	0.067145	0.067127	0.067115	0.067136	0.067108	0.067162	0.067129	0.067120	0.067131	0.067141	0.067128	0.067155	0.067143	0.067171	0.067157	0.067165	0.067156	0.067153	0.067122	0.067117	0.067148	0.067131	0.067142	0.067147	0.067138	0.067146	0.067139	0.067141	0.067156	0.067158	0.067147	0.067142	0.067161	0.067171	0.067155	0.067144	0.067164	0.067131	0.067172	0.067175	0.067154	0.067391	0.067785	0.068239	0.068707	0.069200	0.069627	0.070149	0.070678	0.071166	0.071660	0.072146	0.072643	0.073046	0.073560	0.074040	0.074541	0.075031	0.075502	0.075940	0.076429	0.076885	0.077380	0.077835	0.078218	0.078652	0.079156	0.079551	0.080023	0.080475	0.080867	0.081323	0.081755	0.082174	0.082612	0.083010	0.083431	0.083827	0.084213
region_avg	region_2	2	19521	0.071095	0.020866	0.033436	0.045964	0.050416	0.052651	0.054300	0.055917	0.057178	0.058191	0.058866	0.059352	0.059730	0.059939	0.060225	0.060233	0.060373	0.060431	0.060403	0.060401	0.060572	0.060556	0.060418	0.060630	0.060546	0.060594	0.060531	0.060542	0.060567	0.060661	0.060610	0.060542	0.060619	0.060548	0.060536	0.060562	0.060649	0.060508	0.060571	0.060504	0.060462	0.060573	0.060571	0.060574	0.060619	0.060580	0.060663	0.060598	0.060631	0.060590	0.060598	0.060638	0.060569	0.060535	0.060618	0.060565	0.060536	0.060602	0.060562	0.060523	0.060547	0.060473	0.060640	0.060494	0.060588	0.060532	0.060566	0.060502	0.060597	0.060620	0.060580	0.060592	0.060793	0.061257	0.061611	0.062096	0.062522	0.062942	0.063309	0.063869	0.064245	0.064799	0.065206	0.065665	0.066246	0.066569	0.067146	0.067482	0.068034	0.068538	0.068926	0.069212	0.069790	0.070286	0.070715	0.071205	0.071522	0.072042	0.072447	0.072779	0.073262	0.073812	0.074229	0.074513	0.074967	0.075344	0.075655	0.076083	0.076317	0.076803
region_avg	region_3	3	17487	0.064215	0.024385	0.034231	0.047142	0.049994	0.050730	0.050709	0.050952	0.051074	0.051606	0.051992	0.052335	0.052578	0.052803	0.052933	0.053097	0.053372	0.053324	0.053455	0.053598	0.053525	0.053692	0.053534	0.053714	0.053740	0.053644	0.053679	0.053892	0.053739	0.053943	0.053931	0.053911	0.053829	0.053759	0.053944	0.053831	0.053677	0.053845	0.053844	0.053574	0.053818	0.053704	0.053770	0.053676	0.053716	0.053715	0.053608	0.053700	0.053699	0.053697	0.053738	0.053775	0.053638	0.053696	0.053815	0.053718	0.053811	0.053863	0.053831	0.053567	0.053704	0.053734	0.053705	0.053757	0.053841	0.053699	0.053841	0.053783	0.053801	0.053634	0.053723	0.053703	0.053963	0.054153	0.054520	0.054932	0.055137	0.055719	0.056023	0.056663	0.057073	0.057473	0.058034	0.058568	0.059157	0.059413	0.059900	0.060387	0.061028	0.061462	0.061797	0.062282	0.062789	0.063226	0.063685	0.064296	0.064607	0.065237	0.065880	0.066109	0.066743	0.067278	0.067673	0.068087	0.068784	0.068938	0.069460	0.070053	0.070351	0.070736
region_std	region_1	1	29332	0.010956	0.003591	0.008194	0.011208	0.012519	0.013843	0.014790	0.015355	0.015664	0.015836	0.015920	0.015925	0.015945	0.015949	0.015964	0.015965	0.015928	0.015931	0.015947	0.015909	0.015947	0.015926	0.015941	0.015908	0.015959	0.015949	0.015987	0.015992	0.015999	0.015951	0.015937	0.015946	0.015938	0.015941	0.015941	0.015947	0.015962	0.015935	0.015964	0.015942	0.015954	0.015948	0.015967	0.015970	0.015959	0.015963	0.015979	0.015972	0.015968	0.015959	0.015946	0.015974	0.015933	0.015964	0.015952	0.015937	0.015971	0.015979	0.015956	0.015938	0.015965	0.015976	0.015950	0.015979	0.015972	0.015933	0.015944	0.015970	0.015952	0.015970	0.015943	0.015911	0.016010	0.016084	0.016208	0.016276	0.016403	0.016427	0.016489	0.016591	0.016676	0.016753	0.016808	0.016896	0.016965	0.017041	0.017111	0.017160	0.017233	0.017309	0.017379	0.017437	0.017479	0.017539	0.017609	0.017662	0.017731	0.017849	0.017862	0.017948	0.018004	0.018025	0.018106	0.018163	0.018259	0.018326	0.018375	0.018475	0.018501	0.018560
