stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343
region_area	region_2	2	19521	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495
region_area	region_3	3	17487	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715
region_sum	region_1	1	29332	-1175.609009	-439.980957	158.969437	487.965332	647.253845	709.244446	707.831299	676.612549	642.957642	614.996033	596.218628	560.895203	541.975159	525.059326	511.413361	496.681213	488.046814	480.945496	471.605560	460.466125	450.884399	442.497528	433.080994	421.901520	410.640533	396.500793	384.649414	372.865143	355.704224	345.379059	329.164337	317.429474	303.219482	284.340027	271.762146	255.442398	239.833603	228.207138	212.906509	194.751221	184.393967	171.190781	156.787445	144.592773	134.537064	122.612167	112.315659	102.664719	88.518066	83.062836	70.867493	65.063332	55.607044	51.157619	41.624695	35.790913	33.095154	26.573061	21.248507	15.519947	11.099029	6.794323	1.727659	1.582381	-2.748188	-2.067531	-4.048186	-9.014710	-7.884845	-12.864307	-14.783295	-16.177780	-14.011173	-17.324083	-17.855455	-19.294235	-19.484102	-19.930544	-21.063763	-21.233189	-18.851866	-18.222416	-17.456518	-17.552832	-15.096215	-14.931932	-16.025702	-13.643841	-11.119164	-12.836742	-9.262105	-9.955837	-10.047256	-6.297180	-10.256884	-8.920082	-7.679114	-6.248965	-9.818897	-6.862037	-7.783916	-6.413438	-8.406962	-4.596894	-7.966486	-4.482206	-6.169947	-5.606236	-3.357790	-5.926461
region_sum	region_2	2	19521	-526.172058	-76.095497	586.803589	828.922974	831.816895	768.092102	699.556335	650.774048	607.196838	573.901855	555.718994	521.505066	493.373749	464.963226	447.880005	434.157928	419.506287	415.688293	402.407135	395.060516	383.749634	374.916870	364.774231	356.279816	344.458496	334.396301	322.421173	311.569702	299.682709	288.988403	277.544495	263.750641	253.821350	240.968811	229.754211	213.056976	203.422150	193.049637	180.563095	167.216614	158.783905	144.807083	129.701355	124.725227	117.376442	105.840561	97.776741	91.846359	82.094452	74.505043	67.162544	61.036358	51.540462	46.911224	47.887180	37.488838	34.342739	30.074760	26.067238	22.331905	18.869017	17.726715	9.561670	9.596932	9.419566	4.349517	4.793169	1.772825	-2.591193	-4.060384	-3.422351	-1.370484	-3.733336	-7.477403	-4.700370	-8.722916	-4.187828	-7.057630	-7.034574	-10.717797	-5.639465	-6.417292	-5.534276	-5.863865	-4.196693	-1.553226	-2.016361	-1.478930	0.107620	-3.354963	0.147620	-1.456485	-1.687227	5.095838	2.073822	-0.391067	2.032669	0.931279	3.662862	5.038745	3.306098	2.110920	3.343761	1.584804	3.785997	5.894724	2.800378	3.652596	2.603263	2.082006
region_sum	region_3	3	17487	-176.361115	7.437317	301.585175	385.843750	371.477539	335.172852	302.624878	275.225342	258.731323	247.480637	238.687302	225.931107	218.395004	209.572632	208.139603	202.688995	199.042587	196.590530	191.167114	188.346405	182.968765	179.047256	178.152771	172.321335	168.070267	164.560577	158.515366	152.241501	149.980164	147.721970	139.001526	134.033493	131.293900	125.406891	115.716652	114.211372	110.232925	102.495094	96.984283	94.678566	91.534721	82.910355	78.779182	75.202164	68.931915	66.057800	64.779335	56.822605	51.528999	51.205017	45.619324	47.365620	43.848522	37.825253	35.356544	31.708647	32.052429	29.595764	25.424524	25.351044	21.982718	19.338787	17.795448	19.701231	16.808826	14.617728	13.954522	11.034505	14.509856	10.304006	9.386795	8.073256	9.205163	9.911648	7.430590	6.981668	6.497654	5.898482	4.215621	4.139490	5.224496	6.258303	2.596343	6.506146	4.862920	5.799163	1.849731	3.235788	5.763985	4.530476	4.741790	5.694309	5.031055	2.274838	7.999387	6.217660	6.398840	2.545044	7.138599	4.836514	3.573852	6.363927	5.265239	4.446667	5.878940	3.816228	3.530919	7.318194	5.851214	4.066216
region_avg	region_1	1	29332	-0.220028	-0.082347	0.029753	0.091328	0.121141	0.132743	0.132478	0.126635	0.120336	0.115103	0.111589	0.104978	0.101436	0.098271	0.095717	0.092959	0.091343	0.090014	0.088266	0.086181	0.084388	0.082818	0.081056	0.078963	0.076856	0.074209	0.071991	0.069786	0.066574	0.064641	0.061607	0.059410	0.056751	0.053217	0.050863	0.047809	0.044887	0.042711	0.039848	0.036450	0.034511	0.032040	0.029344	0.027062	0.025180	0.022948	0.021021	0.019215	0.016567	0.015546	0.013264	0.012177	0.010407	0.009575	0.007791	0.006699	0.006194	0.004973	0.003977	0.002905	0.002077	0.001272	0.000323	0.000296	-0.000514	-0.000387	-0.000758	-0.001687	-0.001476	-0.002408	-0.002767	-0.003028	-0.002622	-0.003242	-0.003342	-0.003611	-0.003647	-0.003730	-0.003942	-0.003974	-0.003528	-0.003411	-0.003267	-0.003285	-0.002825	-0.002795	-0.002999	-0.002554	-0.002081	-0.002403	-0.001734	-0.001863	-0.001880	-0.001179	-0.001920	-0.001669	-0.001437	-0.001170	-0.001838	-0.001284	-0.001457	-0.001200	-0.001573	-0.000860	-0.001491	-0.000839	-0.001155	-0.001049	-0.000628	-0.001109
region_avg	region_2	2	19521	-0.210891	-0.030499	0.235192	0.332234	0.333394	0.307853	0.280383	0.260831	0.243365	0.230021	0.222733	0.209020	0.197745	0.186358	0.179511	0.174011	0.168139	0.166609	0.161285	0.158341	0.153807	0.150267	0.146202	0.142798	0.138060	0.134027	0.129227	0.124878	0.120113	0.115827	0.111240	0.105712	0.101732	0.096581	0.092086	0.085394	0.081532	0.077375	0.072370	0.067021	0.063641	0.058039	0.051985	0.049990	0.047045	0.042421	0.039189	0.036812	0.032904	0.029862	0.026919	0.024463	0.020658	0.018802	0.019193	0.015026	0.013765	0.012054	0.010448	0.008951	0.007563	0.007105	0.003832	0.003846	0.003775	0.001743	0.001921	0.000711	-0.001039	-0.001627	-0.001372	-0.000549	-0.001496	-0.002997	-0.001884	-0.003496	-0.001678	-0.002829	-0.002819	-0.004296	-0.002260	-0.002572	-0.002218	-0.002350	-0.001682	-0.000623	-0.000808	-0.000593	0.000043	-0.001345	0.000059	-0.000584	-0.000676	0.002042	0.000831	-0.000157	0.000815	0.000373	0.001468	0.002020	0.001325	0.000846	0.001340	0.000635	0.001517	0.002363	0.001122	0.001464	0.001043	0.000834
region_avg	region_3	3	17487	-0.246659	0.010402	0.421797	0.539642	0.519549	0.468773	0.423252	0.384931	0.361862	0.346127	0.333828	0.315988	0.305448	0.293109	0.291104	0.283481	0.278381	0.274952	0.267367	0.263422	0.255900	0.250416	0.249165	0.241009	0.235063	0.230155	0.221700	0.212925	0.209762	0.206604	0.194408	0.187459	0.183628	0.175394	0.161841	0.159736	0.154172	0.143350	0.135642	0.132418	0.128021	0.115959	0.110181	0.105178	0.096408	0.092389	0.090600	0.079472	0.072069	0.071615	0.063803	0.066246	0.061327	0.052902	0.049450	0.044348	0.044829	0.041393	0.035559	0.035456	0.030745	0.027047	0.024889	0.027554	0.023509	0.020444	0.019517	0.015433	0.020294	0.014411	0.013128	0.011291	0.012874	0.013862	0.010392	0.009765	0.009088	0.008250	0.005896	0.005789	0.007307	0.008753	0.003631	0.009100	0.006801	0.008111	0.002587	0.004526	0.008062	0.006336	0.006632	0.007964	0.007036	0.003182	0.011188	0.008696	0.008949	0.003560	0.009984	0.006764	0.004998	0.008901	0.007364	0.006219	0.008222	0.005337	0.004938	0.010235	0.008184	0.005687
region_std	region_1	1	29332	0.191413	0.226776	0.264436	0.234227	0.190297	0.155942	0.136136	0.124776	0.118571	0.112876	0.110115	0.102015	0.097728	0.092111	0.088071	0.084401	0.082531	0.080220	0.078050	0.075975	0.074580	0.072206	0.071239	0.069156	0.067048	0.064906	0.063578	0.061494	0.058952	0.057375	0.054655	0.053385	0.051439	0.048615	0.046549	0.044139	0.041727	0.040626	0.038602	0.036299	0.035069	0.033331	0.031464	0.031024	0.029727	0.028002	0.027708	0.026267	0.025126	0.024645	0.024508	0.023866	0.022991	0.022359	0.022800	0.022009	0.022167	0.021937	0.023546	0.024747	0.025480	0.022181	0.020370	0.020651	0.020908	0.020287	0.020583	0.020597	0.019945	0.020289	0.020524	0.020857	0.021736	0.023448	0.025052	0.026079	0.025705	0.023592	0.023379	0.024269	0.024549	0.024333	0.023026	0.021850	0.021170	0.020583	0.020142	0.019680	0.019660	0.019725	0.019810	0.020078	0.020396	0.021190	0.022044	0.023070	0.024533	0.025960	0.025685	0.025421	0.025938	0.026195	0.025121	0.022810	0.021925	0.021030	0.020402	0.020880	0.020061	0.020001
