stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343
region_area	region_2	2	19521	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495
region_area	region_3	3	17487	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715
region_sum	region_1	1	29332	-1148.399292	-430.222290	165.326950	493.139038	652.457458	715.025391	714.139160	683.389099	650.156250	622.564758	604.138672	569.125671	550.506592	533.897522	520.532349	506.014130	497.620361	490.751678	481.586212	470.594269	461.145905	452.875732	443.572266	432.468628	421.256226	407.125732	395.294281	383.487000	366.272278	355.904297	339.599487	327.782135	313.468994	294.368256	281.694641	265.137543	249.357697	237.540024	222.045181	203.558929	193.052933	179.621063	164.892105	152.512222	142.267563	130.139374	119.613747	109.767021	95.360115	89.833450	77.425644	71.497604	61.892857	57.360279	47.698021	41.751995	39.036495	32.387878	27.023626	21.212078	16.748064	12.357818	7.204074	7.084981	2.730357	3.387365	1.419031	-3.609879	-2.483196	-7.521865	-9.451581	-10.855439	-8.673888	-12.016096	-12.553057	-13.980436	-14.169119	-14.623347	-15.787482	-15.942997	-13.540473	-12.923048	-12.116155	-12.213900	-9.720124	-9.567889	-10.680967	-8.298438	-5.761714	-7.451615	-3.832958	-4.538486	-4.632647	-0.799175	-4.812340	-3.502071	-2.210092	-0.777995	-4.379715	-1.361612	-2.296430	-0.935490	-2.938059	0.913817	-2.492947	1.018260	-0.710770	-0.098962	2.151358	-0.469553
region_sum	region_2	2	19521	-517.575195	-72.703697	590.163330	832.858826	836.547302	773.592773	705.747681	657.581970	614.536499	581.701111	563.959717	530.127319	502.324829	474.219116	457.428284	443.972321	429.531403	425.952332	412.872070	405.672882	394.513214	385.781311	375.741119	367.334320	355.543060	345.475830	333.477966	322.601257	310.610443	299.812469	288.269592	274.314575	264.232727	251.180878	239.800949	222.810669	212.953384	202.386047	189.630310	175.898285	167.299316	153.022461	137.527740	132.415421	124.878914	113.078278	104.839317	98.706741	88.718071	80.952408	73.377235	67.104507	57.377121	52.616417	53.674488	43.003719	39.748875	35.437393	31.307594	27.550615	24.000826	22.812180	14.497690	14.585152	14.364890	9.230012	9.649467	6.585737	2.140359	0.697591	1.290271	3.375072	0.976570	-2.829589	-0.023389	-4.094150	0.478820	-2.389730	-2.396501	-6.129790	-0.984834	-1.743090	-0.857250	-1.216509	0.491052	3.247835	2.711195	3.267836	4.890598	1.367523	4.953701	3.333097	3.087595	9.959612	6.900386	4.373857	6.870392	5.743433	8.509927	9.951847	8.128081	6.937783	8.183084	6.429700	8.681877	10.750937	7.643693	8.540058	7.447303	6.912214
region_sum	region_3	3	17487	-173.643646	8.537231	302.874329	387.472015	373.466064	337.483276	305.226227	278.085754	261.829834	250.802475	242.211792	229.639679	222.281235	213.609467	212.336075	207.010986	203.495407	201.168625	195.844711	193.126785	187.836502	183.982285	183.182159	177.415329	173.226395	169.771484	163.759476	157.473297	155.286301	153.065247	144.341766	139.320221	136.591354	130.725479	120.918831	119.436028	115.430809	107.611031	101.993446	99.699928	96.465378	87.690880	83.485016	79.802322	73.432396	70.454781	69.181923	60.975616	55.473026	55.186203	49.451195	51.241051	47.642902	41.415836	38.803745	35.075748	35.425789	32.896778	28.557400	28.470013	25.009876	22.239992	20.705612	22.649614	19.656250	17.364710	16.733685	13.672332	17.297403	12.967981	11.995506	10.666517	11.836549	12.538878	9.975047	9.516854	9.010853	8.439318	6.689099	6.622133	7.695933	8.797555	5.042266	9.093387	7.315326	8.291325	4.255545	5.700604	8.267756	6.949554	7.253011	8.210541	7.480086	4.701342	10.589914	8.705685	8.895815	4.993985	9.735569	7.365695	6.026237	8.941752	7.804185	6.938004	8.369688	6.256880	5.948122	9.877244	8.349055	6.563538
region_avg	region_1	1	29332	-0.214935	-0.080521	0.030943	0.092296	0.122114	0.133825	0.133659	0.127904	0.121684	0.116520	0.113071	0.106518	0.103033	0.099925	0.097423	0.094706	0.093135	0.091849	0.090134	0.088077	0.086308	0.084761	0.083019	0.080941	0.078843	0.076198	0.073984	0.071774	0.068552	0.066611	0.063560	0.061348	0.058669	0.055094	0.052722	0.049623	0.046670	0.044458	0.041558	0.038098	0.036132	0.033618	0.030861	0.028544	0.026627	0.024357	0.022387	0.020544	0.017848	0.016813	0.014491	0.013382	0.011584	0.010736	0.008927	0.007814	0.007306	0.006062	0.005058	0.003970	0.003135	0.002313	0.001348	0.001326	0.000511	0.000634	0.000266	-0.000676	-0.000465	-0.001408	-0.001769	-0.002032	-0.001623	-0.002249	-0.002349	-0.002617	-0.002652	-0.002737	-0.002955	-0.002984	-0.002534	-0.002419	-0.002268	-0.002286	-0.001819	-0.001791	-0.001999	-0.001553	-0.001078	-0.001395	-0.000717	-0.000849	-0.000867	-0.000150	-0.000901	-0.000655	-0.000414	-0.000146	-0.000820	-0.000255	-0.000430	-0.000175	-0.000550	0.000171	-0.000467	0.000191	-0.000133	-0.000019	0.000403	-0.000088
region_avg	region_2	2	19521	-0.207445	-0.029140	0.236538	0.333811	0.335290	0.310057	0.282865	0.263560	0.246307	0.233147	0.226036	0.212476	0.201333	0.190068	0.183338	0.177945	0.172157	0.170722	0.165480	0.162594	0.158122	0.154622	0.150598	0.147228	0.142502	0.138467	0.133658	0.129299	0.124493	0.120165	0.115539	0.109946	0.105905	0.100674	0.096113	0.089303	0.085352	0.081117	0.076004	0.070500	0.067054	0.061332	0.055121	0.053072	0.050052	0.045322	0.042020	0.039562	0.035558	0.032446	0.029410	0.026896	0.022997	0.021089	0.021513	0.017236	0.015931	0.014203	0.012548	0.011042	0.009620	0.009143	0.005811	0.005846	0.005757	0.003699	0.003868	0.002640	0.000858	0.000280	0.000517	0.001353	0.000391	-0.001134	-0.000009	-0.001641	0.000192	-0.000958	-0.000961	-0.002457	-0.000395	-0.000699	-0.000344	-0.000488	0.000197	0.001302	0.001087	0.001310	0.001960	0.000548	0.001985	0.001336	0.001238	0.003992	0.002766	0.001753	0.002754	0.002302	0.003411	0.003989	0.003258	0.002781	0.003280	0.002577	0.003480	0.004309	0.003064	0.003423	0.002985	0.002770
region_avg	region_3	3	17487	-0.242858	0.011940	0.423600	0.541919	0.522330	0.472005	0.426890	0.388931	0.366196	0.350773	0.338758	0.321174	0.310883	0.298755	0.296974	0.289526	0.284609	0.281355	0.273909	0.270107	0.262708	0.257318	0.256199	0.248133	0.242275	0.237443	0.229034	0.220242	0.217184	0.214077	0.201877	0.194853	0.191037	0.182833	0.169117	0.167043	0.161442	0.150505	0.142648	0.139440	0.134917	0.122645	0.116762	0.111612	0.102703	0.098538	0.096758	0.085281	0.077585	0.077183	0.069163	0.071666	0.066633	0.057924	0.054271	0.049057	0.049547	0.046009	0.039940	0.039818	0.034979	0.031105	0.028959	0.031678	0.027491	0.024286	0.023404	0.019122	0.024192	0.018137	0.016777	0.014918	0.016555	0.017537	0.013951	0.013310	0.012603	0.011803	0.009355	0.009262	0.010764	0.012304	0.007052	0.012718	0.010231	0.011596	0.005952	0.007973	0.011563	0.009720	0.010144	0.011483	0.010462	0.006575	0.014811	0.012176	0.012442	0.006985	0.013616	0.010302	0.008428	0.012506	0.010915	0.009704	0.011706	0.008751	0.008319	0.013814	0.011677	0.009180
region_std	region_1	1	29332	0.190990	0.226824	0.264743	0.234734	0.190960	0.156692	0.136970	0.125692	0.119576	0.113959	0.111266	0.103251	0.099027	0.093470	0.089488	0.085867	0.084046	0.081780	0.079646	0.077606	0.076245	0.073903	0.072964	0.070909	0.068814	0.066689	0.065368	0.063288	0.060758	0.059179	0.056454	0.055169	0.053216	0.050361	0.048285	0.045824	0.043373	0.042229	0.040162	0.037776	0.036491	0.034692	0.032701	0.032250	0.030862	0.029099	0.028716	0.027214	0.025964	0.025492	0.025255	0.024556	0.023647	0.022994	0.023379	0.022532	0.022692	0.022386	0.023954	0.025103	0.025798	0.022506	0.020670	0.020973	0.021199	0.020577	0.020890	0.020867	0.020207	0.020513	0.020742	0.021087	0.021951	0.023632	0.025216	0.026253	0.025888	0.023783	0.023557	0.024443	0.024734	0.024490	0.023224	0.022063	0.021407	0.020830	0.020364	0.019900	0.019874	0.019991	0.020098	0.020336	0.020661	0.021500	0.022316	0.023292	0.024790	0.026194	0.025913	0.025684	0.026193	0.026418	0.025372	0.023090	0.022196	0.021330	0.020694	0.021196	0.020383	0.020282
