stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343
region_area	region_2	2	19521	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495
region_area	region_3	3	17487	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715
region_sum	region_1	1	29332	2.504422	10.771277	26.125267	47.423042	71.960770	97.901855	123.853691	148.846298	172.401077	194.388916	214.846817	233.862320	251.544907	268.031738	283.413696	297.714264	311.016663	323.437500	335.030029	345.818817	355.859711	365.232056	373.991516	382.168365	389.808441	396.929077	403.561218	409.765533	415.537262	420.926361	425.973999	430.700531	435.142731	439.271362	443.129822	446.748535	450.125946	453.300323	456.290375	459.056335	461.650085	464.106873	466.407227	468.569458	470.607697	472.524292	474.338776	476.065826	477.664612	479.167023	480.574524	481.895020	483.138885	484.317108	485.420044	486.439056	487.424316	488.370453	489.260040	490.084686	490.845245	491.550232	492.182373	492.779602	493.343872	493.879089	494.407623	494.883026	495.332794	495.750031	496.116699	496.456421	496.805664	497.147278	497.461914	497.757477	498.030243	498.283844	498.507141	498.710907	498.907501	499.104675	499.286591	499.440063	499.585358	499.720581	499.820709	499.911560	500.023926	500.117523	500.199585	500.288208	500.367676	500.460754	500.533600	500.592102	500.661163	500.743073	500.805634	500.851746	500.906219	500.962738	501.001740	501.038513	501.065765	501.100281	501.142334	501.168732	501.199402	501.234009
region_sum	region_2	2	19521	1.615912	7.531680	21.617809	43.249683	67.351646	91.442581	114.479065	136.093307	156.168747	174.669708	191.741852	207.518982	222.040359	235.384537	247.695633	259.054718	269.509369	279.184052	288.150330	296.441254	304.114777	311.224396	317.827881	323.970367	329.674683	334.975342	339.898865	344.476135	348.730621	352.696350	356.407806	359.865662	363.102722	366.134796	368.982208	371.627380	374.095886	376.441101	378.652985	380.715729	382.668671	384.495911	386.158051	387.723969	389.241150	390.672089	392.001343	393.279663	394.494263	395.617889	396.680115	397.693085	398.622467	399.479370	400.335449	401.140594	401.878052	402.590698	403.260834	403.884064	404.472595	405.044189	405.561249	406.037659	406.509521	406.955200	407.375183	407.772797	408.130096	408.447052	408.744019	409.048523	409.340546	409.590027	409.827393	410.047729	410.266724	410.485046	410.679230	410.836334	410.982788	411.147095	411.296783	411.412781	411.519562	411.648743	411.775238	411.891693	412.016937	412.116730	412.201508	412.285889	412.345245	412.430084	412.531372	412.596588	412.641327	412.675873	412.724945	412.795563	412.864502	412.914520	412.954010	412.996155	413.036316	413.094574	413.155975	413.185608	413.199829	413.209076
region_sum	region_3	3	17487	0.741788	3.475815	9.997545	19.752821	30.258879	40.557087	50.324482	59.442257	67.900116	75.754654	83.041740	89.791740	96.038864	101.819992	107.198730	112.199524	116.833382	121.151566	125.161415	128.877579	132.330978	135.527069	138.517853	141.314301	143.907715	146.329315	148.579590	150.652969	152.586639	154.424286	156.133926	157.701752	159.187515	160.588638	161.860672	163.047791	164.183502	165.238434	166.206284	167.128891	168.011993	168.827591	169.587296	170.308838	170.980011	171.609360	172.221054	172.778351	173.284546	173.775482	174.230423	174.678696	175.119888	175.517853	175.888565	176.242126	176.589798	176.924377	177.223999	177.527023	177.815552	178.072678	178.313980	178.549194	178.782837	178.992050	179.191574	179.368988	179.554031	179.733337	179.892288	180.035278	180.177429	180.326355	180.468399	180.600128	180.715057	180.825470	180.926544	181.017670	181.104355	181.191635	181.254410	181.318375	181.392303	181.463776	181.499695	181.521759	181.564606	181.610016	181.642609	181.673981	181.713455	181.734695	181.762817	181.802109	181.845520	181.863266	181.882095	181.910278	181.914581	181.935364	181.963547	181.970535	181.983063	181.994720	181.998077	182.023300	182.055725	182.072174
region_avg	region_1	1	29332	0.000469	0.002016	0.004890	0.008876	0.013468	0.018323	0.023181	0.027858	0.032267	0.036382	0.040211	0.043770	0.047079	0.050165	0.053044	0.055720	0.058210	0.060535	0.062704	0.064724	0.066603	0.068357	0.069997	0.071527	0.072957	0.074290	0.075531	0.076692	0.077772	0.078781	0.079726	0.080610	0.081442	0.082214	0.082937	0.083614	0.084246	0.084840	0.085400	0.085917	0.086403	0.086863	0.087293	0.087698	0.088079	0.088438	0.088778	0.089101	0.089400	0.089681	0.089945	0.090192	0.090425	0.090645	0.090852	0.091042	0.091227	0.091404	0.091570	0.091725	0.091867	0.091999	0.092117	0.092229	0.092335	0.092435	0.092534	0.092623	0.092707	0.092785	0.092854	0.092917	0.092983	0.093046	0.093105	0.093161	0.093212	0.093259	0.093301	0.093339	0.093376	0.093413	0.093447	0.093476	0.093503	0.093528	0.093547	0.093564	0.093585	0.093602	0.093618	0.093634	0.093649	0.093667	0.093680	0.093691	0.093704	0.093719	0.093731	0.093740	0.093750	0.093761	0.093768	0.093775	0.093780	0.093786	0.093794	0.093799	0.093805	0.093811
region_avg	region_2	2	19521	0.000648	0.003019	0.008664	0.017335	0.026995	0.036650	0.045883	0.054546	0.062593	0.070008	0.076850	0.083174	0.088994	0.094342	0.099277	0.103830	0.108020	0.111897	0.115491	0.118814	0.121890	0.124739	0.127386	0.129848	0.132134	0.134259	0.136232	0.138067	0.139772	0.141361	0.142849	0.144235	0.145532	0.146747	0.147889	0.148949	0.149938	0.150878	0.151765	0.152591	0.153374	0.154107	0.154773	0.155400	0.156008	0.156582	0.157115	0.157627	0.158114	0.158564	0.158990	0.159396	0.159769	0.160112	0.160455	0.160778	0.161073	0.161359	0.161628	0.161877	0.162113	0.162342	0.162550	0.162741	0.162930	0.163108	0.163277	0.163436	0.163579	0.163706	0.163825	0.163947	0.164064	0.164164	0.164259	0.164348	0.164436	0.164523	0.164601	0.164664	0.164723	0.164788	0.164848	0.164895	0.164938	0.164989	0.165040	0.165087	0.165137	0.165177	0.165211	0.165245	0.165269	0.165303	0.165343	0.165369	0.165387	0.165401	0.165421	0.165449	0.165477	0.165497	0.165513	0.165530	0.165546	0.165569	0.165594	0.165605	0.165611	0.165615
region_avg	region_3	3	17487	0.001037	0.004861	0.013983	0.027626	0.042320	0.056723	0.070384	0.083136	0.094965	0.105951	0.116142	0.125583	0.134320	0.142406	0.149928	0.156922	0.163403	0.169443	0.175051	0.180248	0.185078	0.189548	0.193731	0.197642	0.201270	0.204656	0.207804	0.210703	0.213408	0.215978	0.218369	0.220562	0.222640	0.224599	0.226379	0.228039	0.229627	0.231103	0.232456	0.233747	0.234982	0.236123	0.237185	0.238194	0.239133	0.240013	0.240869	0.241648	0.242356	0.243043	0.243679	0.244306	0.244923	0.245480	0.245998	0.246492	0.246979	0.247447	0.247866	0.248290	0.248693	0.249053	0.249390	0.249719	0.250046	0.250339	0.250618	0.250866	0.251125	0.251375	0.251598	0.251798	0.251996	0.252205	0.252403	0.252588	0.252748	0.252903	0.253044	0.253172	0.253293	0.253415	0.253503	0.253592	0.253696	0.253796	0.253846	0.253877	0.253936	0.254000	0.254046	0.254089	0.254145	0.254174	0.254214	0.254269	0.254329	0.254354	0.254381	0.254420	0.254426	0.254455	0.254494	0.254504	0.254522	0.254538	0.254543	0.254578	0.254623	0.254646
region_std	region_1	1	29332	0.000253	0.001858	0.005323	0.009537	0.013640	0.017373	0.020733	0.023808	0.026667	0.029336	0.031830	0.034168	0.036356	0.038405	0.040325	0.042110	0.043772	0.045327	0.046778	0.048129	0.049393	0.050574	0.051679	0.052715	0.053679	0.054575	0.055411	0.056192	0.056917	0.057594	0.058227	0.058818	0.059376	0.059897	0.060383	0.060837	0.061260	0.061659	0.062039	0.062392	0.062725	0.063044	0.063338	0.063618	0.063884	0.064139	0.064381	0.064613	0.064828	0.065033	0.065230	0.065416	0.065587	0.065753	0.065911	0.066058	0.066201	0.066339	0.066467	0.066588	0.066703	0.066805	0.066899	0.066989	0.067076	0.067159	0.067242	0.067319	0.067390	0.067454	0.067511	0.067567	0.067621	0.067667	0.067708	0.067749	0.067791	0.067829	0.067863	0.067896	0.067935	0.067965	0.067989	0.068011	0.068033	0.068056	0.068073	0.068089	0.068098	0.068107	0.068123	0.068135	0.068146	0.068160	0.068170	0.068174	0.068184	0.068193	0.068200	0.068211	0.068223	0.068229	0.068233	0.068240	0.068241	0.068244	0.068250	0.068254	0.068260	0.068261
