stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343
region_area	region_2	2	19521	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495
region_area	region_3	3	17487	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715
region_sum	region_1	1	29332	0.026180	0.123993	0.446002	1.221030	2.705294	5.150278	8.778408	13.767595	20.247562	28.301977	37.972176	49.259720	62.130394	76.518394	92.328819	109.438065	127.700592	146.956482	167.032028	187.742065	208.897675	230.309616	251.793945	273.171265	294.273804	314.941406	335.030548	354.414337	372.980957	390.635406	407.308990	422.942963	437.502899	450.959381	463.310059	474.559326	484.729187	493.847778	501.961884	509.112640	515.354126	520.747131	525.358032	529.245850	532.478333	535.118286	537.229614	538.873474	540.102234	540.968628	541.521118	541.803711	541.859802	541.725037	541.435486	541.012756	540.492554	539.898376	539.248840	538.554504	537.829712	537.081238	536.315857	535.541626	534.766968	533.998718	533.247009	532.510498	531.790710	531.088440	530.398132	529.723389	529.070557	528.443420	527.839172	520.319641	514.746887	510.631104	507.600586	505.377899	503.760132	502.596680	501.769135	501.186493	500.786865	500.520020	500.346008	500.237122	500.182861	500.166656	500.174713	500.203827	500.244568	500.297607	500.357758	500.415924	500.477539	500.543854	500.609863	500.669037	500.728760	500.787537	500.841034	500.890472	500.933716	500.975067	501.017426	501.055725	501.091278	501.126984
region_sum	region_2	2	19521	0.014171	0.078458	0.333081	1.016329	2.375999	4.632535	7.967691	12.522640	18.397346	25.650585	34.305637	44.352940	55.748753	68.420128	82.271004	97.184120	113.023285	129.641403	146.882523	164.583694	182.580185	200.708176	218.810562	236.737183	254.345642	271.507690	288.104919	304.036926	319.215729	333.571350	347.049927	359.612610	371.234070	381.905914	391.630249	400.419678	408.295807	415.295593	421.461365	426.834869	431.470459	435.417084	438.724274	441.447113	443.649017	445.384460	446.703369	447.659698	448.302490	448.670349	448.805634	448.746368	448.521057	448.156708	447.688019	447.139008	446.524170	445.864136	445.173462	444.460205	443.737335	443.014496	442.295013	441.580688	440.881012	440.199982	439.539001	438.899750	438.276062	437.668152	437.075195	436.505188	435.957001	435.425690	434.910645	428.694702	424.087708	420.687317	418.185181	416.347931	415.007019	414.041870	413.355347	412.870422	412.532257	412.310730	412.177734	412.106598	412.083344	412.092255	412.119385	412.160950	412.206848	412.262573	412.329620	412.396942	412.457764	412.512329	412.565430	412.622986	412.683411	412.740021	412.794434	412.844940	412.892456	412.943481	412.996307	413.044067	413.082977	413.114685
region_sum	region_3	3	17487	0.005019	0.033176	0.149408	0.460590	1.072375	2.076544	3.548422	5.545843	8.109697	11.265604	15.023964	19.380491	24.317387	29.804729	35.803368	42.264679	49.131817	56.343086	63.831776	71.527725	79.360306	87.258308	95.154396	102.984406	110.685738	118.202286	125.482475	132.479126	139.154236	145.479721	151.429947	156.983688	162.132019	166.870224	171.193619	175.107422	178.624237	181.756271	184.517868	186.930710	189.018387	190.801849	192.303909	193.550217	194.563705	195.367508	195.988312	196.444763	196.754379	196.939911	197.018082	197.009094	196.930771	196.792053	196.604019	196.377777	196.124664	195.853653	195.566391	195.273376	194.978134	194.680664	194.383652	194.091095	193.806915	193.529312	193.259537	192.995422	192.742203	192.500092	192.266266	192.038635	191.819839	191.612518	191.415665	188.711777	186.712540	185.240845	184.162064	183.376068	182.808228	182.404083	182.116669	181.917007	181.785858	181.705399	181.653854	181.620895	181.606735	181.607666	181.616180	181.630661	181.651428	181.672226	181.694946	181.721649	181.752747	181.780380	181.805649	181.831802	181.852402	181.873138	181.895767	181.914337	181.931625	181.947327	181.960037	181.975830	181.995773	182.014801
region_avg	region_1	1	29332	0.000005	0.000023	0.000083	0.000229	0.000506	0.000964	0.001643	0.002577	0.003790	0.005297	0.007107	0.009219	0.011628	0.014321	0.017280	0.020483	0.023901	0.027504	0.031262	0.035138	0.039097	0.043105	0.047126	0.051127	0.055077	0.058945	0.062705	0.066332	0.069807	0.073112	0.076232	0.079158	0.081883	0.084402	0.086713	0.088819	0.090722	0.092429	0.093948	0.095286	0.096454	0.097463	0.098326	0.099054	0.099659	0.100153	0.100548	0.100856	0.101086	0.101248	0.101352	0.101404	0.101415	0.101390	0.101335	0.101256	0.101159	0.101048	0.100926	0.100796	0.100661	0.100521	0.100377	0.100232	0.100087	0.099944	0.099803	0.099665	0.099530	0.099399	0.099270	0.099143	0.099021	0.098904	0.098791	0.097383	0.096340	0.095570	0.095003	0.094587	0.094284	0.094066	0.093911	0.093802	0.093728	0.093678	0.093645	0.093625	0.093615	0.093612	0.093613	0.093619	0.093626	0.093636	0.093647	0.093658	0.093670	0.093682	0.093695	0.093706	0.093717	0.093728	0.093738	0.093747	0.093755	0.093763	0.093771	0.093778	0.093785	0.093791
region_avg	region_2	2	19521	0.000006	0.000031	0.000133	0.000407	0.000952	0.001857	0.003193	0.005019	0.007374	0.010281	0.013750	0.017777	0.022344	0.027423	0.032974	0.038952	0.045300	0.051960	0.058871	0.065965	0.073178	0.080444	0.087700	0.094885	0.101942	0.108821	0.115473	0.121858	0.127942	0.133696	0.139098	0.144133	0.148791	0.153068	0.156966	0.160489	0.163646	0.166451	0.168922	0.171076	0.172934	0.174516	0.175841	0.176933	0.177815	0.178511	0.179039	0.179423	0.179680	0.179828	0.179882	0.179858	0.179768	0.179622	0.179434	0.179214	0.178968	0.178703	0.178426	0.178140	0.177851	0.177561	0.177273	0.176986	0.176706	0.176433	0.176168	0.175912	0.175662	0.175418	0.175180	0.174952	0.174732	0.174519	0.174313	0.171822	0.169975	0.168612	0.167609	0.166873	0.166335	0.165949	0.165673	0.165479	0.165344	0.165255	0.165202	0.165173	0.165164	0.165167	0.165178	0.165195	0.165213	0.165236	0.165262	0.165289	0.165314	0.165336	0.165357	0.165380	0.165404	0.165427	0.165449	0.165469	0.165488	0.165508	0.165530	0.165549	0.165564	0.165577
region_avg	region_3	3	17487	0.000007	0.000046	0.000209	0.000644	0.001500	0.002904	0.004963	0.007756	0.011342	0.015756	0.021013	0.027106	0.034010	0.041685	0.050075	0.059111	0.068716	0.078802	0.089275	0.100039	0.110993	0.122040	0.133083	0.144034	0.154805	0.165318	0.175500	0.185285	0.194621	0.203468	0.211790	0.219558	0.226758	0.233385	0.239432	0.244905	0.249824	0.254205	0.258067	0.261442	0.264361	0.266856	0.268957	0.270700	0.272117	0.273241	0.274110	0.274748	0.275181	0.275440	0.275550	0.275537	0.275428	0.275234	0.274971	0.274654	0.274300	0.273921	0.273519	0.273110	0.272697	0.272281	0.271865	0.271456	0.271059	0.270670	0.270293	0.269924	0.269570	0.269231	0.268904	0.268586	0.268279	0.267990	0.267714	0.263933	0.261136	0.259078	0.257569	0.256470	0.255676	0.255111	0.254709	0.254429	0.254246	0.254133	0.254061	0.254015	0.253995	0.253997	0.254009	0.254029	0.254058	0.254087	0.254119	0.254156	0.254200	0.254238	0.254274	0.254310	0.254339	0.254368	0.254400	0.254426	0.254450	0.254472	0.254490	0.254512	0.254540	0.254566
region_std	region_1	1	29332	0.000001	0.000014	0.000074	0.000224	0.000504	0.000941	0.001557	0.002370	0.003392	0.004629	0.006085	0.007756	0.009636	0.011714	0.013975	0.016401	0.018971	0.021662	0.024450	0.027309	0.030215	0.033141	0.036063	0.038958	0.041803	0.044578	0.047263	0.049843	0.052303	0.054633	0.056822	0.058865	0.060758	0.062500	0.064088	0.065528	0.066819	0.067971	0.068986	0.069875	0.070643	0.071302	0.071857	0.072319	0.072697	0.072999	0.073236	0.073414	0.073540	0.073623	0.073669	0.073682	0.073669	0.073634	0.073581	0.073515	0.073437	0.073353	0.073263	0.073170	0.073074	0.072977	0.072877	0.072777	0.072679	0.072583	0.072490	0.072400	0.072312	0.072226	0.072142	0.072060	0.071980	0.071903	0.071825	0.070806	0.070052	0.069496	0.069087	0.068790	0.068576	0.068423	0.068314	0.068238	0.068187	0.068154	0.068134	0.068122	0.068116	0.068114	0.068116	0.068120	0.068127	0.068135	0.068143	0.068151	0.068159	0.068167	0.068175	0.068185	0.068194	0.068202	0.068210	0.068217	0.068223	0.068228	0.068233	0.068238	0.068244	0.068248
