stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343
region_area	region_2	2	19521	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495
region_area	region_3	3	17487	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715
region_sum	region_1	1	29332	26058.654297	26732.115234	26733.347656	26736.289062	26748.824219	26764.857422	26802.458984	26867.373047	26944.750000	27023.882812	27121.216797	27192.242188	27249.361328	27292.414062	27326.537109	27355.492188	27380.759766	27404.134766	27426.916016	27449.843750	27474.046875	27499.412109	27526.671875	27556.103516	27587.541016	27621.953125	27658.740234	27698.177734	27740.246094	27784.974609	27831.550781	27880.517578	27932.093750	27985.443359	28040.322266	28095.824219	28152.615234	28210.173828	28268.312500	28326.617188	28384.898438	28442.783203	28500.539062	28557.617188	28614.416016	28670.550781	28725.167969	28779.128906	28831.500000	28882.470703	28931.929688	28979.507812	29025.443359	29069.859375	29112.896484	29154.082031	29193.416016	29231.035156	29266.921875	29301.179688	29333.720703	29364.904297	29394.644531	29423.255859	29450.341797	29476.574219	29501.648438	29526.070312	29549.220703	29571.128906	29591.464844	29610.533203	29628.492188	29645.386719	29661.363281	29676.544922	29690.882812	29704.656250	29717.320312	29728.351562	29738.779297	29748.046875	29757.197266	29765.771484	29773.722656	29781.308594	29788.193359	29794.367188	29800.482422	29806.359375	29812.158203	29817.566406	29822.357422	29827.179688	29831.783203	29835.640625	29839.119141	29842.101562	29845.189453	29848.394531	29850.982422	29853.556641	29856.685547	29860.029297	29863.302734	29866.691406	29869.992188	29873.517578	29877.580078	29880.585938
region_sum	region_2	2	19521	22176.427734	22522.849609	22523.925781	22525.906250	22531.359375	22541.205078	22569.306641	22626.244141	22702.193359	22785.570312	22924.015625	23032.824219	23124.560547	23193.623047	23249.507812	23297.056641	23338.015625	23375.718750	23410.771484	23444.332031	23477.367188	23509.857422	23542.685547	23576.513672	23611.556641	23648.718750	23687.238281	23727.689453	23770.460938	23815.082031	23861.585938	23910.048828	23960.638672	24012.548828	24066.005859	24120.212891	24175.228516	24230.984375	24286.986328	24343.453125	24400.580078	24457.646484	24513.585938	24569.062500	24624.130859	24678.876953	24733.220703	24786.574219	24839.189453	24891.005859	24941.666016	24990.273438	25037.529297	25083.289062	25128.359375	25171.464844	25213.888672	25254.681641	25294.160156	25331.677734	25368.138672	25402.900391	25436.060547	25467.544922	25497.535156	25526.033203	25553.947266	25580.416016	25605.591797	25629.228516	25652.373047	25675.109375	25697.330078	25718.902344	25739.582031	25759.556641	25778.615234	25796.976562	25814.642578	25831.083984	25846.322266	25860.734375	25874.753906	25888.294922	25900.984375	25913.210938	25925.169922	25936.552734	25947.445312	25957.574219	25967.599609	25976.820312	25985.529297	25994.927734	26003.992188	26012.923828	26021.863281	26030.402344	26038.902344	26047.154297	26055.486328	26063.685547	26071.734375	26078.759766	26086.320312	26093.935547	26101.261719	26109.384766	26116.837891	26124.130859
region_sum	region_3	3	17487	13657.871094	13817.301758	13817.632812	13818.365234	13819.658203	13821.718750	13824.768555	13828.605469	13832.766602	13837.306641	13893.713867	13940.403320	13980.931641	14015.506836	14046.991211	14076.549805	14104.590820	14131.579102	14158.195312	14184.092773	14209.979492	14235.629883	14261.866211	14288.693359	14315.873047	14343.905273	14373.176758	14403.028320	14433.713867	14465.423828	14498.266602	14531.998047	14566.530273	14602.307617	14638.543945	14675.310547	14712.522461	14750.514648	14788.989258	14827.693359	14867.049805	14906.586914	14946.038086	14985.458008	15024.633789	15063.223633	15101.736328	15140.375000	15177.895508	15214.155273	15250.284180	15285.576172	15321.087891	15355.733398	15389.445312	15421.670898	15452.882812	15483.541992	15513.903320	15542.641602	15570.190430	15597.258789	15623.331055	15648.824219	15673.742188	15697.803711	15720.776367	15742.794922	15764.214844	15785.105469	15805.168945	15824.415039	15843.043945	15861.180664	15878.680664	15896.066406	15912.794922	15928.777344	15943.900391	15958.057617	15971.876953	15985.218750	15998.100586	16010.118164	16021.805664	16033.335938	16043.909180	16053.877930	16063.537109	16072.723633	16081.750000	16090.625977	16098.842773	16106.811523	16114.909180	16122.971680	16130.884766	16138.549805	16145.775391	16152.818359	16159.893555	16166.700195	16173.262695	16179.994141	16186.513672	16192.953125	16198.744141	16204.403320	16210.567383	16216.655273
region_avg	region_1	1	29332	4.877158	5.003203	5.003434	5.003984	5.006330	5.009331	5.016369	5.028518	5.043000	5.057811	5.076028	5.089321	5.100011	5.108069	5.114456	5.119875	5.124604	5.128979	5.133243	5.137534	5.142064	5.146811	5.151913	5.157422	5.163305	5.169746	5.176631	5.184012	5.191886	5.200257	5.208974	5.218139	5.227792	5.237777	5.248048	5.258436	5.269065	5.279838	5.290719	5.301631	5.312540	5.323373	5.334183	5.344866	5.355496	5.366003	5.376225	5.386324	5.396126	5.405665	5.414922	5.423827	5.432425	5.440737	5.448792	5.456501	5.463862	5.470903	5.477620	5.484031	5.490122	5.495958	5.501524	5.506879	5.511949	5.516859	5.521551	5.526122	5.530455	5.534555	5.538362	5.541930	5.545291	5.548453	5.551444	5.554285	5.556969	5.559546	5.561916	5.563981	5.565933	5.567667	5.569380	5.570985	5.572473	5.573893	5.575181	5.576337	5.577481	5.578581	5.579667	5.580679	5.581575	5.582478	5.583340	5.584062	5.584713	5.585271	5.585849	5.586449	5.586933	5.587415	5.588000	5.588626	5.589239	5.589873	5.590491	5.591151	5.591911	5.592474
region_avg	region_2	2	19521	8.888348	9.027194	9.027626	9.028419	9.030605	9.034551	9.045815	9.068635	9.099075	9.132493	9.187983	9.231593	9.268361	9.296041	9.318440	9.337498	9.353914	9.369025	9.383075	9.396526	9.409766	9.422789	9.435946	9.449505	9.463550	9.478444	9.493883	9.510096	9.527239	9.545123	9.563762	9.583186	9.603462	9.624269	9.645694	9.667420	9.689470	9.711818	9.734263	9.756895	9.779792	9.802664	9.825085	9.847320	9.869391	9.891334	9.913115	9.934499	9.955587	9.976355	9.996659	10.016142	10.035082	10.053423	10.071486	10.088763	10.105767	10.122117	10.137940	10.152977	10.167591	10.181523	10.194814	10.207433	10.219453	10.230875	10.242063	10.252672	10.262762	10.272236	10.281512	10.290625	10.299531	10.308177	10.316465	10.324471	10.332110	10.339470	10.346550	10.353140	10.359247	10.365024	10.370643	10.376070	10.381156	10.386057	10.390850	10.395411	10.399777	10.403837	10.407856	10.411551	10.415042	10.418809	10.422441	10.426022	10.429605	10.433027	10.436434	10.439741	10.443081	10.446367	10.449593	10.452409	10.455439	10.458491	10.461428	10.464684	10.467670	10.470593
region_avg	region_3	3	17487	19.101917	19.324898	19.325361	19.326385	19.328194	19.331076	19.335340	19.340708	19.346527	19.352877	19.431768	19.497068	19.553751	19.602108	19.646141	19.687483	19.726700	19.764446	19.801672	19.837893	19.874098	19.909971	19.946667	19.984186	20.022200	20.061405	20.102345	20.144096	20.187012	20.231361	20.277296	20.324472	20.372770	20.422808	20.473488	20.524910	20.576954	20.630091	20.683901	20.738033	20.793077	20.848373	20.903549	20.958683	21.013474	21.067446	21.121309	21.175350	21.227825	21.278540	21.329069	21.378428	21.428095	21.476551	21.523699	21.568771	21.612423	21.655304	21.697767	21.737961	21.776489	21.814348	21.850813	21.886467	21.921318	21.954969	21.987101	22.017895	22.047853	22.077070	22.105131	22.132050	22.158104	22.183470	22.207945	22.232262	22.255657	22.278009	22.299162	22.318962	22.338289	22.356949	22.374966	22.391773	22.408119	22.424246	22.439034	22.452976	22.466486	22.479334	22.491959	22.504372	22.515863	22.527010	22.538334	22.549610	22.560678	22.571398	22.581505	22.591354	22.601250	22.610769	22.619947	22.629362	22.638481	22.647488	22.655586	22.663502	22.672123	22.680637
region_std	region_1	1	29332	5.333439	5.489038	5.488828	5.488451	5.488049	5.486819	5.484617	5.483258	5.482587	5.481980	5.462671	5.447540	5.434497	5.423513	5.414053	5.405731	5.398459	5.392010	5.386395	5.381515	5.377324	5.373769	5.370751	5.368377	5.366602	5.365415	5.364769	5.364676	5.365071	5.365900	5.366946	5.368502	5.370466	5.372816	5.375422	5.378273	5.381283	5.384460	5.387906	5.391465	5.395192	5.399048	5.403082	5.407284	5.411482	5.415667	5.419882	5.424179	5.428561	5.432868	5.437090	5.441320	5.445459	5.449491	5.453444	5.457380	5.461213	5.464900	5.468531	5.472229	5.475779	5.479067	5.482261	5.485487	5.488635	5.491610	5.494500	5.497231	5.499878	5.502368	5.504728	5.507121	5.509350	5.511523	5.513534	5.515476	5.517542	5.519465	5.521181	5.522738	5.524228	5.525672	5.526986	5.528155	5.529245	5.530354	5.531387	5.532311	5.533166	5.533936	5.534630	5.535256	5.535829	5.536450	5.537052	5.537633	5.538087	5.538489	5.538968	5.539374	5.539900	5.540383	5.540794	5.541287	5.541866	5.542345	5.542880	5.543365	5.543812	5.544160
