stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295
region_area	region_2	2	19521	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657
region_area	region_3	3	17487	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148
region_sum	region_1	1	29332	1742.982056	3772.981445	4899.120117	5554.670898	6060.970215	6403.815918	6614.477051	6743.090820	6823.370605	6890.862793	6936.590332	6968.460938	7005.495117	7037.792969	7052.612793	7083.272949	7101.430176	7117.258789	7136.220703	7144.720703	7154.468262	7172.348633	7178.074219	7181.103516	7193.172852	7204.299805	7213.021973	7220.689453	7221.412109	7229.028320	7234.615234	7244.809570	7254.400391	7256.507324	7261.715820	7260.693359	7267.379883	7268.331543	7277.036133	7282.498535	7280.950195	7278.613770	7287.164062	7290.827637	7289.139648	7295.814453	7293.354492	7293.788086	7301.943848	7297.323242	7308.683105	7304.709473	7306.175781	7312.020996	7309.537598	7308.498535	7312.539551	7312.263184	7324.351562	7316.168457	7321.411621	7322.254395	7318.277832	7318.471191	7322.937012	7322.412109	7323.000977	7325.854492	7326.345703	7329.239746	7326.078613	7327.033203	7334.478027	7329.013184	7325.526367	7331.019043	7336.938965	7328.252441	7334.052734	7337.687012	7331.714355	7335.519531	7334.898926	7330.208496	7336.807129	7338.179688	7339.453613	7341.189941	7336.568359	7337.581543	7342.114746	7343.628906	7341.624512	7339.412109	7338.434082	7340.394531	7339.643555	7340.932617	7346.840820	7343.509766	7342.777344	7343.877441	7337.495605	7344.418457	7342.860840	7345.159180	7344.581055	7342.690918	7347.057617	7344.281738
region_sum	region_2	2	19521	1083.963013	2306.613037	4211.996094	5793.418945	6790.082031	7334.280762	7650.385254	7838.101074	7957.037109	8031.942383	8080.508301	8114.934570	8134.203125	8150.975098	8163.102539	8166.584473	8178.552246	8182.150391	8184.779297	8186.117188	8192.199219	8188.086914	8193.664062	8195.431641	8199.029297	8197.298828	8198.512695	8198.159180	8203.094727	8205.714844	8200.843750	8204.019531	8201.803711	8211.656250	8206.047852	8206.861328	8208.487305	8208.916992	8210.265625	8215.352539	8213.572266	8215.103516	8214.114258	8212.190430	8218.761719	8215.054688	8218.870117	8216.490234	8224.387695	8219.250977	8222.480469	8221.933594	8223.341797	8219.647461	8223.380859	8222.708984	8229.482422	8222.135742	8228.756836	8229.445312	8232.331055	8227.456055	8229.447266	8226.892578	8233.466797	8231.497070	8230.415039	8227.467773	8228.098633	8229.398438	8228.329102	8223.038086	8233.588867	8228.846680	8231.742188	8228.501953	8227.997070	8229.179688	8229.638672	8227.287109	8227.436523	8234.856445	8235.355469	8231.662109	8233.602539	8230.096680	8227.148438	8230.827148	8236.148438	8234.046875	8232.673828	8235.500977	8232.688477	8235.765625	8233.217773	8232.875977	8228.847656	8231.505859	8232.136719	8232.091797	8234.692383	8232.977539	8231.230469	8236.463867	8236.156250	8235.482422	8237.516602	8233.184570	8235.152344	8238.006836
region_sum	region_3	3	17487	377.347351	1026.126831	2158.472168	2797.459229	3036.549805	3146.585449	3203.875488	3225.360840	3237.245361	3245.027100	3244.204590	3249.355225	3247.345459	3248.705811	3247.653320	3251.543701	3249.551514	3246.617676	3253.329590	3252.893799	3249.732178	3248.198975	3251.717529	3249.605713	3247.630615	3249.695557	3246.556641	3247.388916	3247.681641	3245.542725	3250.241943	3249.314209	3243.038574	3248.962646	3250.526123	3251.348389	3250.976562	3252.381348	3250.476074	3249.022217	3250.142822	3250.146973	3250.196777	3244.620605	3253.857178	3250.663330	3249.270508	3247.062500	3250.780518	3244.952881	3248.512451	3248.140625	3247.771240	3250.083496	3244.071289	3246.261963	3252.599365	3246.313232	3250.757324	3251.012695	3248.864258	3245.304932	3245.650879	3242.718506	3246.844727	3245.888672	3249.994873	3253.203613	3254.297119	3248.502686	3247.409180	3246.433594	3253.930664	3248.711670	3249.485596	3252.028320	3245.463867	3251.642090	3249.770752	3249.995361	3251.196045	3250.016602	3249.777100	3249.220703	3249.287598	3251.449219	3247.519531	3252.192139	3245.981934	3247.634033	3246.890625	3252.589111	3249.089600	3243.832520	3250.867188	3249.406006	3252.284180	3247.480225	3249.700195	3250.303223	3245.887207	3246.357178	3251.422607	3245.103516	3251.830566	3246.877197	3250.698975	3247.678955	3248.861816	3247.923828
region_avg	region_1	1	29332	0.238928	0.517201	0.671572	0.761435	0.830839	0.877836	0.906714	0.924344	0.935349	0.944601	0.950869	0.955238	0.960315	0.964742	0.966774	0.970976	0.973465	0.975635	0.978235	0.979400	0.980736	0.983187	0.983972	0.984387	0.986041	0.987567	0.988762	0.989814	0.989913	0.990957	0.991722	0.993120	0.994435	0.994723	0.995437	0.995297	0.996214	0.996344	0.997537	0.998286	0.998074	0.997754	0.998926	0.999428	0.999197	1.000112	0.999774	0.999834	1.000952	1.000319	1.001876	1.001331	1.001532	1.002333	1.001993	1.001850	1.002404	1.002366	1.004024	1.002902	1.003621	1.003736	1.003191	1.003217	1.003830	1.003758	1.003838	1.004230	1.004297	1.004694	1.004260	1.004391	1.005412	1.004663	1.004185	1.004938	1.005749	1.004558	1.005353	1.005852	1.005033	1.005554	1.005469	1.004826	1.005731	1.005919	1.006094	1.006332	1.005698	1.005837	1.006459	1.006666	1.006391	1.006088	1.005954	1.006223	1.006120	1.006296	1.007106	1.006650	1.006549	1.006700	1.005825	1.006774	1.006561	1.006876	1.006797	1.006537	1.007136	1.006756
region_avg	region_2	2	19521	0.232760	0.495300	0.904444	1.244024	1.458038	1.574894	1.642771	1.683079	1.708619	1.724703	1.735132	1.742524	1.746662	1.750263	1.752867	1.753615	1.756185	1.756957	1.757522	1.757809	1.759115	1.758232	1.759430	1.759809	1.760582	1.760210	1.760471	1.760395	1.761455	1.762017	1.760971	1.761653	1.761178	1.763293	1.762089	1.762264	1.762613	1.762705	1.762995	1.764087	1.763705	1.764033	1.763821	1.763408	1.764819	1.764023	1.764842	1.764331	1.766027	1.764924	1.765617	1.765500	1.765802	1.765009	1.765811	1.765666	1.767121	1.765543	1.766965	1.767113	1.767733	1.766686	1.767113	1.766565	1.767977	1.767554	1.767321	1.766688	1.766824	1.767103	1.766873	1.765737	1.768003	1.766984	1.767606	1.766910	1.766802	1.767056	1.767155	1.766650	1.766682	1.768275	1.768382	1.767589	1.768006	1.767253	1.766620	1.767410	1.768552	1.768101	1.767806	1.768413	1.767809	1.768470	1.767923	1.767850	1.766985	1.767555	1.767691	1.767681	1.768240	1.767871	1.767496	1.768620	1.768554	1.768409	1.768846	1.767916	1.768338	1.768951
region_avg	region_3	3	17487	0.328700	0.893839	1.880202	2.436811	2.645078	2.740928	2.790832	2.809548	2.819900	2.826679	2.825962	2.830449	2.828698	2.829883	2.828966	2.832355	2.830620	2.828064	2.833911	2.833531	2.830777	2.829442	2.832507	2.830667	2.828947	2.830745	2.828011	2.828736	2.828991	2.827128	2.831221	2.830413	2.824946	2.830107	2.831469	2.832185	2.831861	2.833085	2.831425	2.830159	2.831135	2.831138	2.831182	2.826324	2.834370	2.831588	2.830375	2.828452	2.831690	2.826614	2.829715	2.829391	2.829069	2.831083	2.825846	2.827754	2.833275	2.827799	2.831670	2.831892	2.830021	2.826921	2.827222	2.824668	2.828262	2.827429	2.831006	2.833801	2.834754	2.829706	2.828754	2.827904	2.834434	2.829888	2.830562	2.832777	2.827059	2.832441	2.830811	2.831007	2.832052	2.831025	2.830816	2.830332	2.830390	2.832273	2.828850	2.832920	2.827510	2.828949	2.828302	2.833266	2.830217	2.825638	2.831766	2.830493	2.833000	2.828815	2.830749	2.831275	2.827428	2.827837	2.832250	2.826745	2.832605	2.828290	2.831619	2.828989	2.830019	2.829202
region_std	region_1	1	29332	0.142017	0.602351	0.806503	0.837695	0.843341	0.840669	0.836407	0.831359	0.826556	0.822070	0.819052	0.815100	0.812051	0.810393	0.807368	0.806125	0.804575	0.803021	0.802620	0.800760	0.799269	0.799786	0.797637	0.796162	0.795197	0.795430	0.795022	0.794316	0.793835	0.793828	0.792717	0.793159	0.792048	0.792241	0.791944	0.790846	0.791289	0.790555	0.791009	0.790264	0.789287	0.788692	0.789467	0.790102	0.788679	0.789890	0.788144	0.787638	0.788448	0.787191	0.787973	0.787595	0.787247	0.788503	0.787363	0.787149	0.786579	0.786907	0.788601	0.786950	0.786666	0.787736	0.786193	0.785608	0.787375	0.786893	0.786777	0.785742	0.786430	0.786557	0.785863	0.785925	0.786761	0.786307	0.785694	0.785267	0.786197	0.786081	0.785722	0.786361	0.785190	0.785144	0.785965	0.783654	0.785576	0.786386	0.786030	0.785599	0.785097	0.785187	0.786035	0.785797	0.784747	0.784693	0.784549	0.783614	0.784771	0.785164	0.785798	0.784974	0.785093	0.784539	0.784329	0.785236	0.784949	0.785446	0.785300	0.785306	0.785016	0.784804
