stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295
region_area	region_2	2	19521	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657
region_area	region_3	3	17487	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148
region_sum	region_1	1	29332	589.613342	1055.004272	1157.858643	1267.488647	1372.410034	1435.558716	1468.504028	1488.156128	1497.721069	1509.116699	1516.662354	1521.242554	1528.210693	1535.098633	1535.838135	1542.189575	1545.748291	1548.613281	1552.896729	1554.142334	1554.707153	1558.897217	1559.868530	1559.281250	1563.702393	1565.045410	1567.166382	1567.692139	1567.558105	1569.833496	1570.463745	1573.651001	1575.706909	1574.485474	1576.402954	1576.297241	1576.302979	1577.210083	1579.518555	1581.384521	1579.532471	1579.150513	1581.027344	1582.790894	1580.166992	1584.730957	1581.469849	1581.761963	1585.346313	1582.319580	1586.563110	1585.079346	1584.828735	1586.764526	1585.720337	1584.938965	1587.204102	1586.162476	1590.072510	1586.805420	1588.440918	1589.273926	1586.503662	1586.929932	1589.453979	1588.421631	1587.631470	1589.074097	1589.829468	1590.145264	1588.478882	1589.576172	1591.722168	1590.047363	1587.747925	1590.778687	1592.012207	1589.016113	1590.741699	1593.065918	1589.407593	1591.108887	1591.120483	1588.607544	1591.938843	1592.272217	1592.044434	1591.721436	1591.161865	1591.353027	1592.431641	1594.124023	1592.328247	1591.220459	1591.307495	1591.534546	1592.326782	1592.302368	1594.175171	1592.479248	1592.446899	1592.303101	1591.256958	1592.419189	1592.487549	1593.683350	1592.293457	1592.681641	1593.464111	1591.920532
region_sum	region_2	2	19521	405.559387	716.947266	1409.549683	1833.851929	2030.569336	2115.007324	2166.460449	2195.561523	2215.761475	2229.061523	2237.432617	2245.431152	2247.359375	2250.201904	2252.812500	2250.613281	2255.510498	2255.383057	2255.338623	2255.339111	2257.661865	2254.678955	2255.971924	2257.218262	2258.806885	2256.949219	2257.476318	2257.132568	2260.824707	2261.309326	2257.506104	2259.438232	2257.910889	2262.863037	2259.613525	2258.717773	2259.421631	2259.536133	2260.471191	2264.096680	2261.757812	2262.815186	2262.181641	2260.346191	2262.994629	2261.821777	2262.759521	2261.489990	2264.972900	2261.402832	2261.916748	2262.858643	2262.133545	2261.427734	2263.852295	2262.524414	2264.745850	2261.545166	2265.152832	2265.761963	2266.617188	2262.396729	2265.270020	2262.901855	2264.794434	2264.714844	2263.776611	2265.143799	2264.676270	2264.615479	2264.197998	2260.225342	2267.756104	2263.802490	2265.058838	2263.560791	2263.825195	2262.962891	2263.388916	2261.594727	2262.059570	2266.805176	2264.883545	2264.283203	2265.351807	2262.381104	2261.475830	2262.748779	2266.067383	2264.492432	2265.488281	2266.702881	2264.751709	2266.678467	2264.309326	2264.281982	2264.651123	2265.409180	2264.659180	2264.417969	2265.173584	2265.425293	2263.569336	2265.709717	2264.620117	2263.996338	2267.109375	2263.351318	2265.238037	2266.830811
region_sum	region_3	3	17487	146.800308	352.838318	767.831116	900.005188	918.774780	931.074524	938.446594	939.630188	943.212463	943.481812	942.934998	943.876587	942.345459	944.506653	943.279602	946.258240	943.616455	941.808594	946.325867	945.340332	942.468201	943.439087	945.566040	942.824707	942.786865	943.454224	942.050720	942.663940	942.373352	941.705261	944.580627	944.081116	940.298828	944.280823	944.026184	944.463379	943.421143	945.341064	943.871643	943.080566	943.823425	944.696533	944.478516	941.614929	946.058655	944.313843	944.732605	942.111877	945.220764	941.501587	944.704285	944.094543	943.893372	944.357117	940.362488	942.118164	946.221008	941.788574	944.324707	944.018311	942.649353	940.772949	942.032349	940.169067	943.080078	942.518188	944.478149	945.350037	945.944458	943.072754	942.673767	942.275879	947.430786	944.095520	944.860657	944.926697	941.330139	946.519287	942.542236	943.884583	943.885315	943.568481	944.128845	943.630798	944.209473	944.880615	942.400452	946.743408	941.650269	942.624634	943.246399	945.548523	943.775330	939.831482	945.590393	943.716431	945.702576	942.994629	943.703430	944.523193	941.980896	943.115967	945.020569	941.737793	945.101929	942.112793	944.672363	943.268127	943.685425	943.077332
region_avg	region_1	1	29332	0.080824	0.144620	0.158719	0.173748	0.188130	0.196787	0.201303	0.203997	0.205308	0.206870	0.207904	0.208532	0.209487	0.210432	0.210533	0.211404	0.211891	0.212284	0.212871	0.213042	0.213120	0.213694	0.213827	0.213747	0.214353	0.214537	0.214827	0.214900	0.214881	0.215193	0.215279	0.215716	0.215998	0.215831	0.216094	0.216079	0.216080	0.216204	0.216521	0.216776	0.216523	0.216470	0.216728	0.216969	0.216610	0.217235	0.216788	0.216828	0.217320	0.216905	0.217486	0.217283	0.217249	0.217514	0.217371	0.217264	0.217574	0.217431	0.217967	0.217520	0.217744	0.217858	0.217478	0.217537	0.217883	0.217741	0.217633	0.217831	0.217934	0.217977	0.217749	0.217899	0.218194	0.217964	0.217649	0.218064	0.218233	0.217823	0.218059	0.218378	0.217876	0.218110	0.218111	0.217767	0.218223	0.218269	0.218238	0.218193	0.218117	0.218143	0.218291	0.218523	0.218277	0.218125	0.218137	0.218168	0.218276	0.218273	0.218530	0.218297	0.218293	0.218273	0.218130	0.218289	0.218298	0.218462	0.218272	0.218325	0.218432	0.218221
region_avg	region_2	2	19521	0.087086	0.153950	0.302673	0.393784	0.436025	0.454157	0.465205	0.471454	0.475792	0.478648	0.480445	0.482163	0.482577	0.483187	0.483748	0.483275	0.484327	0.484300	0.484290	0.484290	0.484789	0.484148	0.484426	0.484694	0.485035	0.484636	0.484749	0.484675	0.485468	0.485572	0.484755	0.485170	0.484842	0.485906	0.485208	0.485016	0.485167	0.485191	0.485392	0.486171	0.485668	0.485895	0.485759	0.485365	0.485934	0.485682	0.485884	0.485611	0.486359	0.485592	0.485703	0.485905	0.485749	0.485598	0.486118	0.485833	0.486310	0.485623	0.486397	0.486528	0.486712	0.485806	0.486423	0.485914	0.486320	0.486303	0.486102	0.486395	0.486295	0.486282	0.486192	0.485339	0.486956	0.486107	0.486377	0.486056	0.486112	0.485927	0.486019	0.485633	0.485733	0.486752	0.486340	0.486211	0.486440	0.485802	0.485608	0.485881	0.486594	0.486256	0.486469	0.486730	0.486311	0.486725	0.486216	0.486210	0.486290	0.486452	0.486291	0.486240	0.486402	0.486456	0.486057	0.486517	0.486283	0.486149	0.486818	0.486011	0.486416	0.486758
region_avg	region_3	3	17487	0.127875	0.307350	0.668842	0.783977	0.800326	0.811041	0.817462	0.818493	0.821614	0.821848	0.821372	0.822192	0.820858	0.822741	0.821672	0.824267	0.821966	0.820391	0.824326	0.823467	0.820965	0.821811	0.823664	0.821276	0.821243	0.821824	0.820602	0.821136	0.820883	0.820301	0.822805	0.822370	0.819076	0.822544	0.822322	0.822703	0.821795	0.823468	0.822188	0.821499	0.822146	0.822906	0.822716	0.820222	0.824093	0.822573	0.822938	0.820655	0.823363	0.820123	0.822913	0.822382	0.822207	0.822611	0.819131	0.820660	0.824234	0.820373	0.822582	0.822316	0.821123	0.819489	0.820586	0.818963	0.821498	0.821009	0.822716	0.823476	0.823993	0.821492	0.821144	0.820798	0.825288	0.822383	0.823049	0.823107	0.819974	0.824494	0.821030	0.822199	0.822200	0.821924	0.822412	0.821978	0.822482	0.823067	0.820906	0.824689	0.820253	0.821102	0.821643	0.823649	0.822104	0.818669	0.823685	0.822053	0.823783	0.821424	0.822041	0.822755	0.820541	0.821530	0.823189	0.820329	0.823260	0.820656	0.822885	0.821662	0.822026	0.821496
region_std	region_1	1	29332	0.048587	0.177528	0.205118	0.198493	0.197325	0.195929	0.194488	0.193575	0.192311	0.191290	0.190886	0.190290	0.189570	0.189453	0.188671	0.188303	0.188360	0.187915	0.188002	0.187413	0.187096	0.187387	0.186746	0.186427	0.186216	0.186439	0.186418	0.186135	0.186025	0.186202	0.185730	0.186098	0.185639	0.185860	0.185661	0.185499	0.185618	0.185464	0.185596	0.185381	0.185151	0.185067	0.185026	0.185642	0.184897	0.185578	0.184798	0.184700	0.185183	0.184719	0.185198	0.184829	0.184814	0.185142	0.184923	0.184731	0.184542	0.184886	0.185401	0.184625	0.184631	0.185197	0.184406	0.184394	0.185106	0.184796	0.184654	0.184389	0.184880	0.184871	0.184389	0.184590	0.184799	0.184677	0.184467	0.184235	0.184724	0.184439	0.184576	0.184675	0.184182	0.184514	0.184578	0.183736	0.184650	0.184933	0.184480	0.184463	0.184530	0.184260	0.184751	0.184729	0.184144	0.184217	0.184257	0.184038	0.184343	0.184492	0.184668	0.184425	0.184404	0.184051	0.184169	0.184425	0.184513	0.184498	0.184399	0.184712	0.184236	0.184309
