stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295
region_area	region_2	2	19521	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657
region_area	region_3	3	17487	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148
region_sum	region_1	1	29332	0.114432	0.781872	1.007929	1.124684	1.188384	1.136505	1.037494	0.951331	0.866945	0.806469	0.775903	0.741481	0.719012	0.673381	0.639584	0.631942	0.630208	0.622713	0.620428	0.611060	0.609888	0.609241	0.600724	0.593375	0.592432	0.597262	0.594796	0.591633	0.585685	0.589929	0.587379	0.590412	0.588801	0.582598	0.580697	0.579770	0.580736	0.580608	0.583134	0.583941	0.580230	0.579001	0.578934	0.585757	0.573510	0.587971	0.579442	0.574721	0.584626	0.581150	0.585907	0.580519	0.582516	0.582259	0.582266	0.578297	0.578388	0.579457	0.589663	0.578500	0.581231	0.583380	0.575849	0.578198	0.586634	0.582023	0.580257	0.578924	0.584015	0.584171	0.578875	0.581144	0.581905	0.578268	0.576367	0.577477	0.584894	0.576428	0.582504	0.584460	0.578110	0.580153	0.581110	0.572491	0.583777	0.585097	0.580398	0.579853	0.579909	0.578143	0.584748	0.584519	0.577398	0.578661	0.577638	0.577326	0.578918	0.579354	0.583540	0.580763	0.578725	0.577782	0.576657	0.581586	0.577520	0.582168	0.582489	0.581064	0.577405	0.578257
region_sum	region_2	2	19521	0.092244	0.550287	1.409710	2.296880	2.865466	3.050888	2.898466	2.584711	2.301261	2.073949	1.908116	1.799080	1.686110	1.552109	1.455916	1.390523	1.364255	1.318268	1.292549	1.256511	1.227173	1.192154	1.171426	1.169358	1.162678	1.152836	1.126330	1.126121	1.133712	1.112470	1.107977	1.101376	1.098846	1.103087	1.086846	1.080044	1.077385	1.080816	1.075361	1.100069	1.083263	1.080447	1.064478	1.061280	1.068224	1.062798	1.062758	1.064906	1.053042	1.055627	1.038402	1.053958	1.048690	1.046624	1.048936	1.048280	1.050766	1.042234	1.044132	1.043418	1.053661	1.037057	1.045338	1.031794	1.034679	1.034547	1.031089	1.037542	1.049723	1.024923	1.024909	1.020142	1.049977	1.031535	1.030496	1.033896	1.025848	1.020282	1.017603	1.026793	1.023554	1.033880	1.024883	1.027626	1.031484	1.022205	1.011150	1.015164	1.023956	1.025987	1.022681	1.034524	1.023876	1.026377	1.021763	1.017893	1.018949	1.025756	1.016373	1.016504	1.024570	1.035690	1.006909	1.013495	1.016632	1.013763	1.025790	1.010248	1.010209	1.018882
region_sum	region_3	3	17487	0.034833	0.264140	0.865709	1.261425	1.402171	1.440820	1.390881	1.278502	1.189368	1.098282	1.009614	0.967435	0.913567	0.866201	0.820714	0.809938	0.783183	0.732349	0.746939	0.747971	0.703508	0.701145	0.715888	0.685571	0.676064	0.670539	0.660182	0.673131	0.647612	0.644074	0.661965	0.648504	0.615811	0.632942	0.624487	0.624012	0.615427	0.628168	0.614905	0.592846	0.593544	0.598515	0.593711	0.584488	0.588425	0.591086	0.590747	0.555627	0.582039	0.557819	0.578519	0.571169	0.559372	0.559309	0.530869	0.556948	0.580919	0.558785	0.563045	0.551570	0.534980	0.551861	0.544184	0.532044	0.552266	0.551800	0.558865	0.557237	0.577152	0.530435	0.525377	0.531168	0.579147	0.545302	0.545627	0.534831	0.522896	0.565456	0.528204	0.541072	0.537893	0.527778	0.528712	0.530334	0.543259	0.533427	0.533437	0.553897	0.517545	0.529540	0.522661	0.540229	0.542701	0.512104	0.542174	0.530575	0.529098	0.528481	0.524137	0.539951	0.520388	0.520306	0.533907	0.516275	0.541932	0.511138	0.544800	0.532288	0.525128	0.518796
region_avg	region_1	1	29332	0.000016	0.000107	0.000138	0.000154	0.000163	0.000156	0.000142	0.000130	0.000119	0.000111	0.000106	0.000102	0.000099	0.000092	0.000088	0.000087	0.000086	0.000085	0.000085	0.000084	0.000084	0.000084	0.000082	0.000081	0.000081	0.000082	0.000082	0.000081	0.000080	0.000081	0.000081	0.000081	0.000081	0.000080	0.000080	0.000079	0.000080	0.000080	0.000080	0.000080	0.000080	0.000079	0.000079	0.000080	0.000079	0.000081	0.000079	0.000079	0.000080	0.000080	0.000080	0.000080	0.000080	0.000080	0.000080	0.000079	0.000079	0.000079	0.000081	0.000079	0.000080	0.000080	0.000079	0.000079	0.000080	0.000080	0.000080	0.000079	0.000080	0.000080	0.000079	0.000080	0.000080	0.000079	0.000079	0.000079	0.000080	0.000079	0.000080	0.000080	0.000079	0.000080	0.000080	0.000078	0.000080	0.000080	0.000080	0.000079	0.000079	0.000079	0.000080	0.000080	0.000079	0.000079	0.000079	0.000079	0.000079	0.000079	0.000080	0.000080	0.000079	0.000079	0.000079	0.000080	0.000079	0.000080	0.000080	0.000080	0.000079	0.000079
region_avg	region_2	2	19521	0.000020	0.000118	0.000303	0.000493	0.000615	0.000655	0.000622	0.000555	0.000494	0.000445	0.000410	0.000386	0.000362	0.000333	0.000313	0.000299	0.000293	0.000283	0.000278	0.000270	0.000264	0.000256	0.000252	0.000251	0.000250	0.000248	0.000242	0.000242	0.000243	0.000239	0.000238	0.000236	0.000236	0.000237	0.000233	0.000232	0.000231	0.000232	0.000231	0.000236	0.000233	0.000232	0.000229	0.000228	0.000229	0.000228	0.000228	0.000229	0.000226	0.000227	0.000223	0.000226	0.000225	0.000225	0.000225	0.000225	0.000226	0.000224	0.000224	0.000224	0.000226	0.000223	0.000224	0.000222	0.000222	0.000222	0.000221	0.000223	0.000225	0.000220	0.000220	0.000219	0.000225	0.000222	0.000221	0.000222	0.000220	0.000219	0.000219	0.000220	0.000220	0.000222	0.000220	0.000221	0.000221	0.000219	0.000217	0.000218	0.000220	0.000220	0.000220	0.000222	0.000220	0.000220	0.000219	0.000219	0.000219	0.000220	0.000218	0.000218	0.000220	0.000222	0.000216	0.000218	0.000218	0.000218	0.000220	0.000217	0.000217	0.000219
region_avg	region_3	3	17487	0.000030	0.000230	0.000754	0.001099	0.001221	0.001255	0.001212	0.001114	0.001036	0.000957	0.000879	0.000843	0.000796	0.000755	0.000715	0.000706	0.000682	0.000638	0.000651	0.000652	0.000613	0.000611	0.000624	0.000597	0.000589	0.000584	0.000575	0.000586	0.000564	0.000561	0.000577	0.000565	0.000536	0.000551	0.000544	0.000544	0.000536	0.000547	0.000536	0.000516	0.000517	0.000521	0.000517	0.000509	0.000513	0.000515	0.000515	0.000484	0.000507	0.000486	0.000504	0.000498	0.000487	0.000487	0.000462	0.000485	0.000506	0.000487	0.000490	0.000480	0.000466	0.000481	0.000474	0.000463	0.000481	0.000481	0.000487	0.000485	0.000503	0.000462	0.000458	0.000463	0.000504	0.000475	0.000475	0.000466	0.000455	0.000493	0.000460	0.000471	0.000469	0.000460	0.000461	0.000462	0.000473	0.000465	0.000465	0.000482	0.000451	0.000461	0.000455	0.000471	0.000473	0.000446	0.000472	0.000462	0.000461	0.000460	0.000457	0.000470	0.000453	0.000453	0.000465	0.000450	0.000472	0.000445	0.000475	0.000464	0.000457	0.000452
region_std	region_1	1	29332	0.000011	0.000179	0.000259	0.000280	0.000273	0.000243	0.000217	0.000200	0.000181	0.000165	0.000161	0.000152	0.000145	0.000126	0.000114	0.000110	0.000111	0.000106	0.000106	0.000102	0.000101	0.000101	0.000099	0.000095	0.000094	0.000095	0.000093	0.000093	0.000090	0.000091	0.000090	0.000092	0.000089	0.000087	0.000086	0.000087	0.000087	0.000087	0.000087	0.000087	0.000086	0.000086	0.000085	0.000087	0.000083	0.000089	0.000085	0.000083	0.000088	0.000087	0.000088	0.000085	0.000086	0.000087	0.000087	0.000085	0.000083	0.000085	0.000089	0.000084	0.000084	0.000087	0.000084	0.000085	0.000088	0.000086	0.000086	0.000084	0.000086	0.000087	0.000084	0.000084	0.000086	0.000084	0.000084	0.000082	0.000086	0.000084	0.000087	0.000085	0.000085	0.000085	0.000086	0.000082	0.000087	0.000089	0.000084	0.000084	0.000085	0.000083	0.000086	0.000086	0.000083	0.000084	0.000084	0.000083	0.000084	0.000084	0.000086	0.000085	0.000084	0.000083	0.000085	0.000086	0.000084	0.000085	0.000087	0.000084	0.000084	0.000084
