stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295
region_area	region_2	2	19521	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657
region_area	region_3	3	17487	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148
region_sum	region_1	1	29332	635.891418	183.997894	275.885529	436.067413	540.716919	618.105652	677.823914	717.212769	741.436218	755.961426	764.472656	770.611816	775.022949	778.780029	783.098999	785.125671	787.223755	789.599609	791.766296	793.606079	795.012024	796.216797	797.240540	798.330078	799.158813	799.990967	801.203735	802.090759	802.934387	803.337463	803.834045	804.557251	805.301941	806.435913	807.155701	807.389038	807.688843	807.971130	808.038879	808.544312	809.601746	809.697693	809.634277	809.868774	810.331299	810.364014	810.914185	811.062622	810.859863	811.080750	811.353455	811.885925	812.196350	812.232849	812.617493	812.545837	812.451050	812.543701	812.775391	813.443970	813.514343	813.801697	813.841309	813.621887	813.146301	813.549072	813.964783	813.600952	813.621399	814.166748	814.474548	814.060303	814.328308	814.603882	814.816406	814.425232	814.229187	814.820984	814.812927	814.561707	815.305115	814.987122	815.107239	814.918274	814.642639	814.719116	815.117493	815.580444	815.378235	815.304810	815.209595	815.385437	815.946594	816.076355	815.750732	815.147339	815.326599	815.357056	815.665527	815.854858	816.142700	815.949280	815.864319	815.370728	815.434631	815.626465	816.003662	815.993286	815.886475	816.004822
region_sum	region_2	2	19521	397.207825	134.840836	184.563309	378.686432	625.966797	836.445923	965.332214	1042.173706	1081.875244	1107.864990	1122.041626	1130.870728	1137.682007	1142.193848	1145.739014	1147.035889	1147.302246	1149.038208	1149.522827	1150.407959	1150.673340	1151.206543	1151.083984	1149.961182	1150.866089	1151.252808	1151.804321	1151.248901	1150.992554	1152.040894	1152.423706	1152.386597	1152.104126	1152.123779	1152.763428	1152.535767	1152.763550	1152.330078	1152.143066	1152.090942	1153.035278	1153.682129	1154.252563	1153.698242	1153.306763	1153.497192	1153.515015	1153.344116	1153.920654	1154.054321	1154.300537	1153.213257	1153.905029	1153.633057	1153.231934	1153.967041	1153.495728	1153.927612	1154.024292	1154.169556	1154.625732	1155.104614	1155.460571	1154.498535	1154.410522	1154.305542	1154.824463	1154.003662	1154.569580	1154.956543	1154.783325	1154.659546	1153.632080	1154.378174	1155.040283	1154.738403	1154.199097	1154.442871	1154.367188	1153.825928	1153.870605	1153.554810	1154.014771	1154.396484	1155.034790	1154.710205	1154.473877	1153.854370	1153.483887	1153.802002	1154.212646	1154.594116	1155.466797	1155.111206	1155.214966	1155.180176	1154.544556	1154.380859	1155.368530	1154.927856	1154.397949	1154.394165	1155.013916	1155.040405	1154.562622	1154.679199	1154.439697	1155.045166	1154.547363	1155.010742
region_sum	region_3	3	17487	92.666969	41.854950	74.931427	187.915512	320.081787	407.319336	449.007324	465.966248	475.546814	478.323975	481.664337	482.307861	482.096588	482.628601	483.046997	483.328644	482.999084	484.303192	482.943542	482.660675	484.565247	483.653625	483.028229	483.485321	483.694519	483.228699	483.121277	482.665405	483.278992	482.132172	482.559662	483.081055	483.454712	482.724731	483.280426	482.975128	483.275696	483.237549	483.456329	483.747437	483.686554	483.618195	483.179810	483.851868	483.385162	483.135803	483.639862	483.732422	483.573669	483.483307	482.854126	482.889160	484.036804	483.430817	483.431183	482.788879	482.122925	483.067474	483.334259	483.442657	483.673950	483.174561	482.646515	482.488678	482.009247	482.111908	482.181671	482.975922	482.881744	484.695465	483.975159	483.375153	482.401001	483.443909	483.978363	484.273804	483.768555	483.146301	483.431915	483.135834	483.581635	483.412506	483.244873	483.183167	483.204163	483.642029	483.350311	483.119812	484.256104	483.231323	482.912598	483.236389	482.879089	483.591888	483.212067	482.402344	483.552002	483.154419	484.333893	482.694580	483.346283	483.328461	482.855438	483.878632	482.409637	483.893433	482.428589	483.417938	483.105469	483.720856
region_avg	region_1	1	29332	0.087168	0.025222	0.037818	0.059776	0.074122	0.084730	0.092916	0.098316	0.101636	0.103627	0.104794	0.105636	0.106240	0.106755	0.107347	0.107625	0.107913	0.108238	0.108535	0.108788	0.108980	0.109146	0.109286	0.109435	0.109549	0.109663	0.109829	0.109951	0.110066	0.110122	0.110190	0.110289	0.110391	0.110546	0.110645	0.110677	0.110718	0.110757	0.110766	0.110835	0.110980	0.110994	0.110985	0.111017	0.111080	0.111085	0.111160	0.111181	0.111153	0.111183	0.111220	0.111293	0.111336	0.111341	0.111394	0.111384	0.111371	0.111384	0.111415	0.111507	0.111517	0.111556	0.111562	0.111531	0.111466	0.111521	0.111578	0.111529	0.111531	0.111606	0.111648	0.111592	0.111628	0.111666	0.111695	0.111642	0.111615	0.111696	0.111695	0.111660	0.111762	0.111719	0.111735	0.111709	0.111671	0.111682	0.111736	0.111800	0.111772	0.111762	0.111749	0.111773	0.111850	0.111868	0.111823	0.111741	0.111765	0.111769	0.111812	0.111838	0.111877	0.111850	0.111839	0.111771	0.111780	0.111806	0.111858	0.111857	0.111842	0.111858
region_avg	region_2	2	19521	0.085293	0.028954	0.039631	0.081316	0.134414	0.179610	0.207286	0.223786	0.232312	0.237892	0.240937	0.242832	0.244295	0.245264	0.246025	0.246304	0.246361	0.246734	0.246838	0.247028	0.247085	0.247199	0.247173	0.246932	0.247126	0.247209	0.247328	0.247208	0.247153	0.247378	0.247461	0.247453	0.247392	0.247396	0.247533	0.247485	0.247534	0.247440	0.247400	0.247389	0.247592	0.247731	0.247853	0.247734	0.247650	0.247691	0.247695	0.247658	0.247782	0.247811	0.247864	0.247630	0.247779	0.247720	0.247634	0.247792	0.247691	0.247783	0.247804	0.247835	0.247933	0.248036	0.248113	0.247906	0.247887	0.247865	0.247976	0.247800	0.247921	0.248004	0.247967	0.247941	0.247720	0.247880	0.248022	0.247958	0.247842	0.247894	0.247878	0.247762	0.247771	0.247703	0.247802	0.247884	0.248021	0.247952	0.247901	0.247768	0.247688	0.247756	0.247845	0.247927	0.248114	0.248038	0.248060	0.248052	0.247916	0.247881	0.248093	0.247998	0.247884	0.247884	0.248017	0.248022	0.247920	0.247945	0.247893	0.248023	0.247917	0.248016
region_avg	region_3	3	17487	0.080720	0.036459	0.065271	0.163689	0.278817	0.354808	0.391121	0.405894	0.414239	0.416659	0.419568	0.420129	0.419945	0.420408	0.420773	0.421018	0.420731	0.421867	0.420683	0.420436	0.422095	0.421301	0.420756	0.421154	0.421337	0.420931	0.420837	0.420440	0.420975	0.419976	0.420348	0.420802	0.421128	0.420492	0.420976	0.420710	0.420972	0.420939	0.421129	0.421383	0.421330	0.421270	0.420888	0.421474	0.421067	0.420850	0.421289	0.421370	0.421231	0.421153	0.420605	0.420635	0.421635	0.421107	0.421107	0.420548	0.419968	0.420790	0.421023	0.421117	0.421319	0.420884	0.420424	0.420286	0.419869	0.419958	0.420019	0.420711	0.420629	0.422209	0.421581	0.421059	0.420210	0.421118	0.421584	0.421841	0.421401	0.420859	0.421108	0.420850	0.421238	0.421091	0.420945	0.420891	0.420910	0.421291	0.421037	0.420836	0.421826	0.420933	0.420656	0.420938	0.420626	0.421247	0.420916	0.420211	0.421213	0.420866	0.421894	0.420466	0.421033	0.421018	0.420606	0.421497	0.420217	0.421510	0.420234	0.421096	0.420824	0.421360
region_std	region_1	1	29332	0.016903	0.008627	0.035520	0.067529	0.085640	0.093296	0.096703	0.097838	0.098134	0.098077	0.097610	0.097220	0.096919	0.096633	0.096594	0.096207	0.095936	0.095794	0.095701	0.095590	0.095414	0.095336	0.095202	0.095081	0.094985	0.094839	0.094765	0.094726	0.094689	0.094620	0.094615	0.094568	0.094497	0.094482	0.094478	0.094402	0.094344	0.094341	0.094294	0.094272	0.094316	0.094183	0.094132	0.094098	0.094121	0.094136	0.094177	0.094139	0.094001	0.093931	0.093944	0.094034	0.093970	0.093952	0.094017	0.093989	0.093982	0.093829	0.093864	0.094001	0.093981	0.093923	0.093954	0.093863	0.093755	0.093864	0.093928	0.093875	0.093773	0.093876	0.093895	0.093766	0.093857	0.093809	0.093837	0.093818	0.093723	0.093719	0.093790	0.093712	0.093840	0.093694	0.093753	0.093731	0.093612	0.093613	0.093790	0.093834	0.093744	0.093756	0.093697	0.093752	0.093842	0.093759	0.093660	0.093564	0.093614	0.093593	0.093656	0.093731	0.093798	0.093752	0.093664	0.093548	0.093604	0.093705	0.093728	0.093718	0.093753	0.093742
