stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295
region_area	region_2	2	19521	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657
region_area	region_3	3	17487	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148
region_sum	region_1	1	29332	12.901754	8.288861	4.755733	3.019234	2.480174	2.397433	2.351758	2.328735	2.317200	2.311460	2.308548	2.307093	2.306297	2.306151	2.306040	2.305686	2.305661	2.305660	2.305659	2.305656	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653	2.305653
region_sum	region_2	2	19521	5.912912	3.610609	2.208907	1.662517	1.552738	1.511047	1.491168	1.481419	1.476620	1.474244	1.473059	1.472457	1.472238	1.472096	1.471910	1.471881	1.471874	1.471873	1.471872	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867	1.471867
region_sum	region_3	3	17487	1.496301	0.892422	0.546240	0.403742	0.380149	0.371374	0.367147	0.365019	0.363944	0.363395	0.363118	0.362977	0.362907	0.362870	0.362857	0.362845	0.362839	0.362839	0.362838	0.362833	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832	0.362832
region_avg	region_1	1	29332	0.001769	0.001136	0.000652	0.000414	0.000340	0.000329	0.000322	0.000319	0.000318	0.000317	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316
region_avg	region_2	2	19521	0.001270	0.000775	0.000474	0.000357	0.000333	0.000324	0.000320	0.000318	0.000317	0.000317	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316
region_avg	region_3	3	17487	0.001303	0.000777	0.000476	0.000352	0.000331	0.000323	0.000320	0.000318	0.000317	0.000317	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316
region_std	region_1	1	29332	0.000323	0.000180	0.000082	0.000028	0.000006	0.000003	0.000001	nan	nan	nan	0.000000	0.000001	0.000003	nan	nan	0.000002	0.000002	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001
