stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295
region_area	region_2	2	19521	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657
region_area	region_3	3	17487	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148
region_sum	region_1	1	29332	232.514435	121.522110	149.811935	195.886597	235.523697	269.446899	292.820831	307.137878	315.045441	318.626740	321.036285	323.517303	325.348328	326.930145	327.253662	327.950592	328.835724	329.719055	330.074738	330.545746	331.219574	331.267975	331.646149	332.220367	332.184784	332.320282	332.466187	332.808716	333.074951	333.144836	333.293610	333.327332	333.565216	333.861023	333.670288	333.694550	333.892761	333.735504	333.928772	334.249390	334.290100	334.585480	334.438782	334.311188	334.468323	334.558197	334.522186	334.539948	334.353180	334.770294	334.937408	334.883636	335.041809	335.010742	334.772064	334.927917	334.886383	335.043365	335.186279	335.205597	335.415619	334.988922	335.024506	334.965363	335.144043	335.179138	334.947693	335.020996	335.385040	335.319794	335.201385	335.512054	335.240692	335.403961	335.457184	335.128876	335.277374	335.430756	335.371063	335.551819	335.412628	335.604034	335.208466	335.399384	335.276672	335.350372	335.618530	335.444641	335.590912	335.652740	335.712189	335.767456	335.736969	335.651367	335.418427	335.836151	335.764008	335.904846	335.755310	335.997742	335.850159	335.756409	335.579559	335.861572	336.023804	336.107300	336.003632	335.953247	335.930145	335.949646
region_sum	region_2	2	19521	163.835770	76.647972	116.876854	228.759354	370.282715	476.372864	540.366333	573.337219	593.834106	604.568848	611.939392	617.089844	620.134521	621.798462	622.013550	622.183655	623.122253	622.344421	622.764771	622.144165	621.542664	620.598511	619.758484	620.777222	620.673828	620.810974	620.056030	620.181885	620.698730	620.492981	621.092834	620.943237	620.813477	620.500305	620.203430	620.766052	620.114197	619.989380	620.229065	621.080688	621.672729	621.713440	620.554382	620.682007	620.641418	620.457031	620.559998	621.166931	620.338074	620.205750	619.494141	620.196594	619.639221	619.687378	620.128113	619.486206	620.179382	620.562622	620.485840	620.477234	620.777832	621.045166	619.651367	619.681824	619.572937	619.810669	619.394470	620.444397	620.486938	619.987061	619.857971	619.776917	620.001465	619.830505	619.347473	619.163269	619.869812	619.579895	619.069092	619.322815	618.959717	618.777344	619.160828	620.010986	619.391846	619.458496	619.068176	618.750977	618.842773	619.675720	620.503296	620.784546	620.362061	620.372742	620.367737	620.082581	620.338745	620.847473	619.664551	619.372009	619.772278	620.575012	620.260376	619.426819	619.593933	619.718872	620.066895	619.953064	620.518005	619.779907
region_sum	region_3	3	17487	49.113449	29.210573	64.053963	146.621826	232.245758	281.643677	302.486481	313.519745	317.834534	321.548981	322.462555	322.438416	323.497498	323.708923	323.539032	323.176636	324.239227	322.947449	322.969299	324.386017	323.239044	323.092804	323.405884	323.487244	323.047882	322.640503	322.543640	322.962952	321.852600	323.074280	323.067841	322.756897	322.572266	322.623169	321.591339	322.196075	322.547211	322.953461	323.311066	323.262177	322.698120	322.078918	322.710327	322.389038	322.028351	322.582520	322.851074	322.670654	322.259369	322.047516	322.584564	323.093262	321.891174	321.739136	321.790680	321.785187	322.298126	322.790924	322.666565	322.110931	321.666382	321.645325	321.552673	321.264984	321.407288	321.690765	322.406982	322.544830	324.011993	322.800507	322.352112	322.015686	322.999084	323.361877	323.345856	322.381866	322.514221	322.552521	322.552002	323.210724	322.651337	322.536255	322.680786	322.959290	323.207916	322.644043	323.196075	323.534149	322.461548	322.826508	322.714142	322.048981	323.157928	323.145233	322.179657	323.088409	322.818359	323.827484	322.337524	323.338257	323.582855	323.101501	323.183167	322.202179	323.477173	322.205811	323.551514	323.228149	323.593079	322.678162
region_avg	region_1	1	29332	0.031873	0.016658	0.020536	0.026852	0.032286	0.036936	0.040140	0.042103	0.043186	0.043677	0.044008	0.044348	0.044599	0.044816	0.044860	0.044956	0.045077	0.045198	0.045247	0.045311	0.045404	0.045410	0.045462	0.045541	0.045536	0.045555	0.045575	0.045621	0.045658	0.045668	0.045688	0.045693	0.045725	0.045766	0.045740	0.045743	0.045770	0.045749	0.045775	0.045819	0.045825	0.045865	0.045845	0.045827	0.045849	0.045861	0.045856	0.045859	0.045833	0.045890	0.045913	0.045906	0.045928	0.045923	0.045891	0.045912	0.045906	0.045928	0.045947	0.045950	0.045979	0.045920	0.045925	0.045917	0.045942	0.045946	0.045915	0.045925	0.045975	0.045966	0.045949	0.045992	0.045955	0.045977	0.045985	0.045940	0.045960	0.045981	0.045973	0.045998	0.045978	0.046005	0.045950	0.045977	0.045960	0.045970	0.046007	0.045983	0.046003	0.046011	0.046019	0.046027	0.046023	0.046011	0.045979	0.046036	0.046027	0.046046	0.046025	0.046059	0.046038	0.046026	0.046001	0.046040	0.046062	0.046074	0.046059	0.046053	0.046049	0.046052
region_avg	region_2	2	19521	0.035181	0.016459	0.025097	0.049122	0.079511	0.102292	0.116033	0.123113	0.127514	0.129819	0.131402	0.132508	0.133162	0.133519	0.133565	0.133602	0.133803	0.133636	0.133727	0.133593	0.133464	0.133261	0.133081	0.133300	0.133278	0.133307	0.133145	0.133172	0.133283	0.133239	0.133368	0.133335	0.133308	0.133240	0.133177	0.133297	0.133157	0.133131	0.133182	0.133365	0.133492	0.133501	0.133252	0.133279	0.133271	0.133231	0.133253	0.133383	0.133206	0.133177	0.133024	0.133175	0.133055	0.133066	0.133160	0.133023	0.133171	0.133254	0.133237	0.133235	0.133300	0.133357	0.133058	0.133065	0.133041	0.133092	0.133003	0.133228	0.133237	0.133130	0.133102	0.133085	0.133133	0.133097	0.132993	0.132953	0.133105	0.133043	0.132933	0.132987	0.132910	0.132870	0.132953	0.133135	0.133002	0.133017	0.132933	0.132865	0.132884	0.133063	0.133241	0.133301	0.133211	0.133213	0.133212	0.133151	0.133206	0.133315	0.133061	0.132998	0.133084	0.133256	0.133189	0.133010	0.133046	0.133073	0.133147	0.133123	0.133244	0.133086
region_avg	region_3	3	17487	0.042782	0.025445	0.055796	0.127719	0.202305	0.245334	0.263490	0.273101	0.276859	0.280095	0.280891	0.280870	0.281792	0.281976	0.281828	0.281513	0.282438	0.281313	0.281332	0.282566	0.281567	0.281440	0.281712	0.281783	0.281401	0.281046	0.280961	0.281327	0.280359	0.281424	0.281418	0.281147	0.280986	0.281031	0.280132	0.280659	0.280964	0.281318	0.281630	0.281587	0.281096	0.280557	0.281107	0.280827	0.280513	0.280995	0.281229	0.281072	0.280714	0.280529	0.280997	0.281440	0.280393	0.280261	0.280305	0.280301	0.280748	0.281177	0.281068	0.280584	0.280197	0.280179	0.280098	0.279848	0.279972	0.280218	0.280842	0.280962	0.282240	0.281185	0.280795	0.280501	0.281358	0.281674	0.281660	0.280820	0.280936	0.280969	0.280969	0.281542	0.281055	0.280955	0.281081	0.281323	0.281540	0.281049	0.281530	0.281824	0.280890	0.281208	0.281110	0.280530	0.281496	0.281485	0.280644	0.281436	0.281201	0.282080	0.280782	0.281654	0.281867	0.281447	0.281518	0.280664	0.281775	0.280667	0.281839	0.281558	0.281875	0.281079
region_std	region_1	1	29332	0.030290	0.032649	0.027557	0.031207	0.038947	0.044894	0.047684	0.048935	0.049454	0.049376	0.049398	0.049380	0.049373	0.049513	0.049116	0.049055	0.049022	0.049016	0.048957	0.048798	0.048857	0.048633	0.048594	0.048619	0.048505	0.048359	0.048189	0.048245	0.048287	0.048303	0.048203	0.048021	0.048097	0.048034	0.047840	0.047843	0.047863	0.047754	0.047862	0.047885	0.047865	0.047856	0.047794	0.047757	0.047828	0.047815	0.047766	0.047678	0.047587	0.047781	0.047800	0.047722	0.047712	0.047696	0.047640	0.047592	0.047538	0.047663	0.047748	0.047788	0.047784	0.047648	0.047585	0.047605	0.047775	0.047714	0.047658	0.047654	0.047770	0.047661	0.047609	0.047752	0.047586	0.047617	0.047644	0.047571	0.047581	0.047640	0.047577	0.047726	0.047628	0.047638	0.047560	0.047536	0.047590	0.047641	0.047621	0.047581	0.047589	0.047631	0.047674	0.047663	0.047554	0.047554	0.047615	0.047757	0.047632	0.047650	0.047688	0.047718	0.047631	0.047540	0.047529	0.047602	0.047689	0.047700	0.047709	0.047697	0.047685	0.047649
