stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
region_area	region_2	2	19521	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171
region_area	region_3	3	17487	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
region_sum	region_1	1	29332	4.077768	2.600797	2.028081	1.714086	1.607760	1.485917	1.418929	1.433645	1.383100	1.336622	1.318929	1.293800	1.268056	1.247954	1.276838	1.232655	1.211024	1.175108	1.075350	1.045390	1.047384	1.059011	1.070461	1.054855	1.036053	1.024178	0.933194	0.913090	0.884305	0.853466	0.882632	0.907401	0.945494	0.979060	1.005664	0.992450	1.015031	0.985463	0.968595	1.009871	0.993074	0.967116	0.976723	0.971610	0.958080	0.955850	0.996843	0.976303	0.974075	0.950188	0.880925	0.864501	0.883343	0.904549	0.924998	0.924558	0.919607	0.919349	0.858942	0.854864	0.837063	0.823523	0.859276	0.888729	0.925752	0.962962	0.989360	0.978391	1.002627	0.973326	0.959702	1.001011	0.983404	0.963987	0.969688	0.964912	0.951623	0.952143	0.992921	0.972307	0.969755	0.947195	0.877908	0.862782	0.881321	0.900286	0.920106	0.917831	0.917311	0.914869	0.856884	0.852263	0.835462	0.823901	0.857638	0.886621	0.924913	0.961958	0.988279	0.977314	1.002828	0.973147	0.958512	1.001391	0.984112	0.963520	0.971085	0.966227	0.953838	0.950867
region_sum	region_2	2	19521	12.918759	23.364634	43.835632	83.025185	135.614319	185.487793	226.375214	259.767120	287.775421	324.034546	333.556335	351.119904	376.242798	397.668640	415.027069	434.316833	456.695221	477.318298	481.001587	496.365112	500.470551	506.664185	516.251160	529.776672	537.524048	538.145691	540.131409	528.600342	541.587585	567.765686	584.447571	582.600464	610.745056	638.010559	638.559082	643.563843	635.535889	638.981384	634.401428	625.310364	604.751282	615.052429	570.942383	551.066833	548.879944	546.860229	540.034119	542.490295	553.389709	564.127380	552.358093	556.889771	547.778198	543.477966	545.443359	553.716675	555.794922	549.593567	545.860657	528.174255	538.617004	563.347961	579.659729	575.932373	604.661560	632.505920	632.398682	636.450439	629.202881	632.910400	628.385803	620.469360	601.179138	613.725098	568.999573	549.402954	548.013611	547.982422	541.590515	544.209961	555.229736	565.948364	553.589111	558.412170	548.684143	543.800598	545.483276	554.066223	556.502014	550.409607	546.559875	529.046265	539.067322	564.434021	581.100037	577.546997	606.162964	633.463440	633.244263	638.072754	630.684937	634.407654	630.598877	622.213867	603.054443	614.985168	570.852234	551.210999	549.640076	547.605408
region_sum	region_3	3	17487	10.072892	15.840656	26.608244	45.121094	71.144363	108.399544	145.223755	174.972458	206.132004	228.738358	256.984131	280.489685	308.405670	320.598846	336.669800	347.943726	352.544403	372.681396	387.080170	382.230896	403.032623	410.325531	421.825867	422.148529	440.823517	440.637268	423.725159	417.316162	402.001190	417.245789	418.805450	420.472321	441.436249	460.840515	459.200134	463.489319	437.109467	428.725525	428.231018	420.444794	426.370941	415.488312	421.007751	425.526001	441.390869	431.737793	433.089905	428.826843	417.091949	429.567566	436.315033	416.439392	432.993500	434.740540	441.724548	435.701843	453.000702	448.418030	425.145752	415.120728	396.128021	410.262085	410.713806	413.004944	434.408966	454.384155	452.808472	457.427765	431.452545	423.146179	422.917542	416.186462	423.164276	413.204529	419.550812	424.904419	441.264618	432.050629	433.872833	430.028046	418.692230	431.450592	437.706085	418.623749	436.067474	438.089844	445.967621	439.762848	457.135742	452.472290	428.540985	418.820648	399.156158	412.883453	413.519928	415.525421	436.377563	455.943542	453.471649	458.196442	431.642578	423.728058	423.433258	416.734711	423.213989	412.957184	419.576172	424.718842	440.962158	432.140900
region_avg	region_1	1	29332	0.032885	0.020974	0.016355	0.013823	0.012966	0.011983	0.011443	0.011562	0.011154	0.010779	0.010637	0.010434	0.010226	0.010064	0.010297	0.009941	0.009766	0.009477	0.008672	0.008431	0.008447	0.008540	0.008633	0.008507	0.008355	0.008259	0.007526	0.007364	0.007131	0.006883	0.007118	0.007318	0.007625	0.007896	0.008110	0.008004	0.008186	0.007947	0.007811	0.008144	0.008009	0.007799	0.007877	0.007836	0.007726	0.007708	0.008039	0.007873	0.007855	0.007663	0.007104	0.006972	0.007124	0.007295	0.007460	0.007456	0.007416	0.007414	0.006927	0.006894	0.006751	0.006641	0.006930	0.007167	0.007466	0.007766	0.007979	0.007890	0.008086	0.007849	0.007740	0.008073	0.007931	0.007774	0.007820	0.007782	0.007674	0.007679	0.008007	0.007841	0.007821	0.007639	0.007080	0.006958	0.007107	0.007260	0.007420	0.007402	0.007398	0.007378	0.006910	0.006873	0.006738	0.006644	0.006916	0.007150	0.007459	0.007758	0.007970	0.007882	0.008087	0.007848	0.007730	0.008076	0.007936	0.007770	0.007831	0.007792	0.007692	0.007668
region_avg	region_2	2	19521	0.075548	0.136635	0.256349	0.485527	0.793066	1.084724	1.323832	1.519106	1.682897	1.894939	1.950622	2.053333	2.200250	2.325548	2.427059	2.539865	2.670732	2.791335	2.812875	2.902720	2.926728	2.962949	3.019013	3.098109	3.143415	3.147051	3.158663	3.091230	3.167179	3.320267	3.417822	3.407020	3.571609	3.731056	3.734264	3.763531	3.716584	3.736733	3.709950	3.656786	3.536557	3.596798	3.338844	3.222613	3.209824	3.198013	3.158094	3.172458	3.236197	3.298990	3.230164	3.256665	3.203381	3.178234	3.189727	3.238109	3.250263	3.213997	3.192168	3.088738	3.149807	3.294433	3.389823	3.368026	3.536032	3.698865	3.698238	3.721932	3.679549	3.701231	3.674771	3.628476	3.515667	3.589036	3.327483	3.212883	3.204758	3.204576	3.167196	3.182514	3.246958	3.309639	3.237363	3.265568	3.208679	3.180120	3.189961	3.240153	3.254398	3.218770	3.196257	3.093838	3.152441	3.300784	3.398246	3.377468	3.544813	3.704465	3.703183	3.731420	3.688216	3.709986	3.687713	3.638678	3.526634	3.596405	3.338317	3.223456	3.214269	3.202371
region_avg	region_3	3	17487	0.064570	0.101543	0.170566	0.289238	0.456054	0.694869	0.930921	1.121618	1.321359	1.466272	1.647334	1.798011	1.976959	2.055121	2.158140	2.230408	2.259900	2.388983	2.481283	2.450198	2.583542	2.630292	2.704012	2.706080	2.825792	2.824598	2.716187	2.675104	2.576931	2.674653	2.684650	2.695335	2.829720	2.954106	2.943591	2.971085	2.801984	2.748240	2.745071	2.695159	2.733147	2.663387	2.698768	2.727731	2.829429	2.767550	2.776217	2.748890	2.673666	2.753638	2.796891	2.669483	2.775599	2.786798	2.831568	2.792961	2.903851	2.874475	2.725293	2.661030	2.539282	2.629885	2.632781	2.647468	2.784673	2.912719	2.902618	2.932229	2.765722	2.712476	2.711010	2.667862	2.712591	2.648747	2.689428	2.723746	2.828619	2.769555	2.781236	2.756590	2.683924	2.765709	2.805808	2.683486	2.795304	2.808268	2.858767	2.818993	2.930357	2.900463	2.747058	2.684748	2.558693	2.646689	2.650769	2.663625	2.797292	2.922715	2.906870	2.937157	2.766940	2.716206	2.714316	2.671376	2.712910	2.647161	2.689591	2.722557	2.826680	2.770134
region_std	region_1	1	29332	0.004768	0.003796	0.004345	0.004953	0.004816	0.005213	0.005310	0.005025	0.005216	0.005365	0.005213	0.005221	0.005348	0.005305	0.005052	0.005104	0.005056	0.005155	0.005171	0.005006	0.004809	0.004695	0.004604	0.004536	0.004425	0.004349	0.003974	0.003684	0.003531	0.002950	0.002847	0.002688	0.002645	0.002555	0.002608	0.002719	0.002714	0.002949	0.002972	0.002775	0.002987	0.003129	0.003029	0.003060	0.003151	0.003152	0.002969	0.003178	0.003183	0.003297	0.003407	0.003273	0.003139	0.003072	0.003059	0.003104	0.003085	0.003088	0.003160	0.003015	0.002960	0.002824	0.002719	0.002634	0.002572	0.002521	0.002543	0.002692	0.002682	0.002920	0.002966	0.002746	0.002966	0.003111	0.003034	0.003055	0.003151	0.003132	0.002968	0.003157	0.003175	0.003272	0.003387	0.003248	0.003135	0.003051	0.003028	0.003090	0.003075	0.003055	0.003133	0.002975	0.002941	0.002787	0.002718	0.002629	0.002563	0.002482	0.002540	0.002679	0.002665	0.002922	0.002964	0.002735	0.002958	0.003103	0.003006	0.003048	0.003145	0.003132
