stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
region_area	region_2	2	19521	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171
region_area	region_3	3	17487	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
region_sum	region_1	1	29332	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
region_sum	region_2	2	19521	0.000000	0.000000	0.000000	0.000000	2.267152	15.670258	27.755920	38.196854	43.314919	44.874496	47.733643	46.117989	44.678471	44.869392	45.651588	45.924450	45.453358	45.938820	45.723591	44.407879	43.770947	42.555336	41.676899	42.732937	42.740971	43.661709	42.937325	41.792484	42.085308	42.454700	43.228638	44.156582	43.939556	44.706192	45.327614	44.461441	43.420525	42.520504	41.187466	41.375122	40.860157	39.934647	40.473038	39.414310	38.753643	39.679230	41.057312	41.560841	41.384296	42.597370	43.235161	41.740002	41.675892	41.095894	40.594631	41.698425	42.366325	43.066696	42.360050	41.476444	41.431835	41.827740	43.004009	43.645458	43.735386	44.501995	45.513660	44.725254	44.172634	43.073566	41.800446	41.619907	41.019890	40.726212	41.401192	39.693542	39.296371	39.784157	41.597210	41.796234	41.642895	42.471134	43.744038	42.371624	41.785976	41.169033	40.615627	41.381748	42.261673	42.652863	42.413704	41.317955	41.569775	41.812031	42.739635	43.868095	43.688797	44.657021	44.826630	44.563747	43.760975	42.821781	41.791859	41.843346	40.667271	40.577793	40.842449	39.794586	39.102825	40.077682
region_sum	region_3	3	17487	0.000000	0.000000	0.000000	0.000000	0.000000	0.797303	8.375258	18.436642	26.404518	32.616596	35.020920	37.318787	38.602406	40.332748	39.499889	38.601604	36.611153	35.019932	34.819695	34.432983	33.616356	34.218418	33.735703	34.339314	33.895313	34.211933	33.498562	32.222012	30.834728	30.309040	30.508333	31.807394	32.702011	33.868374	34.710613	33.896088	33.766109	31.310957	30.224728	30.806452	30.584927	30.886248	30.143963	30.111757	31.210297	32.873081	32.749592	32.530800	32.299751	31.546755	31.512341	31.486599	30.601683	31.666151	31.986288	32.474762	32.157677	32.329636	32.311054	30.769499	29.774677	29.296751	29.980600	30.850382	32.327175	34.006523	34.954685	34.605709	34.379124	32.042503	31.141373	31.109306	30.877165	31.473127	30.775787	31.119804	31.802359	33.448372	33.511444	33.211586	32.935516	32.224407	31.898949	31.927689	30.870741	31.717236	31.812943	32.889423	32.204506	33.449200	32.539265	31.019947	30.044983	29.477375	30.307581	31.250008	32.339794	33.717129	34.405735	34.325836	34.094540	31.833616	31.009581	31.103447	30.812668	31.423065	30.496231	30.865875	31.648218	33.520424
region_avg	region_1	1	29332	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
region_avg	region_2	2	19521	0.000000	0.000000	0.000000	0.000000	0.013258	0.091639	0.162315	0.223373	0.253304	0.262424	0.279144	0.269696	0.261278	0.262394	0.266968	0.268564	0.265809	0.268648	0.267389	0.259695	0.255970	0.248862	0.243725	0.249900	0.249947	0.255332	0.251095	0.244400	0.246113	0.248273	0.252799	0.258226	0.256956	0.261440	0.265074	0.260008	0.253921	0.248658	0.240862	0.241960	0.238948	0.233536	0.236684	0.230493	0.226629	0.232042	0.240101	0.243046	0.242013	0.249107	0.252837	0.244094	0.243719	0.240327	0.237396	0.243850	0.247756	0.251852	0.247720	0.242552	0.242291	0.244607	0.251485	0.255237	0.255762	0.260246	0.266162	0.261551	0.258319	0.251892	0.244447	0.243391	0.239882	0.238165	0.242112	0.232126	0.229803	0.232656	0.243259	0.244422	0.243526	0.248369	0.255813	0.247787	0.244362	0.240755	0.237518	0.241999	0.247144	0.249432	0.248033	0.241625	0.243098	0.244515	0.249939	0.256539	0.255490	0.261152	0.262144	0.260607	0.255912	0.250420	0.244397	0.244698	0.237820	0.237297	0.238845	0.232717	0.228671	0.234372
region_avg	region_3	3	17487	0.000000	0.000000	0.000000	0.000000	0.000000	0.005111	0.053688	0.118184	0.169260	0.209081	0.224493	0.239223	0.247451	0.258543	0.253204	0.247446	0.234687	0.224487	0.223203	0.220724	0.215489	0.219349	0.216255	0.220124	0.217278	0.219307	0.214734	0.206551	0.197659	0.194289	0.195566	0.203894	0.209628	0.217105	0.222504	0.217283	0.216449	0.200711	0.193748	0.197477	0.196057	0.197989	0.193231	0.193024	0.200066	0.210725	0.209933	0.208531	0.207050	0.202223	0.202002	0.201837	0.196165	0.202988	0.205040	0.208172	0.206139	0.207241	0.207122	0.197240	0.190863	0.187800	0.192183	0.197759	0.207225	0.217991	0.224068	0.221831	0.220379	0.205401	0.199624	0.199419	0.197931	0.201751	0.197281	0.199486	0.203861	0.214413	0.214817	0.212895	0.211125	0.206567	0.204480	0.204665	0.197889	0.203316	0.203929	0.210830	0.206439	0.214418	0.208585	0.198846	0.192596	0.188958	0.194279	0.200321	0.207306	0.216135	0.220550	0.220037	0.218555	0.204062	0.198779	0.199381	0.197517	0.201430	0.195489	0.197858	0.202873	0.214875
region_std	region_1	1	29332	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
