stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
region_area	region_2	2	19521	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171
region_area	region_3	3	17487	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
region_sum	region_1	1	29332	0.112677	0.103183	0.096595	0.098655	0.096828	0.104693	0.113820	0.115417	0.128091	0.143915	0.157297	0.173085	0.190718	0.209039	0.221768	0.244949	0.266552	0.290827	0.324639	0.349479	0.368878	0.385560	0.401561	0.420727	0.439608	0.456866	0.483786	0.500836	0.516700	0.531851	0.536644	0.539750	0.539309	0.537567	0.535747	0.538434	0.536068	0.539700	0.541848	0.535721	0.535553	0.536393	0.533303	0.531000	0.529381	0.525990	0.516713	0.514068	0.510101	0.508556	0.513634	0.512734	0.506485	0.498368	0.489287	0.482840	0.477424	0.472009	0.474302	0.471485	0.469332	0.466323	0.457260	0.447313	0.435749	0.424331	0.414486	0.410494	0.404016	0.404636	0.405609	0.399775	0.400169	0.402725	0.402233	0.402429	0.403375	0.402849	0.396525	0.396590	0.395784	0.397647	0.406376	0.409610	0.407318	0.402657	0.396839	0.393488	0.391191	0.389096	0.394726	0.395510	0.396593	0.396798	0.390643	0.383467	0.374525	0.365658	0.358374	0.356914	0.352997	0.356024	0.359469	0.355952	0.358414	0.362913	0.364230	0.366531	0.369781	0.371565
region_sum	region_2	2	19521	0.158310	0.146498	0.275668	0.459616	1.100047	1.686713	2.836338	4.434544	6.810510	8.020467	12.758209	16.450714	19.298756	22.644951	26.484921	30.150970	33.565350	37.243027	43.390533	48.210033	54.837578	61.421898	67.558235	73.237915	79.757919	87.203827	94.616211	103.929832	109.692795	113.402840	118.211594	125.433189	128.216232	130.829254	136.933792	142.326874	149.417419	154.857956	161.261871	168.152969	176.459610	180.186096	191.222229	198.789459	203.533356	207.649246	211.606140	213.802078	214.400360	214.272522	216.903748	217.150085	219.113159	220.399643	220.639969	219.654419	219.211746	219.775589	220.155762	222.593307	221.129807	217.114792	213.941223	213.474274	208.729858	203.781921	202.647766	201.501495	202.403946	202.250656	203.448547	205.428864	209.206467	208.922394	216.064682	220.321365	221.695129	222.022064	222.426361	221.299652	218.686981	215.526917	215.372269	213.366119	213.336823	213.037125	211.985229	209.783813	208.241806	207.877548	207.587433	209.479752	207.689377	203.350555	199.793716	199.014252	194.212769	189.216492	188.071304	187.024078	188.108200	188.248383	189.680771	192.003448	196.109131	196.128799	203.469406	208.153961	210.135712	211.441742
region_sum	region_3	3	17487	0.149069	0.137751	0.219552	0.340438	1.007406	1.601081	2.274116	3.421952	4.238977	6.103033	7.442755	9.214107	10.410191	13.661374	16.604622	20.316032	25.088818	27.909986	31.715376	38.338711	41.554764	46.722805	51.487072	57.806892	61.701729	68.280472	77.282433	84.969330	93.876022	98.496887	104.660934	110.501266	113.356552	115.986336	121.315887	125.645813	134.125610	140.264175	145.066528	150.440598	153.508621	158.579590	161.239807	163.629456	163.965012	167.328018	169.073807	171.274551	174.372208	173.999146	174.078751	177.709747	176.337540	176.605499	175.944839	177.010498	174.965363	175.646011	179.235321	181.338913	184.775131	183.598267	183.694122	183.331619	179.973099	176.260239	175.383270	174.016357	177.165421	178.705460	179.158371	180.285950	179.418808	180.604416	179.773346	178.675766	175.644455	175.656845	174.517746	174.112656	174.956436	172.665527	170.899261	172.765259	170.126694	169.142181	167.464981	167.615860	164.899673	164.965622	168.150894	170.167007	173.579514	172.425751	172.396301	171.951126	168.526291	164.713394	163.793762	162.469742	165.764969	167.455032	168.049347	169.324615	168.621048	169.990601	169.306076	168.575516	166.028122	166.599457
region_avg	region_1	1	29332	0.000909	0.000832	0.000779	0.000796	0.000781	0.000844	0.000918	0.000931	0.001033	0.001161	0.001269	0.001396	0.001538	0.001686	0.001788	0.001975	0.002150	0.002345	0.002618	0.002818	0.002975	0.003109	0.003238	0.003393	0.003545	0.003684	0.003902	0.004039	0.004167	0.004289	0.004328	0.004353	0.004349	0.004335	0.004321	0.004342	0.004323	0.004352	0.004370	0.004320	0.004319	0.004326	0.004301	0.004282	0.004269	0.004242	0.004167	0.004146	0.004114	0.004101	0.004142	0.004135	0.004085	0.004019	0.003946	0.003894	0.003850	0.003807	0.003825	0.003802	0.003785	0.003761	0.003688	0.003607	0.003514	0.003422	0.003343	0.003310	0.003258	0.003263	0.003271	0.003224	0.003227	0.003248	0.003244	0.003245	0.003253	0.003249	0.003198	0.003198	0.003192	0.003207	0.003277	0.003303	0.003285	0.003247	0.003200	0.003173	0.003155	0.003138	0.003183	0.003190	0.003198	0.003200	0.003150	0.003092	0.003020	0.002949	0.002890	0.002878	0.002847	0.002871	0.002899	0.002871	0.002890	0.002927	0.002937	0.002956	0.002982	0.002996
region_avg	region_2	2	19521	0.000926	0.000857	0.001612	0.002688	0.006433	0.009864	0.016587	0.025933	0.039828	0.046903	0.074609	0.096203	0.112858	0.132427	0.154883	0.176321	0.196289	0.217795	0.253746	0.281930	0.320688	0.359192	0.395077	0.428292	0.466421	0.509964	0.553311	0.607777	0.641478	0.663175	0.691296	0.733527	0.749803	0.765083	0.800782	0.832321	0.873786	0.905602	0.943052	0.983351	1.031928	1.053720	1.118259	1.162511	1.190253	1.214323	1.237463	1.250305	1.253803	1.253056	1.268443	1.269884	1.281363	1.288887	1.290292	1.284529	1.281940	1.285237	1.287461	1.301715	1.293157	1.269677	1.251118	1.248388	1.220642	1.191707	1.185075	1.178371	1.183649	1.182752	1.189758	1.201338	1.223430	1.221768	1.263536	1.288429	1.296463	1.298375	1.300739	1.294150	1.278871	1.260391	1.259487	1.247755	1.247584	1.245831	1.239680	1.226806	1.217788	1.215658	1.213962	1.225028	1.214558	1.189185	1.168384	1.163826	1.135747	1.106529	1.099832	1.093708	1.100048	1.100868	1.109244	1.122827	1.146837	1.146952	1.189880	1.217275	1.228864	1.236501
region_avg	region_3	3	17487	0.000956	0.000883	0.001407	0.002182	0.006458	0.010263	0.014578	0.021936	0.027173	0.039122	0.047710	0.059065	0.066732	0.087573	0.106440	0.130231	0.160826	0.178910	0.203304	0.245761	0.266377	0.299505	0.330045	0.370557	0.395524	0.437695	0.495400	0.544675	0.601769	0.631390	0.670903	0.708341	0.726645	0.743502	0.777666	0.805422	0.859780	0.899129	0.929914	0.964363	0.984030	1.016536	1.033589	1.048907	1.051058	1.072616	1.083806	1.097914	1.117771	1.115379	1.115889	1.139165	1.130369	1.132087	1.127851	1.134683	1.121573	1.125936	1.148944	1.162429	1.184456	1.176912	1.177526	1.175203	1.153674	1.129873	1.124252	1.115489	1.135676	1.145548	1.148451	1.155679	1.150121	1.157721	1.152393	1.145357	1.125926	1.126005	1.118703	1.116107	1.121516	1.106830	1.095508	1.107470	1.090556	1.084245	1.073493	1.074461	1.057049	1.057472	1.077890	1.090814	1.112689	1.105293	1.105104	1.102251	1.080297	1.055855	1.049960	1.041473	1.062596	1.073430	1.077239	1.085414	1.080904	1.089683	1.085295	1.080612	1.064283	1.067945
region_std	region_1	1	29332	0.000000	0.000001	0.000084	0.000367	0.000360	0.000475	0.000557	0.000517	0.000585	0.000644	0.000676	0.000694	0.000688	0.000706	0.000683	0.000767	0.000803	0.000820	0.000949	0.000981	0.001025	0.001030	0.001044	0.001091	0.001143	0.001176	0.001373	0.001436	0.001460	0.001586	0.001573	0.001578	0.001555	0.001522	0.001473	0.001444	0.001382	0.001328	0.001293	0.001246	0.001207	0.001172	0.001149	0.001121	0.001080	0.001052	0.001015	0.001003	0.000989	0.000966	0.001012	0.001019	0.001013	0.000989	0.000956	0.000933	0.000933	0.000926	0.000985	0.001011	0.001014	0.001051	0.001017	0.000988	0.000940	0.000882	0.000818	0.000811	0.000768	0.000786	0.000831	0.000825	0.000844	0.000870	0.000889	0.000905	0.000906	0.000901	0.000869	0.000863	0.000855	0.000852	0.000911	0.000937	0.000934	0.000911	0.000871	0.000837	0.000829	0.000823	0.000871	0.000903	0.000913	0.000942	0.000912	0.000882	0.000833	0.000775	0.000712	0.000716	0.000683	0.000722	0.000784	0.000784	0.000809	0.000840	0.000861	0.000877	0.000882	0.000879
