stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
region_area	region_2	2	19521	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171
region_area	region_3	3	17487	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
region_sum	region_1	1	29332	0.011802	0.010724	0.009820	0.009193	0.009389	0.009216	0.009964	0.010833	0.010985	0.012191	0.013697	0.014971	0.016473	0.018152	0.019895	0.021107	0.023313	0.025369	0.027679	0.030897	0.033262	0.035108	0.036696	0.038219	0.040043	0.041840	0.043482	0.046044	0.047667	0.049177	0.050619	0.051075	0.051371	0.051329	0.051163	0.050990	0.051245	0.051020	0.051366	0.051570	0.050987	0.050971	0.051051	0.050757	0.050538	0.050384	0.050061	0.049178	0.048926	0.048549	0.048402	0.048885	0.048799	0.048205	0.047432	0.046568	0.045954	0.045439	0.044923	0.045142	0.044874	0.044669	0.044382	0.043520	0.042573	0.041472	0.040386	0.039449	0.039069	0.038452	0.038511	0.038604	0.038049	0.038086	0.038329	0.038282	0.038301	0.038391	0.038341	0.037739	0.037745	0.037669	0.037846	0.038677	0.038985	0.038766	0.038323	0.037769	0.037450	0.037232	0.037032	0.037568	0.037643	0.037746	0.037765	0.037179	0.036496	0.035645	0.034801	0.034108	0.033969	0.033596	0.033885	0.034212	0.033878	0.034112	0.034540	0.034666	0.034885	0.035194
region_sum	region_2	2	19521	0.016564	0.015067	0.013943	0.026237	0.043744	0.104697	0.160533	0.269948	0.422058	0.648190	0.763348	1.214262	1.565696	1.836759	2.155233	2.520701	2.869618	3.194582	3.544605	4.129693	4.588389	5.219166	5.845829	6.429854	6.970417	7.590957	8.299623	9.005095	9.891521	10.440009	10.793112	11.250789	11.938097	12.202979	12.451674	13.032673	13.545949	14.220799	14.738600	15.348095	16.003960	16.794542	17.149212	18.199572	18.919790	19.371277	19.763012	20.139614	20.348606	20.405565	20.393383	20.643808	20.667255	20.854090	20.976526	20.999407	20.905617	20.863470	20.917145	20.953323	21.185308	21.046028	20.663893	20.361856	20.317419	19.865864	19.394945	19.286987	19.177896	19.263790	19.249222	19.363213	19.551691	19.911221	19.884184	20.563946	20.969078	21.099831	21.130936	21.169424	21.062183	20.813522	20.512766	20.498056	20.307131	20.304325	20.275805	20.175684	19.966173	19.819408	19.784739	19.757139	19.937237	19.766834	19.353886	19.015364	18.941177	18.484196	18.008675	17.899685	17.800026	17.903181	17.916538	18.052870	18.273928	18.664684	18.666567	19.365196	19.811049	19.999657
region_sum	region_3	3	17487	0.015599	0.014188	0.013110	0.020896	0.032401	0.095880	0.152383	0.216439	0.325684	0.403445	0.580856	0.708364	0.876952	0.990790	1.300221	1.580345	1.933578	2.387828	2.656332	3.018510	3.648887	3.954974	4.446843	4.900281	5.501770	5.872463	6.498592	7.355356	8.086955	8.934648	9.374435	9.961106	10.516957	10.788709	11.039001	11.546238	11.958340	12.765397	13.349644	13.806708	14.318180	14.610183	15.092809	15.345993	15.573427	15.605370	15.925441	16.091595	16.301052	16.595871	16.560368	16.567951	16.913528	16.782921	16.808430	16.745546	16.846966	16.652327	16.717104	17.058714	17.258932	17.585974	17.473951	17.483080	17.448582	17.128935	16.775557	16.692099	16.562004	16.861717	17.008293	17.051395	17.158705	17.076178	17.189028	17.109924	17.005470	16.716961	16.718140	16.609724	16.571161	16.651480	16.433437	16.265335	16.442934	16.191805	16.098099	15.938472	15.952840	15.694318	15.700606	16.003756	16.195637	16.520435	16.410620	16.407818	16.365450	16.039484	15.676597	15.589067	15.463047	15.776675	15.937526	15.994089	16.115475	16.048502	16.178844	16.113703	16.044178	15.801726
region_avg	region_1	1	29332	0.000095	0.000086	0.000079	0.000074	0.000076	0.000074	0.000080	0.000087	0.000089	0.000098	0.000110	0.000121	0.000133	0.000146	0.000160	0.000170	0.000188	0.000205	0.000223	0.000249	0.000268	0.000283	0.000296	0.000308	0.000323	0.000337	0.000351	0.000371	0.000384	0.000397	0.000408	0.000412	0.000414	0.000414	0.000413	0.000411	0.000413	0.000411	0.000414	0.000416	0.000411	0.000411	0.000412	0.000409	0.000408	0.000406	0.000404	0.000397	0.000395	0.000392	0.000390	0.000394	0.000394	0.000389	0.000383	0.000376	0.000371	0.000366	0.000362	0.000364	0.000362	0.000360	0.000358	0.000351	0.000343	0.000334	0.000326	0.000318	0.000315	0.000310	0.000311	0.000311	0.000307	0.000307	0.000309	0.000309	0.000309	0.000310	0.000309	0.000304	0.000304	0.000304	0.000305	0.000312	0.000314	0.000313	0.000309	0.000305	0.000302	0.000300	0.000299	0.000303	0.000304	0.000304	0.000305	0.000300	0.000294	0.000287	0.000281	0.000275	0.000274	0.000271	0.000273	0.000276	0.000273	0.000275	0.000279	0.000280	0.000281	0.000284
region_avg	region_2	2	19521	0.000097	0.000088	0.000082	0.000153	0.000256	0.000612	0.000939	0.001579	0.002468	0.003791	0.004464	0.007101	0.009156	0.010741	0.012604	0.014741	0.016781	0.018682	0.020729	0.024150	0.026833	0.030521	0.034186	0.037601	0.040763	0.044392	0.048536	0.052661	0.057845	0.061053	0.063118	0.065794	0.069813	0.071362	0.072817	0.076214	0.079216	0.083163	0.086191	0.089755	0.093590	0.098214	0.100288	0.106430	0.110642	0.113282	0.115573	0.117776	0.118998	0.119331	0.119260	0.120724	0.120861	0.121954	0.122670	0.122804	0.122255	0.122009	0.122322	0.122534	0.123891	0.123076	0.120841	0.119075	0.118815	0.116175	0.113421	0.112789	0.112151	0.112654	0.112569	0.113235	0.114337	0.116440	0.116282	0.120257	0.122626	0.123391	0.123573	0.123798	0.123171	0.121717	0.119958	0.119872	0.118755	0.118739	0.118572	0.117986	0.116761	0.115903	0.115700	0.115539	0.116592	0.115596	0.113181	0.111201	0.110767	0.108095	0.105314	0.104677	0.104094	0.104697	0.104775	0.105572	0.106865	0.109150	0.109161	0.113247	0.115854	0.116957
region_avg	region_3	3	17487	0.000100	0.000091	0.000084	0.000134	0.000208	0.000615	0.000977	0.001387	0.002088	0.002586	0.003723	0.004541	0.005621	0.006351	0.008335	0.010130	0.012395	0.015307	0.017028	0.019349	0.023390	0.025352	0.028505	0.031412	0.035268	0.037644	0.041658	0.047150	0.051839	0.057273	0.060093	0.063853	0.067416	0.069158	0.070763	0.074014	0.076656	0.081829	0.085575	0.088505	0.091783	0.093655	0.096749	0.098372	0.099830	0.100034	0.102086	0.103151	0.104494	0.106384	0.106156	0.106205	0.108420	0.107583	0.107746	0.107343	0.107993	0.106746	0.107161	0.109351	0.110634	0.112731	0.112013	0.112071	0.111850	0.109801	0.107536	0.107001	0.106167	0.108088	0.109028	0.109304	0.109992	0.109463	0.110186	0.109679	0.109009	0.107160	0.107168	0.106473	0.106225	0.106740	0.105343	0.104265	0.105403	0.103794	0.103193	0.102170	0.102262	0.100605	0.100645	0.102588	0.103818	0.105900	0.105196	0.105178	0.104907	0.102817	0.100491	0.099930	0.099122	0.101133	0.102164	0.102526	0.103304	0.102875	0.103711	0.103293	0.102847	0.101293
region_std	region_1	1	29332	0.000000	0.000000	0.000000	0.000008	0.000035	0.000034	0.000045	0.000053	0.000049	0.000056	0.000061	0.000064	0.000066	0.000065	0.000067	0.000065	0.000073	0.000076	0.000078	0.000090	0.000093	0.000098	0.000098	0.000099	0.000104	0.000109	0.000112	0.000131	0.000137	0.000139	0.000151	0.000150	0.000150	0.000148	0.000145	0.000140	0.000137	0.000132	0.000126	0.000123	0.000119	0.000115	0.000112	0.000109	0.000107	0.000103	0.000100	0.000097	0.000095	0.000094	0.000092	0.000096	0.000097	0.000096	0.000094	0.000091	0.000089	0.000089	0.000088	0.000094	0.000096	0.000097	0.000100	0.000097	0.000094	0.000089	0.000084	0.000078	0.000077	0.000073	0.000075	0.000079	0.000079	0.000080	0.000083	0.000085	0.000086	0.000086	0.000086	0.000083	0.000082	0.000081	0.000081	0.000087	0.000089	0.000089	0.000087	0.000083	0.000080	0.000079	0.000078	0.000083	0.000086	0.000087	0.000090	0.000087	0.000084	0.000079	0.000074	0.000068	0.000068	0.000065	0.000069	0.000075	0.000075	0.000077	0.000080	0.000082	0.000083	0.000084
