stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
region_area	region_2	2	19521	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171
region_area	region_3	3	17487	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
region_sum	region_1	1	29332	0.000000	0.000000	0.003099	0.029738	0.007241	0.037553	0.037688	0.000000	0.035969	0.042154	0.026672	0.029446	0.030679	0.029062	0.000000	0.040764	0.031131	0.040763	0.083865	0.045673	0.023484	0.013390	0.013002	0.030836	0.033909	0.031320	0.082193	0.043018	0.045004	0.050114	0.009329	0.009670	0.000000	0.000000	0.004642	0.030184	0.009142	0.041188	0.036567	0.000000	0.031960	0.038579	0.021759	0.028066	0.033237	0.026342	0.000000	0.034093	0.027279	0.039155	0.070748	0.041282	0.018297	0.013121	0.010898	0.024564	0.028480	0.027059	0.062988	0.035116	0.039522	0.036200	0.008254	0.007111	0.000000	0.000000	0.004850	0.028564	0.009577	0.040513	0.035871	0.000000	0.031984	0.038869	0.021660	0.028190	0.033029	0.026460	0.000000	0.034422	0.027122	0.039249	0.070730	0.041051	0.018568	0.013257	0.011449	0.024805	0.028105	0.027099	0.063044	0.035002	0.038772	0.036188	0.007478	0.007261	0.000000	0.000000	0.004943	0.028434	0.009295	0.040065	0.036014	0.000000	0.031761	0.038670	0.021471	0.027948	0.032978	0.026156
region_sum	region_2	2	19521	0.000000	0.000000	0.652543	0.902000	3.072273	2.741927	5.251069	7.172964	10.637062	4.450378	20.943539	15.557227	10.629339	11.940690	13.193209	11.115355	8.514503	8.351023	19.165451	11.560160	19.376028	18.331627	15.398357	12.502991	16.134125	20.392921	20.131643	29.704962	12.504204	2.932882	9.015041	21.527435	0.000000	0.000000	17.978922	14.726887	23.748865	16.150206	22.032120	25.512543	33.760876	12.291991	51.028645	34.638615	23.089931	23.127838	25.217871	19.004311	13.737850	12.629148	28.295994	16.988838	27.009848	24.173714	19.898401	15.006284	18.989479	24.503231	23.534908	33.984421	14.058968	3.237593	9.430672	22.987391	0.000000	0.000000	18.698393	15.589902	23.870705	16.240686	22.410679	25.158796	33.242950	11.932001	51.502426	34.987782	23.072626	21.827049	25.163567	19.144600	13.704866	12.715631	28.368876	17.133057	27.228662	24.499048	20.386845	14.996539	18.985111	24.376879	23.558857	33.802334	13.913988	3.249880	9.281458	22.666637	0.000000	0.000000	18.572453	15.236829	23.593393	16.201752	22.036139	25.293724	33.264439	11.869795	51.048336	34.686810	23.018988	23.207684
region_sum	region_3	3	17487	0.000000	0.000000	0.418763	0.595345	3.227793	2.913583	3.169811	5.221972	3.226227	7.725026	4.526815	5.679559	1.741003	10.506349	7.901819	10.429944	14.492537	3.760508	7.192385	19.890106	2.179272	10.656680	7.739600	14.611643	1.999802	14.694950	26.400229	19.963261	26.437141	5.891767	14.494535	13.800898	0.000000	0.000000	14.299907	9.938566	31.404911	20.432037	15.260214	19.859365	10.064799	22.035067	11.515873	12.123148	3.582587	20.370428	12.940931	16.388779	21.783678	5.295080	9.369109	28.019737	2.874612	12.886473	8.731563	17.947536	2.217916	16.850662	30.622381	21.927101	29.082939	6.419044	15.522448	14.112951	0.000000	0.000000	14.554060	10.259287	31.785872	20.773540	15.392258	19.739004	10.137037	21.945053	11.412140	12.267815	3.717085	20.259464	12.799764	16.403393	21.993029	5.420687	9.674566	27.704908	2.862291	13.031625	8.933943	17.884253	2.129992	16.920723	30.593452	22.157679	29.347942	6.513604	15.542955	14.193729	0.000000	0.000000	14.671947	10.193550	31.980412	20.474861	15.123814	19.612059	10.080074	22.007889	11.231965	12.271324	3.698214	20.261507
region_avg	region_1	1	29332	0.000000	0.000000	0.000025	0.000240	0.000058	0.000303	0.000304	0.000000	0.000290	0.000340	0.000215	0.000237	0.000247	0.000234	0.000000	0.000329	0.000251	0.000329	0.000676	0.000368	0.000189	0.000108	0.000105	0.000249	0.000273	0.000253	0.000663	0.000347	0.000363	0.000404	0.000075	0.000078	0.000000	0.000000	0.000037	0.000243	0.000074	0.000332	0.000295	0.000000	0.000258	0.000311	0.000175	0.000226	0.000268	0.000212	0.000000	0.000275	0.000220	0.000316	0.000571	0.000333	0.000148	0.000106	0.000088	0.000198	0.000230	0.000218	0.000508	0.000283	0.000319	0.000292	0.000067	0.000057	0.000000	0.000000	0.000039	0.000230	0.000077	0.000327	0.000289	0.000000	0.000258	0.000313	0.000175	0.000227	0.000266	0.000213	0.000000	0.000278	0.000219	0.000317	0.000570	0.000331	0.000150	0.000107	0.000092	0.000200	0.000227	0.000219	0.000508	0.000282	0.000313	0.000292	0.000060	0.000059	0.000000	0.000000	0.000040	0.000229	0.000075	0.000323	0.000290	0.000000	0.000256	0.000312	0.000173	0.000225	0.000266	0.000211
region_avg	region_2	2	19521	0.000000	0.000000	0.003816	0.005275	0.017967	0.016035	0.030708	0.041947	0.062205	0.026026	0.122477	0.090978	0.062160	0.069829	0.077153	0.065002	0.049792	0.048836	0.112079	0.067603	0.113310	0.107203	0.090049	0.073117	0.094352	0.119257	0.117729	0.173713	0.073124	0.017151	0.052720	0.125891	0.000000	0.000000	0.105140	0.086122	0.138882	0.094446	0.128843	0.149196	0.197432	0.071883	0.298413	0.202565	0.135029	0.135251	0.147473	0.111136	0.080338	0.073855	0.165474	0.099350	0.157952	0.141367	0.116365	0.087756	0.111050	0.143294	0.137631	0.198739	0.082216	0.018933	0.055150	0.134429	0.000000	0.000000	0.109347	0.091169	0.139595	0.094975	0.131057	0.147127	0.194403	0.069778	0.301184	0.204607	0.134928	0.127644	0.147155	0.111957	0.080145	0.074360	0.165900	0.100193	0.159232	0.143269	0.119221	0.087699	0.111024	0.142555	0.137771	0.197674	0.081368	0.019005	0.054278	0.132553	0.000000	0.000000	0.108611	0.089104	0.137973	0.094747	0.128866	0.147917	0.194529	0.069414	0.298528	0.202847	0.134614	0.135717
region_avg	region_3	3	17487	0.000000	0.000000	0.002684	0.003816	0.020691	0.018677	0.020319	0.033474	0.020681	0.049519	0.029018	0.036407	0.011160	0.067348	0.050653	0.066859	0.092901	0.024106	0.046105	0.127501	0.013970	0.068312	0.049613	0.093664	0.012819	0.094198	0.169232	0.127970	0.169469	0.037768	0.092914	0.088467	0.000000	0.000000	0.091666	0.063709	0.201314	0.130975	0.097822	0.127304	0.064518	0.141250	0.073820	0.077712	0.022965	0.130580	0.082955	0.105056	0.139639	0.033943	0.060058	0.179614	0.018427	0.082606	0.055972	0.115048	0.014217	0.108017	0.196297	0.140558	0.186429	0.041148	0.099503	0.090468	0.000000	0.000000	0.093295	0.065765	0.203756	0.133164	0.098668	0.126532	0.064981	0.140673	0.073155	0.078640	0.023827	0.129868	0.082050	0.105150	0.140981	0.034748	0.062016	0.177596	0.018348	0.083536	0.057269	0.114643	0.013654	0.108466	0.196112	0.142036	0.188128	0.041754	0.099634	0.090985	0.000000	0.000000	0.094051	0.065343	0.205003	0.131249	0.096948	0.125718	0.064616	0.141076	0.072000	0.078662	0.023706	0.129881
region_std	region_1	1	29332	0.000000	0.000000	0.000277	0.001448	0.000458	0.001402	0.001504	0.000000	0.001508	0.001605	0.001403	0.001346	0.001209	0.001347	0.000000	0.001748	0.001413	0.001475	0.002349	0.001647	0.001302	0.000845	0.000870	0.001419	0.001503	0.001392	0.002501	0.001713	0.001630	0.002021	0.000613	0.000865	0.000000	0.000000	0.000415	0.001344	0.000601	0.001479	0.001440	0.000000	0.001304	0.001418	0.001116	0.001242	0.001308	0.001173	0.000000	0.001347	0.001209	0.001405	0.001933	0.001478	0.000971	0.000827	0.000722	0.001111	0.001259	0.001198	0.001823	0.001385	0.001418	0.001430	0.000542	0.000636	0.000000	0.000000	0.000434	0.001268	0.000627	0.001456	0.001412	0.000000	0.001305	0.001425	0.001111	0.001247	0.001300	0.001178	0.000000	0.001359	0.001202	0.001407	0.001934	0.001469	0.000977	0.000835	0.000751	0.001119	0.001243	0.001199	0.001823	0.001380	0.001394	0.001429	0.000483	0.000649	0.000000	0.000000	0.000442	0.001262	0.000604	0.001441	0.001418	0.000000	0.001298	0.001420	0.001102	0.001237	0.001299	0.001166
