stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
region_area	region_2	2	19521	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171
region_area	region_3	3	17487	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
region_sum	region_1	1	29332	0.143119	0.183277	0.227650	0.279769	0.324555	0.375134	0.421166	0.453694	0.492574	0.528364	0.555330	0.579141	0.599283	0.614787	0.619848	0.632136	0.637993	0.642607	0.652777	0.648517	0.636112	0.619969	0.602989	0.589296	0.574735	0.558203	0.551459	0.532495	0.513063	0.493834	0.465246	0.438695	0.412071	0.387943	0.367126	0.353507	0.335589	0.325886	0.314528	0.295385	0.285355	0.276648	0.264010	0.253649	0.244804	0.234593	0.219540	0.214054	0.206836	0.202358	0.203833	0.196438	0.184308	0.172908	0.162968	0.157610	0.153474	0.149136	0.152431	0.147370	0.143391	0.138534	0.128088	0.119827	0.112107	0.106556	0.103708	0.106650	0.104414	0.109137	0.110765	0.103771	0.105491	0.107503	0.104510	0.103720	0.104010	0.102596	0.096050	0.099105	0.099542	0.102282	0.110327	0.108676	0.102347	0.096810	0.092745	0.092932	0.093782	0.094152	0.101797	0.100504	0.100062	0.098813	0.091691	0.086994	0.082664	0.080335	0.080496	0.086128	0.086273	0.093221	0.097028	0.092084	0.095798	0.099741	0.098649	0.099286	0.100701	0.100060
region_sum	region_2	2	19521	0.249776	0.484955	1.092552	2.171174	4.370446	7.323670	11.586345	16.875448	23.323511	28.786896	37.926765	45.704956	52.330109	59.168461	66.094353	72.328606	77.786301	83.005066	90.132141	95.032219	101.085182	106.205635	110.070023	112.827599	115.909889	119.301399	121.935226	125.833267	125.278511	122.625717	121.447586	122.736275	119.107780	115.913338	116.705070	116.338875	117.473351	116.387138	116.234062	116.293907	117.416412	113.324638	117.302635	116.297646	112.387589	108.623009	105.417068	100.989120	95.889542	91.209770	90.279045	86.726906	85.543282	83.541016	80.658646	77.050240	74.746857	73.735802	72.360092	73.011436	69.000359	63.524185	60.545753	60.906239	56.302349	52.890717	54.161144	54.309025	55.922009	55.304508	55.888771	56.591450	58.396099	54.997475	60.295315	60.342495	57.717735	55.471546	54.451267	52.402138	49.817787	47.829132	49.625999	48.561707	49.845039	50.127213	49.444355	47.871315	47.610584	48.527954	48.977089	51.307312	48.825493	44.972466	43.645489	45.560555	42.419201	40.463673	43.095581	44.408554	47.130688	47.592247	49.154018	50.919247	53.714855	51.263157	57.420677	58.151176	56.089001	54.551762
region_sum	region_3	3	17487	0.230581	0.427616	0.880568	1.628974	3.328993	5.491789	8.398533	12.411493	16.571381	22.172844	27.410059	33.199467	38.375473	45.547848	51.981945	58.748009	65.978874	70.501595	75.594643	82.922409	85.814445	90.312988	93.723160	98.139465	99.335884	102.993126	108.295708	111.095520	114.380035	112.508385	112.425659	111.839752	108.193649	104.979958	105.009010	103.749596	106.644989	106.080864	103.983315	102.675499	99.051270	98.072739	94.560814	91.422707	86.783173	86.182365	83.696716	82.001839	81.275444	76.846497	73.912811	75.051643	70.307747	68.442680	65.851616	65.462364	61.643879	61.545158	63.905796	63.388859	63.976021	59.315861	57.452110	55.484447	50.940960	47.566231	48.016876	47.296009	50.937668	50.885307	49.408829	48.938869	46.345776	46.678036	44.468426	43.086281	40.422504	42.012028	41.571712	41.993790	43.369560	40.894032	40.097198	43.213654	40.257851	40.362682	39.657303	41.050797	38.850227	40.452492	44.311237	45.117790	46.981247	43.471298	42.870975	42.159935	38.821415	36.680016	38.349701	38.681370	43.369293	44.137115	43.492050	43.893841	42.167606	43.372707	41.950466	41.197163	38.998016	40.942451
region_avg	region_1	1	29332	0.001154	0.001478	0.001836	0.002256	0.002617	0.003025	0.003397	0.003659	0.003972	0.004261	0.004478	0.004670	0.004833	0.004958	0.004999	0.005098	0.005145	0.005182	0.005264	0.005230	0.005130	0.005000	0.004863	0.004752	0.004635	0.004502	0.004447	0.004294	0.004138	0.003983	0.003752	0.003538	0.003323	0.003129	0.002961	0.002851	0.002706	0.002628	0.002537	0.002382	0.002301	0.002231	0.002129	0.002046	0.001974	0.001892	0.001770	0.001726	0.001668	0.001632	0.001644	0.001584	0.001486	0.001394	0.001314	0.001271	0.001238	0.001203	0.001229	0.001188	0.001156	0.001117	0.001033	0.000966	0.000904	0.000859	0.000836	0.000860	0.000842	0.000880	0.000893	0.000837	0.000851	0.000867	0.000843	0.000836	0.000839	0.000827	0.000775	0.000799	0.000803	0.000825	0.000890	0.000876	0.000825	0.000781	0.000748	0.000749	0.000756	0.000759	0.000821	0.000811	0.000807	0.000797	0.000739	0.000702	0.000667	0.000648	0.000649	0.000695	0.000696	0.000752	0.000782	0.000743	0.000773	0.000804	0.000796	0.000801	0.000812	0.000807
region_avg	region_2	2	19521	0.001461	0.002836	0.006389	0.012697	0.025558	0.042828	0.067756	0.098687	0.136395	0.168344	0.221794	0.267280	0.306024	0.346014	0.386517	0.422974	0.454891	0.485410	0.527089	0.555744	0.591141	0.621086	0.643684	0.659811	0.677836	0.697669	0.713072	0.735867	0.732623	0.717109	0.710220	0.717756	0.696537	0.677856	0.682486	0.680344	0.686979	0.680627	0.679731	0.680081	0.686646	0.662717	0.685980	0.680103	0.657237	0.635222	0.616474	0.590580	0.560758	0.533390	0.527948	0.507175	0.500253	0.488544	0.471688	0.450586	0.437116	0.431204	0.423158	0.426967	0.403511	0.371486	0.354069	0.356177	0.329253	0.309302	0.316732	0.317597	0.327029	0.323418	0.326835	0.330944	0.341498	0.321623	0.352604	0.352880	0.337531	0.324395	0.318428	0.306445	0.291332	0.279703	0.290211	0.283987	0.291491	0.293142	0.289148	0.279949	0.278424	0.283789	0.286416	0.300043	0.285529	0.262997	0.255237	0.266436	0.248066	0.236630	0.252021	0.259699	0.275618	0.278317	0.287450	0.297773	0.314122	0.299785	0.335793	0.340065	0.328006	0.319016
region_avg	region_3	3	17487	0.001478	0.002741	0.005645	0.010442	0.021340	0.035204	0.053837	0.079561	0.106227	0.142134	0.175706	0.212817	0.245997	0.291973	0.333218	0.376590	0.422942	0.451933	0.484581	0.531554	0.550093	0.578929	0.600789	0.629099	0.636768	0.660212	0.694203	0.712151	0.733205	0.721208	0.720677	0.716922	0.693549	0.672948	0.673135	0.665062	0.683622	0.680006	0.666560	0.658176	0.634944	0.628671	0.606159	0.586043	0.556302	0.552451	0.536517	0.525653	0.520996	0.492606	0.473800	0.481100	0.450691	0.438735	0.422126	0.419631	0.395153	0.394520	0.409653	0.406339	0.410103	0.380230	0.368283	0.355670	0.326545	0.304912	0.307801	0.303180	0.326524	0.326188	0.316723	0.313711	0.297088	0.299218	0.285054	0.276194	0.259119	0.269308	0.266485	0.269191	0.278010	0.262141	0.257033	0.277011	0.258063	0.258735	0.254213	0.263146	0.249040	0.259311	0.284046	0.289217	0.301162	0.278662	0.274814	0.270256	0.248855	0.235128	0.245831	0.247957	0.278008	0.282930	0.278795	0.281371	0.270305	0.278030	0.268913	0.264084	0.249987	0.262452
region_std	region_1	1	29332	0.000031	0.000105	0.000211	0.000518	0.000565	0.000730	0.000880	0.000918	0.001064	0.001184	0.001280	0.001340	0.001353	0.001413	0.001420	0.001547	0.001583	0.001580	0.001719	0.001695	0.001675	0.001602	0.001548	0.001550	0.001547	0.001511	0.001692	0.001627	0.001526	0.001561	0.001365	0.001234	0.001079	0.000944	0.000828	0.000819	0.000711	0.000714	0.000714	0.000607	0.000613	0.000623	0.000594	0.000582	0.000568	0.000544	0.000449	0.000508	0.000515	0.000535	0.000647	0.000613	0.000526	0.000454	0.000397	0.000421	0.000468	0.000475	0.000592	0.000563	0.000539	0.000536	0.000406	0.000342	0.000263	0.000219	0.000222	0.000385	0.000328	0.000442	0.000475	0.000343	0.000404	0.000445	0.000411	0.000415	0.000420	0.000402	0.000287	0.000391	0.000401	0.000436	0.000553	0.000509	0.000416	0.000351	0.000309	0.000354	0.000402	0.000412	0.000534	0.000499	0.000475	0.000478	0.000342	0.000290	0.000217	0.000183	0.000199	0.000367	0.000307	0.000424	0.000459	0.000326	0.000393	0.000437	0.000404	0.000409	0.000416	0.000398
