stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
region_area	region_2	2	19521	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171
region_area	region_3	3	17487	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
region_sum	region_1	1	29332	1156.670044	1200.654053	1198.914429	1198.071411	1197.660522	1197.417725	1197.308960	1197.299805	1197.276123	1197.265503	1189.398682	1182.212280	1175.636719	1169.576294	1163.987671	1158.784302	1153.929565	1149.414795	1145.175781	1141.284912	1137.666870	1134.308594	1131.166748	1128.222168	1125.462036	1122.889893	1120.431763	1118.165649	1116.035522	1114.031006	1112.184692	1110.445557	1108.813354	1107.269409	1105.813965	1104.421875	1103.115967	1101.856812	1100.659668	1099.556152	1098.477051	1097.431763	1096.458740	1095.524780	1094.619507	1093.753296	1092.950317	1092.144043	1091.376465	1090.625122	1089.861694	1089.150391	1088.484009	1087.838989	1087.211304	1086.589478	1085.977783	1085.385254	1084.765503	1084.193115	1083.624756	1083.064819	1082.547974	1082.035889	1081.537964	1081.049072	1080.564331	1080.060913	1079.585449	1079.084351	1078.600464	1078.147827	1077.666504	1077.192017	1076.731201	1076.272827	1075.809204	1075.357910	1074.932983	1074.474976	1074.030151	1073.572876	1073.089111	1072.637451	1072.208374	1071.781372	1071.358032	1070.921631	1070.489990	1070.058350	1069.594360	1069.160767	1068.720703	1068.282104	1067.873291	1067.463013	1067.062988	1066.665771	1066.262329	1065.833008	1065.418335	1064.969971	1064.532349	1064.135254	1063.704102	1063.267212	1062.843872	1062.413208	1061.978149	1061.546875
region_sum	region_2	2	19521	2488.641846	2557.604980	2582.410156	2630.730469	2699.512939	2764.812988	2818.183594	2859.997314	2896.285400	2936.915283	2958.998779	2983.447021	3013.600830	3042.061035	3066.928223	3092.503174	3120.060547	3146.248779	3160.170654	3181.593262	3196.081299	3211.944336	3229.800293	3250.919189	3267.767578	3279.062988	3290.784912	3292.694580	3311.096924	3338.967773	3360.603516	3368.876709	3396.521484	3424.063477	3432.900391	3443.256104	3444.145996	3452.515869	3455.338623	3455.273682	3446.440430	3458.159180	3432.733398	3421.955811	3423.703369	3425.996826	3423.772705	3426.900879	3436.358887	3445.173340	3437.982178	3440.543457	3434.376709	3431.321533	3432.627441	3438.416504	3439.784668	3434.999512	3431.566162	3418.644287	3424.741943	3441.005127	3452.621582	3450.558350	3470.190674	3490.063477	3490.673096	3492.969482	3487.871582	3489.870605	3486.735107	3481.642334	3468.468750	3477.704102	3447.560547	3432.759766	3431.508301	3431.344727	3426.190674	3426.528076	3433.151367	3439.286621	3429.220215	3430.246338	3421.583984	3416.456055	3416.380859	3421.446777	3422.376709	3416.707031	3412.648193	3399.293701	3404.487793	3421.198730	3433.196777	3431.019043	3450.515625	3469.911377	3470.308105	3473.656250	3468.528564	3471.037354	3469.131348	3464.335693	3451.737549	3460.794189	3431.535400	3417.229980	3416.061035	3415.333740
region_sum	region_3	3	17487	1970.765015	2011.221680	2023.593628	2046.321899	2082.121338	2130.439209	2179.885498	2221.158691	2259.406494	2290.673584	2325.880615	2356.893311	2389.917725	2411.563965	2434.646240	2454.084473	2468.241699	2492.962646	2514.997314	2523.511475	2548.736816	2565.343750	2584.511719	2595.606934	2618.842773	2629.470459	2627.522705	2632.167480	2630.343506	2649.804688	2660.029541	2669.491943	2691.713867	2712.616455	2718.410645	2726.880371	2713.713379	2711.922852	2716.289062	2715.734131	2723.577637	2719.926025	2727.206055	2733.888672	2748.390137	2744.790039	2747.489258	2745.272217	2737.631592	2746.652832	2752.402100	2739.768799	2751.351318	2753.619385	2759.007568	2755.697754	2768.195557	2765.746582	2750.198242	2742.650635	2729.222656	2739.143555	2740.412842	2742.763916	2758.126953	2772.672607	2771.791504	2774.630859	2756.109131	2748.763916	2748.114746	2743.176514	2747.188721	2740.037598	2744.071045	2748.406006	2760.075928	2753.444824	2753.304932	2749.112549	2739.749023	2746.959961	2750.436768	2736.861084	2748.121582	2749.908447	2755.558838	2750.994629	2762.562256	2759.864746	2742.852051	2735.386230	2721.179443	2730.467529	2732.105713	2734.383057	2749.093018	2762.940674	2760.924316	2763.837158	2744.889648	2738.292969	2737.587402	2733.093994	2736.815674	2729.615723	2734.159424	2738.616211	2750.700195	2745.302002
region_avg	region_1	1	29332	9.327984	9.682694	9.668665	9.661866	9.658552	9.656594	9.655718	9.655643	9.655453	9.655367	9.591925	9.533970	9.480941	9.432067	9.386997	9.345035	9.305883	9.269474	9.235289	9.203911	9.174733	9.147650	9.122313	9.098566	9.076306	9.055564	9.035740	9.017465	9.000286	8.984121	8.969232	8.955206	8.942043	8.929592	8.917854	8.906628	8.896096	8.885942	8.876287	8.867389	8.858685	8.850256	8.842409	8.834877	8.827577	8.820591	8.814116	8.807613	8.801423	8.795363	8.789207	8.783471	8.778097	8.772895	8.767833	8.762818	8.757885	8.753107	8.748109	8.743493	8.738910	8.734394	8.730226	8.726096	8.722080	8.718138	8.714229	8.710169	8.706334	8.702293	8.698391	8.694740	8.690859	8.687033	8.683316	8.679620	8.675880	8.672241	8.668815	8.665121	8.661533	8.657845	8.653944	8.650302	8.646842	8.643398	8.639984	8.636465	8.632984	8.629503	8.625761	8.622264	8.618715	8.615178	8.611881	8.608573	8.605347	8.602143	8.598889	8.595428	8.592083	8.588468	8.584938	8.581736	8.578259	8.574736	8.571321	8.567848	8.564340	8.560862
region_avg	region_2	2	19521	14.553461	14.956755	15.101813	15.384389	15.786625	16.168497	16.480606	16.725130	16.937342	17.174944	17.304087	17.447058	17.623396	17.789831	17.935253	18.084814	18.245968	18.399117	18.480530	18.605808	18.690535	18.783300	18.887720	19.011223	19.109753	19.175806	19.244356	19.255524	19.363140	19.526127	19.652653	19.701033	19.862700	20.023764	20.075441	20.136000	20.141205	20.190151	20.206659	20.206280	20.154623	20.223152	20.074465	20.011438	20.021658	20.035069	20.022062	20.040356	20.095667	20.147213	20.105160	20.120136	20.084074	20.066208	20.073845	20.107698	20.115700	20.087717	20.067638	19.992071	20.027731	20.122837	20.190769	20.178703	20.293512	20.409727	20.413294	20.426722	20.396910	20.408600	20.390265	20.360481	20.283443	20.337450	20.161173	20.074619	20.067301	20.066343	20.036203	20.038176	20.076908	20.112787	20.053919	20.059919	20.009264	19.979275	19.978836	20.008461	20.013899	19.980743	19.957006	19.878910	19.909285	20.007010	20.077173	20.064440	20.178453	20.291880	20.294199	20.313780	20.283792	20.298464	20.287317	20.259274	20.185600	20.238562	20.067459	19.983801	19.976965	19.972712
region_avg	region_3	3	17487	12.633109	12.892447	12.971754	13.117448	13.346931	13.656662	13.973625	14.238196	14.483375	14.683805	14.909492	15.108291	15.319985	15.458743	15.606707	15.731311	15.822062	15.980530	16.121778	16.176355	16.338057	16.444511	16.567383	16.638506	16.787455	16.855579	16.843094	16.872868	16.861176	16.985928	17.051472	17.112127	17.254576	17.388567	17.425709	17.480001	17.395599	17.384121	17.412109	17.408552	17.458832	17.435423	17.482090	17.524927	17.617886	17.594809	17.612110	17.597898	17.548920	17.606749	17.643602	17.562620	17.636868	17.651407	17.685946	17.664730	17.744843	17.729145	17.629477	17.581095	17.495016	17.558613	17.566750	17.581820	17.680302	17.773542	17.767895	17.786095	17.667366	17.620281	17.616119	17.584465	17.610184	17.564344	17.590199	17.617987	17.692795	17.650288	17.649391	17.622517	17.562494	17.608717	17.631004	17.543982	17.616163	17.627619	17.663839	17.634581	17.708733	17.691441	17.582384	17.534527	17.443459	17.502996	17.513498	17.528097	17.622391	17.711159	17.698233	17.716906	17.595446	17.553160	17.548637	17.519833	17.543690	17.497538	17.526663	17.555233	17.632694	17.598089
region_std	region_1	1	29332	3.599535	3.748542	3.746019	3.745004	3.745962	3.746871	3.747423	3.747988	3.748271	3.748683	3.732573	3.717691	3.704336	3.692012	3.680635	3.670042	3.660117	3.650953	3.642632	3.634766	3.627619	3.620840	3.614479	3.608651	3.603422	3.598315	3.593783	3.589222	3.585084	3.580922	3.577498	3.574115	3.570959	3.567962	3.565173	3.562793	3.560369	3.558188	3.555869	3.553864	3.551898	3.550251	3.548519	3.546791	3.545358	3.544028	3.542660	3.541300	3.540017	3.538849	3.537840	3.536723	3.535793	3.534694	3.533733	3.532791	3.532129	3.531289	3.530591	3.529629	3.528865	3.527954	3.527330	3.526563	3.525868	3.525222	3.524491	3.524051	3.523399	3.522827	3.522079	3.521550	3.520904	3.520465	3.519823	3.519114	3.518608	3.518154	3.517604	3.516968	3.516384	3.515815	3.515391	3.514813	3.514386	3.513779	3.513212	3.512679	3.512402	3.511868	3.511498	3.510798	3.510352	3.509638	3.509233	3.508713	3.508207	3.507728	3.507171	3.506941	3.506642	3.506446	3.505951	3.505646	3.505182	3.504982	3.504654	3.504279	3.504058	3.503845
