stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
region_area	region_2	2	19521	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171
region_area	region_3	3	17487	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
region_sum	region_1	1	29332	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000	1737.000000
region_sum	region_2	2	19521	2394.000000	2246.000000	2061.000000	1980.000000	1931.000000	1897.000000	1890.000000	1885.000000	1882.000000	1881.000000	1881.000000	1882.000000	1882.000000	1884.000000	1882.000000	1884.000000	1885.000000	1885.000000	1890.000000	1889.000000	1891.000000	1893.000000	1892.000000	1894.000000	1898.000000	1897.000000	1901.000000	1902.000000	1903.000000	1896.000000	1899.000000	1899.000000	1895.000000	1893.000000	1895.000000	1903.000000	1904.000000	1902.000000	1903.000000	1908.000000	1911.000000	1904.000000	1912.000000	1913.000000	1912.000000	1913.000000	1904.000000	1905.000000	1908.000000	1906.000000	1908.000000	1911.000000	1912.000000	1914.000000	1912.000000	1913.000000	1915.000000	1913.000000	1910.000000	1912.000000	1905.000000	1900.000000	1900.000000	1898.000000	1896.000000	1894.000000	1895.000000	1900.000000	1903.000000	1899.000000	1899.000000	1899.000000	1902.000000	1898.000000	1908.000000	1905.000000	1903.000000	1903.000000	1901.000000	1900.000000	1905.000000	1905.000000	1902.000000	1907.000000	1909.000000	1904.000000	1904.000000	1907.000000	1909.000000	1904.000000	1908.000000	1908.000000	1905.000000	1897.000000	1900.000000	1896.000000	1895.000000	1895.000000	1897.000000	1898.000000	1900.000000	1899.000000	1897.000000	1900.000000	1902.000000	1900.000000	1906.000000	1909.000000	1909.000000	1907.000000
region_sum	region_3	3	17487	2184.000000	2130.000000	1957.000000	1862.000000	1802.000000	1769.000000	1744.000000	1731.000000	1724.000000	1716.000000	1716.000000	1716.000000	1716.000000	1718.000000	1720.000000	1721.000000	1724.000000	1718.000000	1719.000000	1724.000000	1721.000000	1724.000000	1728.000000	1730.000000	1728.000000	1734.000000	1738.000000	1741.000000	1738.000000	1741.000000	1739.000000	1744.000000	1742.000000	1735.000000	1743.000000	1743.000000	1750.000000	1751.000000	1756.000000	1749.000000	1752.000000	1746.000000	1740.000000	1746.000000	1746.000000	1752.000000	1753.000000	1750.000000	1755.000000	1758.000000	1754.000000	1757.000000	1752.000000	1752.000000	1755.000000	1750.000000	1747.000000	1746.000000	1750.000000	1747.000000	1747.000000	1744.000000	1740.000000	1747.000000	1745.000000	1736.000000	1744.000000	1743.000000	1744.000000	1747.000000	1745.000000	1740.000000	1739.000000	1738.000000	1734.000000	1739.000000	1738.000000	1743.000000	1745.000000	1747.000000	1754.000000	1745.000000	1743.000000	1752.000000	1744.000000	1751.000000	1745.000000	1743.000000	1745.000000	1744.000000	1748.000000	1748.000000	1749.000000	1741.000000	1743.000000	1748.000000	1744.000000	1737.000000	1744.000000	1740.000000	1747.000000	1752.000000	1750.000000	1746.000000	1740.000000	1736.000000	1735.000000	1739.000000	1741.000000	1748.000000
region_avg	region_1	1	29332	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064	14.008064
region_avg	region_2	2	19521	14.000000	13.134503	12.052631	11.578947	11.292397	11.093567	11.052631	11.023392	11.005848	11.000000	11.000000	11.005848	11.005848	11.017544	11.005848	11.017544	11.023392	11.023392	11.052631	11.046783	11.058479	11.070175	11.064327	11.076023	11.099415	11.093567	11.116959	11.122807	11.128655	11.087719	11.105263	11.105263	11.081871	11.070175	11.081871	11.128655	11.134503	11.122807	11.128655	11.157895	11.175439	11.134503	11.181287	11.187135	11.181287	11.187135	11.134503	11.140351	11.157895	11.146199	11.157895	11.175439	11.181287	11.192983	11.181287	11.187135	11.198831	11.187135	11.169591	11.181287	11.140351	11.111111	11.111111	11.099415	11.087719	11.076023	11.081871	11.111111	11.128655	11.105263	11.105263	11.105263	11.122807	11.099415	11.157895	11.140351	11.128655	11.128655	11.116959	11.111111	11.140351	11.140351	11.122807	11.152047	11.163743	11.134503	11.134503	11.152047	11.163743	11.134503	11.157895	11.157895	11.140351	11.093567	11.111111	11.087719	11.081871	11.081871	11.093567	11.099415	11.111111	11.105263	11.093567	11.111111	11.122807	11.111111	11.146199	11.163743	11.163743	11.152047
region_avg	region_3	3	17487	14.000000	13.653846	12.544871	11.935898	11.551282	11.339744	11.179487	11.096154	11.051282	11.000000	11.000000	11.000000	11.000000	11.012820	11.025641	11.032051	11.051282	11.012820	11.019231	11.051282	11.032051	11.051282	11.076923	11.089744	11.076923	11.115385	11.141026	11.160256	11.141026	11.160256	11.147436	11.179487	11.166667	11.121795	11.173077	11.173077	11.217949	11.224359	11.256411	11.211538	11.230769	11.192307	11.153846	11.192307	11.192307	11.230769	11.237180	11.217949	11.250000	11.269231	11.243589	11.262820	11.230769	11.230769	11.250000	11.217949	11.198718	11.192307	11.217949	11.198718	11.198718	11.179487	11.153846	11.198718	11.185898	11.128205	11.179487	11.173077	11.179487	11.198718	11.185898	11.153846	11.147436	11.141026	11.115385	11.147436	11.141026	11.173077	11.185898	11.198718	11.243589	11.185898	11.173077	11.230769	11.179487	11.224359	11.185898	11.173077	11.185898	11.179487	11.205129	11.205129	11.211538	11.160256	11.173077	11.205129	11.179487	11.134615	11.179487	11.153846	11.198718	11.230769	11.217949	11.192307	11.153846	11.128205	11.121795	11.147436	11.160256	11.205129
region_std	region_1	1	29332	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333	0.089333
