"FromStratumID","FromStateClassID","Age","Flux","Value"
"Dry","Agriculture:All",20,"rawlitc",0.134109
"Dry","Agriculture:All",21,"rawlitc",0.134202
"Dry","Agriculture:All",22,"rawlitc",0.134218
"Dry","Agriculture:All",23,"rawlitc",0.134178
"Dry","Agriculture:All",24,"rawlitc",0.13421
"Dry","Agriculture:All",25,"rawlitc",0.134194
"Dry","Agriculture:All",26,"rawlitc",0.134312
"Dry","Agriculture:All",27,"rawlitc",0.134266
"Dry","Agriculture:All",28,"rawlitc",0.134314
"Dry","Agriculture:All",29,"rawlitc",0.134242
"Dry","Agriculture:All",30,"rawlitc",0.134212
"Dry","Agriculture:All",31,"rawlitc",0.134157
"Dry","Agriculture:All",32,"rawlitc",0.134121
"Dry","Agriculture:All",33,"rawlitc",0.134125
"Dry","Agriculture:All",34,"rawlitc",0.134159
"Dry","Agriculture:All",35,"rawlitc",0.134078
"Dry","Agriculture:All",36,"rawlitc",0.134226
"Dry","Agriculture:All",37,"rawlitc",0.134156
"Dry","Agriculture:All",38,"rawlitc",0.134111
"Dry","Agriculture:All",39,"rawlitc",0.134174
"Dry","Agriculture:All",40,"rawlitc",0.134163
"Dry","Agriculture:All",41,"rawlitc",0.134183
"Dry","Agriculture:All",42,"rawlitc",0.134185
"Dry","Agriculture:All",43,"rawlitc",0.134197
"Dry","Agriculture:All",44,"rawlitc",0.134251
"Dry","Agriculture:All",45,"rawlitc",0.134214
"Dry","Agriculture:All",46,"rawlitc",0.134223
"Dry","Agriculture:All",47,"rawlitc",0.134258
"Dry","Agriculture:All",48,"rawlitc",0.134185
"Dry","Agriculture:All",49,"rawlitc",0.134163
"Dry","Agriculture:All",50,"rawlitc",0.13416
"Dry","Agriculture:All",51,"rawlitc",0.134186
"Dry","Agriculture:All",52,"rawlitc",0.134186
"Dry","Agriculture:All",53,"rawlitc",0.134187
"Dry","Agriculture:All",54,"rawlitc",0.134261
"Dry","Agriculture:All",55,"rawlitc",0.134181
"Dry","Agriculture:All",56,"rawlitc",0.134216
"Dry","Agriculture:All",57,"rawlitc",0.134216
"Dry","Agriculture:All",58,"rawlitc",0.134198
"Dry","Agriculture:All",59,"rawlitc",0.134241
"Dry","Agriculture:All",60,"rawlitc",0.134235
"Dry","Agriculture:All",61,"rawlitc",0.134242
"Dry","Agriculture:All",62,"rawlitc",0.134222
"Dry","Agriculture:All",63,"rawlitc",0.13426
"Dry","Agriculture:All",64,"rawlitc",0.134259
"Dry","Agriculture:All",65,"rawlitc",0.134248
"Dry","Agriculture:All",66,"rawlitc",0.134237
"Dry","Agriculture:All",67,"rawlitc",0.134225
"Dry","Agriculture:All",68,"rawlitc",0.134221
"Dry","Agriculture:All",69,"rawlitc",0.134255
"Dry","Agriculture:All",70,"rawlitc",0.134272
"Dry","Agriculture:All",71,"rawlitc",0.134236
"Dry","Agriculture:All",72,"rawlitc",0.13477
"Dry","Agriculture:All",73,"rawlitc",0.135639
"Dry","Agriculture:All",74,"rawlitc",0.136558
"Dry","Agriculture:All",75,"rawlitc",0.137504
"Dry","Agriculture:All",76,"rawlitc",0.138456
"Dry","Agriculture:All",77,"rawlitc",0.139322
"Dry","Agriculture:All",78,"rawlitc",0.140379
"Dry","Agriculture:All",79,"rawlitc",0.141431
"Dry","Agriculture:All",80,"rawlitc",0.142423
