"StratumID","StateClassID","StateAttributeTypeID","AgeMin","AgeMax","Value"
"","Agriculture:All","Agriculture",,,1
"","Barren:All","Barren",,,1
"","Developed:All","Developed",,,1
"","Forest:All","Forest",,,1
"","Grassland:All","Grassland",,,1
"","Plantation:All","Plantation",,,1
"","Shrubland:All","Shrubland",,,1
"","WoodyCrop:All","WoodyCrop",,,1
"Dry","","Dry",,,1
"Dry","Agriculture:All","Initial Conditions: Living Biomass",1,1,0.045997
"Dry","Agriculture:All","Initial Conditions: Living Biomass",2,2,0.106439
"Dry","Agriculture:All","Initial Conditions: Living Biomass",3,3,0.122799
"Dry","Agriculture:All","Initial Conditions: Living Biomass",4,4,0.12906
"Dry","Agriculture:All","Initial Conditions: Living Biomass",5,5,0.135464
"Dry","Agriculture:All","Initial Conditions: Living Biomass",6,6,0.14128
"Dry","Agriculture:All","Initial Conditions: Living Biomass",7,7,0.145522
"Dry","Agriculture:All","Initial Conditions: Living Biomass",8,8,0.148532
"Dry","Agriculture:All","Initial Conditions: Living Biomass",9,9,0.150516
"Dry","Agriculture:All","Initial Conditions: Living Biomass",10,10,0.151878
"Dry","Agriculture:All","Initial Conditions: Living Biomass",11,11,0.15285
"Dry","Agriculture:All","Initial Conditions: Living Biomass",12,12,0.153588
"Dry","Agriculture:All","Initial Conditions: Living Biomass",13,13,0.15395
"Dry","Agriculture:All","Initial Conditions: Living Biomass",14,14,0.154298
"Dry","Agriculture:All","Initial Conditions: Living Biomass",15,15,0.154555
"Dry","Agriculture:All","Initial Conditions: Living Biomass",16,16,0.154607
"Dry","Agriculture:All","Initial Conditions: Living Biomass",17,17,0.154673
"Dry","Agriculture:All","Initial Conditions: Living Biomass",18,18,0.154784
"Dry","Agriculture:All","Initial Conditions: Living Biomass",19,19,0.154729
"Dry","Agriculture:All","Initial Conditions: Living Biomass",20,20,0.154877
"Dry","Agriculture:All","Initial Conditions: Living Biomass",21,21,0.154964
"Dry","Agriculture:All","Initial Conditions: Living Biomass",22,22,0.15486
"Dry","Agriculture:All","Initial Conditions: Living Biomass",23,23,0.154807
"Dry","Agriculture:All","Initial Conditions: Living Biomass",24,24,0.154838
"Dry","Agriculture:All","Initial Conditions: Living Biomass",25,25,0.1548
"Dry","Agriculture:All","Initial Conditions: Living Biomass",26,26,0.154891
"Dry","Agriculture:All","Initial Conditions: Living Biomass",27,27,0.154775
"Dry","Agriculture:All","Initial Conditions: Living Biomass",28,28,0.154799
"Dry","Agriculture:All","Initial Conditions: Living Biomass",29,29,0.154704
"Dry","Agriculture:All","Initial Conditions: Living Biomass",30,30,0.154643
"Dry","Agriculture:All","Initial Conditions: Living Biomass",31,31,0.154635
"Dry","Agriculture:All","Initial Conditions: Living Biomass",32,32,0.154556
"Dry","Agriculture:All","Initial Conditions: Living Biomass",33,33,0.154586
"Dry","Agriculture:All","Initial Conditions: Living Biomass",34,34,0.154523
"Dry","Agriculture:All","Initial Conditions: Living Biomass",35,35,0.1545
"Dry","Agriculture:All","Initial Conditions: Living Biomass",36,36,0.154713
"Dry","Agriculture:All","Initial Conditions: Living Biomass",37,37,0.154531
"Dry","Agriculture:All","Initial Conditions: Living Biomass",38,38,0.154534
"Dry","Agriculture:All","Initial Conditions: Living Biomass",39,39,0.154573
"Dry","Agriculture:All","Initial Conditions: Living Biomass",40,40,0.154585
"Dry","Agriculture:All","Initial Conditions: Living Biomass",41,41,0.154539
"Dry","Agriculture:All","Initial Conditions: Living Biomass",42,42,0.154574
"Dry","Agriculture:All","Initial Conditions: Living Biomass",43,43,0.154572
"Dry","Agriculture:All","Initial Conditions: Living Biomass",44,44,0.15461
"Dry","Agriculture:All","Initial Conditions: Living Biomass",45,45,0.154573
"Dry","Agriculture:All","Initial Conditions: Living Biomass",46,46,0.154624
"Dry","Agriculture:All","Initial Conditions: Living Biomass",47,47,0.154577
"Dry","Agriculture:All","Initial Conditions: Living Biomass",48,48,0.154532
"Dry","Agriculture:All","Initial Conditions: Living Biomass",49,49,0.154514
"Dry","Agriculture:All","Initial Conditions: Living Biomass",50,50,0.154538
"Dry","Agriculture:All","Initial Conditions: Living Biomass",51,51,0.154543
"Dry","Agriculture:All","Initial Conditions: Living Biomass",52,52,0.154474
"Dry","Agriculture:All","Initial Conditions: Living Biomass",53,53,0.154512
"Dry","Agriculture:All","Initial Conditions: Living Biomass",54,54,0.154639
"Dry","Agriculture:All","Initial Conditions: Living Biomass",55,55,0.154515
"Dry","Agriculture:All","Initial Conditions: Living Biomass",56,56,0.154574
"Dry","Agriculture:All","Initial Conditions: Living Biomass",57,57,0.154496
"Dry","Agriculture:All","Initial Conditions: Living Biomass",58,58,0.154571
"Dry","Agriculture:All","Initial Conditions: Living Biomass",59,59,0.154592
"Dry","Agriculture:All","Initial Conditions: Living Biomass",60,60,0.154557
"Dry","Agriculture:All","Initial Conditions: Living Biomass",61,61,0.154587
"Dry","Agriculture:All","Initial Conditions: Living Biomass",62,62,0.154593
"Dry","Agriculture:All","Initial Conditions: Living Biomass",63,63,0.154619
"Dry","Agriculture:All","Initial Conditions: Living Biomass",64,64,0.15458
"Dry","Agriculture:All","Initial Conditions: Living Biomass",65,65,0.154603
"Dry","Agriculture:All","Initial Conditions: Living Biomass",66,66,0.154536
"Dry","Agriculture:All","Initial Conditions: Living Biomass",67,67,0.154542
"Dry","Agriculture:All","Initial Conditions: Living Biomass",68,68,0.154538
"Dry","Agriculture:All","Initial Conditions: Living Biomass",69,69,0.154607
"Dry","Agriculture:All","Initial Conditions: Living Biomass",70,70,0.15457
"Dry","Agriculture:All","Initial Conditions: Living Biomass",71,71,0.154535
"Dry","Agriculture:All","Initial Conditions: Living Biomass",72,72,0.154998
"Dry","Agriculture:All","Initial Conditions: Living Biomass",73,73,0.155724
"Dry","Agriculture:All","Initial Conditions: Living Biomass",74,74,0.156492
"Dry","Agriculture:All","Initial Conditions: Living Biomass",75,75,0.157275
"Dry","Agriculture:All","Initial Conditions: Living Biomass",76,76,0.158121
"Dry","Agriculture:All","Initial Conditions: Living Biomass",77,77,0.158756
"Dry","Agriculture:All","Initial Conditions: Living Biomass",78,78,0.159751
"Dry","Agriculture:All","Initial Conditions: Living Biomass",79,79,0.160574
"Dry","Agriculture:All","Initial Conditions: Living Biomass",80,80,0.161377
"Dry","Agriculture:All","Initial Conditions: Living Biomass",81,81,0.162123
"Dry","Agriculture:All","Initial Conditions: Living Biomass",82,82,0.162894
"Dry","Agriculture:All","Initial Conditions: Living Biomass",83,83,0.163633
"Dry","Agriculture:All","Initial Conditions: Living Biomass",84,84,0.164351
"Dry","Agriculture:All","Initial Conditions: Living Biomass",85,85,0.165102
"Dry","Agriculture:All","Initial Conditions: Living Biomass",86,86,0.16587
"Dry","Agriculture:All","Initial Conditions: Living Biomass",87,87,0.166742
"Dry","Agriculture:All","Initial Conditions: Living Biomass",88,88,0.167396
"Dry","Agriculture:All","Initial Conditions: Living Biomass",89,89,0.168092
"Dry","Agriculture:All","Initial Conditions: Living Biomass",90,90,0.168782
"Dry","Agriculture:All","Initial Conditions: Living Biomass",91,91,0.169425
"Dry","Agriculture:All","Initial Conditions: Living Biomass",92,92,0.170157
"Dry","Agriculture:All","Initial Conditions: Living Biomass",93,93,0.170829
"Dry","Agriculture:All","Initial Conditions: Living Biomass",94,94,0.171431
"Dry","Agriculture:All","Initial Conditions: Living Biomass",95,95,0.171974
"Dry","Agriculture:All","Initial Conditions: Living Biomass",96,96,0.172617
"Dry","Agriculture:All","Initial Conditions: Living Biomass",97,97,0.17323
"Dry","Agriculture:All","Initial Conditions: Living Biomass",98,98,0.173737
"Dry","Agriculture:All","Initial Conditions: Living Biomass",99,99,0.174374
"Dry","Agriculture:All","Initial Conditions: Living Biomass",100,100,0.175126
"Dry","Agriculture:All","Initial Conditions: Living Biomass",101,101,0.175475
"Dry","Agriculture:All","Initial Conditions: Living Biomass",102,102,0.176069
"Dry","Agriculture:All","Initial Conditions: Living Biomass",103,103,0.176597
"Dry","Agriculture:All","Initial Conditions: Living Biomass",104,104,0.177101
"Dry","Agriculture:All","Initial Conditions: Living Biomass",105,105,0.177778
"Dry","Agriculture:All","Initial Conditions: Living Biomass",106,106,0.178025
"Dry","Agriculture:All","Initial Conditions: Living Biomass",107,107,0.178658
"Dry","Agriculture:All","Initial Conditions: Living Biomass",108,108,0.179192
"Dry","Agriculture:All","Initial Conditions: Living Biomass",109,109,0.179457
"Dry","Agriculture:All","Initial Conditions: Living Biomass",110,,0.17988
"Dry","Agriculture:All","Initial Conditions: Litter",1,1,0.026464
"Dry","Agriculture:All","Initial Conditions: Litter",2,2,0.014431
"Dry","Agriculture:All","Initial Conditions: Litter",3,3,0.021447
"Dry","Agriculture:All","Initial Conditions: Litter",4,4,0.024227
"Dry","Agriculture:All","Initial Conditions: Litter",5,5,0.023123
"Dry","Agriculture:All","Initial Conditions: Litter",6,6,0.022518
"Dry","Agriculture:All","Initial Conditions: Litter",7,7,0.022272
"Dry","Agriculture:All","Initial Conditions: Litter",8,8,0.02213
"Dry","Agriculture:All","Initial Conditions: Litter",9,9,0.02208
"Dry","Agriculture:All","Initial Conditions: Litter",10,10,0.02197
"Dry","Agriculture:All","Initial Conditions: Litter",11,11,0.021848
"Dry","Agriculture:All","Initial Conditions: Litter",12,12,0.022033
"Dry","Agriculture:All","Initial Conditions: Litter",13,13,0.022113
"Dry","Agriculture:All","Initial Conditions: Litter",14,14,0.022173
"Dry","Agriculture:All","Initial Conditions: Litter",15,15,0.022235
"Dry","Agriculture:All","Initial Conditions: Litter",16,16,0.022294
"Dry","Agriculture:All","Initial Conditions: Litter",17,17,0.0223
"Dry","Agriculture:All","Initial Conditions: Litter",18,18,0.022294
"Dry","Agriculture:All","Initial Conditions: Litter",19,19,0.022316
"Dry","Agriculture:All","Initial Conditions: Litter",20,20,0.022355
"Dry","Agriculture:All","Initial Conditions: Litter",21,21,0.022313
"Dry","Agriculture:All","Initial Conditions: Litter",22,22,0.022317
"Dry","Agriculture:All","Initial Conditions: Litter",23,23,0.022298
"Dry","Agriculture:All","Initial Conditions: Litter",24,24,0.022335
"Dry","Agriculture:All","Initial Conditions: Litter",25,25,0.022326
"Dry","Agriculture:All","Initial Conditions: Litter",26,26,0.022306
"Dry","Agriculture:All","Initial Conditions: Litter",27,27,0.022325
"Dry","Agriculture:All","Initial Conditions: Litter",28,28,0.022328
"Dry","Agriculture:All","Initial Conditions: Litter",29,29,0.022297
"Dry","Agriculture:All","Initial Conditions: Litter",30,30,0.022294
