stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916
region_area	region_2	2	19521	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679
region_area	region_3	3	17487	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927
region_sum	region_1	1	29332	412.452637	188.547180	284.068451	351.953857	362.527802	361.384857	361.040131	362.406769	364.507538	366.939453	369.684845	372.957520	377.020569	382.199829	388.163483	394.834198	402.506042	411.049133	420.856049	430.985840	441.879791	453.746460	466.539276	479.735168	493.349731	507.461060	522.144348	536.598694	551.272583	566.493652	581.139404	596.268127	610.931152	625.676392	639.878601	653.088562	666.660217	679.200134	691.171326	702.791687	713.816528	724.179626	733.591370	742.150330	750.483887	758.548645	765.736755	772.045166	777.879150	783.526184	788.655518	792.684509	796.282471	800.190308	803.224670	805.466187	808.154907	810.203552	811.509399	813.560059	814.436157	815.845154	816.832581	817.234741	817.602661	818.379883	818.594482	818.873840	819.259827	818.983093	818.733704	818.449402	818.655823	818.348572	818.465515	817.865540	817.269409	816.577087	815.153564	813.692078	812.061096	810.428589	808.915100	807.647705	805.930054	804.371094	803.123657	802.141357	800.952332	800.100159	798.603638	797.975037	797.317688	796.999146	796.190369	795.849365	795.091614	794.633484	794.614807	793.880005	793.673462	793.282593	793.567749	792.956238	792.911377	792.595154	792.432983	792.623108	792.091003	792.183044
region_sum	region_2	2	19521	830.785522	506.663391	965.749756	1510.652710	1802.663086	1898.111572	1922.569336	1930.226685	1938.439087	1948.536011	1960.882690	1974.617920	1992.093750	2013.816040	2038.628662	2067.545166	2099.458252	2134.857178	2173.485352	2217.920410	2265.688232	2318.442627	2374.072998	2433.811035	2497.600586	2563.678223	2633.857910	2706.672607	2781.833984	2857.439697	2937.134766	3016.133789	3095.677246	3175.904785	3255.732666	3335.851318	3413.479980	3490.591797	3563.912842	3636.770752	3706.988037	3775.836670	3837.364014	3899.316895	3958.205322	4012.531738	4061.958496	4110.881348	4154.916992	4195.250977	4234.650391	4269.781250	4299.000000	4327.904297	4353.023926	4377.395020	4397.373535	4416.093750	4431.381836	4445.390137	4459.007812	4471.142090	4481.890625	4493.860352	4495.999023	4504.733398	4511.397461	4516.859375	4520.615723	4526.146973	4528.707031	4532.514160	4535.976074	4536.479004	4541.126953	4543.060059	4543.094238	4539.820801	4540.332520	4533.706055	4529.718262	4523.931641	4517.264160	4511.592285	4506.407227	4502.011719	4497.728516	4494.700684	4492.125488	4488.835938	4485.941895	4483.634766	4483.973633	4480.406250	4479.937500	4480.224121	4480.267578	4479.048340	4479.150879	4480.698242	4480.816406	4477.820801	4480.183594	4482.400879	4481.815430	4484.956055	4486.164062	4485.426270	4487.920898	4487.225586
region_sum	region_3	3	17487	1144.660522	856.305481	1667.129395	2961.052734	3709.553955	3985.363770	4074.347412	4102.508789	4125.826172	4160.208008	4200.652832	4239.811523	4288.974121	4340.573730	4398.836426	4460.489258	4529.555664	4606.402344	4686.763184	4777.158203	4877.952637	4988.492188	5111.055664	5239.392090	5378.856934	5525.159180	5683.334961	5840.986328	6010.851074	6184.903809	6359.206543	6546.146484	6723.166504	6908.570801	7092.517578	7275.964844	7448.881836	7618.624023	7782.019043	7946.916504	8119.162109	8284.523438	8423.429688	8547.679688	8681.874023	8803.812500	8918.162109	9011.335938	9105.709961	9193.636719	9261.541992	9327.754883	9391.956055	9439.920898	9483.381836	9530.740234	9560.112305	9591.499023	9619.909180	9642.823242	9659.133789	9675.962891	9691.245117	9702.838867	9725.036133	9723.696289	9734.543945	9734.450195	9738.341797	9744.623047	9742.833984	9739.172852	9739.000977	9733.264648	9737.341797	9730.427734	9728.626953	9713.694336	9703.427734	9690.967773	9670.658203	9651.172852	9634.386719	9620.906250	9593.399414	9585.427734	9569.245117	9552.741211	9540.492188	9525.993164	9517.667969	9500.082031	9495.126953	9485.252930	9476.967773	9471.481445	9465.099609	9456.978516	9453.305664	9446.095703	9442.633789	9438.962891	9434.964844	9434.888672	9428.356445	9429.902344	9427.099609	9425.326172	9420.784180	9421.146484
region_avg	region_1	1	29332	0.083900	0.038354	0.057784	0.071594	0.073744	0.073512	0.073442	0.073720	0.074147	0.074642	0.075200	0.075866	0.076693	0.077746	0.078959	0.080316	0.081877	0.083615	0.085609	0.087670	0.089886	0.092300	0.094902	0.097586	0.100356	0.103226	0.106213	0.109154	0.112138	0.115235	0.118214	0.121291	0.124274	0.127273	0.130162	0.132850	0.135610	0.138161	0.140596	0.142960	0.145203	0.147311	0.149225	0.150966	0.152661	0.154302	0.155764	0.157047	0.158234	0.159383	0.160426	0.161246	0.161978	0.162773	0.163390	0.163846	0.164393	0.164810	0.165075	0.165492	0.165670	0.165957	0.166158	0.166240	0.166315	0.166473	0.166516	0.166573	0.166652	0.166595	0.166545	0.166487	0.166529	0.166466	0.166490	0.166368	0.166247	0.166106	0.165816	0.165519	0.165187	0.164855	0.164547	0.164290	0.163940	0.163623	0.163369	0.163170	0.162928	0.162754	0.162450	0.162322	0.162188	0.162124	0.161959	0.161890	0.161735	0.161642	0.161638	0.161489	0.161447	0.161367	0.161426	0.161301	0.161292	0.161228	0.161195	0.161233	0.161125	0.161144
region_avg	region_2	2	19521	0.085834	0.052347	0.099778	0.156075	0.186245	0.196106	0.198633	0.199424	0.200273	0.201316	0.202591	0.204011	0.205816	0.208060	0.210624	0.213611	0.216909	0.220566	0.224557	0.229148	0.234083	0.239533	0.245281	0.251453	0.258043	0.264870	0.272121	0.279644	0.287409	0.295221	0.303454	0.311616	0.319834	0.328123	0.336371	0.344648	0.352669	0.360636	0.368211	0.375738	0.382993	0.390106	0.396463	0.402864	0.408948	0.414561	0.419667	0.424722	0.429271	0.433438	0.437509	0.441139	0.444157	0.447144	0.449739	0.452257	0.454321	0.456255	0.457835	0.459282	0.460689	0.461943	0.463053	0.464290	0.464511	0.465413	0.466102	0.466666	0.467054	0.467625	0.467890	0.468283	0.468641	0.468693	0.469173	0.469373	0.469376	0.469038	0.469091	0.468406	0.467994	0.467397	0.466708	0.466122	0.465586	0.465132	0.464689	0.464377	0.464110	0.463771	0.463472	0.463233	0.463268	0.462900	0.462851	0.462881	0.462885	0.462759	0.462770	0.462930	0.462942	0.462633	0.462877	0.463106	0.463045	0.463370	0.463495	0.463418	0.463676	0.463604
region_avg	region_3	3	17487	0.076684	0.057366	0.111685	0.198369	0.248513	0.266990	0.272952	0.274838	0.276400	0.278704	0.281413	0.284036	0.287330	0.290787	0.294690	0.298820	0.303447	0.308595	0.313979	0.320035	0.326787	0.334193	0.342403	0.351001	0.360344	0.370145	0.380742	0.391303	0.402683	0.414343	0.426020	0.438544	0.450403	0.462824	0.475147	0.487437	0.499021	0.510392	0.521338	0.532385	0.543925	0.555003	0.564308	0.572632	0.581622	0.589791	0.597452	0.603694	0.610016	0.615907	0.620456	0.624891	0.629192	0.632406	0.635317	0.638490	0.640458	0.642560	0.644464	0.645999	0.647091	0.648219	0.649243	0.650019	0.651506	0.651417	0.652143	0.652137	0.652398	0.652819	0.652699	0.652453	0.652442	0.652058	0.652331	0.651868	0.651747	0.650747	0.650059	0.649224	0.647864	0.646558	0.645434	0.644530	0.642688	0.642154	0.641070	0.639964	0.639143	0.638172	0.637614	0.636436	0.636104	0.635443	0.634888	0.634520	0.634093	0.633548	0.633302	0.632819	0.632587	0.632342	0.632074	0.632069	0.631631	0.631735	0.631547	0.631428	0.631124	0.631148
region_std	region_1	1	29332	0.022323	0.014854	0.031433	0.044273	0.048531	0.049455	0.049843	0.050266	0.050723	0.051106	0.051354	0.051748	0.052175	0.052729	0.053540	0.054241	0.055255	0.056287	0.057670	0.058922	0.060274	0.061801	0.063534	0.065347	0.067112	0.068974	0.071007	0.073037	0.075119	0.077329	0.079136	0.081353	0.083479	0.085588	0.087655	0.089467	0.091418	0.093154	0.094899	0.096740	0.098364	0.099862	0.101349	0.102361	0.103658	0.105004	0.106051	0.106997	0.107799	0.108720	0.109432	0.110062	0.110640	0.111472	0.111922	0.112158	0.112750	0.112910	0.113058	0.113525	0.113550	0.113895	0.113959	0.114102	0.114091	0.114446	0.114423	0.114564	0.114549	0.114489	0.114472	0.114429	0.114501	0.114438	0.114539	0.114386	0.114385	0.114352	0.114048	0.113919	0.113677	0.113435	0.113309	0.112964	0.112764	0.112551	0.112348	0.112433	0.112218	0.112098	0.111687	0.111642	0.111571	0.111656	0.111558	0.111516	0.111383	0.111167	0.111309	0.111052	0.111077	0.111145	0.111119	0.111140	0.111138	0.111010	0.110982	0.111217	0.110856	0.110997
