stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916
region_area	region_2	2	19521	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679
region_area	region_3	3	17487	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927
region_sum	region_1	1	29332	3.219205	3.185090	2.391052	1.839028	1.667849	1.613956	1.583723	1.568565	1.561094	1.557418	1.555598	1.554626	1.554142	1.554034	1.553951	1.553744	1.553725	1.553723	1.553722	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717	1.553717
region_sum	region_2	2	19521	5.250350	4.861799	3.850222	3.368496	3.211303	3.129603	3.092020	3.074857	3.066764	3.063010	3.061176	3.059878	3.059711	3.059619	3.059363	3.059347	3.059343	3.059343	3.059340	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338	3.059338
region_sum	region_3	3	17487	8.054480	7.580167	6.014015	5.261885	4.968822	4.825258	4.765566	4.740413	4.729015	4.723608	4.720507	4.719042	4.718813	4.718697	4.718486	4.718474	4.718463	4.718462	4.718462	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457	4.718457
region_avg	region_1	1	29332	0.000655	0.000648	0.000486	0.000374	0.000339	0.000328	0.000322	0.000319	0.000318	0.000317	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316
region_avg	region_2	2	19521	0.000542	0.000502	0.000398	0.000348	0.000332	0.000323	0.000319	0.000318	0.000317	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316
region_avg	region_3	3	17487	0.000540	0.000508	0.000403	0.000353	0.000333	0.000323	0.000319	0.000318	0.000317	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316	0.000316
region_std	region_1	1	29332	0.000102	0.000101	0.000059	0.000018	0.000007	0.000004	0.000002	0.000001	0.000001	nan	nan	0.000002	0.000003	nan	nan	0.000003	0.000003	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002
