stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916
region_area	region_2	2	19521	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679
region_area	region_3	3	17487	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927
region_sum	region_1	1	29332	2477.046875	3363.600098	3944.255127	4436.731445	4896.213867	5327.631348	5737.032715	6119.060059	6474.717773	6808.800293	7117.768555	7409.027344	7681.148438	7935.250977	8172.731445	8393.313477	8602.647461	8797.684570	8977.136719	9146.054688	9305.067383	9454.084961	9592.214844	9722.668945	9843.078125	9957.466797	10061.105469	10159.531250	10253.382812	10339.649414	10422.129883	10499.692383	10573.366211	10640.976562	10705.345703	10766.036133	10821.201172	10874.080078	10924.759766	10972.722656	11019.222656	11058.680664	11098.523438	11136.840820	11171.618164	11207.021484	11238.425781	11268.637695	11298.397461	11325.670898	11349.306641	11372.698242	11396.658203	11418.393555	11436.609375	11457.545898	11472.931641	11490.063477	11507.157227	11521.454102	11535.490234	11550.089844	11561.102539	11574.117188	11584.750000	11596.348633	11606.958984	11615.936523	11623.735352	11631.561523	11638.759766	11647.606445	11656.340820	11661.997070	11667.756836	11674.303711	11678.728516	11685.610352	11688.693359	11693.450195	11696.414062	11701.239258	11705.905273	11707.609375	11710.893555	11713.497070	11716.596680	11718.939453	11720.460938	11722.815430	11723.193359	11726.479492	11728.308594	11730.539062	11731.359375	11732.827148	11734.126953	11736.706055	11736.690430	11738.615234	11739.579102	11742.661133	11740.965820	11742.998047	11743.720703	11744.863281	11746.139648	11745.729492	11746.312500	11745.912109
region_sum	region_2	2	19521	8274.743164	12739.980469	17076.386719	20682.638672	23888.216797	26906.671875	29804.730469	32600.138672	35272.707031	37832.675781	40275.343750	42602.152344	44809.750000	46904.425781	48884.343750	50748.871094	52496.066406	54134.570312	55669.781250	57104.339844	58441.144531	59683.566406	60839.496094	61920.542969	62924.062500	63863.296875	64745.742188	65568.085938	66343.898438	67071.414062	67763.234375	68417.250000	69036.796875	69631.523438	70197.835938	70741.117188	71261.976562	71756.554688	72238.789062	72708.632812	73162.328125	73599.500000	74026.789062	74446.281250	74855.632812	75255.992188	75650.078125	76037.570312	76419.875000	76794.328125	77167.968750	77531.179688	77893.429688	78250.992188	78604.132812	78952.664062	79296.328125	79633.031250	79965.265625	80295.500000	80621.570312	80939.101562	81252.500000	81554.937500	81856.804688	82155.906250	82445.421875	82730.406250	83012.625000	83284.687500	83553.718750	83820.039062	84079.875000	84335.054688	84585.742188	84829.851562	85070.726562	85305.281250	85538.281250	85762.578125	85984.710938	86200.039062	86407.773438	86618.234375	86822.320312	87022.140625	87218.492188	87410.109375	87596.375000	87783.796875	87966.437500	88143.875000	88318.718750	88489.710938	88661.500000	88826.898438	88991.000000	89150.226562	89305.546875	89462.945312	89614.890625	89765.257812	89919.234375	90069.492188	90219.460938	90366.539062	90509.429688	90650.460938	90791.906250	90932.140625
region_sum	region_3	3	17487	14904.880859	23831.625000	33196.453125	41011.128906	47861.179688	54138.234375	60123.105469	65808.882812	71188.859375	76247.015625	80960.328125	85323.117188	89330.578125	92984.421875	96302.109375	99319.593750	102063.429688	104565.328125	106846.898438	108929.164062	110835.015625	112578.945312	114176.585938	115644.460938	116997.429688	118245.218750	119394.187500	120459.046875	121442.992188	122351.523438	123194.593750	123975.046875	124697.078125	125366.671875	125988.945312	126566.101562	127101.664062	127600.421875	128061.710938	128490.632812	128894.500000	129270.117188	129622.117188	129958.750000	130276.679688	130574.218750	130861.585938	131135.109375	131394.937500	131648.015625	131891.937500	132124.937500	132351.312500	132568.468750	132779.968750	132987.171875	133184.937500	133374.984375	133560.468750	133738.906250	133911.781250	134076.609375	134233.828125	134387.562500	134534.109375	134678.875000	134811.734375	134941.281250	135062.375000	135181.593750	135294.578125	135398.625000	135499.187500	135595.421875	135690.109375	135779.000000	135863.187500	135946.656250	136023.187500	136095.640625	136163.765625	136226.718750	136288.625000	136345.671875	136398.375000	136450.625000	136496.531250	136539.531250	136581.406250	136620.062500	136658.921875	136694.515625	136728.093750	136755.625000	136785.437500	136815.781250	136843.703125	136871.000000	136896.437500	136921.484375	136944.875000	136967.156250	136990.171875	137012.437500	137032.453125	137055.968750	137073.765625	137095.906250	137114.078125	137134.921875
region_avg	region_1	1	29332	0.503874	0.684215	0.802330	0.902508	0.995975	1.083733	1.167012	1.244723	1.317070	1.385028	1.447878	1.507125	1.562479	1.614168	1.662476	1.707346	1.749928	1.789602	1.826106	1.860467	1.892813	1.923126	1.951223	1.977760	2.002254	2.025522	2.046604	2.066626	2.085716	2.103265	2.120043	2.135820	2.150807	2.164560	2.177654	2.189999	2.201221	2.211977	2.222286	2.232043	2.241502	2.249528	2.257633	2.265427	2.272502	2.279703	2.286092	2.292237	2.298291	2.303839	2.308647	2.313405	2.318279	2.322700	2.326406	2.330664	2.333794	2.337279	2.340756	2.343664	2.346519	2.349489	2.351730	2.354377	2.356540	2.358899	2.361058	2.362884	2.364470	2.366062	2.367526	2.369326	2.371103	2.372253	2.373425	2.374757	2.375657	2.377057	2.377684	2.378651	2.379254	2.380236	2.381185	2.381532	2.382200	2.382729	2.383360	2.383836	2.384146	2.384625	2.384702	2.385370	2.385742	2.386196	2.386363	2.386661	2.386926	2.387450	2.387447	2.387839	2.388035	2.388662	2.388317	2.388730	2.388877	2.389110	2.389369	2.389286	2.389405	2.389323
region_avg	region_2	2	19521	0.854917	1.316250	1.764272	2.136857	2.468046	2.779902	3.079319	3.368131	3.644251	3.908738	4.161106	4.401504	4.629585	4.845999	5.050557	5.243194	5.423707	5.592992	5.751605	5.899818	6.037932	6.166295	6.285721	6.397411	6.501091	6.598130	6.689301	6.774262	6.854417	6.929581	7.001057	7.068628	7.132638	7.194082	7.252592	7.308722	7.362535	7.413633	7.463456	7.511999	7.558873	7.604040	7.648186	7.691526	7.733819	7.775183	7.815898	7.855932	7.895431	7.934118	7.972721	8.010247	8.047673	8.084616	8.121100	8.157109	8.192616	8.227403	8.261728	8.295847	8.329535	8.362341	8.394720	8.425967	8.457155	8.488057	8.517969	8.547413	8.576571	8.604679	8.632474	8.659989	8.686835	8.713200	8.739100	8.764319	8.789207	8.813439	8.837512	8.860686	8.883636	8.905883	8.927345	8.949089	8.970175	8.990819	9.011106	9.030903	9.050147	9.069511	9.088381	9.106713	9.124777	9.142444	9.160192	9.177280	9.194235	9.210686	9.226733	9.242994	9.258693	9.274228	9.290137	9.305661	9.321156	9.336350	9.351113	9.365685	9.380299	9.394787
region_avg	region_3	3	17487	0.998518	1.596545	2.223920	2.747446	3.206350	3.626866	4.027809	4.408715	4.769134	5.107993	5.423751	5.716026	5.984497	6.229277	6.451538	6.653687	6.837504	7.005114	7.157962	7.297459	7.425137	7.541967	7.648997	7.747334	7.837974	7.921566	7.998538	8.069877	8.135794	8.196659	8.253139	8.305423	8.353794	8.398651	8.440339	8.479005	8.514883	8.548297	8.579200	8.607934	8.634991	8.660154	8.683735	8.706287	8.727586	8.747519	8.766770	8.785095	8.802502	8.819456	8.835796	8.851406	8.866571	8.881120	8.895288	8.909169	8.922419	8.935150	8.947577	8.959530	8.971111	8.982154	8.992686	9.002985	9.012803	9.022501	9.031402	9.040080	9.048193	9.056180	9.063748	9.070719	9.077456	9.083903	9.090246	9.096202	9.101842	9.107433	9.112560	9.117414	9.121978	9.126195	9.130342	9.134165	9.137695	9.141195	9.144271	9.147152	9.149957	9.152547	9.155149	9.157535	9.159784	9.161629	9.163626	9.165658	9.167529	9.169357	9.171062	9.172740	9.174307	9.175799	9.177341	9.178833	9.180174	9.181749	9.182941	9.184424	9.185642	9.187038
region_std	region_1	1	29332	0.288183	0.375899	0.451431	0.519155	0.585144	0.648935	0.710768	0.769154	0.822945	0.873832	0.920650	0.964549	1.005923	1.044592	1.080007	1.113458	1.144994	1.174912	1.201175	1.226099	1.249801	1.271557	1.292142	1.310825	1.328114	1.344591	1.359617	1.373878	1.386598	1.398763	1.410404	1.421569	1.431507	1.440911	1.449766	1.457690	1.464996	1.472571	1.479406	1.485927	1.492613	1.497661	1.502852	1.508368	1.512779	1.517856	1.521822	1.525535	1.529930	1.532758	1.536328	1.539463	1.543065	1.545923	1.548372	1.551500	1.553294	1.555503	1.558455	1.560222	1.562178	1.564232	1.565601	1.567777	1.569462	1.571558	1.573190	1.573945	1.575287	1.576293	1.577068	1.578724	1.580005	1.580620	1.581718	1.582724	1.582983	1.584224	1.584510	1.585471	1.585786	1.586302	1.586707	1.586431	1.586847	1.587198	1.588126	1.588428	1.587930	1.588441	1.587674	1.588551	1.588970	1.589531	1.589177	1.589264	1.589408	1.589323	1.589244	1.589776	1.589885	1.590618	1.590206	1.590722	1.590806	1.591048	1.591405	1.591276	1.590940	1.590263
