stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916
region_area	region_2	2	19521	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679
region_area	region_3	3	17487	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927
region_sum	region_1	1	29332	33432.976562	35353.453125	36244.867188	36969.792969	37683.601562	38397.578125	39120.105469	39839.835938	40553.769531	41264.968750	41916.085938	42563.187500	43206.828125	43844.742188	44476.679688	45100.566406	45720.062500	46330.941406	46927.972656	47514.476562	48090.816406	48654.781250	49202.625000	49736.691406	50252.855469	50753.839844	51232.402344	51693.968750	52138.320312	52560.550781	52965.781250	53350.445312	53716.320312	54059.324219	54382.199219	54686.308594	54967.675781	55229.656250	55473.664062	55699.199219	55908.230469	56094.441406	56266.554688	56424.152344	56566.074219	56696.429688	56811.621094	56914.898438	57008.511719	57089.468750	57157.132812	57216.156250	57268.851562	57311.824219	57343.949219	57374.804688	57393.316406	57407.527344	57418.636719	57421.886719	57423.117188	57421.960938	57415.070312	57408.660156	57398.355469	57387.035156	57373.203125	57356.507812	57336.757812	57316.531250	57294.828125	57275.132812	57254.683594	57231.363281	57206.925781	57182.988281	57156.777344	57132.800781	57105.742188	57081.074219	57055.890625	57034.433594	57015.148438	56993.605469	56975.292969	56957.746094	56942.144531	56927.550781	56912.933594	56899.851562	56887.085938	56878.214844	56868.500000	56859.734375	56851.406250	56844.566406	56838.691406	56835.742188	56829.667969	56826.507812	56822.625000	56821.574219	56813.789062	56810.007812	56804.640625	56799.781250	56795.398438	56788.859375	56784.363281	56779.480469
region_sum	region_2	2	19521	146167.781250	154140.828125	160165.687500	165029.828125	169174.703125	173094.953125	176975.187500	180866.546875	184749.484375	188633.312500	192601.343750	196537.484375	200452.312500	204344.593750	208221.203125	212076.484375	215901.562500	219698.031250	223468.625000	227202.796875	230893.187500	234530.015625	238108.531250	241628.015625	245074.984375	248450.765625	251749.421875	254959.000000	258082.562500	261113.031250	264049.718750	266884.937500	269618.687500	272255.156250	274787.687500	277213.500000	279532.812500	281737.906250	283845.218750	285850.031250	287750.781250	289542.093750	291240.156250	292841.781250	294348.062500	295760.343750	297092.406250	298339.218750	299508.968750	300601.687500	301628.562500	302578.906250	303473.437500	304311.781250	305097.718750	305829.468750	306516.250000	307157.843750	307764.062500	308338.406250	308881.156250	309392.312500	309875.593750	310319.531250	310755.062500	311170.062500	311559.968750	311932.375000	312293.250000	312629.843750	312958.312500	313276.031250	313578.812500	313874.593750	314158.750000	314428.468750	314694.687500	314956.406250	315210.468750	315463.531250	315715.062500	315967.312500	316221.593750	316484.718750	316752.406250	317019.531250	317290.875000	317561.812500	317830.937500	318105.468750	318382.156250	318658.750000	318932.531250	319207.125000	319489.593750	319765.625000	320040.718750	320313.812500	320583.812500	320854.187500	321121.375000	321389.843750	321660.656250	321925.531250	322194.062500	322457.062500	322715.531250	322973.000000	323229.281250	323486.156250
region_sum	region_3	3	17487	311370.781250	326322.312500	339766.968750	350831.906250	360101.312500	368632.218750	377037.750000	385459.531250	393933.187500	402434.406250	411507.562500	420504.500000	429448.781250	438331.875000	447142.843750	455869.781250	464498.187500	473015.250000	481410.156250	489676.906250	497808.531250	505786.343750	513595.375000	521237.218750	528695.000000	535964.000000	543026.437500	549891.250000	556543.062500	562968.625000	569169.812500	575120.562500	580829.125000	586286.250000	591484.187500	596417.187500	601089.812500	605509.375000	609679.625000	613597.500000	617245.187500	620607.437500	623728.312500	626627.750000	629293.937500	631732.312500	633970.187500	636019.687500	637875.312500	639555.937500	641093.312500	642478.062500	643724.937500	644852.312500	645871.750000	646785.000000	647613.437500	648347.500000	649011.875000	649606.312500	650140.562500	650621.625000	651052.687500	651435.000000	651760.750000	652057.375000	652311.937500	652540.437500	652736.375000	652902.750000	653048.250000	653171.437500	653278.687500	653379.437500	653454.625000	653520.062500	653572.000000	653632.687500	653688.062500	653748.500000	653819.312500	653899.375000	653994.062500	654095.875000	654225.000000	654357.625000	654497.625000	654651.437500	654815.187500	654989.812500	655173.125000	655375.625000	655583.750000	655783.875000	656004.625000	656224.875000	656450.437500	656679.562500	656916.062500	657155.250000	657398.250000	657642.000000	657889.062500	658131.187500	658379.687500	658625.250000	658869.812500	659115.187500	659360.375000	659603.750000
region_avg	region_1	1	29332	6.800849	7.191508	7.372837	7.520299	7.665501	7.810736	7.957711	8.104116	8.249343	8.394013	8.526462	8.658093	8.789021	8.918784	9.047331	9.174240	9.300257	9.424520	9.545967	9.665272	9.782510	9.897230	10.008671	10.117309	10.222306	10.324215	10.421563	10.515453	10.605843	10.691731	10.774162	10.852409	10.926835	10.996608	11.062286	11.124147	11.181382	11.234674	11.284309	11.330187	11.372707	11.410586	11.445597	11.477655	11.506524	11.533041	11.556473	11.577481	11.596524	11.612992	11.626756	11.638762	11.649482	11.658223	11.664758	11.671034	11.674800	11.677691	11.679951	11.680612	11.680861	11.680627	11.679225	11.677921	11.675825	11.673522	11.670709	11.667313	11.663295	11.659181	11.654766	11.650760	11.646600	11.641856	11.636885	11.632015	11.626684	11.621806	11.616302	11.611284	11.606162	11.601797	11.597874	11.593492	11.589767	11.586197	11.583024	11.580055	11.577082	11.574421	11.571824	11.570020	11.568043	11.566260	11.564566	11.563174	11.561979	11.561379	11.560144	11.559502	11.558711	11.558497	11.556914	11.556145	11.555053	11.554065	11.553173	11.551843	11.550928	11.549935
region_avg	region_2	2	19521	15.101538	15.925284	16.547752	17.050297	17.478531	17.883558	18.284451	18.686491	19.087662	19.488926	19.898890	20.305557	20.710024	21.112160	21.512678	21.910992	22.306185	22.698423	23.087986	23.473789	23.855066	24.230810	24.600531	24.964151	25.320280	25.669054	26.009859	26.341461	26.664177	26.977274	27.280682	27.573606	27.856049	28.128439	28.390091	28.640717	28.880341	29.108162	29.325882	29.533012	29.729391	29.914463	30.089901	30.255375	30.410999	30.556911	30.694534	30.823351	30.944206	31.057102	31.163195	31.261381	31.353800	31.440416	31.521616	31.597218	31.668173	31.734461	31.797092	31.856432	31.912508	31.965319	32.015247	32.061115	32.106113	32.148991	32.189274	32.227749	32.265034	32.299809	32.333744	32.366570	32.397854	32.428410	32.457771	32.485638	32.513142	32.540180	32.566429	32.592575	32.618561	32.644623	32.670895	32.698082	32.725739	32.753334	32.781368	32.809361	32.837166	32.865532	32.894115	32.922695	32.950981	32.979351	33.008533	33.037052	33.065475	33.093689	33.121586	33.149517	33.177124	33.204861	33.232841	33.260204	33.287949	33.315121	33.341827	33.368427	33.394905	33.421444
region_avg	region_3	3	17487	20.859570	21.861212	22.761906	23.503176	24.124159	24.695667	25.258776	25.822973	26.390648	26.960167	27.568003	28.170731	28.769932	29.365034	29.955305	30.539946	31.117987	31.688568	32.250965	32.804775	33.349537	33.883991	34.407139	34.919086	35.418705	35.905674	36.378807	36.838699	37.284321	37.714787	38.130222	38.528877	38.911308	39.276897	39.625122	39.955597	40.268627	40.564705	40.844082	41.106552	41.350922	41.576168	41.785244	41.979485	42.158100	42.321453	42.471375	42.608673	42.732986	42.845577	42.948570	43.041340	43.124870	43.200397	43.268692	43.329872	43.385372	43.434547	43.479057	43.518879	43.554668	43.586899	43.615776	43.641388	43.663212	43.683083	43.700138	43.715443	43.728569	43.739716	43.749466	43.757717	43.764900	43.771652	43.776688	43.781071	43.784550	43.788616	43.792328	43.796375	43.801121	43.806484	43.812828	43.819649	43.828297	43.837181	43.846561	43.856865	43.867836	43.879536	43.891815	43.905380	43.919323	43.932732	43.947521	43.962276	43.977386	43.992737	44.008579	44.024605	44.040882	44.057213	44.073765	44.089985	44.106632	44.123081	44.139465	44.155903	44.172329	44.188633
region_std	region_1	1	29332	7.485674	7.682395	7.727022	7.763999	7.800697	7.838354	7.877378	7.916550	7.956189	7.996071	8.027844	8.062403	8.098198	8.135846	8.174794	8.214194	8.255413	8.297112	8.338607	8.380629	8.422449	8.464770	8.506662	8.548395	8.589002	8.629996	8.669897	8.709084	8.747106	8.784184	8.820109	8.855103	8.888494	8.920853	8.951632	8.981428	9.009427	9.036080	9.061975	9.086162	9.109977	9.131050	9.150590	9.170048	9.187469	9.204621	9.219597	9.233333	9.247689	9.259694	9.271018	9.280787	9.290627	9.298697	9.305615	9.311956	9.316774	9.321860	9.325966	9.329341	9.332707	9.335744	9.337717	9.340137	9.341809	9.343622	9.345163	9.345398	9.346079	9.345727	9.345862	9.346364	9.346810	9.346404	9.346875	9.346694	9.345929	9.345228	9.344590	9.344727	9.344151	9.343832	9.343457	9.342224	9.341525	9.341930	9.342717	9.342975	9.342303	9.342804	9.341996	9.341861	9.341747	9.341797	9.341223	9.341210	9.341123	9.340880	9.341029	9.341218	9.340842	9.340714	9.339745	9.339374	9.338828	9.338541	9.338262	9.337882	9.338075	9.337749
