stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916	4916
region_area	region_2	2	19521	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679	9679
region_area	region_3	3	17487	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927	14927
region_sum	region_1	1	29332	30316.275391	30964.970703	30966.761719	30970.261719	30987.449219	31002.103516	31017.279297	31032.144531	31046.855469	31061.123047	31024.695312	30987.746094	30954.539062	30925.486328	30901.242188	30882.677734	30869.462891	30862.410156	30861.785156	30866.753906	30878.291016	30896.392578	30921.052734	30951.925781	30989.205078	31032.634766	31081.769531	31136.121094	31194.978516	31258.410156	31326.205078	31397.806641	31472.927734	31550.660156	31630.505859	31712.613281	31795.830078	31879.226562	31962.462891	32045.445312	32127.666016	32208.933594	32288.949219	32367.230469	32444.582031	32520.089844	32593.943359	32665.990234	32735.857422	32802.855469	32867.546875	32929.410156	32988.406250	33044.437500	33097.593750	33148.621094	33196.597656	33241.085938	33283.058594	33322.441406	33360.574219	33397.164062	33432.695312	33466.437500	33498.539062	33528.773438	33557.210938	33584.277344	33610.304688	33634.550781	33657.535156	33679.433594	33699.933594	33719.843750	33738.433594	33755.656250	33771.425781	33785.335938	33797.625000	33808.062500	33817.371094	33825.425781	33832.417969	33838.230469	33842.964844	33846.546875	33849.222656	33851.468750	33853.011719	33853.781250	33854.484375	33854.488281	33853.933594	33853.402344	33853.375000	33853.460938	33853.574219	33853.964844	33854.082031	33853.910156	33853.054688	33851.828125	33849.781250	33847.089844	33843.484375	33839.910156	33835.835938	33831.917969	33828.519531	33825.757812
region_sum	region_2	2	19521	136344.812500	138349.093750	138353.218750	138359.625000	138379.203125	138417.359375	138467.671875	138525.031250	138585.343750	138645.390625	138794.296875	138917.906250	139033.062500	139138.890625	139250.640625	139371.640625	139504.187500	139652.265625	139818.375000	140003.250000	140210.890625	140439.343750	140690.890625	140966.843750	141268.015625	141593.781250	141946.671875	142326.843750	142734.875000	143168.578125	143628.390625	144111.984375	144618.593750	145149.515625	145700.234375	146270.187500	146855.250000	147455.843750	148067.890625	148686.468750	149312.328125	149939.328125	150567.656250	151193.031250	151810.562500	152422.031250	153022.843750	153613.078125	154191.187500	154753.515625	155300.890625	155829.859375	156341.046875	156837.375000	157315.640625	157776.062500	158219.015625	158644.828125	159055.828125	159449.015625	159829.000000	160195.968750	160548.890625	160888.140625	161212.406250	161525.093750	161826.015625	162115.328125	162393.062500	162660.750000	162919.453125	163168.656250	163408.000000	163641.328125	163864.234375	164080.312500	164286.765625	164485.546875	164674.406250	164855.281250	165028.687500	165194.203125	165352.406250	165503.640625	165649.125000	165788.046875	165922.828125	166052.671875	166177.250000	166297.031250	166413.125000	166527.578125	166637.687500	166744.328125	166850.843750	166953.046875	167054.343750	167153.296875	167252.281250	167348.265625	167443.390625	167536.703125	167628.625000	167718.218750	167808.296875	167896.625000	167984.796875	168070.171875	168156.015625	168240.562500
region_sum	region_3	3	17487	293456.937500	296312.312500	296316.656250	296323.250000	296338.781250	296386.937500	296461.312500	296547.718750	296640.250000	296733.312500	297382.031250	297989.156250	298573.593750	299149.156250	299726.718750	300310.687500	300909.437500	301527.500000	302171.562500	302847.218750	303561.812500	304318.937500	305121.281250	305976.312500	306882.937500	307847.218750	308873.343750	309965.281250	311123.093750	312346.875000	313631.562500	314975.625000	316370.843750	317815.343750	319297.687500	320811.593750	322349.750000	323912.781250	325499.125000	327096.843750	328687.062500	330257.593750	331802.593750	333325.156250	334825.187500	336295.250000	337731.437500	339125.781250	340484.312500	341797.125000	343072.062500	344300.312500	345488.312500	346637.468750	347747.281250	348816.531250	349852.312500	350847.218750	351815.031250	352744.937500	353646.031250	354518.062500	355362.656250	356178.093750	356962.312500	357716.375000	358445.468750	359150.187500	359828.031250	360484.062500	361117.906250	361733.250000	362324.250000	362899.468750	363454.437500	363992.218750	364516.218750	365021.343750	365509.343750	365981.250000	366434.062500	366874.062500	367295.468750	367702.843750	368097.906250	368481.000000	368850.718750	369207.312500	369557.968750	369895.718750	370225.468750	370546.062500	370859.656250	371165.500000	371469.343750	371764.093750	372052.093750	372334.937500	372614.531250	372888.156250	373158.843750	373426.687500	373689.062500	373948.843750	374203.781250	374457.312500	374707.156250	374952.656250	375195.375000	375434.656250
region_avg	region_1	1	29332	6.166858	6.298814	6.299179	6.299891	6.303387	6.306368	6.309455	6.312479	6.315471	6.318373	6.310963	6.303447	6.296692	6.290782	6.285851	6.282074	6.279386	6.277952	6.277824	6.278835	6.281182	6.284864	6.289881	6.296161	6.303744	6.312578	6.322573	6.333629	6.345602	6.358505	6.372295	6.386860	6.402142	6.417953	6.434196	6.450898	6.467825	6.484790	6.501721	6.518601	6.535326	6.551858	6.568134	6.584058	6.599793	6.615152	6.630176	6.644831	6.659043	6.672672	6.685832	6.698415	6.710416	6.721814	6.732627	6.743007	6.752766	6.761816	6.770354	6.778365	6.786122	6.793565	6.800792	6.807656	6.814186	6.820336	6.826121	6.831627	6.836921	6.841853	6.846529	6.850983	6.855153	6.859203	6.862985	6.866488	6.869696	6.872526	6.875025	6.877149	6.879042	6.880681	6.882103	6.883286	6.884248	6.884977	6.885521	6.885978	6.886292	6.886448	6.886591	6.886592	6.886479	6.886372	6.886366	6.886384	6.886406	6.886486	6.886510	6.886475	6.886301	6.886051	6.885635	6.885087	6.884354	6.883627	6.882798	6.882001	6.881310	6.880748
region_avg	region_2	2	19521	14.086663	14.293738	14.294165	14.294827	14.296849	14.300792	14.305989	14.311915	14.318147	14.324350	14.339735	14.352506	14.364404	14.375338	14.386883	14.399384	14.413078	14.428377	14.445539	14.464640	14.486093	14.509696	14.535685	14.564195	14.595311	14.628968	14.665427	14.704705	14.746861	14.791671	14.839176	14.889140	14.941481	14.996334	15.053232	15.112118	15.172565	15.234615	15.297850	15.361759	15.426421	15.491200	15.556117	15.620728	15.684529	15.747705	15.809778	15.870759	15.930488	15.988585	16.045137	16.099789	16.152603	16.203882	16.253294	16.300863	16.346628	16.390621	16.433084	16.473707	16.512966	16.550880	16.587343	16.622393	16.655895	16.688200	16.719292	16.749182	16.777876	16.805532	16.832260	16.858007	16.882736	16.906843	16.929873	16.952196	16.973526	16.994064	17.013577	17.032265	17.050180	17.067280	17.083626	17.099251	17.114281	17.128633	17.142559	17.155973	17.168844	17.181221	17.193214	17.205040	17.216415	17.227434	17.238438	17.248997	17.259462	17.269686	17.279913	17.289829	17.299658	17.309299	17.318796	17.328053	17.337358	17.346485	17.355595	17.364414	17.373283	17.382019
region_avg	region_3	3	17487	19.659472	19.850761	19.851051	19.851494	19.852535	19.855761	19.860743	19.866531	19.872730	19.878965	19.922424	19.963097	20.002251	20.040810	20.079502	20.118624	20.158735	20.200140	20.243288	20.288551	20.336424	20.387146	20.440897	20.498178	20.558916	20.623516	20.692259	20.765409	20.842976	20.924959	21.011024	21.101067	21.194536	21.291307	21.390614	21.492035	21.595079	21.699791	21.806065	21.913099	22.019632	22.124847	22.228352	22.330351	22.430843	22.529325	22.625540	22.718950	22.809963	22.897911	22.983322	23.065607	23.145195	23.222179	23.296528	23.368160	23.437550	23.504202	23.569038	23.631334	23.691702	23.750122	23.806704	23.861332	23.913868	23.964384	24.013229	24.060440	24.105850	24.149799	24.192263	24.233486	24.273079	24.311615	24.348793	24.384821	24.419926	24.453764	24.486458	24.518072	24.548407	24.577883	24.606113	24.633406	24.659872	24.685535	24.710304	24.734194	24.757685	24.780312	24.802402	24.823881	24.844889	24.865377	24.885733	24.905479	24.924774	24.943722	24.962452	24.980783	24.998919	25.016861	25.034439	25.051842	25.068920	25.085905	25.102644	25.119089	25.135351	25.151381
region_std	region_1	1	29332	7.382610	7.517918	7.517613	7.517155	7.516441	7.515411	7.514219	7.513031	7.511806	7.510646	7.498361	7.488438	7.479960	7.472527	7.466087	7.460504	7.455642	7.451528	7.448109	7.445347	7.443206	7.441618	7.440673	7.440270	7.440466	7.441290	7.442661	7.444660	7.447220	7.450325	7.453918	7.458052	7.462550	7.467576	7.472958	7.478781	7.485001	7.491471	7.498333	7.505492	7.512987	7.520659	7.528215	7.535664	7.543318	7.551294	7.559419	7.567494	7.575504	7.583497	7.591323	7.598837	7.606027	7.612822	7.619224	7.625155	7.630674	7.635629	7.640239	7.644521	7.648865	7.653426	7.657969	7.662275	7.666360	7.670148	7.673676	7.677203	7.680688	7.684023	7.687248	7.690277	7.693247	7.696135	7.698929	7.701451	7.703837	7.705908	7.707702	7.709463	7.711068	7.712533	7.713896	7.715090	7.715972	7.716873	7.717758	7.718519	7.719199	7.719584	7.719767	7.719734	7.719582	7.719311	7.719097	7.718907	7.718739	7.718600	7.718272	7.717828	7.717045	7.715925	7.714564	7.712889	7.711094	7.709429	7.708198	7.707231	7.706692	7.706177
