stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507
region_area	region_2	2	19521	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362
region_area	region_3	3	17487	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192
region_sum	region_1	1	29332	428.448517	1198.025513	1163.749878	1174.592529	1229.822876	1278.298828	1311.271606	1335.021118	1349.691895	1360.115601	1368.264404	1374.404663	1377.329224	1380.600342	1383.008301	1383.073730	1384.464111	1385.418945	1384.919067	1386.538208	1387.243286	1386.809570	1386.547974	1387.325928	1386.678711	1388.565918	1387.391968	1388.445557	1387.208130	1387.044922	1386.610107	1385.935425	1386.413574	1386.543335	1385.724609	1387.969971	1385.764893	1386.148193	1387.041870	1386.520630	1386.776489	1386.903564	1386.984253	1387.819946	1386.942993	1387.294189	1387.452515	1386.557495	1386.576904	1386.540161	1386.786987	1386.772949	1387.178711	1388.068726	1386.252441	1387.317139	1386.959351	1387.195068	1387.411865	1387.194946	1387.591187	1387.019531	1387.567505	1387.300903	1387.472656	1386.992920	1387.269409	1387.352539	1387.734497	1387.564331	1387.258667	1396.857544	1409.075562	1420.533813	1432.319702	1444.213867	1454.450073	1468.656128	1480.814819	1493.154419	1505.127319	1516.930420	1529.430420	1540.372803	1553.028687	1565.357544	1577.892456	1589.924927	1601.286743	1613.711304	1625.182739	1637.180542	1649.928833	1660.906494	1671.432739	1684.171997	1696.009399	1707.057373	1719.019531	1731.375732	1740.934204	1753.826172	1765.564941	1776.027832	1789.508179	1798.350952	1810.851074	1822.259033	1831.702637	1843.733765
region_sum	region_2	2	19521	72.270714	231.514557	230.153397	229.606140	232.725616	239.042099	245.462891	250.765717	254.545670	257.498749	259.712463	260.890869	262.075104	262.447815	263.354309	263.695435	263.796387	263.924286	264.176971	264.416565	264.497925	264.677338	264.669067	264.832764	264.750824	264.935974	264.695007	264.713379	264.729675	264.815216	264.920288	264.877319	264.909607	264.791504	264.810364	264.823639	264.852875	264.782562	264.837921	264.779175	264.928711	264.798248	264.837158	264.671051	264.854614	264.726013	264.904724	264.940857	264.773682	264.773224	264.741821	264.835388	264.696350	264.810028	264.670959	264.636169	264.655792	264.783478	264.813232	264.560913	264.724792	264.597504	264.842621	264.666809	264.798950	264.677521	264.770264	264.885376	264.750488	264.796173	264.784943	266.853882	268.994507	271.425171	274.059601	276.399719	278.909851	281.692719	284.191132	286.771301	289.062225	292.110291	294.626770	297.569641	299.875793	302.795898	305.189270	307.827850	310.642883	313.204010	315.476105	318.366913	320.891846	323.455109	326.071075	328.648163	331.020874	333.789948	336.332123	338.886566	341.344574	344.108551	346.313873	349.024628	351.249542	353.710815	356.098511	358.094208	360.741913	363.301025
region_sum	region_3	3	17487	36.085148	105.174500	104.514030	103.194382	101.860420	101.989967	102.614601	103.471092	104.415268	105.141106	105.672668	105.993813	106.395195	106.677643	107.047249	107.154579	107.325554	107.505333	107.577393	107.611031	107.649490	107.840645	107.792519	107.696388	107.779243	107.848061	107.806648	108.109673	108.071495	108.149239	108.048370	107.990768	108.034653	108.144905	107.941513	107.959984	107.905640	107.883125	107.885628	107.897362	107.901382	108.041534	107.922890	107.801292	107.766457	107.847984	107.864670	107.832283	107.886902	107.808365	107.930962	107.859993	107.842819	107.973885	108.004349	108.034325	108.117851	107.855988	107.846024	107.875282	107.966034	107.878967	107.921844	107.926872	108.046227	108.020226	108.011856	107.857986	107.993690	107.951248	107.867638	108.760933	109.787659	110.636002	111.363060	112.546333	113.360374	114.355690	115.624886	116.623894	118.065338	119.135742	120.174217	121.125740	122.372665	123.576500	124.712402	125.792587	126.809425	127.950020	129.370010	130.189865	131.424026	132.508362	133.745316	134.851196	136.320419	137.471481	138.573990	139.587585	140.868988	142.093811	143.148270	144.301880	145.463379	146.772186	147.704437	148.911316	150.062302	151.213028
region_avg	region_1	1	29332	0.284306	0.794974	0.772229	0.779424	0.816074	0.848241	0.870121	0.885880	0.895615	0.902532	0.907939	0.912014	0.913954	0.916125	0.917723	0.917766	0.918689	0.919322	0.918991	0.920065	0.920533	0.920245	0.920072	0.920588	0.920158	0.921411	0.920632	0.921331	0.920510	0.920401	0.920113	0.919665	0.919982	0.920069	0.919525	0.921015	0.919552	0.919806	0.920399	0.920053	0.920223	0.920308	0.920361	0.920916	0.920334	0.920567	0.920672	0.920078	0.920091	0.920066	0.920230	0.920221	0.920490	0.921081	0.919876	0.920582	0.920345	0.920501	0.920645	0.920501	0.920764	0.920385	0.920748	0.920571	0.920685	0.920367	0.920550	0.920606	0.920859	0.920746	0.920543	0.926913	0.935020	0.942624	0.950444	0.958337	0.965129	0.974556	0.982624	0.990812	0.998757	1.006590	1.014884	1.022145	1.030543	1.038724	1.047042	1.055027	1.062566	1.070810	1.078423	1.086384	1.094843	1.102128	1.109113	1.117566	1.125421	1.132752	1.140690	1.148889	1.155232	1.163786	1.171576	1.178519	1.187464	1.193332	1.201626	1.209196	1.215463	1.223446
region_avg	region_2	2	19521	0.199643	0.639543	0.635783	0.634271	0.642888	0.660337	0.678074	0.692723	0.703165	0.711322	0.717438	0.720693	0.723964	0.724994	0.727498	0.728440	0.728719	0.729073	0.729771	0.730433	0.730657	0.731153	0.731130	0.731582	0.731356	0.731867	0.731202	0.731252	0.731297	0.731534	0.731824	0.731705	0.731794	0.731468	0.731520	0.731557	0.731638	0.731444	0.731596	0.731434	0.731847	0.731487	0.731594	0.731135	0.731643	0.731287	0.731781	0.731881	0.731419	0.731418	0.731331	0.731589	0.731205	0.731519	0.731135	0.731039	0.731093	0.731446	0.731528	0.730831	0.731284	0.730932	0.731609	0.731124	0.731489	0.731153	0.731410	0.731728	0.731355	0.731481	0.731450	0.737165	0.743079	0.749793	0.757071	0.763535	0.770469	0.778157	0.785058	0.792186	0.798514	0.806934	0.813886	0.822016	0.828386	0.836453	0.843064	0.850353	0.858130	0.865204	0.871481	0.879467	0.886442	0.893522	0.900749	0.907868	0.914422	0.922072	0.929094	0.936151	0.942941	0.950576	0.956668	0.964156	0.970303	0.977102	0.983698	0.989211	0.996525	1.003594
region_avg	region_3	3	17487	0.187943	0.547784	0.544344	0.537471	0.530523	0.531198	0.534451	0.538912	0.543830	0.547610	0.550379	0.552051	0.554142	0.555613	0.557538	0.558097	0.558987	0.559924	0.560299	0.560474	0.560674	0.561670	0.561419	0.560919	0.561350	0.561709	0.561493	0.563071	0.562872	0.563277	0.562752	0.562452	0.562680	0.563255	0.562195	0.562292	0.562009	0.561891	0.561904	0.561965	0.561986	0.562716	0.562098	0.561465	0.561284	0.561708	0.561795	0.561626	0.561911	0.561502	0.562140	0.561771	0.561681	0.562364	0.562523	0.562679	0.563114	0.561750	0.561698	0.561850	0.562323	0.561870	0.562093	0.562119	0.562741	0.562605	0.562562	0.561760	0.562467	0.562246	0.561811	0.566463	0.571811	0.576229	0.580016	0.586179	0.590419	0.595603	0.602213	0.607416	0.614924	0.620499	0.625907	0.630863	0.637358	0.643628	0.649544	0.655170	0.660466	0.666406	0.673802	0.678072	0.684500	0.690148	0.696590	0.702350	0.710002	0.715997	0.721740	0.727019	0.733693	0.740072	0.745564	0.751572	0.757622	0.764438	0.769294	0.775580	0.781574	0.787568
region_std	region_1	1	29332	0.054304	0.172100	0.170285	0.179974	0.199090	0.206372	0.210242	0.212017	0.213075	0.212832	0.212642	0.213088	0.212455	0.213171	0.212898	0.212000	0.212394	0.212659	0.211970	0.212268	0.212243	0.212220	0.212126	0.212707	0.212387	0.213481	0.212817	0.212909	0.212296	0.212764	0.212184	0.212544	0.212336	0.212674	0.212270	0.212705	0.212358	0.212312	0.212190	0.212275	0.212402	0.212426	0.212649	0.212416	0.212537	0.212576	0.212650	0.212364	0.212244	0.212565	0.212377	0.212166	0.212569	0.212376	0.212052	0.212769	0.212682	0.212055	0.212115	0.212523	0.212839	0.212410	0.212619	0.212418	0.211911	0.212423	0.212427	0.212474	0.212395	0.212648	0.212541	0.213829	0.215796	0.217151	0.218543	0.220030	0.220702	0.222280	0.223437	0.225067	0.226325	0.227035	0.228879	0.229760	0.231066	0.232513	0.232941	0.234685	0.236232	0.237428	0.238245	0.239340	0.240952	0.241090	0.242956	0.244164	0.245733	0.246398	0.248128	0.249216	0.249984	0.251453	0.253191	0.253876	0.255696	0.256401	0.257853	0.258571	0.259855	0.261261
