stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507
region_area	region_2	2	19521	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362
region_area	region_3	3	17487	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192
region_sum	region_1	1	29332	-620.431091	-16.007046	-13.181157	25.876854	85.743790	134.130310	169.594620	196.912460	217.472458	232.818008	244.617416	248.531281	250.907700	253.252319	255.493927	256.300385	257.930939	259.106537	260.097260	261.857697	262.638367	263.331482	264.120911	265.244904	265.756042	267.330170	267.286621	268.577545	268.511414	269.183197	269.425812	269.773499	270.436035	271.091919	271.051392	272.689911	271.896027	272.454132	273.147247	273.367523	273.728851	274.214783	274.367371	274.955902	274.868774	275.208405	275.530457	275.414948	275.497192	275.841888	276.097412	276.138611	276.538513	277.035065	276.324371	277.086334	276.986847	277.129852	277.389465	277.367035	277.549042	277.523254	277.856293	277.817322	277.867126	277.897583	278.054688	277.950348	278.354889	278.319336	278.167328	281.934235	286.129639	289.782196	293.226990	296.640381	299.163086	303.645233	306.896942	310.087189	313.292847	316.448975	319.674744	322.432129	326.155609	329.359467	332.729858	335.961365	338.741455	342.214478	345.234802	348.319763	351.742615	354.396179	356.932983	360.493378	363.880920	366.366272	369.690674	372.983368	374.999359	378.787201	381.794037	384.373474	388.110474	389.977112	393.321960	395.846039	397.801514	400.867340
region_sum	region_2	2	19521	-161.042084	-24.769321	-8.394596	2.110543	14.133236	25.744854	35.416595	42.848698	48.545441	52.979527	56.279331	57.210087	57.992588	58.467422	59.117039	59.485405	59.676205	59.966972	60.249069	60.689575	61.082893	60.910198	61.418839	61.733032	61.844887	61.912998	62.102669	62.447521	62.639297	62.623890	62.804092	62.957161	63.039745	63.119434	63.408672	63.425655	63.488358	63.665352	63.670910	63.720169	64.018738	64.246162	64.180161	64.346222	64.355774	64.481941	64.543587	64.533539	64.554420	64.607506	64.672493	64.644295	64.330574	64.374825	63.936684	64.270874	64.814751	64.882904	64.965927	65.035545	65.076591	65.273399	65.223946	65.217888	65.347298	65.164001	65.194702	65.522552	65.315605	65.324051	65.386375	66.312050	67.262970	68.015472	68.933739	69.650589	70.055412	70.443558	71.207390	71.514839	72.318489	73.299171	74.357941	75.623093	76.269379	77.546478	78.299026	79.157364	80.208061	80.752472	81.197403	82.619942	83.413223	84.131958	84.804688	85.627388	86.338791	87.166916	87.675148	88.766388	89.804642	90.242279	90.880234	91.548981	92.193649	93.048973	93.500908	94.064735	95.374763	96.145073
region_sum	region_3	3	17487	-52.833931	10.199769	9.990908	10.814522	13.395918	16.752707	19.894644	22.699263	25.225521	27.173981	28.483540	29.023104	29.401913	29.786077	30.170362	30.343416	30.511612	30.682671	30.799053	30.832827	30.969540	31.007910	31.073013	31.122120	31.087402	31.356316	31.392416	31.560564	31.600479	31.480188	31.443369	31.458242	31.624434	31.675322	31.486670	31.666283	31.782270	31.704107	31.691479	31.951511	31.836365	32.027481	31.782881	31.881937	31.856209	31.995890	31.986053	32.009926	32.042820	32.165234	32.082973	32.008953	32.067139	32.297298	32.262856	32.300388	32.400448	32.068329	32.097992	32.297882	32.259155	32.286327	32.433620	32.297222	32.382774	32.514709	32.405426	32.316601	32.378872	32.469482	32.337437	32.897549	33.405834	33.728634	34.045666	34.556969	35.043571	35.369549	35.966816	36.385323	37.042439	37.503643	37.912937	38.208260	38.695206	39.368946	39.822273	40.330650	40.476086	40.998104	41.664486	41.964096	42.447006	42.931076	43.398457	43.869667	44.655968	44.881222	45.420376	45.997177	46.457230	46.764271	47.325817	47.857777	48.318157	48.689606	49.092663	49.583057	50.095348	50.500511
region_avg	region_1	1	29332	-0.411699	-0.010622	-0.008747	0.017171	0.056897	0.089005	0.112538	0.130665	0.144308	0.154491	0.162321	0.164918	0.166495	0.168051	0.169538	0.170073	0.171155	0.171935	0.172593	0.173761	0.174279	0.174739	0.175263	0.176009	0.176348	0.177392	0.177363	0.178220	0.178176	0.178622	0.178783	0.179014	0.179453	0.179888	0.179862	0.180949	0.180422	0.180792	0.181252	0.181398	0.181638	0.181961	0.182062	0.182452	0.182395	0.182620	0.182834	0.182757	0.182812	0.183040	0.183210	0.183237	0.183503	0.183832	0.183361	0.183866	0.183800	0.183895	0.184067	0.184052	0.184173	0.184156	0.184377	0.184351	0.184384	0.184405	0.184509	0.184440	0.184708	0.184684	0.184584	0.187083	0.189867	0.192291	0.194577	0.196842	0.198516	0.201490	0.203648	0.205765	0.207892	0.209986	0.212127	0.213956	0.216427	0.218553	0.220790	0.222934	0.224779	0.227083	0.229087	0.231135	0.233406	0.235167	0.236850	0.239213	0.241460	0.243110	0.245316	0.247501	0.248838	0.251352	0.253347	0.255059	0.257538	0.258777	0.260997	0.262672	0.263969	0.266004
region_avg	region_2	2	19521	-0.444868	-0.068424	-0.023189	0.005830	0.039042	0.071118	0.097836	0.118367	0.134103	0.146352	0.155468	0.158039	0.160201	0.161512	0.163307	0.164324	0.164851	0.165655	0.166434	0.167651	0.168737	0.168260	0.169665	0.170533	0.170842	0.171030	0.171554	0.172507	0.173037	0.172994	0.173492	0.173915	0.174143	0.174363	0.175162	0.175209	0.175382	0.175871	0.175886	0.176023	0.176847	0.177476	0.177293	0.177752	0.177778	0.178127	0.178297	0.178269	0.178327	0.178474	0.178653	0.178575	0.177709	0.177831	0.176621	0.177544	0.179046	0.179235	0.179464	0.179656	0.179770	0.180313	0.180177	0.180160	0.180517	0.180011	0.180096	0.181002	0.180430	0.180453	0.180625	0.183182	0.185809	0.187888	0.190425	0.192405	0.193523	0.194595	0.196705	0.197555	0.199775	0.202484	0.205409	0.208904	0.210689	0.214217	0.216296	0.218667	0.221569	0.223073	0.224302	0.228232	0.230423	0.232409	0.234267	0.236540	0.238505	0.240793	0.242197	0.245211	0.248079	0.249288	0.251050	0.252898	0.254679	0.257041	0.258290	0.259847	0.263466	0.265594
region_avg	region_3	3	17487	-0.275177	0.053124	0.052036	0.056326	0.069770	0.087254	0.103618	0.118225	0.131383	0.141531	0.148352	0.151162	0.153135	0.155136	0.157137	0.158039	0.158915	0.159806	0.160412	0.160588	0.161300	0.161500	0.161839	0.162094	0.161914	0.163314	0.163502	0.164378	0.164586	0.163959	0.163768	0.163845	0.164711	0.164976	0.163993	0.164929	0.165533	0.165126	0.165060	0.166414	0.165814	0.166810	0.165536	0.166052	0.165918	0.166645	0.166594	0.166718	0.166890	0.167527	0.167099	0.166713	0.167016	0.168215	0.168036	0.168231	0.168752	0.167023	0.167177	0.168218	0.168016	0.168158	0.168925	0.168215	0.168660	0.169347	0.168778	0.168316	0.168640	0.169112	0.168424	0.171341	0.173989	0.175670	0.177321	0.179984	0.182519	0.184216	0.187327	0.189507	0.192929	0.195331	0.197463	0.199001	0.201538	0.205047	0.207408	0.210055	0.210813	0.213532	0.217003	0.218563	0.221078	0.223599	0.226034	0.228488	0.232583	0.233756	0.236564	0.239569	0.241965	0.243564	0.246489	0.249259	0.251657	0.253592	0.255691	0.258245	0.260913	0.263023
region_std	region_1	1	29332	0.179860	0.090827	0.077270	0.066824	0.060518	0.054869	0.051486	0.049041	0.047655	0.046339	0.045864	0.045436	0.045257	0.045475	0.045229	0.044797	0.045163	0.045299	0.044956	0.045312	0.045204	0.045295	0.045256	0.045589	0.045427	0.046052	0.045667	0.045799	0.045490	0.045873	0.045794	0.046093	0.046100	0.046346	0.046104	0.046170	0.045910	0.045963	0.045878	0.046103	0.046053	0.046107	0.046232	0.046150	0.046251	0.046173	0.046330	0.046220	0.046145	0.046367	0.046305	0.046164	0.046456	0.046307	0.046226	0.046662	0.046510	0.046186	0.046262	0.046463	0.046569	0.046446	0.046671	0.046506	0.046192	0.046607	0.046591	0.046477	0.046514	0.046626	0.046614	0.047248	0.047780	0.048354	0.048661	0.049147	0.049147	0.049784	0.050224	0.050815	0.051234	0.051454	0.052055	0.052130	0.052345	0.052684	0.052609	0.053248	0.053682	0.054055	0.054201	0.054516	0.055084	0.054969	0.055554	0.055819	0.056373	0.056376	0.057027	0.057318	0.057570	0.058142	0.058812	0.058952	0.059558	0.060190	0.061674	0.063842	0.067732	0.072474
