stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507
region_area	region_2	2	19521	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362
region_area	region_3	3	17487	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192
region_sum	region_1	1	29332	165.683212	439.381195	409.792236	410.334686	430.533295	447.557495	458.676636	466.645752	471.445160	474.849701	477.596191	479.718628	480.623810	481.723480	482.658234	482.477844	482.998230	483.267883	483.082397	483.777893	483.933258	483.744080	483.686249	483.972168	483.728943	484.557465	483.968811	484.540131	483.964752	483.972229	483.728088	483.473419	483.671143	483.788269	483.389069	484.405060	483.363007	483.515015	483.905762	483.707489	483.792603	483.902771	483.884491	484.231110	483.872162	484.015778	484.103699	483.729492	483.686646	483.709595	483.806702	483.787140	483.966370	484.346954	483.478851	484.029877	483.868317	483.945221	484.032196	483.936829	484.066956	483.850891	484.085846	484.006683	484.032532	483.898529	483.989380	483.942627	484.174469	484.106750	483.962494	487.592896	492.157013	496.369629	500.650360	504.934174	508.485077	513.852417	518.247314	522.699890	527.023560	531.329163	535.833740	539.746704	544.444336	548.896118	553.467896	557.884949	561.970093	566.597534	570.779175	575.171753	579.857361	583.833679	587.616516	592.359741	596.800354	600.737061	605.204895	609.767639	613.128113	618.054077	622.379395	626.150208	631.246582	634.410156	639.140625	643.263977	646.720154	651.343201
region_sum	region_2	2	19521	29.258789	91.934662	95.316887	95.772354	97.756699	101.033836	103.694572	105.670593	106.982964	108.079086	108.591858	108.996864	109.414780	109.443901	109.905693	109.830856	109.794510	109.880463	109.858749	109.998398	110.250656	109.885025	109.977676	110.292923	110.136757	110.047798	109.917587	110.157021	110.216141	110.121880	110.139847	110.043121	110.039024	109.987228	110.148766	110.013992	110.082550	110.038979	110.022636	109.842514	110.084198	110.272064	110.110138	110.147186	110.119919	110.201828	110.262596	110.164215	110.156319	110.132988	110.130905	110.191467	109.994110	110.255714	110.147781	110.047699	110.160538	110.128098	110.033760	110.017151	110.063087	110.124069	110.175652	110.035820	110.229355	109.936478	110.021065	110.253815	110.056511	110.121201	110.151024	111.089737	112.080376	113.097473	114.147255	115.186256	116.008316	117.000923	118.216125	119.147827	120.275826	121.443787	122.302605	123.597824	124.428139	125.747620	126.730423	127.690437	128.995117	129.799149	130.489090	132.012466	133.178391	134.118271	135.094116	136.219330	137.169830	138.291428	139.112289	140.389740	141.700485	142.543213	143.482422	144.339600	145.276520	146.444077	147.137711	148.018509	149.472458	150.509781
region_sum	region_3	3	17487	17.933376	55.992008	53.021568	51.348049	50.624733	50.620819	50.890278	51.573853	52.185898	52.646427	52.746399	53.002003	53.155834	53.393108	53.658211	53.686005	53.818531	53.834568	53.897144	53.886417	53.931206	53.998165	53.904457	53.976254	53.915134	54.109383	54.085629	54.319855	54.192501	54.093441	54.074448	54.106945	54.223179	54.197578	54.032417	54.075600	54.053627	54.011600	53.965870	54.109509	54.026134	54.166412	53.877293	53.937393	53.915955	54.058723	53.958088	54.023670	54.001797	54.099140	54.014423	53.945759	53.907265	54.171005	54.181210	54.148350	54.250324	53.828056	53.912426	54.010452	54.028122	54.027569	54.178505	54.026386	54.164486	54.203690	54.074043	53.996395	54.076836	54.057575	53.944195	54.517139	55.083572	55.363258	55.788853	56.428600	56.923851	57.414963	58.106464	58.700516	59.482460	60.049393	60.551830	60.999657	61.720894	62.497646	63.041901	63.703426	63.997631	64.734482	65.547890	65.913818	66.577568	67.189827	67.849174	68.528786	69.464806	69.804901	70.580276	71.208443	71.904297	72.414841	73.101151	73.743820	74.479340	74.893356	75.443871	76.193336	76.829422	77.338074
region_avg	region_1	1	29332	0.109942	0.291560	0.271926	0.272286	0.285689	0.296986	0.304364	0.309652	0.312837	0.315096	0.316919	0.318327	0.318928	0.319657	0.320278	0.320158	0.320503	0.320682	0.320559	0.321021	0.321124	0.320998	0.320960	0.321149	0.320988	0.321538	0.321147	0.321526	0.321144	0.321149	0.320987	0.320818	0.320950	0.321027	0.320762	0.321437	0.320745	0.320846	0.321105	0.320974	0.321030	0.321103	0.321091	0.321321	0.321083	0.321178	0.321237	0.320988	0.320960	0.320975	0.321040	0.321027	0.321146	0.321398	0.320822	0.321188	0.321081	0.321132	0.321189	0.321126	0.321212	0.321069	0.321225	0.321172	0.321189	0.321101	0.321161	0.321130	0.321284	0.321239	0.321143	0.323552	0.326581	0.329376	0.332217	0.335059	0.337415	0.340977	0.343893	0.346848	0.349717	0.352574	0.355563	0.358160	0.361277	0.364231	0.367265	0.370196	0.372907	0.375977	0.378752	0.381667	0.384776	0.387415	0.389925	0.393072	0.396019	0.398631	0.401596	0.404624	0.406853	0.410122	0.412992	0.415495	0.418876	0.420976	0.424115	0.426851	0.429144	0.432212
region_avg	region_2	2	19521	0.080825	0.253963	0.263306	0.264565	0.270046	0.279099	0.286449	0.291908	0.295533	0.298561	0.299978	0.301096	0.302251	0.302331	0.303607	0.303400	0.303300	0.303537	0.303477	0.303863	0.304560	0.303550	0.303806	0.304677	0.304245	0.303999	0.303640	0.304301	0.304464	0.304204	0.304254	0.303987	0.303975	0.303832	0.304278	0.303906	0.304095	0.303975	0.303930	0.303432	0.304100	0.304619	0.304172	0.304274	0.304199	0.304425	0.304593	0.304321	0.304299	0.304235	0.304229	0.304396	0.303851	0.304574	0.304276	0.303999	0.304311	0.304221	0.303961	0.303915	0.304042	0.304210	0.304353	0.303966	0.304501	0.303692	0.303926	0.304569	0.304024	0.304202	0.304285	0.306878	0.309614	0.312424	0.315324	0.318194	0.320465	0.323207	0.326564	0.329138	0.332254	0.335480	0.337853	0.341430	0.343724	0.347369	0.350084	0.352736	0.356340	0.358561	0.360467	0.364675	0.367896	0.370492	0.373188	0.376296	0.378922	0.382021	0.384288	0.387817	0.391438	0.393766	0.396360	0.398728	0.401316	0.404542	0.406458	0.408891	0.412907	0.415773
region_avg	region_3	3	17487	0.093403	0.291625	0.276154	0.267438	0.263670	0.263650	0.265054	0.268614	0.271802	0.274200	0.274721	0.276052	0.276853	0.278089	0.279470	0.279615	0.280305	0.280388	0.280714	0.280658	0.280892	0.281240	0.280752	0.281126	0.280808	0.281820	0.281696	0.282916	0.282253	0.281737	0.281638	0.281807	0.282412	0.282279	0.281419	0.281644	0.281529	0.281310	0.281072	0.281820	0.281386	0.282117	0.280611	0.280924	0.280812	0.281556	0.281032	0.281373	0.281259	0.281766	0.281325	0.280968	0.280767	0.282141	0.282194	0.282023	0.282554	0.280354	0.280794	0.281304	0.281396	0.281394	0.282180	0.281387	0.282107	0.282311	0.281636	0.281231	0.281650	0.281550	0.280959	0.283943	0.286894	0.288350	0.290567	0.293899	0.296478	0.299036	0.302638	0.305732	0.309804	0.312757	0.315374	0.317707	0.321463	0.325509	0.328343	0.331789	0.333321	0.337159	0.341395	0.343301	0.346758	0.349947	0.353381	0.356921	0.361796	0.363567	0.367606	0.370877	0.374502	0.377161	0.380735	0.384082	0.387913	0.390070	0.392937	0.396840	0.400153	0.402802
region_std	region_1	1	29332	0.021459	0.067451	0.064428	0.067876	0.075168	0.077289	0.078359	0.078758	0.079032	0.078787	0.078650	0.078772	0.078516	0.078832	0.078690	0.078272	0.078484	0.078594	0.078290	0.078458	0.078407	0.078407	0.078353	0.078602	0.078449	0.078967	0.078612	0.078691	0.078402	0.078652	0.078370	0.078533	0.078451	0.078607	0.078395	0.078615	0.078426	0.078414	0.078367	0.078453	0.078459	0.078491	0.078599	0.078471	0.078536	0.078507	0.078586	0.078470	0.078382	0.078559	0.078468	0.078365	0.078554	0.078469	0.078321	0.078666	0.078616	0.078311	0.078336	0.078515	0.078644	0.078474	0.078623	0.078510	0.078215	0.078524	0.078499	0.078486	0.078462	0.078580	0.078528	0.079029	0.079784	0.080352	0.080846	0.081408	0.081597	0.082230	0.082673	0.083308	0.083757	0.083979	0.084717	0.085015	0.085500	0.086040	0.086129	0.086890	0.087492	0.087936	0.088213	0.088625	0.089280	0.089227	0.089996	0.090415	0.091066	0.091272	0.091974	0.092354	0.092615	0.093201	0.093903	0.094112	0.094830	0.095060	0.095638	0.095830	0.096393	0.096965
