stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507
region_area	region_2	2	19521	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362
region_area	region_3	3	17487	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192
region_sum	region_1	1	29332	69.317848	160.403275	185.057831	194.494003	204.143768	212.908920	219.301025	223.837189	226.826920	228.880264	230.345337	231.457611	232.002411	232.526810	232.915070	232.993042	233.092346	233.259415	233.176270	233.399582	233.531372	233.373444	233.294540	233.340988	233.283890	233.421097	233.246643	233.282608	233.138611	233.047195	233.034363	232.915466	232.961792	232.866653	232.831512	233.152115	232.878922	232.882416	232.941910	232.959290	232.890854	232.942810	232.940125	232.997894	232.941315	233.017624	232.947617	232.880325	232.852036	232.888840	232.896912	232.792923	232.850113	233.041000	232.853378	232.943481	232.826172	232.938217	232.969620	232.917633	232.962173	232.971222	233.010803	232.951828	232.987335	232.885544	232.894791	232.889389	232.993088	232.936951	232.883804	233.581421	234.676056	235.833679	237.013443	238.287735	239.245346	240.744370	241.984528	243.195496	244.318756	245.481903	246.595200	247.677536	248.809235	249.965469	251.280884	252.265991	253.314407	254.354294	255.323807	256.427216	257.439392	258.346588	259.165009	260.133179	261.057861	261.821106	262.781647	263.914764	264.440918	265.335510	266.131897	266.891785	267.911377	268.283813	269.237396	270.041718	270.442047	271.079712
region_sum	region_2	2	19521	12.994328	30.950224	38.327351	41.186264	42.723255	44.089142	45.254227	46.161114	46.833611	47.345127	47.647076	47.852024	48.020180	48.093361	48.224091	48.240887	48.250031	48.245995	48.256256	48.288265	48.345230	48.279728	48.261826	48.317490	48.307617	48.297260	48.238735	48.289200	48.312279	48.301762	48.295479	48.253452	48.258820	48.230721	48.259541	48.233467	48.233570	48.225811	48.216396	48.182178	48.195175	48.257046	48.253090	48.248142	48.227077	48.257492	48.270966	48.259762	48.256840	48.247269	48.241867	48.255779	48.195568	48.224895	48.234985	48.208031	48.222469	48.221706	48.191898	48.186184	48.189430	48.204670	48.248814	48.211498	48.252739	48.188610	48.205090	48.260075	48.218887	48.219116	48.224136	48.385925	48.581039	48.789764	49.060474	49.303852	49.506710	49.739281	49.998276	50.233994	50.468277	50.759697	50.971375	51.242622	51.449959	51.716892	51.937943	52.135052	52.401726	52.568802	52.690838	52.963676	53.232605	53.446789	53.609062	53.811951	53.981327	54.174328	54.310978	54.531078	54.767754	54.902393	55.050705	55.182716	55.289330	55.436756	55.546246	55.649353	55.825951	55.992611
region_sum	region_3	3	17487	7.437261	17.383041	21.247417	22.185150	22.323629	22.327742	22.379311	22.515896	22.720329	22.879015	22.977583	23.042141	23.096796	23.162451	23.251413	23.282696	23.313448	23.332422	23.356489	23.334677	23.349493	23.354193	23.344917	23.341782	23.331553	23.368238	23.377869	23.410818	23.425880	23.391375	23.359217	23.343475	23.379219	23.398148	23.348372	23.335135	23.333973	23.299726	23.285084	23.333853	23.314192	23.344812	23.296858	23.285709	23.259811	23.287764	23.290911	23.294258	23.288824	23.311087	23.305691	23.285769	23.270525	23.310871	23.347898	23.354643	23.365200	23.280615	23.261023	23.279116	23.297073	23.276423	23.324228	23.305815	23.329836	23.342394	23.321957	23.295507	23.301485	23.301689	23.266867	23.347389	23.459734	23.538485	23.612728	23.745893	23.863249	23.959324	24.124027	24.264814	24.468332	24.609348	24.739094	24.812674	24.945206	25.121286	25.255840	25.400467	25.453886	25.587326	25.746042	25.845209	25.963572	26.080231	26.203520	26.334806	26.531454	26.594467	26.696074	26.835724	26.970732	27.056904	27.142588	27.263584	27.375422	27.467455	27.517160	27.614120	27.702570	27.788132
region_avg	region_1	1	29332	0.045997	0.106439	0.122799	0.129060	0.135464	0.141280	0.145522	0.148532	0.150516	0.151878	0.152850	0.153588	0.153950	0.154298	0.154555	0.154607	0.154673	0.154784	0.154729	0.154877	0.154964	0.154860	0.154807	0.154838	0.154800	0.154891	0.154775	0.154799	0.154704	0.154643	0.154635	0.154556	0.154586	0.154523	0.154500	0.154713	0.154531	0.154534	0.154573	0.154585	0.154539	0.154574	0.154572	0.154610	0.154573	0.154624	0.154577	0.154532	0.154514	0.154538	0.154543	0.154474	0.154512	0.154639	0.154515	0.154574	0.154496	0.154571	0.154592	0.154557	0.154587	0.154593	0.154619	0.154580	0.154603	0.154536	0.154542	0.154538	0.154607	0.154570	0.154535	0.154998	0.155724	0.156492	0.157275	0.158121	0.158756	0.159751	0.160574	0.161377	0.162123	0.162894	0.163633	0.164351	0.165102	0.165870	0.166742	0.167396	0.168092	0.168782	0.169425	0.170157	0.170829	0.171431	0.171974	0.172617	0.173230	0.173737	0.174374	0.175126	0.175475	0.176069	0.176597	0.177101	0.177778	0.178025	0.178658	0.179192	0.179457	0.179880
region_avg	region_2	2	19521	0.035896	0.085498	0.105877	0.113774	0.118020	0.121793	0.125012	0.127517	0.129375	0.130788	0.131622	0.132188	0.132652	0.132855	0.133216	0.133262	0.133287	0.133276	0.133305	0.133393	0.133550	0.133369	0.133320	0.133474	0.133446	0.133418	0.133256	0.133396	0.133459	0.133430	0.133413	0.133297	0.133312	0.133234	0.133314	0.133242	0.133242	0.133220	0.133194	0.133100	0.133136	0.133307	0.133296	0.133282	0.133224	0.133308	0.133345	0.133314	0.133306	0.133280	0.133265	0.133303	0.133137	0.133218	0.133246	0.133171	0.133211	0.133209	0.133127	0.133111	0.133120	0.133162	0.133284	0.133181	0.133295	0.133118	0.133163	0.133315	0.133201	0.133202	0.133216	0.133663	0.134202	0.134778	0.135526	0.136198	0.136759	0.137401	0.138117	0.138768	0.139415	0.140220	0.140805	0.141554	0.142127	0.142864	0.143475	0.144019	0.144756	0.145218	0.145555	0.146308	0.147051	0.147643	0.148091	0.148652	0.149120	0.149653	0.150030	0.150638	0.151292	0.151664	0.152074	0.152438	0.152733	0.153140	0.153443	0.153728	0.154215	0.154676
region_avg	region_3	3	17487	0.038736	0.090537	0.110664	0.115548	0.116269	0.116290	0.116559	0.117270	0.118335	0.119162	0.119675	0.120011	0.120296	0.120638	0.121101	0.121264	0.121424	0.121523	0.121648	0.121535	0.121612	0.121636	0.121588	0.121572	0.121519	0.121710	0.121760	0.121931	0.122010	0.121830	0.121663	0.121581	0.121767	0.121865	0.121606	0.121537	0.121531	0.121353	0.121276	0.121530	0.121428	0.121588	0.121338	0.121280	0.121145	0.121290	0.121307	0.121324	0.121296	0.121412	0.121384	0.121280	0.121201	0.121411	0.121604	0.121639	0.121694	0.121253	0.121151	0.121245	0.121339	0.121231	0.121480	0.121384	0.121510	0.121575	0.121469	0.121331	0.121362	0.121363	0.121182	0.121601	0.122186	0.122596	0.122983	0.123677	0.124288	0.124788	0.125646	0.126379	0.127439	0.128174	0.128849	0.129233	0.129923	0.130840	0.131541	0.132294	0.132572	0.133267	0.134094	0.134610	0.135227	0.135835	0.136477	0.137160	0.138185	0.138513	0.139042	0.139769	0.140473	0.140921	0.141368	0.141998	0.142580	0.143060	0.143319	0.143824	0.144284	0.144730
region_std	region_1	1	29332	0.007758	0.021588	0.026267	0.028798	0.031893	0.033817	0.034973	0.035567	0.035966	0.036091	0.036112	0.036189	0.036147	0.036181	0.036175	0.036073	0.036080	0.036118	0.036071	0.036080	0.036043	0.036043	0.036030	0.036080	0.036077	0.036170	0.036133	0.036113	0.036047	0.036081	0.036015	0.036062	0.036023	0.036069	0.036030	0.036056	0.036034	0.036035	0.035994	0.035999	0.036024	0.036006	0.036026	0.036030	0.036045	0.036015	0.036044	0.036016	0.035964	0.036004	0.035964	0.035967	0.035994	0.035962	0.035944	0.036044	0.036028	0.035944	0.035967	0.036027	0.036020	0.035986	0.035978	0.036002	0.035933	0.035977	0.035987	0.036004	0.036022	0.036024	0.036009	0.036070	0.036256	0.036393	0.036559	0.036658	0.036690	0.036824	0.036947	0.037045	0.037156	0.037227	0.037388	0.037463	0.037582	0.037666	0.037643	0.037786	0.037908	0.038006	0.038035	0.038095	0.038192	0.038148	0.038298	0.038408	0.038490	0.038509	0.038629	0.038709	0.038692	0.038758	0.038869	0.038924	0.039052	0.039083	0.039128	0.039111	0.039145	0.039266
