stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507	1507
region_area	region_2	2	19521	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362	362
region_area	region_3	3	17487	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192	192
region_sum	region_1	1	29332	676.921509	421.947479	362.291931	306.585602	261.820953	226.629669	198.477295	176.035965	158.057419	144.537964	134.418350	131.915009	129.826889	128.235138	126.694382	125.481155	124.261703	123.271461	122.050804	120.978073	120.226952	119.303444	118.431374	117.662483	116.859467	116.110649	115.501343	114.806870	114.239555	113.652184	113.173920	112.603424	112.161850	111.644981	111.251221	110.671989	110.346519	109.984879	109.695923	109.249619	108.965775	108.607292	108.394882	108.163750	107.848167	107.673264	107.419533	107.180794	107.057846	106.778961	106.622101	106.524109	106.321480	106.185883	106.013725	105.812508	105.733353	105.682442	105.501656	105.405670	105.360329	105.177536	105.080032	105.018845	104.974236	104.828629	104.780289	104.812614	104.675377	104.599129	104.588905	104.489929	104.494156	104.455788	104.605591	104.783424	105.072792	105.305740	105.657707	106.121452	106.509773	106.912659	107.464195	107.871140	108.233162	108.703835	109.182716	109.619659	110.179489	110.618881	111.124901	111.702187	112.269615	112.845848	113.410263	114.006310	114.409027	115.108078	115.644485	116.211998	116.874069	117.417068	118.054764	118.591377	119.319664	119.958618	120.742226	121.711105	122.610420	123.570045
region_sum	region_2	2	19521	164.644028	109.184143	91.643730	77.043884	65.392807	56.259880	48.639599	42.596603	37.761501	34.061462	31.029202	30.319399	29.824703	29.301311	29.007631	28.567596	28.287575	28.056660	27.771528	27.467190	27.264023	27.082504	26.715446	26.639412	26.404238	26.231203	25.931028	25.827133	25.680748	25.568159	25.427519	25.200392	25.085371	24.982689	24.851458	24.697386	24.668142	24.503904	24.451679	24.243494	24.204504	24.129200	24.028717	23.900675	23.848644	23.812141	23.776634	23.724619	23.670755	23.612328	23.548750	23.621334	23.760859	23.991798	24.291843	23.879236	23.448399	23.326591	23.166334	23.093487	23.091846	22.975220	23.017534	22.932369	22.965738	22.875431	22.914694	22.842445	22.819010	22.866861	22.851791	22.857021	22.824783	22.917355	22.927237	23.073053	23.334908	23.789202	24.102051	24.522928	24.712515	24.695343	24.349518	24.212021	24.191881	24.111994	24.132967	24.115879	24.172281	24.246611	24.350386	24.346605	24.515799	24.557177	24.695583	24.824579	24.944368	25.051825	25.222694	25.289503	25.388620	25.594730	25.741552	25.827311	25.955017	26.130836	26.259195	26.423414	26.479391	26.580038
region_sum	region_3	3	17487	58.477730	41.130405	36.467289	31.511049	27.649147	24.144131	21.276760	19.105560	17.166748	15.580755	14.290886	13.940118	13.672898	13.490249	13.338518	13.158660	13.078449	12.925987	12.847501	12.781395	12.698513	12.691643	12.564981	12.553526	12.526627	12.469782	12.399750	12.427671	12.287075	12.275974	12.293031	12.317513	12.283240	12.209498	12.201917	12.091469	11.980782	11.983626	11.948084	11.888060	11.868632	11.840985	11.782103	11.762620	11.756134	11.764008	11.689401	11.711173	11.657024	11.628640	11.624363	11.615364	11.552240	11.573802	11.591113	11.544814	11.529951	11.428156	11.489776	11.436298	11.466749	11.435102	11.443017	11.416232	11.453987	11.386580	11.338636	11.355688	11.372581	11.295917	11.298006	11.315063	11.321127	11.244375	11.283067	11.330784	11.305048	11.354752	11.386458	11.443679	11.487059	11.516154	11.499157	11.551125	11.670792	11.724057	11.727878	11.789323	11.808628	11.941723	12.020201	11.992289	12.084666	12.123321	12.228483	12.318053	12.404275	12.407776	12.513680	12.524275	12.639932	12.734294	12.785397	12.821173	12.962223	12.972611	13.019982	13.167677	13.234085	13.257837
region_avg	region_1	1	29332	0.449185	0.279992	0.240406	0.203441	0.173737	0.150385	0.131704	0.116812	0.104882	0.095911	0.089196	0.087535	0.086149	0.085093	0.084071	0.083266	0.082456	0.081799	0.080989	0.080277	0.079779	0.079166	0.078588	0.078077	0.077544	0.077048	0.076643	0.076182	0.075806	0.075416	0.075099	0.074720	0.074427	0.074084	0.073823	0.073439	0.073223	0.072983	0.072791	0.072495	0.072306	0.072069	0.071928	0.071774	0.071565	0.071449	0.071280	0.071122	0.071040	0.070855	0.070751	0.070686	0.070552	0.070462	0.070348	0.070214	0.070161	0.070128	0.070008	0.069944	0.069914	0.069793	0.069728	0.069687	0.069658	0.069561	0.069529	0.069551	0.069459	0.069409	0.069402	0.069336	0.069339	0.069314	0.069413	0.069531	0.069723	0.069878	0.070111	0.070419	0.070677	0.070944	0.071310	0.071580	0.071820	0.072133	0.072450	0.072740	0.073112	0.073403	0.073739	0.074122	0.074499	0.074881	0.075256	0.075651	0.075918	0.076382	0.076738	0.077115	0.077554	0.077914	0.078338	0.078694	0.079177	0.079601	0.080121	0.080764	0.081361	0.081997
region_avg	region_2	2	19521	0.454818	0.301614	0.253159	0.212828	0.180643	0.155414	0.134364	0.117670	0.104314	0.094092	0.085716	0.083755	0.082389	0.080943	0.080132	0.078916	0.078142	0.077505	0.076717	0.075876	0.075315	0.074814	0.073800	0.073590	0.072940	0.072462	0.071633	0.071346	0.070941	0.070630	0.070242	0.069614	0.069297	0.069013	0.068650	0.068225	0.068144	0.067690	0.067546	0.066971	0.066863	0.066655	0.066378	0.066024	0.065880	0.065779	0.065681	0.065538	0.065389	0.065227	0.065052	0.065252	0.065638	0.066276	0.067105	0.065965	0.064775	0.064438	0.063995	0.063794	0.063790	0.063467	0.063584	0.063349	0.063441	0.063192	0.063300	0.063101	0.063036	0.063168	0.063126	0.063141	0.063052	0.063308	0.063335	0.063738	0.064461	0.065716	0.066580	0.067743	0.068267	0.068219	0.067264	0.066884	0.066828	0.066608	0.066666	0.066618	0.066774	0.066980	0.067266	0.067256	0.067723	0.067838	0.068220	0.068576	0.068907	0.069204	0.069676	0.069861	0.070134	0.070704	0.071109	0.071346	0.071699	0.072185	0.072539	0.072993	0.073147	0.073426
region_avg	region_3	3	17487	0.304572	0.214221	0.189934	0.164120	0.144006	0.125751	0.110816	0.099508	0.089410	0.081150	0.074432	0.072605	0.071213	0.070262	0.069471	0.068535	0.068117	0.067323	0.066914	0.066570	0.066138	0.066102	0.065443	0.065383	0.065243	0.064947	0.064582	0.064727	0.063995	0.063937	0.064026	0.064154	0.063975	0.063591	0.063552	0.062976	0.062400	0.062415	0.062230	0.061917	0.061816	0.061672	0.061365	0.061264	0.061230	0.061271	0.060882	0.060996	0.060714	0.060566	0.060544	0.060497	0.060168	0.060280	0.060370	0.060129	0.060052	0.059522	0.059843	0.059564	0.059723	0.059558	0.059599	0.059460	0.059656	0.059305	0.059055	0.059144	0.059232	0.058833	0.058844	0.058933	0.058964	0.058564	0.058766	0.059014	0.058880	0.059139	0.059304	0.059602	0.059828	0.059980	0.059891	0.060162	0.060785	0.061063	0.061083	0.061403	0.061503	0.062196	0.062605	0.062460	0.062941	0.063142	0.063690	0.064157	0.064606	0.064624	0.065175	0.065231	0.065833	0.066324	0.066591	0.066777	0.067512	0.067566	0.067812	0.068582	0.068928	0.069051
region_std	region_1	1	29332	0.185458	0.106933	0.090142	0.073725	0.060291	0.049862	0.041596	0.035006	0.029760	0.025955	0.023263	0.022141	0.021401	0.020929	0.020526	0.020174	0.019840	0.019613	0.019337	0.019051	0.018947	0.018737	0.018584	0.018428	0.018297	0.018142	0.018015	0.017879	0.017813	0.017695	0.017502	0.017425	0.017326	0.017224	0.017203	0.017135	0.017162	0.017082	0.017054	0.016954	0.016959	0.016898	0.016857	0.016822	0.016765	0.016784	0.016704	0.016668	0.016656	0.016624	0.016599	0.016594	0.016539	0.016549	0.016482	0.016429	0.016472	0.016472	0.016437	0.016433	0.016434	0.016387	0.016319	0.016344	0.016363	0.016302	0.016290	0.016349	0.016290	0.016290	0.016269	0.016187	0.016278	0.016221	0.016265	0.016280	0.016345	0.016320	0.016328	0.016402	0.016468	0.016523	0.016627	0.016561	0.016611	0.016671	0.016737	0.016785	0.016896	0.016871	0.016927	0.016987	0.017027	0.017061	0.017138	0.017242	0.017279	0.017359	0.017404	0.017406	0.017425	0.017427	0.017454	0.017463	0.017509	0.017603	0.018733	0.021859	0.027325	0.033942
