stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343
region_area	region_2	2	19521	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495
region_area	region_3	3	17487	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715
region_sum	region_1	1	29332	0.081306	0.561833	1.356871	2.206711	3.060745	3.855464	4.502647	5.027463	5.478674	5.865402	6.224044	6.538019	6.839759	7.147274	7.429073	7.644999	7.885269	8.117495	8.291541	8.438460	8.573284	8.690104	8.801003	8.879004	8.926558	8.935675	8.956130	8.933862	8.879701	8.835990	8.746589	8.664059	8.561002	8.339793	8.243082	8.005881	7.835519	7.644407	7.450115	7.118484	6.970483	6.741714	6.415518	6.230471	6.041703	5.838415	5.609378	5.413659	5.153724	5.081957	4.869394	4.745542	4.597075	4.513928	4.384593	4.272375	4.252644	4.126075	4.086410	4.003428	3.960313	3.874765	3.787707	3.813903	3.789835	3.766180	3.778511	3.716109	3.712921	3.653777	3.642986	3.633595	3.648608	3.619291	3.613684	3.625081	3.626225	3.618450	3.587578	3.601450	3.622660	3.610665	3.651639	3.650192	3.687415	3.675344	3.655998	3.656708	3.668743	3.696449	3.740429	3.728619	3.725907	3.809304	3.755834	3.729294	3.780327	3.782262	3.750440	3.811717	3.798772	3.789230	3.780168	3.821994	3.784817	3.811753	3.770472	3.818548	3.820415	3.768193
region_sum	region_2	2	19521	0.056897	0.488652	1.649930	2.796196	3.784485	4.634638	5.364904	6.000607	6.542533	7.006687	7.449743	7.833519	8.161353	8.466597	8.758638	9.025486	9.236433	9.475510	9.676778	9.823698	9.974658	10.075841	10.177543	10.266276	10.295623	10.291196	10.268259	10.242721	10.139003	10.035415	9.936953	9.775685	9.622925	9.423583	9.258544	8.965158	8.742754	8.547880	8.278546	7.893180	7.726803	7.426568	7.037864	6.901434	6.713994	6.449342	6.274029	6.071613	5.835024	5.658799	5.426018	5.279536	5.048122	4.916625	4.998694	4.726365	4.617576	4.574022	4.451813	4.430183	4.343263	4.296880	4.147446	4.199665	4.156748	4.091935	4.067729	4.024338	3.942979	3.969403	3.924047	3.956980	3.921330	3.859242	3.888409	3.840194	3.878074	3.879330	3.849512	3.799447	3.866066	3.885632	3.888453	3.858786	3.899176	4.012497	3.938986	3.958190	3.994406	3.933911	4.017507	4.001021	3.986251	4.075210	4.037987	3.976349	4.049155	4.023582	4.058494	4.124533	4.033401	4.038292	4.050748	4.056319	4.107314	4.067627	4.054740	4.098898	4.055478	4.041630
region_sum	region_3	3	17487	0.030829	0.214772	0.784459	1.305593	1.720728	2.063971	2.365306	2.629107	2.869879	3.094587	3.297855	3.482276	3.660012	3.810536	3.970533	4.095932	4.226818	4.352027	4.451578	4.554444	4.641820	4.709184	4.803409	4.868088	4.930101	4.984905	5.018138	5.005980	5.080121	5.117403	5.114228	5.060615	5.071408	5.092566	4.976176	4.998847	4.971881	4.889901	4.783106	4.795361	4.704713	4.554615	4.479855	4.374177	4.274444	4.170986	4.176622	3.927012	3.718039	3.755200	3.605924	3.649486	3.568391	3.364602	3.221223	3.141122	3.147387	3.075039	2.906895	2.893002	2.801156	2.675218	2.684171	2.722410	2.621446	2.520990	2.553174	2.411855	2.561571	2.438003	2.382727	2.367284	2.405402	2.401244	2.318479	2.309202	2.287199	2.314862	2.247489	2.256663	2.245453	2.313278	2.219935	2.361258	2.226418	2.266181	2.179833	2.238831	2.277793	2.193097	2.285233	2.290240	2.223051	2.200518	2.364548	2.262045	2.270987	2.222960	2.370980	2.303203	2.226401	2.351846	2.312958	2.265357	2.264767	2.214668	2.191218	2.333076	2.271861	2.271338
region_avg	region_1	1	29332	0.000015	0.000105	0.000254	0.000413	0.000573	0.000722	0.000843	0.000941	0.001025	0.001098	0.001165	0.001224	0.001280	0.001338	0.001390	0.001431	0.001476	0.001519	0.001552	0.001579	0.001605	0.001626	0.001647	0.001662	0.001671	0.001672	0.001676	0.001672	0.001662	0.001654	0.001637	0.001622	0.001602	0.001561	0.001543	0.001498	0.001467	0.001431	0.001394	0.001332	0.001305	0.001262	0.001201	0.001166	0.001131	0.001093	0.001050	0.001013	0.000965	0.000951	0.000911	0.000888	0.000860	0.000845	0.000821	0.000800	0.000796	0.000772	0.000765	0.000749	0.000741	0.000725	0.000709	0.000714	0.000709	0.000705	0.000707	0.000696	0.000695	0.000684	0.000682	0.000680	0.000683	0.000677	0.000676	0.000678	0.000679	0.000677	0.000671	0.000674	0.000678	0.000676	0.000683	0.000683	0.000690	0.000688	0.000684	0.000684	0.000687	0.000692	0.000700	0.000698	0.000697	0.000713	0.000703	0.000698	0.000708	0.000708	0.000702	0.000713	0.000711	0.000709	0.000707	0.000715	0.000708	0.000713	0.000706	0.000715	0.000715	0.000705
region_avg	region_2	2	19521	0.000023	0.000196	0.000661	0.001121	0.001517	0.001858	0.002150	0.002405	0.002622	0.002808	0.002986	0.003140	0.003271	0.003393	0.003510	0.003617	0.003702	0.003798	0.003878	0.003937	0.003998	0.004038	0.004079	0.004115	0.004127	0.004125	0.004116	0.004105	0.004064	0.004022	0.003983	0.003918	0.003857	0.003777	0.003711	0.003593	0.003504	0.003426	0.003318	0.003164	0.003097	0.002977	0.002821	0.002766	0.002691	0.002585	0.002515	0.002434	0.002339	0.002268	0.002175	0.002116	0.002023	0.001971	0.002003	0.001894	0.001851	0.001833	0.001784	0.001776	0.001741	0.001722	0.001662	0.001683	0.001666	0.001640	0.001630	0.001613	0.001580	0.001591	0.001573	0.001586	0.001572	0.001547	0.001558	0.001539	0.001554	0.001555	0.001543	0.001523	0.001550	0.001557	0.001558	0.001547	0.001563	0.001608	0.001579	0.001586	0.001601	0.001577	0.001610	0.001604	0.001598	0.001633	0.001618	0.001594	0.001623	0.001613	0.001627	0.001653	0.001617	0.001619	0.001624	0.001626	0.001646	0.001630	0.001625	0.001643	0.001625	0.001620
region_avg	region_3	3	17487	0.000043	0.000300	0.001097	0.001826	0.002407	0.002887	0.003308	0.003677	0.004014	0.004328	0.004612	0.004870	0.005119	0.005329	0.005553	0.005729	0.005912	0.006087	0.006226	0.006370	0.006492	0.006586	0.006718	0.006809	0.006895	0.006972	0.007018	0.007001	0.007105	0.007157	0.007153	0.007078	0.007093	0.007122	0.006960	0.006991	0.006954	0.006839	0.006690	0.006707	0.006580	0.006370	0.006266	0.006118	0.005978	0.005834	0.005841	0.005492	0.005200	0.005252	0.005043	0.005104	0.004991	0.004706	0.004505	0.004393	0.004402	0.004301	0.004066	0.004046	0.003918	0.003742	0.003754	0.003808	0.003666	0.003526	0.003571	0.003373	0.003583	0.003410	0.003332	0.003311	0.003364	0.003358	0.003243	0.003230	0.003199	0.003238	0.003143	0.003156	0.003140	0.003235	0.003105	0.003302	0.003114	0.003169	0.003049	0.003131	0.003186	0.003067	0.003196	0.003203	0.003109	0.003078	0.003307	0.003164	0.003176	0.003109	0.003316	0.003221	0.003114	0.003289	0.003235	0.003168	0.003168	0.003097	0.003065	0.003263	0.003177	0.003177
region_std	region_1	1	29332	0.000010	0.000196	0.000405	0.000572	0.000699	0.000798	0.000888	0.000974	0.001060	0.001139	0.001211	0.001282	0.001345	0.001403	0.001460	0.001509	0.001557	0.001602	0.001641	0.001677	0.001713	0.001742	0.001774	0.001802	0.001822	0.001842	0.001859	0.001868	0.001882	0.001886	0.001887	0.001881	0.001876	0.001854	0.001847	0.001807	0.001787	0.001746	0.001718	0.001647	0.001597	0.001544	0.001429	0.001426	0.001341	0.001311	0.001229	0.001160	0.001077	0.001089	0.001005	0.000964	0.000930	0.000910	0.000873	0.000831	0.000842	0.000767	0.000775	0.000738	0.000734	0.000703	0.000660	0.000694	0.000662	0.000659	0.000681	0.000653	0.000641	0.000607	0.000616	0.000628	0.000626	0.000613	0.000599	0.000615	0.000626	0.000619	0.000606	0.000625	0.000615	0.000598	0.000616	0.000633	0.000648	0.000652	0.000625	0.000622	0.000615	0.000664	0.000678	0.000652	0.000649	0.000701	0.000706	0.000643	0.000694	0.000679	0.000654	0.000704	0.000702	0.000672	0.000691	0.000685	0.000689	0.000693	0.000675	0.000712	0.000697	0.000685
