stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343
region_area	region_2	2	19521	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495
region_area	region_3	3	17487	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715
region_sum	region_1	1	29332	14227.857422	16435.457031	17941.361328	18943.142578	19493.285156	19723.365234	19789.652344	19801.705078	19794.654297	19789.937500	19787.693359	19785.724609	19783.712891	19781.677734	19779.871094	19777.783203	19776.072266	19774.328125	19772.474609	19770.669922	19768.804688	19766.980469	19765.250000	19763.480469	19761.703125	19759.902344	19758.193359	19756.585938	19754.867188	19753.183594	19751.539062	19749.919922	19748.314453	19746.792969	19745.216797	19743.746094	19742.351562	19740.890625	19739.421875	19738.132812	19736.898438	19735.537109	19734.314453	19733.123047	19731.966797	19730.779297	19729.742188	19728.710938	19727.570312	19726.566406	19725.628906	19724.617188	19723.763672	19722.953125	19722.027344	19721.242188	19720.433594	19719.652344	19718.943359	19718.167969	19717.542969	19716.835938	19716.162109	19715.501953	19714.896484	19714.320312	19713.705078	19713.091797	19712.507812	19711.949219	19711.486328	19710.945312	19710.417969	19709.921875	19709.455078	19709.027344	19708.650391	19708.117188	19707.728516	19707.283203	19706.906250	19706.490234	19706.123047	19705.662109	19705.287109	19704.910156	19704.507812	19704.123047	19703.697266	19703.375000	19702.988281	19702.630859	19702.304688	19701.871094	19701.554688	19701.259766	19700.837891	19700.509766	19700.171875	19699.826172	19699.572266	19699.218750	19698.849609	19698.560547	19698.179688	19697.845703	19697.546875	19697.222656	19696.867188	19696.517578
region_sum	region_2	2	19521	14384.697266	15758.905273	16705.863281	17257.669922	17344.701172	17132.617188	16823.919922	16562.060547	16368.718750	16238.851562	16239.502930	16240.137695	16240.783203	16241.473633	16242.237305	16243.050781	16243.906250	16244.697266	16245.563477	16246.467773	16247.327148	16248.248047	16249.166992	16250.106445	16251.083984	16252.021484	16253.017578	16254.016602	16255.050781	16256.056641	16257.129883	16258.224609	16259.338867	16260.468750	16261.594727	16262.796875	16264.011719	16265.240234	16266.462891	16267.763672	16269.080078	16270.387695	16271.747070	16273.112305	16274.534180	16275.968750	16277.430664	16278.932617	16280.416992	16281.953125	16283.503906	16285.056641	16286.655273	16288.291016	16289.956055	16291.606445	16293.250977	16294.961914	16296.682617	16298.421875	16300.134766	16301.913086	16303.706055	16305.523438	16307.335938	16309.178711	16311.006836	16312.874023	16314.738281	16316.629883	16318.520508	16320.408203	16322.291992	16324.221680	16326.145508	16328.073242	16330.004883	16331.949219	16333.895508	16335.839844	16337.795898	16339.788086	16341.758789	16343.722656	16345.735352	16347.711914	16349.725586	16351.725586	16353.712891	16355.708984	16357.729492	16359.732422	16361.746094	16363.768555	16365.785156	16367.813477	16369.827148	16371.869141	16373.916992	16375.951172	16377.968750	16379.984375	16382.055664	16384.083984	16386.138672	16388.193359	16390.216797	16392.261719	16394.287109	16396.376953
region_sum	region_3	3	17487	10417.363281	11017.649414	11421.289062	11661.470703	11662.508789	11528.245117	11363.467773	11217.379883	11102.177734	11016.784180	11016.950195	11017.112305	11017.290039	11017.501953	11017.710938	11017.949219	11018.195312	11018.453125	11018.715820	11018.988281	11019.285156	11019.573242	11019.875977	11020.196289	11020.515625	11020.850586	11021.196289	11021.545898	11021.916016	11022.284180	11022.687500	11023.094727	11023.497070	11023.916992	11024.360352	11024.806641	11025.265625	11025.741211	11026.233398	11026.739258	11027.245117	11027.783203	11028.309570	11028.882812	11029.441406	11030.037109	11030.627930	11031.245117	11031.863281	11032.503906	11033.152344	11033.815430	11034.500000	11035.179688	11035.880859	11036.578125	11037.312500	11038.036133	11038.783203	11039.530273	11040.283203	11041.050781	11041.828125	11042.615234	11043.397461	11044.223633	11045.041992	11045.847656	11046.675781	11047.511719	11048.349609	11049.203125	11050.046875	11050.910156	11051.781250	11052.646484	11053.528320	11054.400391	11055.299805	11056.193359	11057.098633	11058.005859	11058.906250	11059.814453	11060.751953	11061.664062	11062.595703	11063.510742	11064.445312	11065.388672	11066.329102	11067.272461	11068.221680	11069.178711	11070.117188	11071.065430	11072.013672	11072.994141	11073.942383	11074.908203	11075.866211	11076.830078	11077.803711	11078.787109	11079.760742	11080.728516	11081.718750	11082.688477	11083.666992	11084.655273
region_avg	region_1	1	29332	2.662897	3.076073	3.357919	3.545413	3.648378	3.691440	3.703847	3.706102	3.704783	3.703900	3.703480	3.703111	3.702735	3.702354	3.702016	3.701625	3.701305	3.700979	3.700632	3.700294	3.699945	3.699603	3.699280	3.698948	3.698616	3.698279	3.697959	3.697658	3.697336	3.697021	3.696713	3.696410	3.696110	3.695825	3.695530	3.695255	3.694994	3.694720	3.694445	3.694204	3.693973	3.693718	3.693490	3.693267	3.693050	3.692828	3.692634	3.692441	3.692227	3.692039	3.691864	3.691674	3.691515	3.691363	3.691190	3.691043	3.690892	3.690745	3.690613	3.690468	3.690351	3.690218	3.690092	3.689969	3.689855	3.689747	3.689632	3.689517	3.689408	3.689304	3.689217	3.689116	3.689017	3.688924	3.688837	3.688757	3.688686	3.688586	3.688514	3.688430	3.688360	3.688282	3.688213	3.688127	3.688057	3.687986	3.687911	3.687839	3.687759	3.687699	3.687626	3.687560	3.687499	3.687417	3.687358	3.687303	3.687224	3.687163	3.687099	3.687035	3.686987	3.686921	3.686852	3.686798	3.686727	3.686664	3.686608	3.686547	3.686481	3.686415
region_avg	region_2	2	19521	5.765410	6.316195	6.695737	6.916902	6.951784	6.866780	6.743054	6.638101	6.560609	6.508558	6.508819	6.509073	6.509332	6.509609	6.509915	6.510241	6.510584	6.510900	6.511248	6.511611	6.511955	6.512324	6.512692	6.513069	6.513461	6.513836	6.514235	6.514636	6.515050	6.515453	6.515884	6.516323	6.516769	6.517222	6.517673	6.518155	6.518642	6.519135	6.519624	6.520146	6.520673	6.521197	6.521742	6.522289	6.522860	6.523434	6.524020	6.524622	6.525217	6.525833	6.526454	6.527077	6.527718	6.528373	6.529040	6.529702	6.530361	6.531047	6.531736	6.532434	6.533120	6.533833	6.534552	6.535280	6.536006	6.536745	6.537477	6.538226	6.538973	6.539732	6.540489	6.541246	6.542001	6.542774	6.543545	6.544318	6.545092	6.545871	6.546651	6.547431	6.548215	6.549013	6.549803	6.550590	6.551397	6.552189	6.552996	6.553798	6.554595	6.555394	6.556204	6.557007	6.557814	6.558625	6.559433	6.560246	6.561053	6.561872	6.562692	6.563508	6.564316	6.565124	6.565954	6.566767	6.567591	6.568414	6.569225	6.570045	6.570857	6.571694
region_avg	region_3	3	17487	14.569738	15.409300	15.973831	16.309750	16.311201	16.123419	15.892962	15.688643	15.527521	15.408090	15.408322	15.408548	15.408797	15.409094	15.409386	15.409719	15.410064	15.410424	15.410791	15.411173	15.411588	15.411990	15.412414	15.412862	15.413308	15.413777	15.414261	15.414749	15.415267	15.415782	15.416347	15.416916	15.417479	15.418066	15.418686	15.419310	15.419952	15.420617	15.421306	15.422013	15.422721	15.423473	15.424210	15.425011	15.425792	15.426625	15.427452	15.428315	15.429179	15.430076	15.430983	15.431910	15.432867	15.433818	15.434798	15.435774	15.436801	15.437813	15.438858	15.439902	15.440955	15.442029	15.443116	15.444217	15.445312	15.446466	15.447611	15.448738	15.449896	15.451065	15.452237	15.453431	15.454611	15.455818	15.457037	15.458247	15.459480	15.460700	15.461958	15.463207	15.464474	15.465742	15.467002	15.468272	15.469584	15.470859	15.472162	15.473441	15.474749	15.476068	15.477384	15.478703	15.480030	15.481369	15.482681	15.484008	15.485333	15.486705	15.488031	15.489382	15.490722	15.492070	15.493432	15.494807	15.496169	15.497522	15.498907	15.500263	15.501632	15.503015
region_std	region_1	1	29332	3.858342	4.184846	4.391804	4.562839	4.698945	4.810600	4.897711	4.959858	5.005467	5.040998	5.040393	5.039755	5.039115	5.038492	5.037824	5.037209	5.036523	5.035861	5.035185	5.034523	5.033860	5.033179	5.032507	5.031807	5.031118	5.030438	5.029747	5.029032	5.028350	5.027649	5.026960	5.026267	5.025589	5.024878	5.024193	5.023495	5.022787	5.022100	5.021420	5.020731	5.020028	5.019347	5.018657	5.017979	5.017298	5.016615	5.015950	5.015266	5.014622	5.013942	5.013276	5.012627	5.011964	5.011299	5.010663	5.010006	5.009358	5.008708	5.008068	5.007440	5.006793	5.006165	5.005519	5.004904	5.004277	5.003638	5.003037	5.002420	5.001798	5.001184	5.000564	4.999958	4.999340	4.998732	4.998137	4.997515	4.996890	4.996300	4.995689	4.995086	4.994490	4.993885	4.993280	4.992683	4.992084	4.991478	4.990893	4.990288	4.989704	4.989095	4.988491	4.987894	4.987298	4.986708	4.986110	4.985517	4.984919	4.984325	4.983735	4.983135	4.982529	4.981940	4.981350	4.980750	4.980164	4.979567	4.978981	4.978382	4.977797	4.977213
