stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343
region_area	region_2	2	19521	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495
region_area	region_3	3	17487	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715
region_sum	region_1	1	29332	372.504547	101.616409	120.120346	217.302689	332.500336	432.317627	505.232178	552.884827	579.955017	593.255981	598.135986	599.446411	599.649414	600.033691	600.523560	601.988159	603.211487	604.875061	607.499756	610.417175	613.869995	617.408447	621.412964	626.095886	631.257812	636.794067	641.962524	647.639893	653.779114	659.482422	665.692993	671.830017	678.321838	685.088501	691.021667	697.288635	703.232178	708.711060	714.721130	720.552246	725.294373	730.435181	735.636902	740.400269	744.069092	748.549011	752.574890	756.466736	760.263794	762.666565	765.892395	768.222595	770.757080	772.762146	775.054932	776.888550	777.981995	780.100281	781.445435	782.884033	783.652405	784.705933	785.056152	785.793213	786.098938	786.406738	786.924988	787.917969	787.763611	788.249084	788.464783	788.350281	788.340027	788.712646	788.948242	788.942078	788.801147	788.536804	788.342590	787.841736	786.926208	786.545349	785.812805	785.455566	784.494446	783.959473	783.435852	782.783630	782.307495	781.888184	781.096252	781.076660	781.081970	780.058472	780.636475	780.364319	779.592224	779.708130	779.911560	779.456543	779.473022	779.149292	779.442627	778.618347	779.156067	778.891357	779.084595	778.687561	778.377747	778.947510
region_sum	region_2	2	19521	166.180786	57.726597	75.187241	178.072433	310.890259	415.254852	476.098938	505.789948	518.905396	522.995911	521.778503	519.129578	517.256470	514.424500	512.096802	510.496063	509.852264	508.372833	510.083405	510.264954	512.332092	514.368774	517.145935	520.227478	523.834290	528.228943	531.929443	536.623535	540.898682	545.898193	550.465515	556.338745	560.923828	566.187134	571.351685	576.898865	581.156555	586.005432	590.879456	595.848572	599.997131	604.599365	608.714478	611.259399	614.840820	618.698669	621.437683	624.819397	627.371948	630.249268	632.848816	634.507202	636.720642	638.092468	639.057251	641.349121	642.371704	644.080566	644.700806	645.418762	646.694946	646.883911	648.433105	648.275635	648.116272	649.426636	649.358887	649.899902	650.588013	650.246033	650.223938	649.678406	650.425415	650.926208	650.116089	650.693481	649.648926	650.077698	650.107483	649.834656	648.463501	648.758362	647.978882	647.065674	646.747864	646.128540	646.058289	645.704529	645.481812	645.504761	644.599304	644.740112	644.035278	643.123840	643.902344	644.029602	643.040222	643.131470	642.639893	642.429443	643.215027	642.880188	642.709290	642.914612	642.252075	642.336853	642.983276	642.327332	642.542419	642.248718
region_sum	region_3	3	17487	46.054729	20.370876	31.910769	78.726730	137.896332	181.383347	205.732742	217.489868	221.916306	223.333405	223.463394	223.448654	222.464783	222.438690	221.597839	221.796417	221.906021	222.442383	223.233627	223.706100	225.226913	225.726562	226.948318	228.783325	230.371536	232.040283	234.221161	236.204926	237.467545	239.677597	242.331421	244.523529	246.462616	249.034897	251.729767	253.283386	255.103271	258.041351	259.896118	261.689636	263.073761	266.133942	267.892181	269.282440	271.188202	272.388245	273.181396	275.565247	277.104279	276.974060	278.698425	278.608551	280.072998	281.523834	282.338470	283.044983	283.150818	283.484619	284.769623	285.000854	285.166138	286.395599	286.123077	285.796143	286.704498	286.731476	287.067810	287.182312	286.668884	287.716339	287.743591	287.517975	287.351776	287.068604	287.912720	287.869812	287.650269	287.772064	287.950867	287.571442	287.039551	286.592102	287.193695	285.886414	286.800476	285.879028	286.408813	285.670898	285.301422	285.271362	284.846588	284.711517	285.024414	285.139435	283.771240	284.517059	284.548859	284.903198	283.896667	284.550079	284.289246	284.162842	284.101440	284.096130	283.897369	284.296539	284.152008	283.422028	284.059540	284.203735
region_avg	region_1	1	29332	0.069718	0.019019	0.022482	0.040671	0.062231	0.080913	0.094560	0.103478	0.108545	0.111034	0.111948	0.112193	0.112231	0.112303	0.112394	0.112669	0.112898	0.113209	0.113700	0.114246	0.114892	0.115555	0.116304	0.117181	0.118147	0.119183	0.120150	0.121213	0.122362	0.123429	0.124592	0.125740	0.126955	0.128222	0.129332	0.130505	0.131617	0.132643	0.133768	0.134859	0.135747	0.136709	0.137682	0.138574	0.139261	0.140099	0.140852	0.141581	0.142292	0.142741	0.143345	0.143781	0.144255	0.144631	0.145060	0.145403	0.145608	0.146004	0.146256	0.146525	0.146669	0.146866	0.146932	0.147070	0.147127	0.147184	0.147281	0.147467	0.147438	0.147529	0.147570	0.147548	0.147546	0.147616	0.147660	0.147659	0.147633	0.147583	0.147547	0.147453	0.147282	0.147210	0.147073	0.147006	0.146827	0.146726	0.146628	0.146506	0.146417	0.146339	0.146191	0.146187	0.146188	0.145996	0.146105	0.146054	0.145909	0.145931	0.145969	0.145884	0.145887	0.145826	0.145881	0.145727	0.145827	0.145778	0.145814	0.145740	0.145682	0.145788
region_avg	region_2	2	19521	0.066606	0.023137	0.030135	0.071372	0.124605	0.166435	0.190821	0.202721	0.207978	0.209618	0.209130	0.208068	0.207317	0.206182	0.205249	0.204608	0.204350	0.203757	0.204442	0.204515	0.205344	0.206160	0.207273	0.208508	0.209954	0.211715	0.213198	0.215080	0.216793	0.218797	0.220627	0.222981	0.224819	0.226929	0.228999	0.231222	0.232928	0.234872	0.236825	0.238817	0.240480	0.242324	0.243974	0.244994	0.246429	0.247975	0.249073	0.250429	0.251452	0.252605	0.253647	0.254312	0.255199	0.255748	0.256135	0.257054	0.257464	0.258149	0.258397	0.258685	0.259196	0.259272	0.259893	0.259830	0.259766	0.260291	0.260264	0.260481	0.260757	0.260620	0.260611	0.260392	0.260692	0.260892	0.260568	0.260799	0.260380	0.260552	0.260564	0.260455	0.259905	0.260023	0.259711	0.259345	0.259218	0.258969	0.258941	0.258799	0.258710	0.258719	0.258356	0.258413	0.258130	0.257765	0.258077	0.258128	0.257732	0.257768	0.257571	0.257487	0.257802	0.257667	0.257599	0.257681	0.257416	0.257450	0.257709	0.257446	0.257532	0.257414
region_avg	region_3	3	17487	0.064412	0.028491	0.044630	0.110107	0.192862	0.253683	0.287738	0.304182	0.310372	0.312354	0.312536	0.312516	0.311140	0.311103	0.309927	0.310205	0.310358	0.311108	0.312215	0.312876	0.315003	0.315701	0.317410	0.319977	0.322198	0.324532	0.327582	0.330357	0.332122	0.335213	0.338925	0.341991	0.344703	0.348301	0.352070	0.354243	0.356788	0.360897	0.363491	0.365999	0.367935	0.372215	0.374674	0.376619	0.379284	0.380963	0.382072	0.385406	0.387558	0.387376	0.389788	0.389662	0.391710	0.393740	0.394879	0.395867	0.396015	0.396482	0.398279	0.398603	0.398834	0.400553	0.400172	0.399715	0.400985	0.401023	0.401493	0.401654	0.400936	0.402400	0.402439	0.402123	0.401891	0.401495	0.402675	0.402615	0.402308	0.402478	0.402728	0.402198	0.401454	0.400828	0.401670	0.399841	0.401120	0.399831	0.400572	0.399540	0.399023	0.398981	0.398387	0.398198	0.398636	0.398796	0.396883	0.397926	0.397970	0.398466	0.397058	0.397972	0.397607	0.397431	0.397345	0.397337	0.397059	0.397618	0.397415	0.396394	0.397286	0.397488
region_std	region_1	1	29332	0.012938	0.004701	0.015759	0.041846	0.064639	0.077127	0.081346	0.081848	0.081367	0.081091	0.080689	0.080506	0.080548	0.080811	0.080913	0.081269	0.081401	0.081672	0.082049	0.082423	0.082911	0.083498	0.083978	0.084641	0.085397	0.086156	0.086781	0.087569	0.088423	0.089168	0.090020	0.090788	0.091677	0.092623	0.093435	0.094329	0.095166	0.095779	0.096629	0.097514	0.098098	0.098901	0.099718	0.100191	0.100654	0.101300	0.101954	0.102571	0.103056	0.103178	0.103817	0.104203	0.104475	0.104686	0.105137	0.105459	0.105468	0.105883	0.106037	0.106225	0.106297	0.106534	0.106487	0.106708	0.106726	0.106725	0.106825	0.107140	0.106882	0.107086	0.107276	0.107083	0.107187	0.107160	0.107218	0.107079	0.106984	0.107096	0.107101	0.107102	0.107022	0.107112	0.106822	0.106826	0.106600	0.106526	0.106543	0.106578	0.106484	0.106166	0.106054	0.106138	0.106339	0.105879	0.106079	0.106137	0.105826	0.105967	0.106044	0.105916	0.105959	0.105942	0.105912	0.105811	0.105913	0.105931	0.105936	0.105781	0.105718	0.105920
