stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343
region_area	region_2	2	19521	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495
region_area	region_3	3	17487	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715
region_sum	region_1	1	29332	121.375168	271.099609	487.596466	720.616577	908.721680	1044.304565	1131.430298	1179.258301	1200.929688	1208.271729	1208.977905	1206.973999	1204.380127	1202.712646	1201.589966	1199.425415	1197.391113	1196.515259	1195.848145	1194.556396	1193.177979	1192.473022	1192.185913	1191.850220	1191.674194	1191.005371	1190.211548	1190.003784	1189.072998	1188.634888	1188.449341	1188.520264	1188.885742	1188.189331	1187.732666	1187.614258	1187.094727	1187.144897	1187.320435	1186.367798	1185.948486	1186.238647	1186.081055	1185.911621	1185.968872	1186.009521	1186.293213	1186.769897	1186.206299	1186.039673	1185.746582	1185.647583	1185.515381	1185.764160	1185.600830	1185.190552	1185.722534	1186.340698	1186.526611	1186.337280	1185.967285	1185.591431	1184.674316	1184.540161	1184.487671	1184.753174	1185.410645	1185.137085	1185.237061	1184.987061	1184.378906	1184.090698	1184.781006	1185.238403	1185.345825	1185.361572	1185.329834	1185.230225	1184.878540	1184.611328	1184.702393	1185.049561	1185.082397	1184.733032	1184.724121	1184.666382	1184.002075	1183.799072	1184.321777	1184.142090	1184.152832	1184.394287	1184.392822	1184.889282	1184.702515	1184.461548	1184.647583	1185.227417	1184.956421	1184.674072	1184.867432	1185.081421	1184.714844	1184.729004	1184.467529	1184.698730	1184.933105	1184.686279	1184.838867	1184.985840
region_sum	region_2	2	19521	65.846176	180.727783	422.887909	695.116211	878.372681	979.516235	1027.809692	1047.696289	1052.110596	1048.121704	1042.146851	1036.192017	1029.002075	1021.505554	1015.414551	1009.957825	1004.458557	1000.574524	997.453796	994.475098	991.698547	989.430359	987.678284	986.453430	985.118347	983.955078	982.694702	981.660706	980.585815	979.876160	979.472778	978.921875	978.636841	978.418152	978.416016	977.651184	977.061523	977.390564	977.649170	977.237061	977.256653	976.944458	975.341248	974.766968	975.542664	975.761963	975.332214	975.902527	976.092285	975.671143	975.580688	975.694763	975.041016	974.334656	975.331970	975.582520	975.131042	975.393738	975.425110	975.227295	975.299316	975.709900	975.249329	974.921326	975.417725	975.596252	975.690796	975.780945	975.384094	974.757996	974.656006	975.165466	975.507996	974.986816	974.940857	974.787598	975.150391	975.468628	975.455383	974.673889	974.567444	975.132019	975.241211	974.697449	974.506165	975.209229	975.620789	975.694336	976.147095	975.800415	975.569336	975.620850	975.164001	975.815857	976.509033	975.971497	975.422058	975.143311	975.453308	976.145996	976.508545	976.142517	975.933960	975.976501	976.026245	976.629883	976.833252	976.275391	975.859558	975.516418
region_sum	region_3	3	17487	27.790548	81.414528	194.435043	314.050568	387.560822	424.862274	441.730865	447.661591	448.611145	448.004517	446.700653	444.986694	443.088531	441.234436	440.202484	439.252167	438.120667	437.576233	436.772919	435.909912	435.181702	434.250427	434.162109	434.104218	433.706604	433.574402	433.201721	432.398224	432.053833	432.737823	432.633698	431.992981	432.199890	432.479004	431.630493	431.322083	431.753906	431.646515	431.092255	431.263947	431.741882	431.497040	431.234497	431.286652	431.047974	430.941345	431.311462	430.990631	430.291260	430.238892	430.083099	430.510468	431.110291	430.839935	430.527924	430.368683	430.678986	430.928162	430.611877	430.935394	430.992798	430.685089	430.409210	430.618134	430.989929	430.747498	430.710022	430.416901	430.747345	431.033997	430.834076	430.542725	430.685028	431.115234	431.301514	431.243774	431.015289	431.011871	430.939789	430.789948	430.771667	430.911224	430.525940	430.529602	430.966583	430.975006	430.275848	429.741760	430.182617	430.388519	430.179810	430.270081	430.520508	430.089783	430.268677	430.705444	430.941254	430.396179	430.377838	430.668182	430.158722	430.425690	430.726685	430.363464	430.380280	430.300079	430.077789	430.550018	431.013977	430.745514
region_avg	region_1	1	29332	0.022717	0.050739	0.091259	0.134871	0.170077	0.195453	0.211759	0.220711	0.224767	0.226141	0.226273	0.225898	0.225413	0.225101	0.224891	0.224485	0.224105	0.223941	0.223816	0.223574	0.223316	0.223184	0.223130	0.223068	0.223035	0.222909	0.222761	0.222722	0.222548	0.222466	0.222431	0.222444	0.222513	0.222382	0.222297	0.222275	0.222178	0.222187	0.222220	0.222042	0.221963	0.222017	0.221988	0.221956	0.221967	0.221974	0.222028	0.222117	0.222011	0.221980	0.221925	0.221907	0.221882	0.221929	0.221898	0.221821	0.221921	0.222036	0.222071	0.222036	0.221967	0.221896	0.221725	0.221699	0.221690	0.221739	0.221862	0.221811	0.221830	0.221783	0.221669	0.221615	0.221745	0.221830	0.221850	0.221853	0.221847	0.221829	0.221763	0.221713	0.221730	0.221795	0.221801	0.221736	0.221734	0.221723	0.221599	0.221561	0.221659	0.221625	0.221627	0.221672	0.221672	0.221765	0.221730	0.221685	0.221720	0.221828	0.221777	0.221725	0.221761	0.221801	0.221732	0.221735	0.221686	0.221729	0.221773	0.221727	0.221755	0.221783
region_avg	region_2	2	19521	0.026391	0.072436	0.169494	0.278604	0.352053	0.392592	0.411948	0.419918	0.421688	0.420089	0.417694	0.415307	0.412426	0.409421	0.406980	0.404793	0.402589	0.401032	0.399781	0.398587	0.397474	0.396565	0.395863	0.395372	0.394837	0.394371	0.393866	0.393451	0.393020	0.392736	0.392574	0.392353	0.392239	0.392152	0.392151	0.391844	0.391608	0.391740	0.391843	0.391678	0.391686	0.391561	0.390918	0.390688	0.390999	0.391087	0.390915	0.391143	0.391219	0.391051	0.391014	0.391060	0.390798	0.390515	0.390915	0.391015	0.390834	0.390939	0.390952	0.390873	0.390902	0.391066	0.390882	0.390750	0.390949	0.391021	0.391058	0.391095	0.390936	0.390685	0.390644	0.390848	0.390985	0.390776	0.390758	0.390696	0.390842	0.390969	0.390964	0.390651	0.390608	0.390834	0.390878	0.390660	0.390584	0.390865	0.391030	0.391060	0.391241	0.391102	0.391010	0.391030	0.390847	0.391109	0.391386	0.391171	0.390951	0.390839	0.390963	0.391241	0.391386	0.391239	0.391156	0.391173	0.391193	0.391435	0.391516	0.391293	0.391126	0.390989
region_avg	region_3	3	17487	0.038868	0.113866	0.271937	0.439232	0.542043	0.594213	0.617805	0.626100	0.627428	0.626580	0.624756	0.622359	0.619704	0.617111	0.615668	0.614339	0.612756	0.611995	0.610871	0.609664	0.608646	0.607343	0.607220	0.607139	0.606583	0.606398	0.605877	0.604753	0.604271	0.605228	0.605082	0.604186	0.604475	0.604866	0.603679	0.603248	0.603852	0.603701	0.602926	0.603166	0.603835	0.603492	0.603125	0.603198	0.602864	0.602715	0.603233	0.602784	0.601806	0.601733	0.601515	0.602113	0.602951	0.602573	0.602137	0.601914	0.602348	0.602697	0.602254	0.602707	0.602787	0.602357	0.601971	0.602263	0.602783	0.602444	0.602392	0.601982	0.602444	0.602845	0.602565	0.602158	0.602357	0.602958	0.603219	0.603138	0.602819	0.602814	0.602713	0.602503	0.602478	0.602673	0.602134	0.602139	0.602750	0.602762	0.601784	0.601037	0.601654	0.601942	0.601650	0.601776	0.602127	0.601524	0.601774	0.602385	0.602715	0.601953	0.601927	0.602333	0.601621	0.601994	0.602415	0.601907	0.601930	0.601818	0.601507	0.602168	0.602817	0.602441
region_std	region_1	1	29332	0.007254	0.043367	0.100989	0.142588	0.161504	0.166449	0.165855	0.164314	0.163293	0.162599	0.162184	0.162041	0.161939	0.161977	0.162033	0.161797	0.161577	0.161542	0.161458	0.161313	0.161312	0.161284	0.161345	0.161418	0.161361	0.161230	0.161165	0.161114	0.160983	0.160935	0.160886	0.160867	0.160983	0.160932	0.160894	0.160834	0.160715	0.160744	0.160833	0.160753	0.160703	0.160801	0.160641	0.160587	0.160609	0.160686	0.160751	0.160780	0.160645	0.160645	0.160746	0.160693	0.160582	0.160660	0.160694	0.160641	0.160736	0.160849	0.160803	0.160848	0.160797	0.160704	0.160584	0.160569	0.160629	0.160700	0.160839	0.160876	0.160823	0.160749	0.160650	0.160681	0.160729	0.160624	0.160536	0.160572	0.160671	0.160694	0.160637	0.160668	0.160870	0.160761	0.160638	0.160601	0.160666	0.160725	0.160638	0.160583	0.160416	0.160431	0.160595	0.160601	0.160601	0.160674	0.160637	0.160532	0.160630	0.160638	0.160621	0.160702	0.160799	0.160689	0.160640	0.160685	0.160583	0.160603	0.160640	0.160650	0.160704	0.160623
