stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343
region_area	region_2	2	19521	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495
region_area	region_3	3	17487	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715
region_sum	region_1	1	29332	7.827662	18.474966	44.154240	90.356247	159.611618	252.363449	367.438873	502.517059	654.671082	820.758484	997.631287	1182.233521	1371.649902	1563.162354	1754.246216	1942.521362	2125.834473	2302.321533	2470.317871	2628.394531	2775.355957	2910.276367	3032.474365	3141.468994	3236.999512	3318.988281	3387.519531	3442.873535	3485.432617	3515.730469	3534.391602	3542.151123	3539.789551	3528.096680	3507.916992	3480.103760	3445.507324	3404.949707	3359.285645	3309.224365	3255.516846	3198.877930	3139.933838	3079.255615	3017.378662	2954.786133	2891.891357	2829.089600	2766.650635	2704.845703	2643.893311	2583.990967	2525.268555	2467.863037	2411.844727	2357.273438	2304.201416	2252.675781	2202.692871	2154.218018	2107.235596	2061.704346	2017.565674	1974.811035	1933.386719	1893.267090	1854.427734	1816.796753	1780.341187	1745.003540	1710.722412	1677.452759	1645.189941	1613.896362	1583.517456	1560.957275	1544.242310	1531.892578	1522.800659	1516.133667	1511.277710	1507.788452	1505.305664	1503.560913	1502.362671	1501.560059	1501.036865	1500.707397	1500.549438	1500.499878	1500.524780	1500.611084	1500.731079	1500.892456	1501.070801	1501.246094	1501.429688	1501.632080	1501.826538	1502.008179	1502.187012	1502.359985	1502.522217	1502.670654	1502.802124	1502.926392	1503.050537	1503.164795	1503.274536	1503.382324
region_sum	region_2	2	19521	4.237014	11.690240	32.975006	75.208267	140.184036	226.994141	333.505127	457.075989	594.847229	743.867065	901.303406	1064.468994	1230.761353	1397.723633	1563.150513	1725.019897	1881.505005	2031.050659	2172.316650	2304.176270	2425.704834	2536.224365	2635.243164	2722.473633	2797.803711	2861.269531	2913.065186	2953.505371	2983.019531	3002.144287	3011.503418	3011.754639	3003.622559	2987.851074	2965.205811	2936.414307	2902.213379	2863.356201	2820.546387	2774.427490	2725.625488	2674.707031	2622.142090	2568.418701	2514.010742	2459.298340	2404.595703	2350.217773	2296.406494	2243.354004	2191.226562	2140.174805	2090.274658	2041.598022	1994.248779	1948.249023	1903.602051	1860.329834	1818.417969	1777.840820	1738.577393	1700.605103	1663.869507	1628.328735	1593.956299	1560.710205	1528.543457	1497.419678	1467.274902	1438.050903	1409.720947	1382.263794	1355.647949	1329.813965	1304.731201	1286.083618	1272.262939	1262.060303	1254.556396	1249.044067	1245.019531	1242.125366	1240.068237	1238.610107	1237.596924	1236.935425	1236.532227	1236.319214	1236.251709	1236.274292	1236.356445	1236.480225	1236.619385	1236.789062	1236.991089	1237.188965	1237.372681	1237.538208	1237.696167	1237.868286	1238.049927	1238.223511	1238.381470	1238.535156	1238.676636	1238.829468	1238.989502	1239.132324	1239.247559	1239.342041
region_sum	region_3	3	17487	1.500586	4.943225	14.791375	34.083607	63.270103	101.750648	148.526672	202.423157	262.213715	326.702698	394.720154	465.131470	536.853210	608.868713	680.263672	750.198547	817.899414	882.708252	944.038086	1001.388367	1054.358643	1102.627197	1145.991577	1184.320068	1217.543091	1245.670288	1268.766479	1286.941040	1300.373047	1309.317871	1314.021118	1314.737915	1311.794800	1305.512695	1296.180786	1284.119751	1269.679688	1253.161499	1234.851685	1215.049438	1194.042847	1172.068481	1149.352051	1126.110352	1102.526367	1078.768555	1055.000977	1031.334717	1007.865112	984.700500	961.912048	939.581909	917.771362	896.497070	875.781494	855.645447	836.110107	817.181458	798.839294	781.093506	763.930542	747.322083	731.253296	715.710510	700.686768	686.149414	672.081421	658.454956	645.267456	632.499878	620.126221	608.123169	596.480347	585.193787	574.247192	566.135010	560.138000	555.722656	552.486755	550.128418	548.424377	547.212280	546.349915	545.751221	545.357544	545.116150	544.961609	544.863159	544.820557	544.822388	544.849304	544.892212	544.954224	545.016663	545.085022	545.164734	545.257751	545.340881	545.417419	545.495605	545.557678	545.620361	545.687195	545.743042	545.794617	545.841553	545.879700	545.927490	545.987305	546.044922
region_avg	region_1	1	29332	0.001465	0.003458	0.008264	0.016911	0.029873	0.047233	0.068770	0.094051	0.122529	0.153614	0.186717	0.221268	0.256719	0.292563	0.328326	0.363564	0.397873	0.430904	0.462347	0.491932	0.519438	0.544690	0.567560	0.587960	0.605839	0.621184	0.634011	0.644371	0.652336	0.658007	0.661499	0.662952	0.662510	0.660321	0.656544	0.651339	0.644864	0.637273	0.628726	0.619357	0.609305	0.598704	0.587672	0.576316	0.564735	0.553020	0.541249	0.529495	0.517808	0.506241	0.494833	0.483622	0.472631	0.461887	0.451403	0.441189	0.431256	0.421613	0.412258	0.403185	0.394392	0.385870	0.377609	0.369607	0.361854	0.354345	0.347076	0.340033	0.333210	0.326596	0.320180	0.313953	0.307915	0.302058	0.296372	0.292150	0.289022	0.286710	0.285009	0.283761	0.282852	0.282199	0.281734	0.281408	0.281183	0.281033	0.280935	0.280874	0.280844	0.280835	0.280839	0.280856	0.280878	0.280908	0.280942	0.280974	0.281009	0.281047	0.281083	0.281117	0.281150	0.281183	0.281213	0.281241	0.281266	0.281289	0.281312	0.281333	0.281354	0.281374
region_avg	region_2	2	19521	0.001698	0.004685	0.013216	0.030144	0.056186	0.090980	0.133669	0.183197	0.238416	0.298143	0.361244	0.426641	0.493291	0.560210	0.626513	0.691391	0.754110	0.814048	0.870668	0.923518	0.972226	1.016523	1.056210	1.091172	1.121364	1.146801	1.167561	1.183770	1.195599	1.203264	1.207015	1.207116	1.203857	1.197536	1.188459	1.176920	1.163212	1.147638	1.130479	1.111995	1.092435	1.072027	1.050959	1.029426	1.007620	0.985691	0.963766	0.941971	0.920403	0.899140	0.878247	0.857785	0.837785	0.818276	0.799298	0.780861	0.762967	0.745623	0.728825	0.712561	0.696825	0.681605	0.666882	0.652637	0.638860	0.625535	0.612643	0.600168	0.588086	0.576373	0.565018	0.554014	0.543346	0.532992	0.522938	0.515464	0.509925	0.505836	0.502828	0.500619	0.499006	0.497846	0.497021	0.496437	0.496031	0.495766	0.495604	0.495519	0.495492	0.495501	0.495534	0.495583	0.495639	0.495707	0.495788	0.495867	0.495941	0.496007	0.496071	0.496140	0.496212	0.496282	0.496345	0.496407	0.496464	0.496525	0.496589	0.496646	0.496692	0.496730
region_avg	region_3	3	17487	0.002099	0.006914	0.020687	0.047669	0.088490	0.142309	0.207730	0.283109	0.366732	0.456927	0.552056	0.650533	0.750844	0.851565	0.951418	1.049229	1.143915	1.234557	1.320333	1.400543	1.474627	1.542136	1.602785	1.656392	1.702857	1.742196	1.774499	1.799918	1.818704	1.831214	1.837792	1.838794	1.834678	1.825892	1.812840	1.795972	1.775776	1.752673	1.727065	1.699370	1.669990	1.639257	1.607485	1.574980	1.541995	1.508767	1.475526	1.442426	1.409602	1.377203	1.345332	1.314101	1.283596	1.253842	1.224869	1.196707	1.169385	1.142911	1.117258	1.092438	1.068434	1.045206	1.022732	1.000994	0.979981	0.959650	0.939974	0.920916	0.902472	0.884615	0.867309	0.850522	0.834238	0.818453	0.803143	0.791797	0.783410	0.777234	0.772709	0.769410	0.767027	0.765332	0.764126	0.763288	0.762738	0.762400	0.762184	0.762046	0.761987	0.761989	0.762027	0.762087	0.762174	0.762261	0.762357	0.762468	0.762598	0.762715	0.762822	0.762931	0.763018	0.763105	0.763199	0.763277	0.763349	0.763415	0.763468	0.763535	0.763619	0.763699
region_std	region_1	1	29332	0.000254	0.002081	0.007315	0.016607	0.029709	0.046085	0.065180	0.086516	0.109674	0.134253	0.159866	0.186144	0.212731	0.239295	0.265523	0.291115	0.315806	0.339367	0.361598	0.382328	0.401423	0.418780	0.434327	0.448020	0.459838	0.469783	0.477885	0.484189	0.488766	0.491690	0.493067	0.492992	0.491589	0.488963	0.485239	0.480534	0.474958	0.468636	0.461678	0.454188	0.446262	0.437995	0.429468	0.420764	0.411948	0.403084	0.394227	0.385422	0.376706	0.368116	0.359676	0.351407	0.343324	0.335441	0.327771	0.320312	0.313076	0.306059	0.299261	0.292680	0.286308	0.280135	0.274158	0.268367	0.262763	0.257339	0.252089	0.247010	0.242088	0.237314	0.232683	0.228190	0.223831	0.219594	0.215476	0.212418	0.210156	0.208489	0.207263	0.206369	0.205728	0.205269	0.204943	0.204714	0.204559	0.204463	0.204401	0.204368	0.204348	0.204341	0.204348	0.204362	0.204381	0.204407	0.204431	0.204453	0.204478	0.204503	0.204526	0.204553	0.204581	0.204608	0.204630	0.204652	0.204669	0.204685	0.204700	0.204716	0.204730	0.204744
