stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343
region_area	region_2	2	19521	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495
region_area	region_3	3	17487	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715
region_sum	region_1	1	29332	72.281654	243.969376	530.135315	881.226013	1265.200317	1658.777588	2043.409180	2408.436523	2750.027588	3068.089844	3363.804199	3638.606201	3894.347168	4133.201172	4355.852539	4562.288574	4754.945312	4934.953125	5102.755859	5258.695801	5404.046875	5539.938965	5666.880859	5785.345703	5896.165527	5999.087891	6095.228516	6185.340820	6268.576172	6347.123047	6420.172363	6489.078613	6553.623535	6613.227051	6669.498047	6722.088379	6771.056641	6817.536133	6860.968262	6900.873535	6938.947266	6974.830078	7008.312988	7039.886230	7069.642090	7097.628418	7124.311523	7149.614746	7172.550781	7194.784668	7214.986328	7234.535156	7252.472168	7269.978027	7285.684082	7300.647949	7315.294922	7329.131836	7342.047363	7353.958496	7364.954590	7375.173340	7384.028320	7393.065918	7400.990723	7409.130371	7416.856445	7423.460938	7430.370117	7436.045410	7441.368164	7446.285645	7451.799316	7456.542480	7461.243164	7465.436035	7469.437012	7473.029297	7476.185059	7479.135742	7482.070801	7485.041504	7487.534668	7489.629883	7491.871582	7493.694336	7494.891602	7496.443359	7498.226074	7499.208496	7500.668457	7501.897949	7503.051758	7504.602051	7505.297852	7506.361328	7507.346191	7508.803223	7509.264160	7510.118652	7510.913086	7511.838867	7512.097656	7512.893066	7512.954102	7513.867676	7514.305176	7514.599121	7515.212402	7515.701660
region_sum	region_2	2	19521	47.450359	175.698105	467.283081	823.023682	1189.383301	1545.093018	1879.999878	2193.133057	2481.974609	2747.930176	2993.890869	3221.056885	3429.391113	3621.227051	3798.574951	3961.873535	4112.140625	4251.988770	4381.044434	4500.669434	4611.188477	4713.926270	4809.268066	4898.181641	4980.431152	5057.230957	5128.222168	5194.596680	5256.002441	5313.704590	5367.451172	5417.610840	5464.733398	5508.780762	5550.322266	5588.424316	5624.605957	5658.961426	5691.219727	5721.221680	5749.951172	5776.338379	5800.200684	5823.437012	5845.873047	5866.625488	5885.923828	5905.149902	5922.585449	5939.026855	5954.685547	5969.545410	5982.794434	5995.378418	6008.424316	6019.786133	6030.636230	6041.209961	6050.858398	6059.899902	6068.604492	6077.104004	6084.261719	6091.380859	6098.433594	6104.827148	6111.041504	6116.795898	6121.847656	6126.277344	6130.809570	6135.378418	6139.617188	6142.942871	6146.671875	6149.608887	6153.220215	6156.151367	6159.104492	6160.900391	6163.422852	6165.824707	6167.913086	6169.345703	6171.053711	6173.136230	6174.910156	6176.619141	6178.617188	6179.670410	6181.071777	6182.215820	6182.893555	6184.662598	6185.994629	6186.651855	6187.264648	6187.737793	6188.696777	6189.793945	6190.846191	6191.293457	6191.999512	6192.571777	6193.159668	6194.350586	6195.014648	6195.211914	6195.480469	6195.497070
region_sum	region_3	3	17487	21.858526	81.311165	216.266296	373.328186	531.087036	682.032166	823.916382	955.415344	1077.510620	1190.918579	1296.009888	1393.314819	1483.321289	1566.668701	1644.584717	1716.627930	1783.520630	1846.097778	1903.768433	1957.521729	2007.324219	2053.376953	2096.980957	2137.238525	2174.748047	2209.860107	2242.246094	2272.096680	2300.207031	2327.197998	2351.521973	2374.297852	2396.092285	2416.325195	2434.374512	2451.922119	2468.480469	2483.649414	2497.624023	2511.311035	2524.215332	2535.918701	2547.077148	2557.662598	2567.312012	2576.638672	2585.657715	2593.590576	2601.034424	2608.285645	2614.823486	2621.697510	2628.132568	2633.824951	2639.381104	2644.505127	2649.805176	2654.614990	2658.950439	2663.718994	2667.688721	2671.544434	2674.924805	2678.562500	2682.026855	2684.938965	2687.980957	2690.392334	2693.391602	2695.888428	2698.214355	2700.194092	2702.438477	2704.666504	2706.769531	2708.631104	2710.239258	2711.918213	2713.330322	2714.656494	2715.937988	2717.212402	2717.910400	2719.001221	2720.249268	2721.114014	2721.406738	2721.728516	2722.644531	2723.170166	2723.537842	2724.105957	2724.780762	2724.777100	2725.468262	2726.043945	2726.764648	2726.632812	2727.186035	2727.536865	2727.392090	2728.034912	2728.277588	2728.290771	2728.654053	2728.689697	2728.769531	2729.317139	2729.802734	2729.812500
region_avg	region_1	1	29332	0.013528	0.045661	0.099221	0.164931	0.236796	0.310458	0.382446	0.450765	0.514697	0.574226	0.629572	0.681004	0.728869	0.773573	0.815245	0.853881	0.889939	0.923630	0.955036	0.984222	1.011426	1.036859	1.060618	1.082790	1.103531	1.122794	1.140788	1.157653	1.173232	1.187932	1.201604	1.214501	1.226581	1.237737	1.248268	1.258111	1.267276	1.275975	1.284104	1.291573	1.298699	1.305415	1.311681	1.317591	1.323160	1.328398	1.333392	1.338127	1.342420	1.346581	1.350362	1.354021	1.357378	1.360655	1.363594	1.366395	1.369136	1.371726	1.374143	1.376373	1.378431	1.380343	1.382000	1.383692	1.385175	1.386699	1.388145	1.389381	1.390674	1.391736	1.392732	1.393653	1.394685	1.395572	1.396452	1.397237	1.397986	1.398658	1.399249	1.399801	1.400350	1.400906	1.401373	1.401765	1.402184	1.402526	1.402750	1.403040	1.403374	1.403558	1.403831	1.404061	1.404277	1.404567	1.404697	1.404896	1.405081	1.405353	1.405440	1.405600	1.405748	1.405922	1.405970	1.406119	1.406130	1.406301	1.406383	1.406438	1.406553	1.406644
region_avg	region_2	2	19521	0.019018	0.070420	0.187288	0.329869	0.476707	0.619276	0.753507	0.879011	0.994779	1.101375	1.199956	1.291005	1.374505	1.451394	1.522475	1.587925	1.648153	1.704204	1.755930	1.803876	1.848172	1.889349	1.927562	1.963199	1.996165	2.026946	2.055400	2.082003	2.106614	2.129741	2.151283	2.171387	2.190274	2.207928	2.224578	2.239849	2.254351	2.268121	2.281050	2.293075	2.304590	2.315166	2.324730	2.334043	2.343035	2.351353	2.359088	2.366794	2.373782	2.380372	2.386647	2.392603	2.397914	2.402957	2.408186	2.412740	2.417089	2.421327	2.425194	2.428818	2.432307	2.435713	2.438582	2.441435	2.444262	2.446825	2.449315	2.451622	2.453646	2.455422	2.457238	2.459069	2.460768	2.462101	2.463596	2.464773	2.466221	2.467395	2.468579	2.469299	2.470310	2.471272	2.472110	2.472684	2.473368	2.474203	2.474914	2.475599	2.476400	2.476822	2.477383	2.477842	2.478114	2.478823	2.479357	2.479620	2.479866	2.480055	2.480440	2.480879	2.481301	2.481480	2.481763	2.481993	2.482228	2.482706	2.482972	2.483051	2.483159	2.483165
region_avg	region_3	3	17487	0.030571	0.113722	0.302470	0.522137	0.742779	0.953891	1.152331	1.336245	1.507008	1.665620	1.812601	1.948692	2.074575	2.191145	2.300118	2.400878	2.494434	2.581955	2.662613	2.737793	2.807446	2.871856	2.932841	2.989145	3.041606	3.090714	3.136009	3.177758	3.217073	3.254822	3.288842	3.320696	3.351178	3.379476	3.404720	3.429262	3.452420	3.473635	3.493181	3.512323	3.530371	3.546739	3.562346	3.577151	3.590646	3.603690	3.616304	3.627399	3.637810	3.647952	3.657096	3.666710	3.675710	3.683671	3.691442	3.698609	3.706021	3.712748	3.718812	3.725481	3.731033	3.736426	3.741153	3.746241	3.751086	3.755159	3.759414	3.762786	3.766981	3.770473	3.773726	3.776495	3.779634	3.782750	3.785692	3.788295	3.790545	3.792893	3.794868	3.796722	3.798515	3.800297	3.801273	3.802799	3.804544	3.805754	3.806163	3.806613	3.807894	3.808630	3.809144	3.809938	3.810882	3.810877	3.811844	3.812649	3.813657	3.813473	3.814246	3.814737	3.814534	3.815434	3.815773	3.815791	3.816299	3.816349	3.816461	3.817227	3.817906	3.817919
region_std	region_1	1	29332	0.007419	0.048185	0.110618	0.174477	0.233634	0.286424	0.334337	0.378590	0.420019	0.458588	0.494778	0.528676	0.560364	0.590125	0.617922	0.643654	0.667747	0.690284	0.711261	0.730796	0.749149	0.766208	0.782292	0.797264	0.811209	0.824143	0.836284	0.847562	0.858033	0.867881	0.877019	0.885624	0.893782	0.901267	0.908374	0.914947	0.921080	0.926959	0.932514	0.937638	0.942545	0.947253	0.951493	0.955667	0.959552	0.963335	0.966912	0.970343	0.973437	0.976500	0.979425	0.982095	0.984585	0.987094	0.989373	0.991523	0.993662	0.995707	0.997521	0.999373	1.000946	1.002464	1.003802	1.005146	1.006408	1.007649	1.008890	1.009997	1.011002	1.011926	1.012732	1.013594	1.014370	1.014991	1.015600	1.016209	1.016836	1.017373	1.017844	1.018365	1.019003	1.019295	1.019683	1.019958	1.020346	1.020650	1.020865	1.021102	1.021149	1.021378	1.021611	1.021751	1.021952	1.022134	1.022223	1.022297	1.022507	1.022573	1.022728	1.022879	1.023077	1.023074	1.023186	1.023279	1.023242	1.023363	1.023413	1.023480	1.023576	1.023543
