stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343	5343
region_area	region_2	2	19521	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495	2495
region_area	region_3	3	17487	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715
region_sum	region_1	1	29332	74741.000000	72430.000000	69414.000000	66642.000000	64974.000000	63807.000000	63109.000000	62769.000000	62567.000000	62455.000000	62410.000000	62371.000000	62359.000000	62359.000000	62365.000000	62366.000000	62368.000000	62367.000000	62377.000000	62392.000000	62379.000000	62379.000000	62388.000000	62395.000000	62391.000000	62389.000000	62387.000000	62395.000000	62401.000000	62401.000000	62399.000000	62390.000000	62391.000000	62386.000000	62384.000000	62389.000000	62392.000000	62393.000000	62396.000000	62396.000000	62402.000000	62391.000000	62392.000000	62401.000000	62398.000000	62401.000000	62403.000000	62397.000000	62402.000000	62404.000000	62400.000000	62397.000000	62394.000000	62393.000000	62396.000000	62397.000000	62397.000000	62399.000000	62401.000000	62401.000000	62392.000000	62397.000000	62399.000000	62401.000000	62406.000000	62403.000000	62402.000000	62397.000000	62396.000000	62401.000000	62404.000000	62403.000000	62404.000000	62395.000000	62399.000000	62400.000000	62394.000000	62401.000000	62401.000000	62403.000000	62406.000000	62406.000000	62406.000000	62402.000000	62402.000000	62397.000000	62399.000000	62398.000000	62395.000000	62397.000000	62402.000000	62391.000000	62390.000000	62399.000000	62399.000000	62396.000000	62391.000000	62407.000000	62408.000000	62398.000000	62393.000000	62396.000000	62407.000000	62405.000000	62398.000000	62395.000000	62397.000000	62403.000000	62395.000000	62394.000000
region_sum	region_2	2	19521	34558.000000	31570.000000	30240.000000	29545.000000	29200.000000	29021.000000	28906.000000	28860.000000	28836.000000	28834.000000	28830.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000	28828.000000
region_sum	region_3	3	17487	9292.000000	8384.000000	7994.000000	7912.000000	7903.000000	7900.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000	7899.000000
region_avg	region_1	1	29332	13.988584	13.556055	12.991578	12.472768	12.160583	11.942167	11.811529	11.747894	11.710088	11.689126	11.680704	11.673405	11.671159	11.671159	11.672281	11.672468	11.672843	11.672656	11.674527	11.677335	11.674902	11.674902	11.676586	11.677896	11.677148	11.676773	11.676399	11.677896	11.679019	11.679019	11.678645	11.676961	11.677148	11.676212	11.675838	11.676773	11.677335	11.677522	11.678083	11.678083	11.679207	11.677148	11.677335	11.679019	11.678458	11.679019	11.679394	11.678270	11.679207	11.679581	11.678832	11.678270	11.677710	11.677522	11.678083	11.678270	11.678270	11.678645	11.679019	11.679019	11.677335	11.678270	11.678645	11.679019	11.679955	11.679394	11.679207	11.678270	11.678083	11.679019	11.679581	11.679394	11.679581	11.677896	11.678645	11.678832	11.677710	11.679019	11.679019	11.679394	11.679955	11.679955	11.679955	11.679207	11.679207	11.678270	11.678645	11.678458	11.677896	11.678270	11.679207	11.677148	11.676961	11.678645	11.678645	11.678083	11.677148	11.680142	11.680329	11.678458	11.677522	11.678083	11.680142	11.679768	11.678458	11.677896	11.678270	11.679394	11.677896	11.677710
region_avg	region_2	2	19521	13.850902	12.653307	12.120240	11.841683	11.703407	11.631663	11.585571	11.567134	11.557515	11.556713	11.555110	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309	11.554309
region_avg	region_3	3	17487	12.995804	11.725874	11.180420	11.065734	11.053147	11.048951	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552	11.047552
region_std	region_1	1	29332	0.336074	0.887441	1.085593	1.093617	1.065984	1.039481	1.019816	1.011907	1.002690	0.998572	0.996140	0.992987	0.991995	0.990471	0.989269	0.988528	0.988443	0.987895	0.987068	0.986574	0.986922	0.986937	0.986589	0.986504	0.986558	0.986434	0.986566	0.986427	0.985901	0.985994	0.986233	0.986643	0.986651	0.986605	0.987014	0.986605	0.986636	0.986496	0.986411	0.986504	0.986040	0.986697	0.986473	0.985947	0.986411	0.986086	0.985994	0.986295	0.986040	0.986055	0.986063	0.986110	0.986411	0.986481	0.986504	0.985792	0.986373	0.986326	0.986024	0.985963	0.986512	0.986264	0.986249	0.985885	0.986164	0.986055	0.985978	0.986249	0.986396	0.985947	0.986102	0.986086	0.986148	0.986473	0.986295	0.986048	0.986427	0.985885	0.985932	0.986040	0.986311	0.986311	0.986272	0.985994	0.986024	0.986311	0.986233	0.986380	0.986458	0.986218	0.985947	0.986636	0.986628	0.986264	0.986326	0.986326	0.986667	0.986187	0.986125	0.986427	0.986496	0.986489	0.986164	0.986233	0.986473	0.986411	0.986249	0.986055	0.986504	0.985877
