stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295
region_area	region_2	2	19521	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657
region_area	region_3	3	17487	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148
region_sum	region_1	1	29332	0.695249	0.631532	0.577313	0.532474	0.496953	0.470569	0.453010	0.443876	0.442660	0.448777	0.461573	0.480344	0.504337	0.532781	0.564886	0.599855	0.636913	0.675295	0.714275	0.753159	0.791313	0.828148	0.863141	0.895837	0.925834	0.952817	0.976524	0.996771	1.013437	1.026455	1.035828	1.041598	1.043865	1.042765	1.038477	1.031200	1.021158	1.008603	0.993787	0.976974	0.958432	0.938419	0.917202	0.895021	0.872115	0.848707	0.824997	0.801180	0.777419	0.753874	0.730671	0.707933	0.685753	0.664215	0.643385	0.623315	0.604044	0.585600	0.567996	0.551239	0.535331	0.520261	0.506013	0.492571	0.479907	0.468000	0.456815	0.446325	0.436496	0.427297	0.418695	0.410660	0.403157	0.396154	0.389627	0.383539	0.377462	0.371521	0.365801	0.360354	0.355210	0.350387	0.345884	0.341696	0.337813	0.334221	0.330904	0.327847	0.325032	0.322441	0.320060	0.317871	0.315860	0.314013	0.312319	0.310762	0.309333	0.308021	0.306815	0.305709	0.304692	0.303757	0.302898	0.302109	0.301384	0.300718	0.300104	0.299539	0.299021	0.298544
region_sum	region_2	2	19521	0.468064	0.425195	0.388732	0.358672	0.335011	0.317653	0.306420	0.301046	0.301198	0.306479	0.316443	0.330601	0.348436	0.369407	0.392961	0.418544	0.445604	0.473608	0.502037	0.530408	0.558266	0.585193	0.610821	0.634817	0.656904	0.676850	0.694467	0.709625	0.722230	0.732238	0.739640	0.744472	0.746797	0.746714	0.744341	0.739825	0.733321	0.725005	0.715057	0.703661	0.691010	0.677289	0.662681	0.647363	0.631499	0.615254	0.598771	0.582184	0.565615	0.549174	0.532956	0.517046	0.501515	0.486420	0.471811	0.457725	0.444192	0.431233	0.418856	0.407072	0.395877	0.385269	0.375236	0.365766	0.356844	0.348448	0.340563	0.333164	0.326231	0.319741	0.313671	0.307998	0.302700	0.297756	0.293143	0.288843	0.284525	0.280289	0.276201	0.272301	0.268614	0.265152	0.261919	0.258911	0.256123	0.253544	0.251163	0.248969	0.246948	0.245091	0.243384	0.241816	0.240377	0.239056	0.237845	0.236733	0.235714	0.234779	0.233922	0.233135	0.232413	0.231751	0.231143	0.230586	0.230074	0.229604	0.229172	0.228775	0.228410	0.228075
region_sum	region_3	3	17487	0.117194	0.106466	0.097324	0.089769	0.083793	0.079366	0.076439	0.074942	0.074792	0.075888	0.078120	0.081369	0.085508	0.090405	0.095927	0.101939	0.108308	0.114905	0.121608	0.128298	0.134868	0.141217	0.147257	0.152910	0.158109	0.162798	0.166935	0.170486	0.173431	0.175759	0.177469	0.178568	0.179074	0.179008	0.178400	0.177284	0.175699	0.173685	0.171286	0.168546	0.165510	0.162224	0.158729	0.155068	0.151281	0.147405	0.143476	0.139524	0.135579	0.131667	0.127811	0.124029	0.120338	0.116754	0.113286	0.109944	0.106734	0.103661	0.100727	0.097935	0.095284	0.092772	0.090396	0.088155	0.086044	0.084057	0.082192	0.080442	0.078803	0.077268	0.075833	0.074493	0.073241	0.072074	0.070985	0.069970	0.068950	0.067947	0.066979	0.066055	0.065182	0.064362	0.063596	0.062883	0.062223	0.061613	0.061049	0.060530	0.060053	0.059614	0.059211	0.058841	0.058501	0.058189	0.057904	0.057641	0.057401	0.057180	0.056978	0.056793	0.056623	0.056467	0.056324	0.056192	0.056072	0.055961	0.055859	0.055766	0.055680	0.055601
region_avg	region_1	1	29332	0.000095	0.000087	0.000079	0.000073	0.000068	0.000065	0.000062	0.000061	0.000061	0.000062	0.000063	0.000066	0.000069	0.000073	0.000077	0.000082	0.000087	0.000093	0.000098	0.000103	0.000108	0.000114	0.000118	0.000123	0.000127	0.000131	0.000134	0.000137	0.000139	0.000141	0.000142	0.000143	0.000143	0.000143	0.000142	0.000141	0.000140	0.000138	0.000136	0.000134	0.000131	0.000129	0.000126	0.000123	0.000120	0.000116	0.000113	0.000110	0.000107	0.000103	0.000100	0.000097	0.000094	0.000091	0.000088	0.000085	0.000083	0.000080	0.000078	0.000076	0.000073	0.000071	0.000069	0.000068	0.000066	0.000064	0.000063	0.000061	0.000060	0.000059	0.000057	0.000056	0.000055	0.000054	0.000053	0.000053	0.000052	0.000051	0.000050	0.000049	0.000049	0.000048	0.000047	0.000047	0.000046	0.000046	0.000045	0.000045	0.000045	0.000044	0.000044	0.000044	0.000043	0.000043	0.000043	0.000043	0.000042	0.000042	0.000042	0.000042	0.000042	0.000042	0.000042	0.000041	0.000041	0.000041	0.000041	0.000041	0.000041	0.000041
region_avg	region_2	2	19521	0.000101	0.000091	0.000083	0.000077	0.000072	0.000068	0.000066	0.000065	0.000065	0.000066	0.000068	0.000071	0.000075	0.000079	0.000084	0.000090	0.000096	0.000102	0.000108	0.000114	0.000120	0.000126	0.000131	0.000136	0.000141	0.000145	0.000149	0.000152	0.000155	0.000157	0.000159	0.000160	0.000160	0.000160	0.000160	0.000159	0.000157	0.000156	0.000154	0.000151	0.000148	0.000145	0.000142	0.000139	0.000136	0.000132	0.000129	0.000125	0.000121	0.000118	0.000114	0.000111	0.000108	0.000104	0.000101	0.000098	0.000095	0.000093	0.000090	0.000087	0.000085	0.000083	0.000081	0.000079	0.000077	0.000075	0.000073	0.000072	0.000070	0.000069	0.000067	0.000066	0.000065	0.000064	0.000063	0.000062	0.000061	0.000060	0.000059	0.000058	0.000058	0.000057	0.000056	0.000056	0.000055	0.000054	0.000054	0.000053	0.000053	0.000053	0.000052	0.000052	0.000052	0.000051	0.000051	0.000051	0.000051	0.000050	0.000050	0.000050	0.000050	0.000050	0.000050	0.000050	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049
region_avg	region_3	3	17487	0.000102	0.000093	0.000085	0.000078	0.000073	0.000069	0.000067	0.000065	0.000065	0.000066	0.000068	0.000071	0.000074	0.000079	0.000084	0.000089	0.000094	0.000100	0.000106	0.000112	0.000117	0.000123	0.000128	0.000133	0.000138	0.000142	0.000145	0.000149	0.000151	0.000153	0.000155	0.000156	0.000156	0.000156	0.000155	0.000154	0.000153	0.000151	0.000149	0.000147	0.000144	0.000141	0.000138	0.000135	0.000132	0.000128	0.000125	0.000122	0.000118	0.000115	0.000111	0.000108	0.000105	0.000102	0.000099	0.000096	0.000093	0.000090	0.000088	0.000085	0.000083	0.000081	0.000079	0.000077	0.000075	0.000073	0.000072	0.000070	0.000069	0.000067	0.000066	0.000065	0.000064	0.000063	0.000062	0.000061	0.000060	0.000059	0.000058	0.000058	0.000057	0.000056	0.000055	0.000055	0.000054	0.000054	0.000053	0.000053	0.000052	0.000052	0.000052	0.000051	0.000051	0.000051	0.000050	0.000050	0.000050	0.000050	0.000050	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000048
region_std	region_1	1	29332	0.000003	0.000003	0.000002	0.000002	0.000002	0.000002	0.000003	0.000004	0.000006	0.000007	0.000010	0.000012	0.000015	0.000018	0.000021	0.000024	0.000027	0.000031	0.000034	0.000038	0.000041	0.000044	0.000047	0.000050	0.000053	0.000056	0.000058	0.000060	0.000062	0.000064	0.000065	0.000066	0.000067	0.000067	0.000067	0.000067	0.000067	0.000067	0.000066	0.000066	0.000065	0.000064	0.000063	0.000062	0.000060	0.000059	0.000058	0.000056	0.000055	0.000053	0.000052	0.000050	0.000049	0.000048	0.000046	0.000045	0.000044	0.000043	0.000041	0.000040	0.000039	0.000038	0.000037	0.000036	0.000036	0.000035	0.000034	0.000033	0.000033	0.000032	0.000031	0.000031	0.000030	0.000030	0.000029	0.000029	0.000029	0.000028	0.000028	0.000027	0.000027	0.000027	0.000026	0.000026	0.000026	0.000025	0.000025	0.000025	0.000025	0.000025	0.000024	0.000024	0.000024	0.000024	0.000024	0.000024	0.000024	0.000024	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023
