stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295	7295
region_area	region_2	2	19521	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657	4657
region_area	region_3	3	17487	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148
region_sum	region_1	1	29332	0.026480	0.061703	0.106210	0.159284	0.219713	0.286105	0.357034	0.431093	0.506925	0.583229	0.658784	0.732452	0.803197	0.870090	0.932327	0.989214	1.040197	1.084839	1.122846	1.154035	1.178342	1.195823	1.206644	1.211030	1.209328	1.201924	1.189269	1.171863	1.150231	1.124912	1.096457	1.065414	1.032323	0.997692	0.962004	0.925713	0.889230	0.852931	0.817141	0.782146	0.748192	0.715476	0.684155	0.654350	0.626148	0.599601	0.574731	0.551541	0.530012	0.510098	0.491746	0.474890	0.459456	0.445358	0.432515	0.420838	0.410239	0.400636	0.391946	0.384088	0.376985	0.370567	0.364769	0.359526	0.354782	0.350487	0.346595	0.343058	0.339847	0.336925	0.334260	0.331825	0.329596	0.327552	0.325672	0.319679	0.315038	0.311419	0.308574	0.306323	0.304521	0.303067	0.301878	0.300896	0.300073	0.299378	0.298782	0.298267	0.297816	0.297417	0.297062	0.296745	0.296460	0.296202	0.295964	0.295746	0.295544	0.295357	0.295184	0.295025	0.294877	0.294738	0.294607	0.294486	0.294375	0.294274	0.294180	0.294093	0.294011	0.293935
region_sum	region_2	2	19521	0.017910	0.042055	0.072900	0.110052	0.152638	0.199623	0.249961	0.302641	0.356685	0.411166	0.465206	0.517991	0.568775	0.616891	0.661756	0.702871	0.739834	0.772327	0.800129	0.823104	0.841200	0.854450	0.862955	0.866882	0.866463	0.861972	0.853722	0.842065	0.827370	0.810020	0.790406	0.768912	0.745920	0.721794	0.696878	0.671493	0.645938	0.620472	0.595335	0.570734	0.546841	0.523801	0.501726	0.480706	0.460803	0.442058	0.424490	0.408098	0.392870	0.378780	0.365789	0.353851	0.342915	0.332923	0.323816	0.315535	0.308017	0.301204	0.295032	0.289453	0.284411	0.279855	0.275737	0.272012	0.268642	0.265592	0.262828	0.260319	0.258039	0.255962	0.254068	0.252335	0.250749	0.249294	0.247956	0.243477	0.240018	0.237330	0.235226	0.233566	0.232242	0.231179	0.230318	0.229611	0.229024	0.228530	0.228109	0.227745	0.227430	0.227154	0.226910	0.226694	0.226500	0.226327	0.226169	0.226023	0.225890	0.225768	0.225656	0.225552	0.225456	0.225368	0.225285	0.225207	0.225134	0.225065	0.225002	0.224943	0.224888	0.224838
region_sum	region_3	3	17487	0.004465	0.010408	0.017944	0.026976	0.037281	0.048610	0.060716	0.073359	0.086309	0.099345	0.112258	0.124856	0.136963	0.148420	0.159091	0.168859	0.177629	0.185328	0.191903	0.197324	0.201581	0.204681	0.206652	0.207533	0.207381	0.206261	0.204249	0.201429	0.197890	0.193723	0.189022	0.183878	0.178382	0.172621	0.166677	0.160626	0.154539	0.148478	0.142500	0.136651	0.130974	0.125503	0.120264	0.115278	0.110559	0.106118	0.101957	0.098078	0.094476	0.091144	0.088074	0.085255	0.082673	0.080317	0.078170	0.076217	0.074446	0.072841	0.071389	0.070076	0.068889	0.067817	0.066847	0.065969	0.065175	0.064457	0.063806	0.063216	0.062680	0.062193	0.061749	0.061343	0.060973	0.060634	0.060323	0.059247	0.058418	0.057775	0.057273	0.056878	0.056565	0.056314	0.056111	0.055945	0.055808	0.055694	0.055596	0.055513	0.055442	0.055378	0.055322	0.055272	0.055227	0.055186	0.055148	0.055114	0.055084	0.055056	0.055030	0.055007	0.054984	0.054963	0.054944	0.054925	0.054908	0.054892	0.054877	0.054863	0.054850	0.054838
region_avg	region_1	1	29332	0.000004	0.000008	0.000015	0.000022	0.000030	0.000039	0.000049	0.000059	0.000069	0.000080	0.000090	0.000100	0.000110	0.000119	0.000128	0.000136	0.000143	0.000149	0.000154	0.000158	0.000162	0.000164	0.000165	0.000166	0.000166	0.000165	0.000163	0.000161	0.000158	0.000154	0.000150	0.000146	0.000142	0.000137	0.000132	0.000127	0.000122	0.000117	0.000112	0.000107	0.000103	0.000098	0.000094	0.000090	0.000086	0.000082	0.000079	0.000076	0.000073	0.000070	0.000067	0.000065	0.000063	0.000061	0.000059	0.000058	0.000056	0.000055	0.000054	0.000053	0.000052	0.000051	0.000050	0.000049	0.000049	0.000048	0.000048	0.000047	0.000047	0.000046	0.000046	0.000045	0.000045	0.000045	0.000045	0.000044	0.000043	0.000043	0.000042	0.000042	0.000042	0.000042	0.000041	0.000041	0.000041	0.000041	0.000041	0.000041	0.000041	0.000041	0.000041	0.000041	0.000041	0.000041	0.000041	0.000041	0.000041	0.000040	0.000040	0.000040	0.000040	0.000040	0.000040	0.000040	0.000040	0.000040	0.000040	0.000040	0.000040	0.000040
region_avg	region_2	2	19521	0.000004	0.000009	0.000016	0.000024	0.000033	0.000043	0.000054	0.000065	0.000077	0.000088	0.000100	0.000111	0.000122	0.000132	0.000142	0.000151	0.000159	0.000166	0.000172	0.000177	0.000181	0.000183	0.000185	0.000186	0.000186	0.000185	0.000183	0.000181	0.000178	0.000174	0.000170	0.000165	0.000160	0.000155	0.000150	0.000144	0.000139	0.000133	0.000128	0.000123	0.000117	0.000112	0.000108	0.000103	0.000099	0.000095	0.000091	0.000088	0.000084	0.000081	0.000079	0.000076	0.000074	0.000071	0.000070	0.000068	0.000066	0.000065	0.000063	0.000062	0.000061	0.000060	0.000059	0.000058	0.000058	0.000057	0.000056	0.000056	0.000055	0.000055	0.000055	0.000054	0.000054	0.000054	0.000053	0.000052	0.000052	0.000051	0.000051	0.000050	0.000050	0.000050	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048
region_avg	region_3	3	17487	0.000004	0.000009	0.000016	0.000023	0.000032	0.000042	0.000053	0.000064	0.000075	0.000087	0.000098	0.000109	0.000119	0.000129	0.000139	0.000147	0.000155	0.000161	0.000167	0.000172	0.000176	0.000178	0.000180	0.000181	0.000181	0.000180	0.000178	0.000175	0.000172	0.000169	0.000165	0.000160	0.000155	0.000150	0.000145	0.000140	0.000135	0.000129	0.000124	0.000119	0.000114	0.000109	0.000105	0.000100	0.000096	0.000092	0.000089	0.000085	0.000082	0.000079	0.000077	0.000074	0.000072	0.000070	0.000068	0.000066	0.000065	0.000063	0.000062	0.000061	0.000060	0.000059	0.000058	0.000057	0.000057	0.000056	0.000056	0.000055	0.000055	0.000054	0.000054	0.000053	0.000053	0.000053	0.000053	0.000052	0.000051	0.000050	0.000050	0.000050	0.000049	0.000049	0.000049	0.000049	0.000049	0.000049	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048	0.000048
region_std	region_1	1	29332	0.000000	0.000001	0.000003	0.000005	0.000008	0.000012	0.000016	0.000021	0.000025	0.000030	0.000036	0.000041	0.000046	0.000050	0.000055	0.000059	0.000063	0.000067	0.000070	0.000073	0.000075	0.000077	0.000079	0.000079	0.000080	0.000080	0.000080	0.000079	0.000078	0.000077	0.000076	0.000074	0.000072	0.000070	0.000068	0.000066	0.000064	0.000061	0.000059	0.000057	0.000054	0.000052	0.000050	0.000048	0.000046	0.000045	0.000043	0.000041	0.000040	0.000038	0.000037	0.000036	0.000035	0.000034	0.000033	0.000032	0.000031	0.000031	0.000030	0.000029	0.000029	0.000028	0.000028	0.000028	0.000027	0.000027	0.000027	0.000026	0.000026	0.000026	0.000026	0.000025	0.000025	0.000025	0.000025	0.000024	0.000024	0.000024	0.000024	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000023	0.000022	0.000022	0.000022	0.000022
