stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
region_area	region_2	2	19521	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171
region_area	region_3	3	17487	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
region_sum	region_1	1	29332	-63.052769	-50.105927	-40.818329	-32.982056	-26.601263	-21.752234	-17.784328	-14.571476	-11.995487	-9.852769	-8.109293	-7.436744	-6.828545	-6.314265	-5.842291	-5.453651	-5.109346	-4.771942	-4.500389	-4.156243	-3.878213	-3.617144	-3.399363	-3.201735	-3.020149	-2.830102	-2.714457	-2.528312	-2.387952	-2.262154	-2.103001	-1.993707	-1.887401	-1.796813	-1.708647	-1.647228	-1.562653	-1.515154	-1.453627	-1.359374	-1.329557	-1.300718	-1.231072	-1.187192	-1.158592	-1.121028	-1.056517	-1.055490	-1.022807	-1.005778	-1.019332	-0.971181	-0.920711	-0.898572	-0.880029	-0.872542	-0.866834	-0.848214	-0.875092	-0.833430	-0.825704	-0.816977	-0.774194	-0.766924	-0.751450	-0.742755	-0.739536	-0.760459	-0.735749	-0.759636	-0.745611	-0.712668	-0.735454	-0.735575	-0.720293	-0.718325	-0.721858	-0.711341	-0.683463	-0.711321	-0.703578	-0.715071	-0.742449	-0.713348	-0.685479	-0.682657	-0.680238	-0.693090	-0.691178	-0.690767	-0.721288	-0.697187	-0.698039	-0.696525	-0.666104	-0.665982	-0.656836	-0.654876	-0.660350	-0.688831	-0.676927	-0.708311	-0.700656	-0.657480	-0.686950	-0.698094	-0.685783	-0.689528	-0.693974	-0.691048
region_sum	region_2	2	19521	-71.558304	-46.363724	-20.023102	14.846261	46.257633	53.197525	48.583076	40.537334	35.408543	39.113148	21.758085	24.133909	29.849045	28.153318	24.558371	25.276398	27.257418	25.885351	13.610146	21.116474	14.176605	15.548766	17.539711	20.813763	16.540255	10.974006	11.408017	1.582716	18.091543	27.577066	21.338551	7.953886	27.354183	27.256557	8.523131	10.043394	0.568737	8.058289	2.504525	-0.391333	-9.167093	11.412379	-25.776497	-11.113793	1.424802	1.970026	-2.546183	2.815456	9.148078	8.508773	-7.513638	2.245522	-6.488666	-3.374155	0.991378	5.481583	1.054636	-5.108709	-3.754288	-13.257728	5.790558	15.966229	11.314184	-2.382928	19.336933	19.585396	0.296071	1.986614	-5.419962	1.686175	-3.452376	-5.416390	-13.502698	8.928050	-30.495028	-15.141127	-1.572514	-0.480030	-5.478732	0.018205	6.317471	5.830766	-10.394028	0.709975	-8.983218	-5.456622	-0.393151	4.754184	0.617386	-5.994620	-4.375653	-13.690340	4.886448	16.418957	11.695452	-2.492195	19.199474	19.106556	0.087151	3.038332	-5.446733	2.194868	-2.226404	-5.123247	-12.925900	8.748513	-29.613972	-14.644300	-1.492397	-1.049248
region_sum	region_3	3	17487	-48.294853	-35.962704	-21.989246	-4.378522	15.533450	35.146065	42.168995	38.666988	38.263512	31.916016	34.886608	30.743740	32.751678	21.368912	22.803289	19.158628	13.875911	24.449282	21.763676	8.223022	24.956406	16.331821	18.890537	10.812924	22.962963	10.346401	-2.244571	4.351882	-2.120310	19.185541	9.939240	9.177763	21.954760	20.639488	5.512125	8.192469	-13.470482	-2.082570	4.079228	-0.845423	7.567058	-3.943116	7.000609	6.403494	14.226795	-3.887290	2.419365	-2.502675	-7.935781	8.748791	5.474248	-12.935645	11.312160	1.992102	5.110562	-3.596942	12.232796	-2.729938	-15.850435	-7.844153	-13.729053	9.641862	0.985752	2.069367	15.099202	14.278994	-1.161322	2.561278	-18.825981	-7.637491	-0.935607	-5.228891	3.734130	-7.443018	3.753609	4.056119	11.398873	-6.918494	-0.423198	-4.480149	-9.656096	6.942809	3.201233	-13.874594	10.989496	1.506982	5.379167	-4.850729	11.298950	-2.979594	-17.315596	-7.762191	-14.508831	9.010069	1.360110	1.995831	14.442762	13.585793	-2.297157	2.632492	-19.252438	-6.892746	-0.991330	-4.782971	3.446548	-7.485532	4.260254	4.177980	11.813924	-5.687912
region_avg	region_1	1	29332	-0.508490	-0.404080	-0.329180	-0.265984	-0.214526	-0.175421	-0.143422	-0.117512	-0.096738	-0.079458	-0.065398	-0.059974	-0.055069	-0.050921	-0.047115	-0.043981	-0.041204	-0.038483	-0.036293	-0.033518	-0.031276	-0.029171	-0.027414	-0.025820	-0.024356	-0.022823	-0.021891	-0.020390	-0.019258	-0.018243	-0.016960	-0.016078	-0.015221	-0.014490	-0.013779	-0.013284	-0.012602	-0.012219	-0.011723	-0.010963	-0.010722	-0.010490	-0.009928	-0.009574	-0.009343	-0.009041	-0.008520	-0.008512	-0.008248	-0.008111	-0.008220	-0.007832	-0.007425	-0.007247	-0.007097	-0.007037	-0.006991	-0.006840	-0.007057	-0.006721	-0.006659	-0.006589	-0.006243	-0.006185	-0.006060	-0.005990	-0.005964	-0.006133	-0.005933	-0.006126	-0.006013	-0.005747	-0.005931	-0.005932	-0.005809	-0.005793	-0.005821	-0.005737	-0.005512	-0.005736	-0.005674	-0.005767	-0.005987	-0.005753	-0.005528	-0.005505	-0.005486	-0.005589	-0.005574	-0.005571	-0.005817	-0.005622	-0.005629	-0.005617	-0.005372	-0.005371	-0.005297	-0.005281	-0.005325	-0.005555	-0.005459	-0.005712	-0.005650	-0.005302	-0.005540	-0.005630	-0.005531	-0.005561	-0.005597	-0.005573
region_avg	region_2	2	19521	-0.418470	-0.271133	-0.117094	0.086820	0.270512	0.311097	0.284112	0.237060	0.207068	0.228732	0.127240	0.141134	0.174556	0.164639	0.143616	0.147815	0.159400	0.151376	0.079591	0.123488	0.082904	0.090928	0.102571	0.121718	0.096727	0.064175	0.066714	0.009256	0.105798	0.161269	0.124787	0.046514	0.159966	0.159395	0.049843	0.058733	0.003326	0.047124	0.014646	-0.002288	-0.053609	0.066739	-0.150740	-0.064993	0.008332	0.011521	-0.014890	0.016465	0.053498	0.049759	-0.043939	0.013132	-0.037945	-0.019732	0.005798	0.032056	0.006167	-0.029875	-0.021955	-0.077531	0.033863	0.093370	0.066165	-0.013935	0.113081	0.114534	0.001731	0.011618	-0.031696	0.009861	-0.020189	-0.031675	-0.078963	0.052211	-0.178333	-0.088545	-0.009196	-0.002807	-0.032039	0.000106	0.036944	0.034098	-0.060784	0.004152	-0.052533	-0.031910	-0.002299	0.027802	0.003610	-0.035056	-0.025589	-0.080060	0.028576	0.096017	0.068394	-0.014574	0.112278	0.111734	0.000510	0.017768	-0.031852	0.012835	-0.013020	-0.029961	-0.075590	0.051161	-0.173181	-0.085639	-0.008727	-0.006136
region_avg	region_3	3	17487	-0.309582	-0.230530	-0.140957	-0.028067	0.099573	0.225295	0.270314	0.247865	0.245279	0.204590	0.223632	0.197075	0.209947	0.136980	0.146175	0.122812	0.088948	0.156726	0.139511	0.052712	0.159977	0.104691	0.121093	0.069314	0.147198	0.066323	-0.014388	0.027897	-0.013592	0.122984	0.063713	0.058832	0.140736	0.132304	0.035334	0.052516	-0.086349	-0.013350	0.026149	-0.005419	0.048507	-0.025276	0.044876	0.041048	0.091197	-0.024919	0.015509	-0.016043	-0.050870	0.056082	0.035091	-0.082921	0.072514	0.012770	0.032760	-0.023057	0.078415	-0.017500	-0.101605	-0.050283	-0.088007	0.061807	0.006319	0.013265	0.096790	0.091532	-0.007444	0.016418	-0.120679	-0.048958	-0.005997	-0.033519	0.023937	-0.047712	0.024062	0.026001	0.073070	-0.044349	-0.002713	-0.028719	-0.061898	0.044505	0.020521	-0.088940	0.070445	0.009660	0.034482	-0.031094	0.072429	-0.019100	-0.110997	-0.049758	-0.093005	0.057757	0.008719	0.012794	0.092582	0.087088	-0.014725	0.016875	-0.123413	-0.044184	-0.006355	-0.030660	0.022093	-0.047984	0.027309	0.026782	0.075730	-0.036461
region_std	region_1	1	29332	0.164088	0.125217	0.101446	0.080903	0.064847	0.052784	0.042981	0.034875	0.028803	0.023253	0.019121	0.017584	0.015800	0.014691	0.013519	0.012664	0.011931	0.010982	0.010558	0.009531	0.008713	0.008212	0.007693	0.007110	0.006506	0.006326	0.006345	0.005695	0.005268	0.005188	0.004366	0.004290	0.003891	0.003697	0.003478	0.003359	0.003090	0.003147	0.003230	0.002602	0.002844	0.002662	0.002491	0.002510	0.002322	0.002190	0.001806	0.002194	0.002089	0.002071	0.002503	0.002121	0.001627	0.001632	0.001517	0.001700	0.001536	0.001704	0.002231	0.001845	0.001788	0.001763	0.001208	0.001310	0.001068	0.001023	0.001148	0.001549	0.001191	0.001718	0.001767	0.000883	0.001626	0.001688	0.001524	0.001596	0.001650	0.001476	0.000922	0.001702	0.001531	0.001674	0.002139	0.001785	0.001277	0.001270	0.001218	0.001445	0.001328	0.001541	0.002061	0.001668	0.001666	0.001626	0.001065	0.001116	0.000906	0.000871	0.001016	0.001411	0.001243	0.001704	0.001665	0.000804	0.001547	0.001613	0.001514	0.001608	0.001622	0.001461
