stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
region_area	region_2	2	19521	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171
region_area	region_3	3	17487	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
region_sum	region_1	1	29332	0.019597	0.041388	0.045727	0.048268	0.048167	0.048476	0.046679	0.044958	0.045205	0.043578	0.041729	0.040782	0.039712	0.038606	0.037685	0.038251	0.036794	0.035889	0.034562	0.031267	0.029950	0.029743	0.030002	0.030286	0.029728	0.029070	0.028576	0.025740	0.024846	0.023896	0.022778	0.023558	0.024306	0.025459	0.026565	0.027436	0.027096	0.027738	0.026896	0.026300	0.027425	0.026984	0.026262	0.026408	0.026244	0.025820	0.025731	0.026875	0.026406	0.026267	0.025580	0.023468	0.022809	0.023247	0.023876	0.024563	0.024601	0.024479	0.024420	0.022715	0.022380	0.021809	0.021430	0.022369	0.023289	0.024503	0.025685	0.026586	0.026379	0.027049	0.026287	0.025777	0.026919	0.026564	0.025896	0.026040	0.025886	0.025515	0.025471	0.026634	0.026165	0.026055	0.025391	0.023304	0.022678	0.023093	0.023697	0.024343	0.024393	0.024315	0.024270	0.022592	0.022263	0.021748	0.021367	0.022309	0.023224	0.024450	0.025634	0.026531	0.026337	0.027019	0.026261	0.025751	0.026909	0.026554	0.025895	0.026058	0.025925	0.025528
region_sum	region_2	2	19521	0.076573	0.238433	0.484657	0.923264	1.645965	2.541574	3.462042	4.275358	4.973515	5.534322	6.231448	6.438996	6.771953	7.228213	7.625629	7.959666	8.324407	8.739409	9.127701	9.210092	9.493471	9.567559	9.667599	9.849908	10.098607	10.245592	10.268008	10.297726	10.082516	10.320395	10.806556	11.123605	11.092662	11.621547	12.134521	12.150837	12.242673	12.095507	12.150000	12.063282	11.888005	11.497632	11.690308	10.864632	10.489786	10.443688	10.396570	10.282911	10.335636	10.531010	10.741306	10.522099	10.610239	10.439563	10.351264	10.384894	10.540708	10.585615	10.479321	10.407548	10.070185	10.255889	10.728320	11.032825	10.969104	11.506258	12.029331	12.033844	12.116418	11.977373	12.040088	11.952525	11.796818	11.441443	11.661469	10.830685	10.461462	10.423433	10.419536	10.312704	10.366695	10.563333	10.773330	10.553858	10.636939	10.457726	10.361796	10.384682	10.546412	10.592496	10.492093	10.418120	10.082756	10.271093	10.746284	11.057102	10.998401	11.532355	12.044136	12.052350	12.140414	12.004934	12.069800	11.992922	11.829522	11.470569	11.684029	10.863884	10.495399	10.457636
region_sum	region_3	3	17487	0.067456	0.199904	0.374587	0.648077	1.095139	1.676840	2.455872	3.277382	4.005949	4.765289	5.339456	5.988172	6.549924	7.195956	7.505154	7.870768	8.119767	8.222240	8.667875	8.986675	8.882284	9.344702	9.515121	9.772625	9.790462	10.211476	10.209322	9.831339	9.669747	9.319729	9.639672	9.677514	9.726170	10.204755	10.659916	10.629179	10.733222	10.141817	9.931564	9.904982	9.723808	9.861809	9.620673	9.733470	9.832108	10.194620	9.993320	10.021990	9.932158	9.669413	9.947144	10.095772	9.644029	10.015507	10.053308	10.221083	10.093465	10.473470	10.381042	9.847925	9.613895	9.173448	9.478192	9.490462	9.546557	10.041380	10.509825	10.488209	10.600039	10.014674	9.809055	9.789444	9.631380	9.789606	9.569684	9.708199	9.819099	10.190509	10.003256	10.045292	9.966859	9.710162	9.988689	10.132320	9.700115	10.083563	10.131057	10.307472	10.181435	10.573741	10.470169	9.936527	9.696991	9.243366	9.544791	9.556828	9.601957	10.085272	10.539925	10.506942	10.615501	10.019613	9.818783	9.802735	9.641356	9.793388	9.565792	9.706437	9.813891	10.188354
region_avg	region_1	1	29332	0.000158	0.000334	0.000369	0.000389	0.000388	0.000391	0.000376	0.000363	0.000365	0.000351	0.000337	0.000329	0.000320	0.000311	0.000304	0.000308	0.000297	0.000289	0.000279	0.000252	0.000242	0.000240	0.000242	0.000244	0.000240	0.000234	0.000230	0.000208	0.000200	0.000193	0.000184	0.000190	0.000196	0.000205	0.000214	0.000221	0.000219	0.000224	0.000217	0.000212	0.000221	0.000218	0.000212	0.000213	0.000212	0.000208	0.000208	0.000217	0.000213	0.000212	0.000206	0.000189	0.000184	0.000187	0.000193	0.000198	0.000198	0.000197	0.000197	0.000183	0.000180	0.000176	0.000173	0.000180	0.000188	0.000198	0.000207	0.000214	0.000213	0.000218	0.000212	0.000208	0.000217	0.000214	0.000209	0.000210	0.000209	0.000206	0.000205	0.000215	0.000211	0.000210	0.000205	0.000188	0.000183	0.000186	0.000191	0.000196	0.000197	0.000196	0.000196	0.000182	0.000180	0.000175	0.000172	0.000180	0.000187	0.000197	0.000207	0.000214	0.000212	0.000218	0.000212	0.000208	0.000217	0.000214	0.000209	0.000210	0.000209	0.000206
region_avg	region_2	2	19521	0.000448	0.001394	0.002834	0.005399	0.009626	0.014863	0.020246	0.025002	0.029085	0.032364	0.036441	0.037655	0.039602	0.042270	0.044594	0.046548	0.048681	0.051108	0.053378	0.053860	0.055517	0.055951	0.056536	0.057602	0.059056	0.059916	0.060047	0.060221	0.058962	0.060353	0.063196	0.065050	0.064869	0.067962	0.070962	0.071058	0.071595	0.070734	0.071053	0.070546	0.069520	0.067238	0.068364	0.063536	0.061344	0.061074	0.060799	0.060134	0.060442	0.061585	0.062815	0.061533	0.062048	0.061050	0.060534	0.060730	0.061642	0.061904	0.061283	0.060863	0.058890	0.059976	0.062739	0.064519	0.064147	0.067288	0.070347	0.070373	0.070856	0.070043	0.070410	0.069898	0.068987	0.066909	0.068196	0.063337	0.061178	0.060956	0.060933	0.060308	0.060624	0.061774	0.063002	0.061718	0.062204	0.061156	0.060595	0.060729	0.061675	0.061944	0.061357	0.060925	0.058963	0.060065	0.062844	0.064661	0.064318	0.067441	0.070434	0.070482	0.070997	0.070204	0.070584	0.070134	0.069178	0.067079	0.068328	0.063531	0.061377	0.061156
region_avg	region_3	3	17487	0.000432	0.001281	0.002401	0.004154	0.007020	0.010749	0.015743	0.021009	0.025679	0.030547	0.034227	0.038386	0.041987	0.046128	0.048110	0.050454	0.052050	0.052707	0.055563	0.057607	0.056938	0.059902	0.060994	0.062645	0.062759	0.065458	0.065444	0.063021	0.061986	0.059742	0.061793	0.062035	0.062347	0.065415	0.068333	0.068136	0.068803	0.065012	0.063664	0.063493	0.062332	0.063217	0.061671	0.062394	0.063026	0.065350	0.064060	0.064244	0.063668	0.061983	0.063764	0.064716	0.061821	0.064202	0.064444	0.065520	0.064702	0.067138	0.066545	0.063128	0.061628	0.058804	0.060758	0.060836	0.061196	0.064368	0.067371	0.067232	0.067949	0.064197	0.062879	0.062753	0.061740	0.062754	0.061344	0.062232	0.062943	0.065324	0.064123	0.064393	0.063890	0.062245	0.064030	0.064951	0.062180	0.064638	0.064943	0.066074	0.065266	0.067780	0.067116	0.063696	0.062160	0.059252	0.061185	0.061262	0.061551	0.064649	0.067564	0.067352	0.068048	0.064228	0.062941	0.062838	0.061804	0.062778	0.061319	0.062221	0.062910	0.065310
region_std	region_1	1	29332	0.000031	0.000075	0.000101	0.000126	0.000144	0.000151	0.000165	0.000172	0.000168	0.000172	0.000176	0.000174	0.000174	0.000177	0.000175	0.000170	0.000168	0.000166	0.000169	0.000166	0.000164	0.000158	0.000154	0.000151	0.000147	0.000143	0.000140	0.000125	0.000117	0.000112	0.000092	0.000091	0.000087	0.000085	0.000083	0.000083	0.000085	0.000086	0.000092	0.000093	0.000090	0.000094	0.000097	0.000096	0.000097	0.000099	0.000099	0.000097	0.000099	0.000100	0.000103	0.000104	0.000102	0.000100	0.000099	0.000098	0.000098	0.000097	0.000097	0.000097	0.000094	0.000093	0.000088	0.000087	0.000085	0.000083	0.000081	0.000081	0.000084	0.000085	0.000090	0.000092	0.000089	0.000093	0.000096	0.000096	0.000096	0.000098	0.000099	0.000096	0.000099	0.000099	0.000102	0.000103	0.000102	0.000100	0.000098	0.000097	0.000097	0.000096	0.000096	0.000096	0.000093	0.000092	0.000087	0.000087	0.000085	0.000083	0.000081	0.000081	0.000083	0.000085	0.000090	0.000092	0.000089	0.000092	0.000096	0.000095	0.000096	0.000098
