stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
region_area	region_2	2	19521	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171
region_area	region_3	3	17487	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
region_sum	region_1	1	29332	0.000000	0.000000	0.000937	0.007530	0.002085	0.009564	0.009195	0.000000	0.008642	0.010084	0.006140	0.006874	0.007247	0.006665	0.000000	0.009136	0.006969	0.009158	0.018495	0.010076	0.005138	0.002944	0.002849	0.006683	0.007296	0.006728	0.017490	0.009168	0.009599	0.010570	0.002017	0.002030	0.000000	0.000000	0.000977	0.006293	0.001927	0.008580	0.007608	0.000000	0.006662	0.008037	0.004518	0.005826	0.006895	0.005465	0.000000	0.007065	0.005651	0.008106	0.014644	0.008536	0.003794	0.002712	0.002261	0.005085	0.005884	0.005587	0.013007	0.007253	0.008157	0.007475	0.001717	0.001466	0.000000	0.000000	0.001002	0.005889	0.001982	0.008349	0.007391	0.000000	0.006602	0.008022	0.004461	0.005807	0.006806	0.005452	0.000000	0.007092	0.005589	0.008084	0.014572	0.008453	0.003831	0.002729	0.002365	0.005115	0.005789	0.005579	0.012981	0.007213	0.007987	0.007455	0.001556	0.001494	0.000000	0.000000	0.001020	0.005857	0.001925	0.008252	0.007416	0.000000	0.006553	0.007977	0.004422	0.005755	0.006793	0.005388
region_sum	region_2	2	19521	0.000000	0.000000	0.132637	0.182236	0.616927	0.549887	1.052301	1.436726	2.130025	0.890976	4.192422	3.113821	2.127227	2.389518	2.639957	2.224122	1.703642	1.670887	3.834479	2.312761	3.876348	3.667374	3.080424	2.501241	3.227564	4.079385	4.027070	5.942035	2.501273	0.586678	1.803299	4.306070	0.000000	0.000000	3.596137	2.945697	4.750174	3.230298	4.406791	5.102890	6.752668	2.458575	10.206494	6.928243	4.618285	4.625887	5.043875	3.801139	2.747784	2.526037	5.659626	3.397986	5.402339	4.835104	3.979935	3.001502	3.798182	4.900952	4.707280	6.797325	2.811984	0.647569	1.886277	4.597762	0.000000	0.000000	3.739919	3.118214	4.774427	3.248326	4.482414	5.032048	6.648972	2.386541	10.301099	6.997980	4.614770	4.365673	5.032961	3.829154	2.741160	2.543307	5.674151	3.426803	5.446062	4.900136	4.077597	2.999534	3.797287	4.875656	4.712045	6.760879	2.782975	0.650024	1.856426	4.533597	0.000000	0.000000	3.714723	3.047593	4.718961	3.240536	4.407499	5.059028	6.653264	2.374098	10.210274	6.937780	4.604038	4.641798
region_sum	region_3	3	17487	0.000000	0.000000	0.086387	0.120711	0.650281	0.586072	0.636318	1.046934	0.646463	1.547393	0.906548	1.137167	0.348546	2.103091	1.581608	2.087429	2.900286	0.752528	1.439229	3.979872	0.436046	2.132204	1.548536	2.923335	0.400104	2.939889	5.281477	3.993685	5.288727	1.178633	2.899559	2.760890	0.000000	0.000000	2.860464	1.987977	6.281762	4.087020	3.052493	3.972358	2.013202	4.407500	2.303417	2.424916	0.716596	4.074533	2.588526	3.278165	4.357278	1.059149	1.874068	5.604559	0.574989	2.577608	1.746557	3.589901	0.443643	3.370512	6.125084	4.385883	5.817183	1.283942	3.104810	2.822959	0.000000	0.000000	2.911165	2.052044	6.357743	4.155178	3.078803	3.948177	2.027598	4.389400	2.282621	2.453805	0.743482	4.052272	2.560243	3.281036	4.399084	1.084255	1.935138	5.541526	0.572519	2.606613	1.787013	3.577213	0.426054	3.384503	6.119258	4.431965	5.870143	1.302847	3.108897	2.839097	0.000000	0.000000	2.934734	2.038891	6.396641	4.095435	3.025109	3.922781	2.016203	4.401961	2.246586	2.454502	0.739707	4.052677
region_avg	region_1	1	29332	0.000000	0.000000	0.000008	0.000061	0.000017	0.000077	0.000074	0.000000	0.000070	0.000081	0.000050	0.000055	0.000058	0.000054	0.000000	0.000074	0.000056	0.000074	0.000149	0.000081	0.000041	0.000024	0.000023	0.000054	0.000059	0.000054	0.000141	0.000074	0.000077	0.000085	0.000016	0.000016	0.000000	0.000000	0.000008	0.000051	0.000016	0.000069	0.000061	0.000000	0.000054	0.000065	0.000036	0.000047	0.000056	0.000044	0.000000	0.000057	0.000046	0.000065	0.000118	0.000069	0.000031	0.000022	0.000018	0.000041	0.000047	0.000045	0.000105	0.000058	0.000066	0.000060	0.000014	0.000012	0.000000	0.000000	0.000008	0.000047	0.000016	0.000067	0.000060	0.000000	0.000053	0.000065	0.000036	0.000047	0.000055	0.000044	0.000000	0.000057	0.000045	0.000065	0.000118	0.000068	0.000031	0.000022	0.000019	0.000041	0.000047	0.000045	0.000105	0.000058	0.000064	0.000060	0.000013	0.000012	0.000000	0.000000	0.000008	0.000047	0.000016	0.000067	0.000060	0.000000	0.000053	0.000064	0.000036	0.000046	0.000055	0.000043
region_avg	region_2	2	19521	0.000000	0.000000	0.000776	0.001066	0.003608	0.003216	0.006154	0.008402	0.012456	0.005210	0.024517	0.018209	0.012440	0.013974	0.015438	0.013007	0.009963	0.009771	0.022424	0.013525	0.022669	0.021447	0.018014	0.014627	0.018875	0.023856	0.023550	0.034749	0.014627	0.003431	0.010546	0.025182	0.000000	0.000000	0.021030	0.017226	0.027779	0.018891	0.025771	0.029841	0.039489	0.014378	0.059687	0.040516	0.027008	0.027052	0.029496	0.022229	0.016069	0.014772	0.033097	0.019871	0.031593	0.028275	0.023274	0.017553	0.022212	0.028661	0.027528	0.039750	0.016444	0.003787	0.011031	0.026887	0.000000	0.000000	0.021871	0.018235	0.027921	0.018996	0.026213	0.029427	0.038883	0.013956	0.060240	0.040924	0.026987	0.025530	0.029433	0.022393	0.016030	0.014873	0.033182	0.020040	0.031848	0.028656	0.023846	0.017541	0.022206	0.028513	0.027556	0.039537	0.016275	0.003801	0.010856	0.026512	0.000000	0.000000	0.021724	0.017822	0.027596	0.018951	0.025775	0.029585	0.038908	0.013884	0.059709	0.040572	0.026924	0.027145
region_avg	region_3	3	17487	0.000000	0.000000	0.000554	0.000774	0.004168	0.003757	0.004079	0.006711	0.004144	0.009919	0.005811	0.007290	0.002234	0.013481	0.010139	0.013381	0.018592	0.004824	0.009226	0.025512	0.002795	0.013668	0.009927	0.018739	0.002565	0.018845	0.033856	0.025601	0.033902	0.007555	0.018587	0.017698	0.000000	0.000000	0.018336	0.012743	0.040268	0.026199	0.019567	0.025464	0.012905	0.028253	0.014765	0.015544	0.004594	0.026119	0.016593	0.021014	0.027931	0.006789	0.012013	0.035927	0.003686	0.016523	0.011196	0.023012	0.002844	0.021606	0.039263	0.028115	0.037290	0.008230	0.019903	0.018096	0.000000	0.000000	0.018661	0.013154	0.040755	0.026636	0.019736	0.025309	0.012997	0.028137	0.014632	0.015730	0.004766	0.025976	0.016412	0.021032	0.028199	0.006950	0.012405	0.035523	0.003670	0.016709	0.011455	0.022931	0.002731	0.021696	0.039226	0.028410	0.037629	0.008352	0.019929	0.018199	0.000000	0.000000	0.018812	0.013070	0.041004	0.026253	0.019392	0.025146	0.012924	0.028218	0.014401	0.015734	0.004742	0.025979
region_std	region_1	1	29332	0.000000	0.000000	0.000084	0.000357	0.000132	0.000353	0.000365	0.000000	0.000358	0.000379	0.000322	0.000312	0.000285	0.000306	0.000000	0.000387	0.000315	0.000331	0.000516	0.000363	0.000282	0.000186	0.000189	0.000306	0.000323	0.000299	0.000530	0.000365	0.000347	0.000426	0.000132	0.000182	0.000000	0.000000	0.000087	0.000280	0.000126	0.000308	0.000300	0.000000	0.000271	0.000295	0.000232	0.000258	0.000271	0.000243	0.000000	0.000279	0.000250	0.000291	0.000400	0.000306	0.000201	0.000171	0.000149	0.000230	0.000260	0.000247	0.000377	0.000286	0.000293	0.000295	0.000112	0.000131	0.000000	0.000000	0.000090	0.000261	0.000130	0.000300	0.000291	0.000000	0.000269	0.000294	0.000229	0.000257	0.000268	0.000243	0.000000	0.000280	0.000248	0.000290	0.000399	0.000303	0.000202	0.000172	0.000155	0.000231	0.000256	0.000247	0.000375	0.000284	0.000287	0.000294	0.000100	0.000134	0.000000	0.000000	0.000091	0.000260	0.000125	0.000297	0.000292	0.000000	0.000268	0.000293	0.000227	0.000255	0.000267	0.000240
