stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
region_area	region_2	2	19521	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171
region_area	region_3	3	17487	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
region_sum	region_1	1	29332	3.056941	0.933414	0.684413	0.500446	0.350838	0.258522	0.202588	0.166203	0.142845	0.128766	0.119025	0.119096	0.120138	0.121404	0.122297	0.122879	0.124866	0.126143	0.128235	0.131125	0.132041	0.133090	0.134737	0.135644	0.136952	0.138337	0.139572	0.141596	0.142693	0.143955	0.144781	0.144767	0.144963	0.144760	0.144576	0.144658	0.144997	0.144581	0.145218	0.145153	0.144300	0.144610	0.144467	0.144164	0.144002	0.143937	0.143375	0.142597	0.143005	0.142608	0.142529	0.143107	0.142360	0.141911	0.141572	0.140835	0.140581	0.140130	0.139733	0.140544	0.139849	0.139957	0.139275	0.138448	0.137756	0.136945	0.136290	0.135570	0.135306	0.134594	0.135361	0.124939	0.121970	0.123221	0.123252	0.123349	0.123921	0.124163	0.124336	0.123896	0.124519	0.124321	0.125237	0.126577	0.126060	0.125626	0.126180	0.126105	0.125996	0.126239	0.126624	0.127422	0.127050	0.127483	0.127939	0.126997	0.127053	0.126349	0.125753	0.118260	0.099421	0.086807	0.079318	0.074790	0.071189	0.068499	0.066166	0.062444	0.060947	0.059828
region_sum	region_2	2	19521	4.559671	1.432512	1.306760	1.807937	3.153134	5.458722	7.308558	8.336686	8.588481	8.597919	8.382242	8.872646	8.784380	8.959305	9.370563	9.724060	9.985305	10.275915	10.562626	11.074045	11.405863	12.122137	12.746712	13.530431	14.241839	15.014467	15.807757	16.517971	17.541195	18.302748	19.003410	19.696957	20.504448	20.825983	21.271149	21.822098	22.187996	22.827465	23.369667	24.157547	25.009285	25.997217	26.572681	27.793850	28.676916	29.528400	30.344755	30.935907	31.422260	31.584364	31.749683	31.830408	31.752264	31.936832	32.052181	32.171772	32.190529	32.207710	32.169014	32.138340	32.293736	32.228741	32.009670	31.977329	31.956879	31.362537	30.888546	30.611309	30.188131	29.961657	29.785480	29.812590	30.061810	30.554293	30.694998	31.405043	31.875566	32.214714	32.639709	32.868580	32.798496	32.546482	32.314999	32.036472	31.576162	31.474005	31.394018	31.337341	31.197195	30.986536	30.821266	30.717718	30.798828	30.599577	30.437376	30.215363	30.121777	29.492388	29.087011	28.752056	28.336927	28.234552	28.102293	28.187752	28.431089	28.906181	29.147358	29.858984	30.260553	30.785618
region_sum	region_3	3	17487	6.200061	2.244913	1.813800	1.964911	2.766222	4.766731	6.781106	8.932940	10.460393	10.826010	11.166647	10.899243	11.059231	10.908861	11.261995	11.157971	11.396993	11.799105	12.185820	12.934605	13.930904	14.360267	15.389211	16.180624	17.270201	17.920565	19.010759	20.447491	21.583946	23.259594	24.523561	26.129087	27.358971	28.253344	28.991982	29.717691	30.240078	31.339573	32.253757	33.433060	34.645000	35.572121	36.656872	37.296810	38.106750	38.747700	39.559799	39.477329	39.849373	40.356033	40.420498	40.603039	41.112442	41.029129	41.307617	41.469398	41.545048	41.289989	41.404861	41.608448	41.622326	42.328796	42.630863	43.281025	43.498608	43.445751	43.055202	42.753609	42.228313	42.047577	41.899948	41.977654	42.119705	42.143307	42.522087	42.581768	42.642994	42.313335	42.302830	41.862759	41.633835	41.410431	40.993748	40.850414	40.932449	40.596786	40.673298	40.225529	40.154476	39.770592	39.675480	39.721233	39.617626	40.274269	40.648731	41.376644	41.636166	41.337036	40.722862	40.271736	39.700645	39.802044	39.610737	39.850941	40.034523	40.001431	40.381306	40.469593	40.681953	40.639217
region_avg	region_1	1	29332	0.024653	0.007528	0.005519	0.004036	0.002829	0.002085	0.001634	0.001340	0.001152	0.001038	0.000960	0.000960	0.000969	0.000979	0.000986	0.000991	0.001007	0.001017	0.001034	0.001057	0.001065	0.001073	0.001087	0.001094	0.001104	0.001116	0.001126	0.001142	0.001151	0.001161	0.001168	0.001167	0.001169	0.001167	0.001166	0.001167	0.001169	0.001166	0.001171	0.001171	0.001164	0.001166	0.001165	0.001163	0.001161	0.001161	0.001156	0.001150	0.001153	0.001150	0.001149	0.001154	0.001148	0.001144	0.001142	0.001136	0.001134	0.001130	0.001127	0.001133	0.001128	0.001129	0.001123	0.001117	0.001111	0.001104	0.001099	0.001093	0.001091	0.001085	0.001092	0.001008	0.000984	0.000994	0.000994	0.000995	0.000999	0.001001	0.001003	0.000999	0.001004	0.001003	0.001010	0.001021	0.001017	0.001013	0.001018	0.001017	0.001016	0.001018	0.001021	0.001028	0.001025	0.001028	0.001032	0.001024	0.001025	0.001019	0.001014	0.000954	0.000802	0.000700	0.000640	0.000603	0.000574	0.000552	0.000534	0.000504	0.000492	0.000482
region_avg	region_2	2	19521	0.026665	0.008377	0.007642	0.010573	0.018439	0.031922	0.042740	0.048753	0.050225	0.050280	0.049019	0.051887	0.051371	0.052394	0.054799	0.056866	0.058394	0.060093	0.061770	0.064760	0.066701	0.070890	0.074542	0.079125	0.083286	0.087804	0.092443	0.096596	0.102580	0.107034	0.111131	0.115187	0.119909	0.121789	0.124393	0.127615	0.129754	0.133494	0.136665	0.141272	0.146253	0.152031	0.155396	0.162537	0.167701	0.172681	0.177455	0.180912	0.183756	0.184704	0.185671	0.186143	0.185686	0.186765	0.187440	0.188139	0.188249	0.188349	0.188123	0.187944	0.188852	0.188472	0.187191	0.187002	0.186882	0.183407	0.180635	0.179014	0.176539	0.175214	0.174184	0.174343	0.175800	0.178680	0.179503	0.183655	0.186407	0.188390	0.190876	0.192214	0.191804	0.190330	0.188977	0.187348	0.184656	0.184059	0.183591	0.183259	0.182440	0.181208	0.180241	0.179636	0.180110	0.178945	0.177996	0.176698	0.176151	0.172470	0.170099	0.168141	0.165713	0.165114	0.164341	0.164841	0.166264	0.169042	0.170452	0.174614	0.176962	0.180033
region_avg	region_3	3	17487	0.039744	0.014390	0.011627	0.012596	0.017732	0.030556	0.043469	0.057262	0.067054	0.069398	0.071581	0.069867	0.070893	0.069929	0.072192	0.071525	0.073058	0.075635	0.078114	0.082914	0.089301	0.092053	0.098649	0.103722	0.110706	0.114875	0.121864	0.131074	0.138359	0.149100	0.157202	0.167494	0.175378	0.181111	0.185846	0.190498	0.193847	0.200895	0.206755	0.214314	0.222083	0.228026	0.234980	0.239082	0.244274	0.248383	0.253588	0.253060	0.255445	0.258693	0.259106	0.260276	0.263541	0.263007	0.264792	0.265829	0.266314	0.264679	0.265416	0.266721	0.266810	0.271338	0.273275	0.277442	0.278837	0.278498	0.275995	0.274062	0.270694	0.269536	0.268589	0.269088	0.269998	0.270149	0.272577	0.272960	0.273353	0.271239	0.271172	0.268351	0.266884	0.265451	0.262780	0.261862	0.262387	0.260236	0.260726	0.257856	0.257400	0.254940	0.254330	0.254623	0.253959	0.258168	0.260569	0.265235	0.266898	0.264981	0.261044	0.258152	0.254491	0.255141	0.253915	0.255455	0.256632	0.256419	0.258855	0.259420	0.260782	0.260508
region_std	region_1	1	29332	0.014776	0.016749	0.024152	0.027408	0.021733	0.016940	0.013337	0.010764	0.008986	0.007725	0.006812	0.006791	0.006771	0.006754	0.006738	0.006725	0.006713	0.006703	0.006694	0.006675	0.006647	0.006621	0.006626	0.006602	0.006580	0.006560	0.006541	0.006522	0.006506	0.006490	0.006476	0.006463	0.006451	0.006441	0.006431	0.006422	0.006413	0.006406	0.006399	0.006392	0.006387	0.006382	0.006378	0.006375	0.006372	0.006369	0.006368	0.006366	0.006365	0.006365	0.006364	0.006364	0.006365	0.006367	0.006398	0.006399	0.006401	0.006404	0.006406	0.006408	0.006412	0.006415	0.006419	0.006423	0.006428	0.006432	0.006437	0.006443	0.006448	0.006453	0.006440	0.005517	0.005381	0.005404	0.005426	0.005449	0.005471	0.005493	0.005515	0.005537	0.005558	0.005580	0.005600	0.005620	0.005641	0.005661	0.005710	0.005730	0.005749	0.005769	0.005787	0.005806	0.005825	0.005843	0.005861	0.005880	0.005898	0.005916	0.005934	0.005298	0.003611	0.002524	0.001818	0.001402	0.001150	0.000854	0.000569	0.000320	0.000141	0.000089
