stats_category	serial_id	region_id	region_area	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
region_area	region_1	1	29332	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
region_area	region_2	2	19521	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171	171
region_area	region_3	3	17487	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
region_sum	region_1	1	29332	0.009424	0.119192	0.136568	0.114458	0.089977	0.071222	0.058232	0.048314	0.038809	0.032201	0.026682	0.022634	0.020204	0.018683	0.017276	0.016236	0.015004	0.014030	0.013203	0.012269	0.011486	0.010862	0.010172	0.009741	0.009184	0.008597	0.008084	0.007674	0.007311	0.006854	0.006495	0.006281	0.005930	0.005735	0.005440	0.005249	0.004980	0.004773	0.004617	0.004426	0.004281	0.004120	0.004032	0.003851	0.003786	0.003664	0.003567	0.003450	0.003409	0.003328	0.003267	0.003170	0.003116	0.003086	0.003000	0.002947	0.002858	0.002867	0.002847	0.002763	0.002775	0.002715	0.002697	0.002642	0.002624	0.002597	0.002588	0.002522	0.002559	0.002539	0.002520	0.002512	0.002480	0.002448	0.002448	0.002405	0.002426	0.002420	0.002394	0.002416	0.002416	0.002361	0.002396	0.002409	0.002407	0.002339	0.002390	0.002365	0.002338	0.002338	0.002310	0.002339	0.002359	0.002332	0.002350	0.002329	0.002331	0.002331	0.002312	0.002265	0.002314	0.002327	0.002313	0.002305	0.002287	0.002295	0.002287	0.002343	0.002303	0.002288
region_sum	region_2	2	19521	0.164999	0.426145	0.352648	0.264854	0.224331	0.222412	0.244285	0.266996	0.280371	0.280989	0.284527	0.284332	0.275628	0.272076	0.271682	0.262535	0.271633	0.267558	0.266702	0.262053	0.260702	0.256943	0.255769	0.259009	0.256837	0.258558	0.268356	0.262086	0.263630	0.268582	0.268534	0.277503	0.283258	0.283033	0.284705	0.286738	0.289892	0.296494	0.295387	0.296024	0.294163	0.306418	0.311240	0.300701	0.318110	0.314261	0.324355	0.324436	0.325606	0.338086	0.340905	0.337982	0.336539	0.334978	0.333028	0.337657	0.324551	0.333077	0.337595	0.333819	0.334235	0.336908	0.329665	0.337723	0.341459	0.338745	0.333592	0.335638	0.342813	0.335572	0.332624	0.340440	0.329889	0.331143	0.336645	0.335815	0.344591	0.345394	0.341864	0.357913	0.345921	0.352051	0.350715	0.343650	0.338270	0.338828	0.339003	0.336472	0.332211	0.328936	0.333368	0.331762	0.339820	0.329433	0.330799	0.330599	0.329985	0.328790	0.330995	0.333551	0.340047	0.334839	0.333675	0.329996	0.325914	0.329341	0.337246	0.336870	0.336569	0.332810
region_sum	region_3	3	17487	2.343162	2.481280	2.014705	1.655932	1.440249	1.395488	1.503522	1.668611	1.897959	2.078300	2.177916	2.212052	2.225055	2.206277	2.201991	2.162465	2.112593	2.078293	2.055136	2.033117	2.029522	2.018672	2.017119	2.025411	2.032896	2.042799	2.028199	2.062283	2.072861	2.073697	2.096011	2.126877	2.152363	2.201163	2.236630	2.243817	2.244303	2.243971	2.260262	2.246266	2.257387	2.309686	2.340438	2.340250	2.379646	2.413676	2.452716	2.442249	2.457489	2.463505	2.471056	2.458808	2.467803	2.505296	2.499857	2.538051	2.535506	2.542406	2.545934	2.546385	2.540155	2.557545	2.565922	2.585120	2.603857	2.642183	2.663245	2.681272	2.672515	2.640940	2.618072	2.601778	2.587256	2.600994	2.608918	2.611857	2.617664	2.618778	2.652519	2.653932	2.622926	2.600692	2.593219	2.582651	2.568492	2.585720	2.586461	2.574801	2.605887	2.591898	2.581231	2.584680	2.555558	2.555564	2.576930	2.594279	2.641139	2.647979	2.633777	2.629398	2.627691	2.616709	2.594886	2.578492	2.561972	2.572279	2.576132	2.589599	2.593659	2.602788
region_avg	region_1	1	29332	0.000076	0.000961	0.001101	0.000923	0.000726	0.000574	0.000470	0.000390	0.000313	0.000260	0.000215	0.000183	0.000163	0.000151	0.000139	0.000131	0.000121	0.000113	0.000106	0.000099	0.000093	0.000088	0.000082	0.000079	0.000074	0.000069	0.000065	0.000062	0.000059	0.000055	0.000052	0.000051	0.000048	0.000046	0.000044	0.000042	0.000040	0.000038	0.000037	0.000036	0.000035	0.000033	0.000033	0.000031	0.000031	0.000030	0.000029	0.000028	0.000027	0.000027	0.000026	0.000026	0.000025	0.000025	0.000024	0.000024	0.000023	0.000023	0.000023	0.000022	0.000022	0.000022	0.000022	0.000021	0.000021	0.000021	0.000021	0.000020	0.000021	0.000020	0.000020	0.000020	0.000020	0.000020	0.000020	0.000019	0.000020	0.000020	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000019	0.000018	0.000019	0.000019	0.000019	0.000019	0.000018	0.000019	0.000018	0.000019	0.000019	0.000018
region_avg	region_2	2	19521	0.000965	0.002492	0.002062	0.001549	0.001312	0.001301	0.001429	0.001561	0.001640	0.001643	0.001664	0.001663	0.001612	0.001591	0.001589	0.001535	0.001588	0.001565	0.001560	0.001532	0.001525	0.001503	0.001496	0.001515	0.001502	0.001512	0.001569	0.001533	0.001542	0.001571	0.001570	0.001623	0.001656	0.001655	0.001665	0.001677	0.001695	0.001734	0.001727	0.001731	0.001720	0.001792	0.001820	0.001758	0.001860	0.001838	0.001897	0.001897	0.001904	0.001977	0.001994	0.001977	0.001968	0.001959	0.001948	0.001975	0.001898	0.001948	0.001974	0.001952	0.001955	0.001970	0.001928	0.001975	0.001997	0.001981	0.001951	0.001963	0.002005	0.001962	0.001945	0.001991	0.001929	0.001937	0.001969	0.001964	0.002015	0.002020	0.001999	0.002093	0.002023	0.002059	0.002051	0.002010	0.001978	0.001981	0.001982	0.001968	0.001943	0.001924	0.001950	0.001940	0.001987	0.001927	0.001934	0.001933	0.001930	0.001923	0.001936	0.001951	0.001989	0.001958	0.001951	0.001930	0.001906	0.001926	0.001972	0.001970	0.001968	0.001946
region_avg	region_3	3	17487	0.015020	0.015906	0.012915	0.010615	0.009232	0.008945	0.009638	0.010696	0.012166	0.013322	0.013961	0.014180	0.014263	0.014143	0.014115	0.013862	0.013542	0.013322	0.013174	0.013033	0.013010	0.012940	0.012930	0.012983	0.013031	0.013095	0.013001	0.013220	0.013288	0.013293	0.013436	0.013634	0.013797	0.014110	0.014337	0.014383	0.014387	0.014384	0.014489	0.014399	0.014470	0.014806	0.015003	0.015002	0.015254	0.015472	0.015723	0.015655	0.015753	0.015792	0.015840	0.015762	0.015819	0.016060	0.016025	0.016270	0.016253	0.016297	0.016320	0.016323	0.016283	0.016395	0.016448	0.016571	0.016691	0.016937	0.017072	0.017188	0.017132	0.016929	0.016783	0.016678	0.016585	0.016673	0.016724	0.016743	0.016780	0.016787	0.017003	0.017012	0.016814	0.016671	0.016623	0.016555	0.016465	0.016575	0.016580	0.016505	0.016704	0.016615	0.016546	0.016568	0.016382	0.016382	0.016519	0.016630	0.016930	0.016974	0.016883	0.016855	0.016844	0.016774	0.016634	0.016529	0.016423	0.016489	0.016514	0.016600	0.016626	0.016685
region_std	region_1	1	29332	0.000081	0.000638	0.000543	0.000452	0.000345	0.000269	0.000227	0.000185	0.000149	0.000125	0.000104	0.000086	0.000076	0.000072	0.000065	0.000062	0.000059	0.000054	0.000051	0.000048	0.000044	0.000042	0.000039	0.000038	0.000036	0.000033	0.000032	0.000030	0.000030	0.000027	0.000025	0.000025	0.000023	0.000022	0.000021	0.000020	0.000020	0.000018	0.000018	0.000017	0.000017	0.000016	0.000016	0.000014	0.000014	0.000014	0.000013	0.000013	0.000013	0.000012	0.000012	0.000012	0.000012	0.000011	0.000011	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000009	0.000009	0.000009	0.000009	0.000009	0.000009	0.000009	0.000009	0.000008	0.000009	0.000009	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	0.000007	0.000008	0.000007	0.000008	0.000008	0.000008	0.000008	0.000007	0.000007	0.000008	0.000008	0.000007	0.000007
