"StratumID","SecondaryStratumID","DistributionTypeID","ExternalVariableTypeID","ExternalVariableMin","ExternalVariableMax","Value"
"Dry","Hawai'i","Historical Rate: Fire Forest","Historical Year: Fire",1,1,0.00428979980934223
"Dry","Hawai'i","Historical Rate: Fire Grassland","Historical Year: Fire",1,1,0.00525849662349164
"Dry","Hawai'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1,1,0.0337826453243471
"Dry","Hawai'i","Historical Rate: Fire Plantation","Historical Year: Fire",1,1,0
"Dry","Hawai'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1,1,0
"Dry","Hawai'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1,1,0
"Mesic","Hawai'i","Historical Rate: Fire Forest","Historical Year: Fire",1,1,0
"Mesic","Hawai'i","Historical Rate: Fire Grassland","Historical Year: Fire",1,1,0
"Mesic","Hawai'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1,1,0
"Mesic","Hawai'i","Historical Rate: Fire Plantation","Historical Year: Fire",1,1,0
"Mesic","Hawai'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1,1,0
"Mesic","Hawai'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1,1,0
"Wet","Hawai'i","Historical Rate: Fire Forest","Historical Year: Fire",1,1,0
"Wet","Hawai'i","Historical Rate: Fire Grassland","Historical Year: Fire",1,1,0
"Wet","Hawai'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1,1,0
"Wet","Hawai'i","Historical Rate: Fire Plantation","Historical Year: Fire",1,1,0
"Wet","Hawai'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1,1,0
"Wet","Hawai'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1,1,0
"Dry","Kaho'olawe","Historical Rate: Fire Forest","Historical Year: Fire",1,1,0
"Dry","Kaho'olawe","Historical Rate: Fire Grassland","Historical Year: Fire",1,1,0
"Dry","Kaho'olawe","Historical Rate: Fire Shrubland","Historical Year: Fire",1,1,0
"Dry","Kaua'i","Historical Rate: Fire Forest","Historical Year: Fire",1,1,0
"Dry","Kaua'i","Historical Rate: Fire Grassland","Historical Year: Fire",1,1,0
"Dry","Kaua'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1,1,0
"Dry","Kaua'i","Historical Rate: Fire Plantation","Historical Year: Fire",1,1,0
"Dry","Kaua'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1,1,0
"Dry","Kaua'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1,1,0
"Mesic","Kaua'i","Historical Rate: Fire Forest","Historical Year: Fire",1,1,0
"Mesic","Kaua'i","Historical Rate: Fire Grassland","Historical Year: Fire",1,1,0
"Mesic","Kaua'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1,1,0
"Mesic","Kaua'i","Historical Rate: Fire Plantation","Historical Year: Fire",1,1,0
"Mesic","Kaua'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1,1,0
"Mesic","Kaua'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1,1,0
"Wet","Kaua'i","Historical Rate: Fire Forest","Historical Year: Fire",1,1,0
"Wet","Kaua'i","Historical Rate: Fire Grassland","Historical Year: Fire",1,1,0
"Wet","Kaua'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1,1,0
"Wet","Kaua'i","Historical Rate: Fire Plantation","Historical Year: Fire",1,1,0
