"StratumID","SecondaryStratumID","DistributionTypeID","ExternalVariableTypeID","ExternalVariableMin","ExternalVariableMax","Value"
"Dry","Hawai'i","Historical Rate: Fire Forest","Historical Year: Fire",1,1,0
"Dry","Hawai'i","Historical Rate: Fire Grassland","Historical Year: Fire",1,1,0.0111812243994243
"Dry","Hawai'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1,1,0.00050547598989048
"Dry","Hawai'i","Historical Rate: Fire Plantation","Historical Year: Fire",1,1,0
"Dry","Hawai'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1,1,0
"Dry","Hawai'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1,1,0
"Mesic","Hawai'i","Historical Rate: Fire Forest","Historical Year: Fire",1,1,0.000582029829028738
"Mesic","Hawai'i","Historical Rate: Fire Grassland","Historical Year: Fire",1,1,0.00416775201875488
"Mesic","Hawai'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1,1,0.00998959417273673
"Mesic","Hawai'i","Historical Rate: Fire Plantation","Historical Year: Fire",1,1,0
"Mesic","Hawai'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1,1,0.00101317122593718
"Mesic","Hawai'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1,1,0
"Wet","Hawai'i","Historical Rate: Fire Forest","Historical Year: Fire",1,1,0
"Wet","Hawai'i","Historical Rate: Fire Grassland","Historical Year: Fire",1,1,0
"Wet","Hawai'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1,1,0
"Wet","Hawai'i","Historical Rate: Fire Plantation","Historical Year: Fire",1,1,0
"Wet","Hawai'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1,1,0
"Wet","Hawai'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1,1,0
"Dry","Kaho'olawe","Historical Rate: Fire Forest","Historical Year: Fire",1,1,0
"Dry","Kaho'olawe","Historical Rate: Fire Grassland","Historical Year: Fire",1,1,0
"Dry","Kaho'olawe","Historical Rate: Fire Shrubland","Historical Year: Fire",1,1,0
"Dry","Kaua'i","Historical Rate: Fire Forest","Historical Year: Fire",1,1,0
"Dry","Kaua'i","Historical Rate: Fire Grassland","Historical Year: Fire",1,1,0
"Dry","Kaua'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1,1,0
"Dry","Kaua'i","Historical Rate: Fire Plantation","Historical Year: Fire",1,1,0
