"Timestep","StratumID","SecondaryStratumID","StateClassID","FlowGroupID","Value","DistributionType","DistributionFrequencyID","DistributionSD"
2011,"Dry","Hawai'i","Agriculture:All","Growth [Type]",1.00268215,"Normal","Iteration and Timestep",0.025
2012,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.999448896494533,"Normal","Iteration and Timestep",0.025
2013,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.996201583718648,"Normal","Iteration and Timestep",0.025
2014,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.992946428798023,"Normal","Iteration and Timestep",0.025
2015,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.989684783908749,"Normal","Iteration and Timestep",0.025
2016,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.986409877261167,"Normal","Iteration and Timestep",0.025
2017,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.983112510594299,"Normal","Iteration and Timestep",0.025
2018,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.979789211697077,"Normal","Iteration and Timestep",0.025
2019,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.976440963530382,"Normal","Iteration and Timestep",0.025
2020,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.973069478288749,"Normal","Iteration and Timestep",0.025
2021,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.969667729217753,"Normal","Iteration and Timestep",0.025
2022,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.966246954908063,"Normal","Iteration and Timestep",0.025
2023,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.962833180101667,"Normal","Iteration and Timestep",0.025
2024,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.959434528039366,"Normal","Iteration and Timestep",0.025
2025,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.956051406521411,"Normal","Iteration and Timestep",0.025
2026,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.952681006207239,"Normal","Iteration and Timestep",0.025
2027,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.949313639009157,"Normal","Iteration and Timestep",0.025
