"Iteration","Timestep","FromStratumID","FromStateClassID","FromAgeMin","FromStockTypeID","ToStratumID","ToStateClassID","ToAgeMin","ToStockTypeID","TransitionGroupID","StateAttributeTypeID","FlowTypeID","Multiplier"
"","","","","","Deadwood","","","","Atmosphere","AGRICULTURAL EXPANSION: Forest->Ag [Type]","","Emission (deadwood)",1
"","","","","","Litter","","","","Atmosphere","AGRICULTURAL EXPANSION: Forest->Ag [Type]","","Emission (litter)",1
"","","","","","Living Biomass","","","","Atmosphere","AGRICULTURAL EXPANSION: Forest->Ag [Type]","","Emission (biomass)",0.45
"","","","","","Soil","","","","Atmosphere","AGRICULTURAL EXPANSION: Forest->Ag [Type]","","Emission (soil)",0.13
"","","","","","Deadwood","","","","Atmosphere","AGRICULTURAL EXPANSION: Grassland->Ag [Type]","","Emission (deadwood)",1
"","","","","","Litter","","","","Atmosphere","AGRICULTURAL EXPANSION: Grassland->Ag [Type]","","Emission (litter)",1
"","","","","","Living Biomass","","","","Atmosphere","AGRICULTURAL EXPANSION: Grassland->Ag [Type]","","Emission (biomass)",1
"","","","","","Soil","","","","Atmosphere","AGRICULTURAL EXPANSION: Grassland->Ag [Type]","","Emission (soil)",0.1
"","","","","","Deadwood","","","","Atmosphere","AGRICULTURAL EXPANSION: Shrubland->Ag [Type]","","Emission (deadwood)",1
"","","","","","Litter","","","","Atmosphere","AGRICULTURAL EXPANSION: Shrubland->Ag [Type]","","Emission (litter)",1
"","","","","","Living Biomass","","","","Atmosphere","AGRICULTURAL EXPANSION: Shrubland->Ag [Type]","","Emission (biomass)",1
"","","","","","Soil","","","","Atmosphere","AGRICULTURAL EXPANSION: Shrubland->Ag [Type]","","Emission (soil)",0.1
"","","","","","Living Biomass","","","","Harvest Products","AGRICULTURAL EXPANSION: Forest->Ag [Type]","","Harvest (Timber)",0.55
"","","Dry","","","Deadwood","","","","Atmosphere","FIRE: Forest High Severity [Type]","","Emission (deadwood)",0.2133
"","","Dry","","","Litter","","","","Atmosphere","FIRE: Forest High Severity [Type]","","Emission (litter)",0.7804
"","","Mesic","","","Deadwood","","","","Atmosphere","FIRE: Forest High Severity [Type]","","Emission (deadwood)",0.5417
"","","Mesic","","","Litter","","","","Atmosphere","FIRE: Forest High Severity [Type]","","Emission (litter)",0.9376
"","","Wet","","","Deadwood","","","","Atmosphere","FIRE: Forest High Severity [Type]","","Emission (deadwood)",0.4135
"","","Wet","","","Litter","","","","Atmosphere","FIRE: Forest High Severity [Type]","","Emission (litter)",1
"","","","","","Living Biomass","","","","Atmosphere","FIRE: Forest High Severity [Type]","","Emission (biomass)",0.28
"","","","","","Living Biomass","","","","Standing Deadwood","FIRE: Forest High Severity [Type]","","Mortality",0.72
"","","Dry","","","Deadwood","","","","Atmosphere","FIRE: Forest Low Severity [Type]","","Emission (deadwood)",0.1748
"","","Dry","","","Litter","","","","Atmosphere","FIRE: Forest Low Severity [Type]","","Emission (litter)",0.5974
"","","Mesic","","","Deadwood","","","","Atmosphere","FIRE: Forest Low Severity [Type]","","Emission (deadwood)",0.4655
"","","Mesic","","","Litter","","","","Atmosphere","FIRE: Forest Low Severity [Type]","","Emission (litter)",0.8829
"","","Wet","","","Deadwood","","","","Atmosphere","FIRE: Forest Low Severity [Type]","","Emission (deadwood)",0.3518
"","","Wet","","","Litter","","","","Atmosphere","FIRE: Forest Low Severity [Type]","","Emission (litter)",1
"","","","","","Living Biomass","","","","Atmosphere","FIRE: Forest Low Severity [Type]","","Emission (biomass)",0.056
"","","","","","Living Biomass","","","","Standing Deadwood","FIRE: Forest Low Severity [Type]","","Mortality",0.194
"","","Dry","","","Deadwood","","","","Atmosphere","FIRE: Forest Medium Severity [Type]","","Emission (deadwood)",0.1934
"","","Dry","","","Litter","","","","Atmosphere","FIRE: Forest Medium Severity [Type]","","Emission (litter)",0.6983
"","","Mesic","","","Deadwood","","","","Atmosphere","FIRE: Forest Medium Severity [Type]","","Emission (deadwood)",0.5136
"","","Mesic","","","Litter","","","","Atmosphere","FIRE: Forest Medium Severity [Type]","","Emission (litter)",0.9102
"","","Wet","","","Deadwood","","","","Atmosphere","FIRE: Forest Medium Severity [Type]","","Emission (deadwood)",0.3884
"","","Wet","","","Litter","","","","Atmosphere","FIRE: Forest Medium Severity [Type]","","Emission (litter)",1
"","","","","","Living Biomass","","","","Atmosphere","FIRE: Forest Medium Severity [Type]","","Emission (biomass)",0.168
"","","","","","Living Biomass","","","","Standing Deadwood","FIRE: Forest Medium Severity [Type]","","Mortality",0.332
"","","","","","Litter","","","","Atmosphere","FIRE: Grassland High Severity [Type]","","Emission (litter)",0.9865
"","","","","","Living Biomass","","","","Atmosphere","FIRE: Grassland High Severity [Type]","","Emission (biomass)",0.4897
"","","","","","Litter","","","","Atmosphere","FIRE: Grassland Low Severity [Type]","","Emission (litter)",0.9865
"","","","","","Living Biomass","","","","Atmosphere","FIRE: Grassland Low Severity [Type]","","Emission (biomass)",0.4897
"","","","","","Litter","","","","Atmosphere","FIRE: Grassland Medium Severity [Type]","","Emission (litter)",0.9865
"","","","","","Living Biomass","","","","Atmosphere","FIRE: Grassland Medium Severity [Type]","","Emission (biomass)",0.4897
"","","Dry","","","Deadwood","","","","Atmosphere","FIRE: Plantation High Severity [Type]","","Emission (deadwood)",0.2133
"","","Dry","","","Litter","","","","Atmosphere","FIRE: Plantation High Severity [Type]","","Emission (litter)",0.7804
"","","Mesic","","","Deadwood","","","","Atmosphere","FIRE: Plantation High Severity [Type]","","Emission (deadwood)",0.5417
"","","Mesic","","","Litter","","","","Atmosphere","FIRE: Plantation High Severity [Type]","","Emission (litter)",0.9376
"","","Wet","","","Deadwood","","","","Atmosphere","FIRE: Plantation High Severity [Type]","","Emission (deadwood)",0.4135
"","","Wet","","","Litter","","","","Atmosphere","FIRE: Plantation High Severity [Type]","","Emission (litter)",1
"","","","","","Living Biomass","","","","Atmosphere","FIRE: Plantation High Severity [Type]","","Emission (biomass)",0.28
"","","","","","Living Biomass","","","","Standing Deadwood","FIRE: Plantation High Severity [Type]","","Mortality",0.72
"","","Dry","","","Deadwood","","","","Atmosphere","FIRE: Plantation Low Severity [Type]","","Emission (deadwood)",0.1748
"","","Dry","","","Litter","","","","Atmosphere","FIRE: Plantation Low Severity [Type]","","Emission (litter)",0.5974
"","","Mesic","","","Deadwood","","","","Atmosphere","FIRE: Plantation Low Severity [Type]","","Emission (deadwood)",0.4655
"","","Mesic","","","Litter","","","","Atmosphere","FIRE: Plantation Low Severity [Type]","","Emission (litter)",0.8829
"","","Wet","","","Deadwood","","","","Atmosphere","FIRE: Plantation Low Severity [Type]","","Emission (deadwood)",0.3518
"","","Wet","","","Litter","","","","Atmosphere","FIRE: Plantation Low Severity [Type]","","Emission (litter)",1
"","","","","","Living Biomass","","","","Atmosphere","FIRE: Plantation Low Severity [Type]","","Emission (biomass)",0.056
"","","","","","Living Biomass","","","","Standing Deadwood","FIRE: Plantation Low Severity [Type]","","Mortality",0.194
"","","Dry","","","Deadwood","","","","Atmosphere","FIRE: Plantation Medium Severity [Type]","","Emission (deadwood)",0.1934
"","","Dry","","","Litter","","","","Atmosphere","FIRE: Plantation Medium Severity [Type]","","Emission (litter)",0.6983
"","","Mesic","","","Deadwood","","","","Atmosphere","FIRE: Plantation Medium Severity [Type]","","Emission (deadwood)",0.5136
"","","Mesic","","","Litter","","","","Atmosphere","FIRE: Plantation Medium Severity [Type]","","Emission (litter)",0.9102
"","","Wet","","","Deadwood","","","","Atmosphere","FIRE: Plantation Medium Severity [Type]","","Emission (deadwood)",0.3884
"","","Wet","","","Litter","","","","Atmosphere","FIRE: Plantation Medium Severity [Type]","","Emission (litter)",1
"","","","","","Living Biomass","","","","Atmosphere","FIRE: Plantation Medium Severity [Type]","","Emission (biomass)",0.168
"","","","","","Living Biomass","","","","Standing Deadwood","FIRE: Plantation Medium Severity [Type]","","Mortality",0.332
"","","Dry","","","Deadwood","","","","Atmosphere","FIRE: Shrubland High Severity [Type]","","Emission (deadwood)",0.3301
"","","Dry","","","Litter","","","","Atmosphere","FIRE: Shrubland High Severity [Type]","","Emission (litter)",0.7975
"","","Mesic","","","Deadwood","","","","Atmosphere","FIRE: Shrubland High Severity [Type]","","Emission (deadwood)",0.19
"","","Mesic","","","Litter","","","","Atmosphere","FIRE: Shrubland High Severity [Type]","","Emission (litter)",0.9955
"","","Wet","","","Deadwood","","","","Atmosphere","FIRE: Shrubland High Severity [Type]","","Emission (deadwood)",0.19
"","","Wet","","","Litter","","","","Atmosphere","FIRE: Shrubland High Severity [Type]","","Emission (litter)",0.9955
"","","","","","Living Biomass","","","","Atmosphere","FIRE: Shrubland High Severity [Type]","","Emission (biomass)",0.2965
