"Iteration","Timestep","StratumIDSource","StateClassIDSource","StratumIDDest","StateClassIDDest","SecondaryStratumID","TertiaryStratumID","TransitionTypeID","Probability","Proportion","AgeMin","AgeMax","AgeRelative","AgeReset","TSTMin","TSTMax","TSTRelative"
"","","Dry","Agriculture:All","","Developed:All","Hawai'i","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Dry","Agriculture:All","","Developed:All","Kaua'i","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Dry","Agriculture:All","","Developed:All","Lana'i","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Dry","Agriculture:All","","Developed:All","Maui","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Dry","Agriculture:All","","Developed:All","Moloka'i","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Dry","Agriculture:All","","Developed:All","O'ahu","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Mesic","Agriculture:All","","Developed:All","Hawai'i","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Mesic","Agriculture:All","","Developed:All","Kaua'i","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Mesic","Agriculture:All","","Developed:All","Lana'i","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Mesic","Agriculture:All","","Developed:All","Maui","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Mesic","Agriculture:All","","Developed:All","Moloka'i","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Mesic","Agriculture:All","","Developed:All","O'ahu","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Wet","Agriculture:All","","Developed:All","Hawai'i","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Wet","Agriculture:All","","Developed:All","Kaua'i","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Wet","Agriculture:All","","Developed:All","Lana'i","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Wet","Agriculture:All","","Developed:All","Maui","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Wet","Agriculture:All","","Developed:All","Moloka'i","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Wet","Agriculture:All","","Developed:All","O'ahu","","URBANIZATION: Agriculture->Developed",1,,,,,,,,
"","","Dry","Barren:All","","Developed:All","Hawai'i","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Dry","Barren:All","","Developed:All","Kaua'i","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Dry","Barren:All","","Developed:All","Lana'i","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Dry","Barren:All","","Developed:All","Maui","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Dry","Barren:All","","Developed:All","Moloka'i","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Dry","Barren:All","","Developed:All","O'ahu","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Mesic","Barren:All","","Developed:All","Hawai'i","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Mesic","Barren:All","","Developed:All","Kaua'i","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Mesic","Barren:All","","Developed:All","Lana'i","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Mesic","Barren:All","","Developed:All","Maui","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Mesic","Barren:All","","Developed:All","Moloka'i","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Mesic","Barren:All","","Developed:All","O'ahu","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Wet","Barren:All","","Developed:All","Hawai'i","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Wet","Barren:All","","Developed:All","Kaua'i","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Wet","Barren:All","","Developed:All","Lana'i","","URBANIZATION: Barren->Developed",1,,,,,,,,
"","","Wet","Barren:All","","Developed:All","Maui","","URBANIZATION: Barren->Developed",1,,,,,,,,
