"FromStratumID","FromStateClassID","FromStockTypeID","ToStockTypeID","StateAttributeTypeID","FlowTypeID","Multiplier"
"Dry","Agriculture:All","Atmosphere","Living Biomass","NPP","Growth",1
"Dry","Agriculture:All","Soil","Atmosphere","NPP","Emission (soil)",0.213560187433142
"Dry","Agriculture:All","Soil","Aquatic","NPP","Leaching",4.76615322446255e-05
"Dry","Agriculture:All","Litter","Soil","","Litter Decay",0.428419012290824
"Dry","Agriculture:All","Litter","Atmosphere","","Emission (litter)",0.428757968679156
"Dry","Agriculture:All","Living Biomass","Litter","","Litterfall",0.411826926818864
"Dry","Agriculture:All","Living Biomass","Ag Products","","Harvest (Grain)",0.33783591257513
"Dry","Agriculture:All","Living Biomass","Ag Products","","Harvest (Straw)",0.252584631506902
"Dry","Forest:All","Atmosphere","Living Biomass","NPP","Growth",1
"Dry","Forest:All","Living Biomass","Litter","","Litterfall",0.0567318222301586
"Dry","Forest:All","Soil","Atmosphere","NPP","Emission (soil)",0.499256229461959
"Dry","Forest:All","Soil","Aquatic","NPP","Leaching",0.000160918294908671
"Dry","Forest:All","Living Biomass","Standing Deadwood","","Mortality",0.0533092733423515
"Dry","Forest:All","Standing Deadwood","Deadwood","","Deadfall",0.193589706895157
"Dry","Forest:All","Deadwood","Litter","","Deadwood Decay",0.0855270975795552
"Dry","Forest:All","Litter","Soil","","Litter Decay",0.342744051210567
"Dry","Forest:All","Litter","Atmosphere","","Emission (litter)",0.279565704842025
"Dry","Grassland:All","Atmosphere","Living Biomass","NPP","Growth",1
"Dry","Grassland:All","Living Biomass","Litter","","Litterfall",0.488550790152046
"Dry","Grassland:All","Soil","Atmosphere","NPP","Emission (soil)",0.517916481137485
"Dry","Grassland:All","Soil","Aquatic","NPP","Leaching",0.000850674074535416
"Dry","Grassland:All","Litter","Soil","","Litter Decay",0.421367808047895
"Dry","Grassland:All","Litter","Atmosphere","","Emission (litter)",0.404833302164668
"Dry","Plantation:All","Atmosphere","Living Biomass","NPP","Growth",1
"Dry","Plantation:All","Living Biomass","Litter","","Litterfall",0.0567318222301586
"Dry","Plantation:All","Soil","Atmosphere","NPP","Emission (soil)",0.499256229461959
"Dry","Plantation:All","Soil","Aquatic","NPP","Leaching",0.000160918294908671
"Dry","Plantation:All","Living Biomass","Standing Deadwood","","Mortality",0.0533092733423515
"Dry","Plantation:All","Standing Deadwood","Deadwood","","Deadfall",0.193589706895157
"Dry","Plantation:All","Deadwood","Litter","","Deadwood Decay",0.0855270975795552
"Dry","Plantation:All","Litter","Soil","","Litter Decay",0.342744051210567
"Dry","Plantation:All","Litter","Atmosphere","","Emission (litter)",0.279565704842025
"Dry","Shrubland:All","Atmosphere","Living Biomass","NPP","Growth",1
"Dry","Shrubland:All","Living Biomass","Litter","","Litterfall",0.119403350653425
"Dry","Shrubland:All","Soil","Atmosphere","NPP","Emission (soil)",0.495189378603182
"Dry","Shrubland:All","Soil","Aquatic","NPP","Leaching",0.00144159659227827
"Dry","Shrubland:All","Living Biomass","Standing Deadwood","","Mortality",0.0475196059257338
"Dry","Shrubland:All","Standing Deadwood","Deadwood","","Deadfall",0.193589751893033
"Dry","Shrubland:All","Deadwood","Litter","","Deadwood Decay",0.0852055904051159
"Dry","Shrubland:All","Litter","Soil","","Litter Decay",0.351351545871473
"Dry","Shrubland:All","Litter","Atmosphere","","Emission (litter)",0.30652275610519
"Dry","WoodyCrop:All","Atmosphere","Living Biomass","NPP","Growth",1
"Dry","WoodyCrop:All","Atmosphere","Living Biomass","NPP","Growth",1
"Dry","WoodyCrop:All","Living Biomass","Litter","","Litterfall",0.0488563365614698
"Dry","WoodyCrop:All","Soil","Atmosphere","NPP","Emission (soil)",0.232268557821482
