"StratumID","StateClassID","StateAttributeTypeID","AgeMin","AgeMax","Value"
"","Agriculture:All","Agriculture",,,1
"","Barren:All","Barren",,,1
"","Developed:All","Developed",,,1
"","Forest:All","Forest",,,1
"","Grassland:All","Grassland",,,1
"","Plantation:All","Plantation",,,1
"","Shrubland:All","Shrubland",,,1
"","WoodyCrop:All","WoodyCrop",,,1
"Dry","Agriculture:All","Initial Conditions: Litter",,,0.0230690272727273
"Dry","Agriculture:All","Initial Conditions: Living Biomass",,,0.157134872727273
"Dry","Agriculture:All","Initial Conditions: Soil",,,10.1023640181818
"Dry","Agriculture:All","NPP",,,0.337288018181818
"Dry","Forest:All","Initial Conditions: Deadwood",1,1,0.000989
"Dry","Forest:All","Initial Conditions: Deadwood",2,2,0.001252
"Dry","Forest:All","Initial Conditions: Deadwood",3,3,0.002047
"Dry","Forest:All","Initial Conditions: Deadwood",4,4,0.003656
"Dry","Forest:All","Initial Conditions: Deadwood",5,5,0.006382
"Dry","Forest:All","Initial Conditions: Deadwood",6,6,0.010537
"Dry","Forest:All","Initial Conditions: Deadwood",7,7,0.016429
"Dry","Forest:All","Initial Conditions: Deadwood",8,8,0.024354
"Dry","Forest:All","Initial Conditions: Deadwood",9,9,0.034588
"Dry","Forest:All","Initial Conditions: Deadwood",10,10,0.047375
"Dry","Forest:All","Initial Conditions: Deadwood",11,11,0.062926
"Dry","Forest:All","Initial Conditions: Deadwood",12,12,0.081406
"Dry","Forest:All","Initial Conditions: Deadwood",13,13,0.102937
"Dry","Forest:All","Initial Conditions: Deadwood",14,14,0.127588
"Dry","Forest:All","Initial Conditions: Deadwood",15,15,0.155382
"Dry","Forest:All","Initial Conditions: Deadwood",16,16,0.186291
"Dry","Forest:All","Initial Conditions: Deadwood",17,17,0.220241
"Dry","Forest:All","Initial Conditions: Deadwood",18,18,0.257109
"Dry","Forest:All","Initial Conditions: Deadwood",19,19,0.296731
"Dry","Forest:All","Initial Conditions: Deadwood",20,20,0.338904
"Dry","Forest:All","Initial Conditions: Deadwood",21,21,0.383386
"Dry","Forest:All","Initial Conditions: Deadwood",22,22,0.429914
"Dry","Forest:All","Initial Conditions: Deadwood",23,23,0.478193
"Dry","Forest:All","Initial Conditions: Deadwood",24,24,0.527921
"Dry","Forest:All","Initial Conditions: Deadwood",25,25,0.578771
"Dry","Forest:All","Initial Conditions: Deadwood",26,26,0.630417
"Dry","Forest:All","Initial Conditions: Deadwood",27,27,0.682527
"Dry","Forest:All","Initial Conditions: Deadwood",28,28,0.73478
"Dry","Forest:All","Initial Conditions: Deadwood",29,29,0.786858
"Dry","Forest:All","Initial Conditions: Deadwood",30,30,0.838463
"Dry","Forest:All","Initial Conditions: Deadwood",31,31,0.889307
"Dry","Forest:All","Initial Conditions: Deadwood",32,32,0.939134
"Dry","Forest:All","Initial Conditions: Deadwood",33,33,0.987701
"Dry","Forest:All","Initial Conditions: Deadwood",34,34,1.034798
"Dry","Forest:All","Initial Conditions: Deadwood",35,35,1.080243
"Dry","Forest:All","Initial Conditions: Deadwood",36,36,1.12387
"Dry","Forest:All","Initial Conditions: Deadwood",37,37,1.165559
"Dry","Forest:All","Initial Conditions: Deadwood",38,38,1.205193
"Dry","Forest:All","Initial Conditions: Deadwood",39,39,1.242708
"Dry","Forest:All","Initial Conditions: Deadwood",40,40,1.278049
"Dry","Forest:All","Initial Conditions: Deadwood",41,41,1.311197
"Dry","Forest:All","Initial Conditions: Deadwood",42,42,1.342142
"Dry","Forest:All","Initial Conditions: Deadwood",43,43,1.370897
"Dry","Forest:All","Initial Conditions: Deadwood",44,44,1.397505
"Dry","Forest:All","Initial Conditions: Deadwood",45,45,1.42201
"Dry","Forest:All","Initial Conditions: Deadwood",46,46,1.444481
"Dry","Forest:All","Initial Conditions: Deadwood",47,47,1.464998
"Dry","Forest:All","Initial Conditions: Deadwood",48,48,1.483636
"Dry","Forest:All","Initial Conditions: Deadwood",49,49,1.500481
"Dry","Forest:All","Initial Conditions: Deadwood",50,50,1.515659
"Dry","Forest:All","Initial Conditions: Deadwood",51,51,1.529245
"Dry","Forest:All","Initial Conditions: Deadwood",52,52,1.541351
"Dry","Forest:All","Initial Conditions: Deadwood",53,53,1.552079
"Dry","Forest:All","Initial Conditions: Deadwood",54,54,1.561529
"Dry","Forest:All","Initial Conditions: Deadwood",55,55,1.569801
"Dry","Forest:All","Initial Conditions: Deadwood",56,56,1.576987
"Dry","Forest:All","Initial Conditions: Deadwood",57,57,1.583186
"Dry","Forest:All","Initial Conditions: Deadwood",58,58,1.58848
"Dry","Forest:All","Initial Conditions: Deadwood",59,59,1.592956
"Dry","Forest:All","Initial Conditions: Deadwood",60,60,1.596695
"Dry","Forest:All","Initial Conditions: Deadwood",61,61,1.599769
"Dry","Forest:All","Initial Conditions: Deadwood",62,62,1.602249
"Dry","Forest:All","Initial Conditions: Deadwood",63,63,1.604202
"Dry","Forest:All","Initial Conditions: Deadwood",64,64,1.605676
"Dry","Forest:All","Initial Conditions: Deadwood",65,65,1.606741
"Dry","Forest:All","Initial Conditions: Deadwood",66,66,1.607437
"Dry","Forest:All","Initial Conditions: Deadwood",67,67,1.607807
"Dry","Forest:All","Initial Conditions: Deadwood",68,68,1.607898
"Dry","Forest:All","Initial Conditions: Deadwood",69,69,1.607743
"Dry","Forest:All","Initial Conditions: Deadwood",70,70,1.607375
"Dry","Forest:All","Initial Conditions: Deadwood",71,71,1.606816
"Dry","Forest:All","Initial Conditions: Deadwood",72,72,1.606102
"Dry","Forest:All","Initial Conditions: Deadwood",73,73,1.605251
"Dry","Forest:All","Initial Conditions: Deadwood",74,74,1.604293
"Dry","Forest:All","Initial Conditions: Deadwood",75,75,1.603238
"Dry","Forest:All","Initial Conditions: Deadwood",76,76,1.600119
"Dry","Forest:All","Initial Conditions: Deadwood",77,77,1.595681
"Dry","Forest:All","Initial Conditions: Deadwood",78,78,1.590475
"Dry","Forest:All","Initial Conditions: Deadwood",79,79,1.584892
"Dry","Forest:All","Initial Conditions: Deadwood",80,80,1.579196
"Dry","Forest:All","Initial Conditions: Deadwood",81,81,1.573573
"Dry","Forest:All","Initial Conditions: Deadwood",82,82,1.568143
"Dry","Forest:All","Initial Conditions: Deadwood",83,83,1.56299
"Dry","Forest:All","Initial Conditions: Deadwood",84,84,1.558152
"Dry","Forest:All","Initial Conditions: Deadwood",85,85,1.553656
"Dry","Forest:All","Initial Conditions: Deadwood",86,86,1.54951
"Dry","Forest:All","Initial Conditions: Deadwood",87,87,1.545706
"Dry","Forest:All","Initial Conditions: Deadwood",88,88,1.542232
"Dry","Forest:All","Initial Conditions: Deadwood",89,89,1.539072
"Dry","Forest:All","Initial Conditions: Deadwood",90,90,1.536211
"Dry","Forest:All","Initial Conditions: Deadwood",91,91,1.53362
"Dry","Forest:All","Initial Conditions: Deadwood",92,92,1.531279
"Dry","Forest:All","Initial Conditions: Deadwood",93,93,1.529172
"Dry","Forest:All","Initial Conditions: Deadwood",94,94,1.527279
"Dry","Forest:All","Initial Conditions: Deadwood",95,95,1.525581
"Dry","Forest:All","Initial Conditions: Deadwood",96,96,1.52406
"Dry","Forest:All","Initial Conditions: Deadwood",97,97,1.522696
"Dry","Forest:All","Initial Conditions: Deadwood",98,98,1.521478
"Dry","Forest:All","Initial Conditions: Deadwood",99,99,1.520392
"Dry","Forest:All","Initial Conditions: Deadwood",100,100,1.519425
"Dry","Forest:All","Initial Conditions: Deadwood",101,101,1.518565
"Dry","Forest:All","Initial Conditions: Deadwood",102,102,1.517807
"Dry","Forest:All","Initial Conditions: Deadwood",103,103,1.517136
"Dry","Forest:All","Initial Conditions: Deadwood",104,104,1.516542
"Dry","Forest:All","Initial Conditions: Deadwood",105,105,1.516018
"Dry","Forest:All","Initial Conditions: Deadwood",106,106,1.515556
"Dry","Forest:All","Initial Conditions: Deadwood",107,107,1.515154
"Dry","Forest:All","Initial Conditions: Deadwood",108,108,1.5148
"Dry","Forest:All","Initial Conditions: Deadwood",109,109,1.514488
"Dry","Forest:All","Initial Conditions: Deadwood",110,,1.514211
"Dry","Forest:All","Initial Conditions: Litter",1,1,0.038163
"Dry","Forest:All","Initial Conditions: Litter",2,2,0.026894
"Dry","Forest:All","Initial Conditions: Litter",3,3,0.030825
"Dry","Forest:All","Initial Conditions: Litter",4,4,0.031657
"Dry","Forest:All","Initial Conditions: Litter",5,5,0.030225
"Dry","Forest:All","Initial Conditions: Litter",6,6,0.029081
"Dry","Forest:All","Initial Conditions: Litter",7,7,0.028514
"Dry","Forest:All","Initial Conditions: Litter",8,8,0.028383
"Dry","Forest:All","Initial Conditions: Litter",9,9,0.028649
"Dry","Forest:All","Initial Conditions: Litter",10,10,0.02919
"Dry","Forest:All","Initial Conditions: Litter",11,11,0.030132
"Dry","Forest:All","Initial Conditions: Litter",12,12,0.03155
"Dry","Forest:All","Initial Conditions: Litter",13,13,0.033297
"Dry","Forest:All","Initial Conditions: Litter",14,14,0.035369
"Dry","Forest:All","Initial Conditions: Litter",15,15,0.037751
"Dry","Forest:All","Initial Conditions: Litter",16,16,0.040514
"Dry","Forest:All","Initial Conditions: Litter",17,17,0.043556
"Dry","Forest:All","Initial Conditions: Litter",18,18,0.047005
"Dry","Forest:All","Initial Conditions: Litter",19,19,0.050757
"Dry","Forest:All","Initial Conditions: Litter",20,20,0.054808
"Dry","Forest:All","Initial Conditions: Litter",21,21,0.059156
"Dry","Forest:All","Initial Conditions: Litter",22,22,0.063815
"Dry","Forest:All","Initial Conditions: Litter",23,23,0.068709
"Dry","Forest:All","Initial Conditions: Litter",24,24,0.073808
"Dry","Forest:All","Initial Conditions: Litter",25,25,0.079135
"Dry","Forest:All","Initial Conditions: Litter",26,26,0.084606
"Dry","Forest:All","Initial Conditions: Litter",27,27,0.090133
"Dry","Forest:All","Initial Conditions: Litter",28,28,0.095754
"Dry","Forest:All","Initial Conditions: Litter",29,29,0.101417
"Dry","Forest:All","Initial Conditions: Litter",30,30,0.107035
"Dry","Forest:All","Initial Conditions: Litter",31,31,0.11274
"Dry","Forest:All","Initial Conditions: Litter",32,32,0.118287
"Dry","Forest:All","Initial Conditions: Litter",33,33,0.123793
"Dry","Forest:All","Initial Conditions: Litter",34,34,0.129122
"Dry","Forest:All","Initial Conditions: Litter",35,35,0.13424
"Dry","Forest:All","Initial Conditions: Litter",36,36,0.139291
"Dry","Forest:All","Initial Conditions: Litter",37,37,0.144037
"Dry","Forest:All","Initial Conditions: Litter",38,38,0.148559
