"Timestep","StratumID","SecondaryStratumID","StateClassID","FlowGroupID","Value","DistributionType","DistributionFrequencyID","DistributionSD"
2011,"Dry","Hawai'i","Agriculture:All","Growth [Type]",1.00321858,"Normal","Iteration and Timestep",0.025
2012,"Dry","Hawai'i","Agriculture:All","Growth [Type]",1.00051589139344,"Normal","Iteration and Timestep",0.025
2013,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.997796331462377,"Normal","Iteration and Timestep",0.025
2014,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.995067361157628,"Normal","Iteration and Timestep",0.025
2015,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.992330602890498,"Normal","Iteration and Timestep",0.025
2016,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.9895779305134,"Normal","Iteration and Timestep",0.025
2017,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.986798305913159,"Normal","Iteration and Timestep",0.025
2018,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.983987562836493,"Normal","Iteration and Timestep",0.025
2019,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.981146880636458,"Normal","Iteration and Timestep",0.025
2020,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.978278313946498,"Normal","Iteration and Timestep",0.025
2021,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.975373430461303,"Normal","Iteration and Timestep",0.025
2022,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.972445716889676,"Normal","Iteration and Timestep",0.025
2023,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.969526402722,"Normal","Iteration and Timestep",0.025
2024,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.966625235847239,"Normal","Iteration and Timestep",0.025
2025,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.963742705425693,"Normal","Iteration and Timestep",0.025
2026,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.960875440648687,"Normal","Iteration and Timestep",0.025
2027,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.958011815610988,"Normal","Iteration and Timestep",0.025
2028,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.955138006383927,"Normal","Iteration and Timestep",0.025
2029,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.952247327337338,"Normal","Iteration and Timestep",0.025
2030,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.949338750752882,"Normal","Iteration and Timestep",0.025
2031,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.946412601818894,"Normal","Iteration and Timestep",0.025
2032,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.943441010427198,"Normal","Iteration and Timestep",0.025
2033,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.940411871070368,"Normal","Iteration and Timestep",0.025
2034,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.937350948873367,"Normal","Iteration and Timestep",0.025
2035,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.934270874461958,"Normal","Iteration and Timestep",0.025
2036,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.931174739785835,"Normal","Iteration and Timestep",0.025
2037,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.928061366524541,"Normal","Iteration and Timestep",0.025
2038,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.924921041775852,"Normal","Iteration and Timestep",0.025
2039,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.921741400427058,"Normal","Iteration and Timestep",0.025
2040,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.91851668528161,"Normal","Iteration and Timestep",0.025
2041,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.915246408525155,"Normal","Iteration and Timestep",0.025
2042,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.911914193648191,"Normal","Iteration and Timestep",0.025
2043,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.908495380562419,"Normal","Iteration and Timestep",0.025
2044,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.904996009600731,"Normal","Iteration and Timestep",0.025
2045,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.901440228037762,"Normal","Iteration and Timestep",0.025
2046,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.897841220026712,"Normal","Iteration and Timestep",0.025
2047,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.89420287164003,"Normal","Iteration and Timestep",0.025
2048,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.890525022206961,"Normal","Iteration and Timestep",0.025
2049,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.886798996256706,"Normal","Iteration and Timestep",0.025
2050,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.883013318438256,"Normal","Iteration and Timestep",0.025
2051,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.88593140584949,"Normal","Iteration and Timestep",0.025
2052,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.888252702735105,"Normal","Iteration and Timestep",0.025
2053,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.890479398439603,"Normal","Iteration and Timestep",0.025
2054,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.892605269453316,"Normal","Iteration and Timestep",0.025
2055,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.894634425913812,"Normal","Iteration and Timestep",0.025
2056,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.896591265942121,"Normal","Iteration and Timestep",0.025
2057,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.898490023537026,"Normal","Iteration and Timestep",0.025
2058,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.900335802696448,"Normal","Iteration and Timestep",0.025
2059,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.902129651705558,"Normal","Iteration and Timestep",0.025
2060,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.903863727320532,"Normal","Iteration and Timestep",0.025
2061,"Dry","Hawai'i","Agriculture:All","Growth [Type]",0.905526590916562,"Normal","Iteration and Timestep",0.025
