county,year,population
Hawaii,2010,202682
Hawaii,2015,222485
Hawaii,2020,236684
Hawaii,2025,252073
Hawaii,2030,267463
Hawaii,2035,282588
Hawaii,2040,297097
Hawaii,2045,311869
Honolulu,2010,988095
Honolulu,2015,1048965
Honolulu,2020,1070437
Honolulu,2025,1093992
Honolulu,2030,1112667
Honolulu,2035,1125876
Honolulu,2040,1133609
Honolulu,2045,1139437
Kauai,2010,83516
Kauai,2015,93630
Kauai,2020,99048
Kauai,2025,103758
Kauai,2030,108457
Kauai,2035,113071
Kauai,2040,117362
Kauai,2045,121803
Maui,2010,194384
Maui,2015,218059
Maui,2020,232448
Maui,2025,245344
Maui,2030,258143
Maui,2035,270545
Maui,2040,281913
Maui,2045,293348
