OID_,Value,Count,Red,Green,Blue,Opacity,2001_Code,2001_Class,2005_Code,2005_Class,Class_Name,Bivariate_,1992_Color,1992_Col_1,1992_Col_2,2001_Color,2001_Col_1,2001_Col_2,Change_Red,Change_Gre,Change_Blu
,0,11984701,0.76,0.85,0.87,0,0, ,0, , ,0,0,0,0,0.756862745,0.847058824,0.866666667,0.756862745,0.847058824,0.866666667
,1,74,0,0,0,1,1,Unclassified,1,Unclassified,Unclassified to Unclassified,101,0,0,0,0,0,0,0.309803922,0.309803922,0.254901961
,2,0,0.76,0.85,0.87,1,1,Unclassified,2,High Intensity Developed,Unclassified to High Intensity Developed,102,0,0,0,0.756862745,0.847058824,0.866666667,0.756862745,0.847058824,0.866666667
,3,0,0.66,0.6,0.66,1,1,Unclassified,3,Medium Intensity Developed,Unclassified to Medium Intensity Developed,103,0,0,0,0.658823529,0.6,0.658823529,0.658823529,0.6,0.658823529
,4,0,0.56,0.46,0.49,1,1,Unclassified,4,Low Intensity Developed,Unclassified to Low Intensity Developed,104,0,0,0,0.556862745,0.458823529,0.48627451,0.556862745,0.458823529,0.48627451
,5,0,0.76,0.8,0.22,1,1,Unclassified,5,Developed Open Space,Unclassified to Developed Open Space,105,0,0,0,0.756862745,0.8,0.219607843,0.756862745,0.8,0.219607843
,6,0,0.33,0.13,0,1,1,Unclassified,6,Cultivated,Unclassified to Cultivated,106,0,0,0,0.329411765,0.125490196,0,0.329411765,0.125490196,0
,7,0,0.76,0.63,0.31,1,1,Unclassified,7,Pasture/Hay,Unclassified to Pasture/Hay,107,0,0,0,0.756862745,0.62745098,0.309803922,0.756862745,0.62745098,0.309803922
,8,0,0.95,0.73,0.53,1,1,Unclassified,8,Grassland,Unclassified to Grassland,108,0,0,0,0.949019608,0.729411765,0.529411765,0.949019608,0.729411765,0.529411765
,9,0,0,0.95,0,1,1,Unclassified,9,Deciduous Forest,Unclassified to Deciduous Forest,109,0,0,0,0,0.949019608,0,0,0.949019608,0
,10,0,0,0.23,0,1,1,Unclassified,10,Evergreen Forest,Unclassified to Evergreen Forest,110,0,0,0,0,0.22745098,0,0,0.22745098,0
,11,0,0.03,0.63,0.23,1,1,Unclassified,11,Mixed Forest,Unclassified to Mixed Forest,111,0,0,0,0.02745098,0.62745098,0.22745098,0.02745098,0.62745098,0.22745098
,12,0,0.43,0.43,0,1,1,Unclassified,12,Scrub/Shrub,Unclassified to Scrub/Shrub,112,0,0,0,0.42745098,0.42745098,0,0.42745098,0.42745098,0
,13,0,0,0.36,0.36,1,1,Unclassified,13,Palustrine Forested Wetland,Unclassified to Palustrine Forested Wetland,113,0,0,0,0,0.356862745,0.356862745,0,0.356862745,0.356862745
,14,0,0.95,0.43,0,1,1,Unclassified,14,Palustrine Scrub/Shrub Wetland,Unclassified to Palustrine Scrub/Shrub Wetland,114,0,0,0,0.949019608,0.42745098,0,0.949019608,0.42745098,0
,15,0,0.95,0,0.95,1,1,Unclassified,15,Palustrine Emergent Wetland,Unclassified to Palustrine Emergent Wetland,115,0,0,0,0.949019608,0,0.949019608,0.949019608,0,0.949019608
