Island,Class #,Full C-CAP Class Scheme,2005,Loss,Gain,2010,Net Change
Hawai'i,1,Unclassified,0.024556856,-0.024392284,0,0.000164572,-0.024392284
Hawai'i,2,Impervious Surface,44.45460994,-0.475631739,3.560821944,47.53980015,3.085190205
Hawai'i,3,N/A,0,0,0,0,0
Hawai'i,4,N/A,0,0,0,0,0
Hawai'i,5,Developed Open Space,35.45931487,-1.010171465,4.815151983,39.26429538,3.804980518
Hawai'i,6,Cultivated,60.04276698,-8.057048377,7.349207347,59.33492595,-0.70784103
Hawai'i,7,Pasture/Hay,598.9065214,-6.819749347,5.302930937,597.389703,-1.51681841
Hawai'i,8,Grassland,295.1888777,-9.277509882,15.92950446,301.8408723,6.651994574
Hawai'i,9,Deciduous Forest,0,0,0,0,0
Hawai'i,10,Evergreen Forest,1188.684064,-15.05016352,8.53553122,1182.169432,-6.514632303
Hawai'i,11,Mixed Forest,0,0,0,0,0
Hawai'i,12,Scrub/Shrub,756.5791255,-13.00160756,8.007538802,751.5850567,-4.994068761
Hawai'i,13,Palustrine Forested Wetland,42.65561898,-0.006556205,0.000544868,42.64960764,-0.006011337
Hawai'i,14,Palustrine Scrub/Shrub Wetland,8.704742679,-0.025406405,0.001516734,8.680853009,-0.023889671
Hawai'i,15,Palustrine Emergent Wetland,3.319027428,-0.016577323,0.127145445,3.42959555,0.110568122
Hawai'i,16,Estuarine Forested Wetland,0.02475034,-0.006126982,0,0.018623357,-0.006126982
Hawai'i,17,Estuarine Scrub/Shrub Wetland,0.000987434,-0.000856221,0.000242411,0.000373624,-0.00061381
Hawai'i,18,Estuarine Emergent Wetland,0.054838159,-0.014428988,0.004181026,0.044590198,-0.010247962
Hawai'i,19,Unconsolidated Shore,0.002192815,-0.001687978,0.048517693,0.04902253,0.046829715
Hawai'i,20,Barren Land,993.5652835,-6.246693031,6.402856576,993.7214471,0.156163545
Hawai'i,21,Open Water,46.79256629,-0.133061152,0.081274253,46.74077939,-0.0517869
Hawai'i,22,Palustrine Aquatic Bed,0.001467807,-0.000927387,0.001630155,0.002170575,0.000702768
Hawai'i,23,Estuarine Aquatic Bed,0,0,0,0,0
Hawai'i,24,Tundra,0,0,0,0,0
Hawai'i,25,Perennial Ice/Snow,0,0,0,0,0
