OID_,Value,Count,Red,Green,Blue,Opacity,2001_Code,2001_Class,2005_Code,2005_Class,Class_Name
,0,774291,0.760784314,0.850980392,0.870588235,0,0, ,0, , 
,1,254,0,0,0,1,1,Unclassified,1,Unclassified,Unclassified to Unclassified
,2,0,0.760784314,0.850980392,0.870588235,1,1,Unclassified,2,High Intensity Developed,Unclassified to High Intensity Developed
,3,0,0.658823529,0.6,0.658823529,1,1,Unclassified,3,Medium Intensity Developed,Unclassified to Medium Intensity Developed
,4,0,0.560784314,0.458823529,0.490196078,1,1,Unclassified,4,Low Intensity Developed,Unclassified to Low Intensity Developed
,5,0,0.760784314,0.8,0.219607843,1,1,Unclassified,5,Developed Open Space,Unclassified to Developed Open Space
,6,0,0.329411765,0.129411765,0,1,1,Unclassified,6,Cultivated,Unclassified to Cultivated
,7,0,0.760784314,0.631372549,0.309803922,1,1,Unclassified,7,Pasture/Hay,Unclassified to Pasture/Hay
,8,0,0.949019608,0.729411765,0.529411765,1,1,Unclassified,8,Grassland,Unclassified to Grassland
,9,0,0,0.949019608,0,1,1,Unclassified,9,Deciduous Forest,Unclassified to Deciduous Forest
,10,0,0,0.231372549,0,1,1,Unclassified,10,Evergreen Forest,Unclassified to Evergreen Forest
,11,0,0.031372549,0.631372549,0.231372549,1,1,Unclassified,11,Mixed Forest,Unclassified to Mixed Forest
,12,0,0.431372549,0.431372549,0,1,1,Unclassified,12,Scrub/Shrub,Unclassified to Scrub/Shrub
,13,0,0,0.360784314,0.360784314,1,1,Unclassified,13,Palustrine Forested Wetland,Unclassified to Palustrine Forested Wetland
,14,0,0.949019608,0.431372549,0,1,1,Unclassified,14,Palustrine Scrub/Shrub Wetland,Unclassified to Palustrine Scrub/Shrub Wetland
,15,0,0.949019608,0,0.949019608,1,1,Unclassified,15,Palustrine Emergent Wetland,Unclassified to Palustrine Emergent Wetland
,16,0,0.239215686,0,0.239215686,1,1,Unclassified,16,Estuarine Forested Wetland,Unclassified to Estuarine Forested Wetland
,17,0,0.431372549,0,0.431372549,1,1,Unclassified,17,Estuarine Scrub/Shrub Wetland,Unclassified to Estuarine Scrub/Shrub Wetland
,18,0,0.690196078,0,0.690196078,1,1,Unclassified,18,Estuarine Emergent Wetland,Unclassified to Estuarine Emergent Wetland
,19,0,0,0.949019608,0.949019608,1,1,Unclassified,19,Unconsolidated Shore,Unclassified to Unconsolidated Shore
,20,0,0.949019608,0.949019608,0,1,1,Unclassified,20,Bare Land,Unclassified to Bare Land
,21,0,0,0,0.470588235,1,1,Unclassified,21,Water,Unclassified to Water
,22,0,0,0,0.949019608,1,1,Unclassified,22,Palustrine Aquatic Bed,Unclassified to Palustrine Aquatic Bed
,23,0,0.4,0.458823529,0.858823529,1,1,Unclassified,23,Estuarine Aquatic Bed,Unclassified to Estuarine Aquatic Bed
,24,0,0.980392157,0.819607843,0,1,1,Unclassified,24,Tundra,Unclassified to Tundra
,25,0,0.670588235,0.980392157,0.941176471,1,1,Unclassified,25,Snow/Ice,Unclassified to Snow/Ice
,26,0,0,0,0,1,2,High Intensity Developed,1,Unclassified,High Intensity Developed to Unclassified
,27,4058,0.760784314,0.850980392,0.870588235,1,2,High Intensity Developed,2,High Intensity Developed,High Intensity Developed to High Intensity Developed
,28,0,0.658823529,0.6,0.658823529,1,2,High Intensity Developed,3,Medium Intensity Developed,High Intensity Developed to Medium Intensity Developed
,29,0,0.560784314,0.458823529,0.490196078,1,2,High Intensity Developed,4,Low Intensity Developed,High Intensity Developed to Low Intensity Developed
,30,0,0.760784314,0.8,0.219607843,1,2,High Intensity Developed,5,Developed Open Space,High Intensity Developed to Developed Open Space
,31,0,0.329411765,0.129411765,0,1,2,High Intensity Developed,6,Cultivated,High Intensity Developed to Cultivated
,32,0,0.760784314,0.631372549,0.309803922,1,2,High Intensity Developed,7,Pasture/Hay,High Intensity Developed to Pasture/Hay
,33,0,0.949019608,0.729411765,0.529411765,1,2,High Intensity Developed,8,Grassland,High Intensity Developed to Grassland
,34,0,0,0.949019608,0,1,2,High Intensity Developed,9,Deciduous Forest,High Intensity Developed to Deciduous Forest
,35,0,0,0.231372549,0,1,2,High Intensity Developed,10,Evergreen Forest,High Intensity Developed to Evergreen Forest
,36,0,0.031372549,0.631372549,0.231372549,1,2,High Intensity Developed,11,Mixed Forest,High Intensity Developed to Mixed Forest
,37,0,0.431372549,0.431372549,0,1,2,High Intensity Developed,12,Scrub/Shrub,High Intensity Developed to Scrub/Shrub
,38,0,0,0.360784314,0.360784314,1,2,High Intensity Developed,13,Palustrine Forested Wetland,High Intensity Developed to Palustrine Forested Wetland
,39,0,0.949019608,0.431372549,0,1,2,High Intensity Developed,14,Palustrine Scrub/Shrub Wetland,High Intensity Developed to Palustrine Scrub/Shrub Wetland
,40,0,0.949019608,0,0.949019608,1,2,High Intensity Developed,15,Palustrine Emergent Wetland,High Intensity Developed to Palustrine Emergent Wetland
,41,0,0.239215686,0,0.239215686,1,2,High Intensity Developed,16,Estuarine Forested Wetland,High Intensity Developed to Estuarine Forested Wetland
,42,0,0.431372549,0,0.431372549,1,2,High Intensity Developed,17,Estuarine Scrub/Shrub Wetland,High Intensity Developed to Estuarine Scrub/Shrub Wetland
,43,0,0.690196078,0,0.690196078,1,2,High Intensity Developed,18,Estuarine Emergent Wetland,High Intensity Developed to Estuarine Emergent Wetland
,44,0,0,0.949019608,0.949019608,1,2,High Intensity Developed,19,Unconsolidated Shore,High Intensity Developed to Unconsolidated Shore
,45,0,0.949019608,0.949019608,0,1,2,High Intensity Developed,20,Bare Land,High Intensity Developed to Bare Land
,46,0,0,0,0.470588235,1,2,High Intensity Developed,21,Water,High Intensity Developed to Water
,47,0,0,0,0.949019608,1,2,High Intensity Developed,22,Palustrine Aquatic Bed,High Intensity Developed to Palustrine Aquatic Bed
,48,0,0.4,0.458823529,0.858823529,1,2,High Intensity Developed,23,Estuarine Aquatic Bed,High Intensity Developed to Estuarine Aquatic Bed
,49,0,0.980392157,0.819607843,0,1,2,High Intensity Developed,24,Tundra,High Intensity Developed to Tundra
,50,0,0.670588235,0.980392157,0.941176471,1,2,High Intensity Developed,25,Snow/Ice,High Intensity Developed to Snow/Ice
,51,0,0,0,0,1,3,Medium Intensity Developed,1,Unclassified,Medium Intensity Developed to Unclassified
,52,152,0.949019608,0.949019608,0.949019608,1,3,Medium Intensity Developed,2,High Intensity Developed,Medium Intensity Developed to High Intensity Developed
