Island,Class #,Full C-CAP Class Scheme,2005,Loss,Gain,2011,Net Change
Kaua'i,1,Unclassified,0.064923772,0,0,0.064923772,0
Kaua'i,2,Impervious Surface,13.73363405,-0.619843776,2.140883244,15.25467352,1.521039467
Kaua'i,3,N/A,0,0,0,0,0
Kaua'i,4,N/A,0,0,0,0,0
Kaua'i,5,Developed Open Space,13.9313432,-0.897719657,2.431807039,15.46543059,1.534087382
Kaua'i,6,Cultivated,28.43798002,-7.928817644,4.370373103,24.87953548,-3.558444541
Kaua'i,7,Pasture/Hay,35.36629593,-4.53381786,2.993754725,33.8262328,-1.540063136
Kaua'i,8,Grassland,59.40001875,-9.830690757,10.91939657,60.48872456,1.088705811
Kaua'i,9,Deciduous Forest,0,0,0,0,0
Kaua'i,10,Evergreen Forest,254.4610809,-2.450038981,4.038052702,256.0490946,1.588013721
Kaua'i,11,Mixed Forest,0,0,0,0,0
Kaua'i,12,Scrub/Shrub,112.971029,-5.989095126,5.543442233,112.5253761,-0.445652893
Kaua'i,13,Palustrine Forested Wetland,13.09528479,-0.062891082,0.084930427,13.11732413,0.022039345
Kaua'i,14,Palustrine Scrub/Shrub Wetland,1.538468563,-0.071017395,0.061734628,1.529185796,-0.009282767
Kaua'i,15,Palustrine Emergent Wetland,2.6431112,-0.140911696,0.21930371,2.721503214,0.078392014
Kaua'i,16,Estuarine Forested Wetland,0.111931404,-0.00042255,0.00194818,0.113457033,0.00152563
Kaua'i,17,Estuarine Scrub/Shrub Wetland,0.006765256,-0.006235956,0.005760031,0.006289331,-0.000475925
Kaua'i,18,Estuarine Emergent Wetland,0.03826306,-0.007830528,0.023951942,0.054384473,0.016121414
Kaua'i,19,Unconsolidated Shore,0.538687393,-0.123789505,0.240086522,0.65498441,0.116297017
Kaua'i,20,Barren Land,14.57300838,-2.027681965,1.910212926,14.45553934,-0.117469039
Kaua'i,21,Open Water,11.44009443,-0.535520488,0.244216397,11.14879034,-0.291304091
Kaua'i,22,Palustrine Aquatic Bed,0.008913592,-0.003529409,0,0.005384183,-0.003529409
Kaua'i,23,Estuarine Aquatic Bed,0,0,0,0,0
Kaua'i,24,Tundra,0,0,0,0,0
Kaua'i,25,Perennial Ice/Snow,0,0,0,0,0
