Island,Class #,Full C-CAP Class Scheme,2005,Loss,Gain,2011,Net Change
Lana'i,1,Unclassified,0,0,0,0,0
Lana'i,2,Impervious Surface,1.597585602,-0.040204568,0.132562988,1.689944022,0.09235842
Lana'i,3,N/A,0,0,0,0,0
Lana'i,4,N/A,0,0,0,0,0
Lana'i,5,Developed Open Space,1.075715719,-0.042392935,0.086046849,1.119369634,0.043653915
Lana'i,6,Cultivated,0.229186943,-0.00054042,0.000627154,0.229273677,8.67E-05
Lana'i,7,Pasture/Hay,0.455291492,-0.053617211,0,0.401674281,-0.053617211
Lana'i,8,Grassland,45.33005451,-0.45900104,1.556842838,46.42789631,1.097841798
Lana'i,9,Deciduous Forest,0,0,0,0,0
Lana'i,10,Evergreen Forest,15.83098125,-0.043117943,0.323929437,16.11179274,0.280811495
Lana'i,11,Mixed Forest,0,0,0,0,0
Lana'i,12,Scrub/Shrub,65.0401094,-1.924306097,0.446184417,63.56198772,-1.47812168
Lana'i,13,Palustrine Forested Wetland,0,0,0,0,0
Lana'i,14,Palustrine Scrub/Shrub Wetland,0,0,0,0,0
Lana'i,15,Palustrine Emergent Wetland,0.000482597,0,0.002384074,0.002866672,0.002384074
Lana'i,16,Estuarine Forested Wetland,0,0,0,0,0
Lana'i,17,Estuarine Scrub/Shrub Wetland,0,0,0,0,0
Lana'i,18,Estuarine Emergent Wetland,0,0,0,0,0
Lana'i,19,Unconsolidated Shore,0.167403388,-4.45E-06,0.002606469,0.17000541,0.002602022
Lana'i,20,Barren Land,11.2978706,-0.102873255,0.114593472,11.30959082,0.011720217
Lana'i,21,Open Water,15.70486549,-0.00434115,0.000771711,15.70129605,-0.00356944
Lana'i,22,Palustrine Aquatic Bed,0,0,0.003849657,0.003849657,0.003849657
Lana'i,23,Estuarine Aquatic Bed,0,0,0,0,0
Lana'i,24,Tundra,0,0,0,0,0
Lana'i,25,Perennial Ice/Snow,0,0,0,0,0
